PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34159342","Molnupiravir, an Oral Antiviral Treatment for COVID-19","Fischer W, Eron JJ, Holman W, Cohen MS, Fang L, Szewczyk LJ, Sheahan TP, Baric R, Mollan KR, Wolfe CR, Duke ER, Azizad MM, Borroto-Esoda K, Wohl DA, Loftis AJ, Alabanza P, Lipansky F, Painter WP.","medRxiv. 2021 Jun 17:2021.06.17.21258639. doi: 10.1101/2021.06.17.21258639. Preprint.","Fischer W","medRxiv","2021","2021/06/23","PMC8219109","","10.1101/2021.06.17.21258639"
"35667065","Effect of Molnupiravir on Biomarkers, Respiratory Interventions, and Medical Services in COVID-19 : A Randomized, Placebo-Controlled Trial","Johnson MG, Puenpatom A, Moncada PA, Burgess L, Duke ER, Ohmagari N, Wolf T, Bassetti M, Bhagani S, Ghosn J, Zhang Y, Wan H, Williams-Diaz A, Brown ML, Paschke A, De Anda C.","Ann Intern Med. 2022 Aug;175(8):1126-1134. doi: 10.7326/M22-0729. Epub 2022 Jun 7.","Johnson MG","Ann Intern Med","2022","2022/06/06","PMC9186515","","10.7326/M22-0729"
"33657225","Cytomegalovirus-specific T-cell reconstitution following letermovir prophylaxis after hematopoietic cell transplantation","Zamora D, Duke ER, Xie H, Edmison BC, Akoto B, Kiener R, Stevens-Ayers T, Wagner R, Mielcarek M, Leisenring WM, Jerome KR, Schiffer JT, Finak G, De Rosa SC, Boeckh M.","Blood. 2021 Jul 8;138(1):34-43. doi: 10.1182/blood.2020009396.","Zamora D","Blood","2021","2021/03/03","PMC8493975","","10.1182/blood.2020009396"
"34941423","A phase 2a clinical trial of molnupiravir in patients with COVID-19 shows accelerated SARS-CoV-2 RNA clearance and elimination of infectious virus","Fischer WA 2nd, Eron JJ Jr, Holman W, Cohen MS, Fang L, Szewczyk LJ, Sheahan TP, Baric R, Mollan KR, Wolfe CR, Duke ER, Azizad MM, Borroto-Esoda K, Wohl DA, Coombs RW, James Loftis A, Alabanza P, Lipansky F, Painter WP.","Sci Transl Med. 2022 Jan 19;14(628):eabl7430. doi: 10.1126/scitranslmed.abl7430. Epub 2022 Jan 19.","Fischer WA 2nd","Sci Transl Med","2022","2021/12/23","","","10.1126/scitranslmed.abl7430"
"35779197","Cost-Effectiveness Analysis of Molnupiravir Versus Best Supportive Care for the Treatment of Outpatient COVID-19 in Adults in the US","Goswami H, Alsumali A, Jiang Y, Schindler M, Duke ER, Cohen J, Briggs A, Puenpatom A.","Pharmacoeconomics. 2022 Jul;40(7):699-714. doi: 10.1007/s40273-022-01168-0. Epub 2022 Jul 2.","Goswami H","Pharmacoeconomics","2022","2022/07/02","PMC9270266","","10.1007/s40273-022-01168-0"
"32710762","Reliability of Self-Sampling for Accurate Assessment of Respiratory Virus Viral and Immunologic Kinetics","Waghmare A, Krantz EM, Baral S, Vasquez E, Loeffelholz T, Chung EL, Pandey U, Kuypers J, Duke ER, Jerome KR, Greninger AL, Reeves DB, Hladik F, Cardozo-Ojeda EF, Boeckh M, Schiffer JT.","J Infect Dis. 2022 Aug 24;226(2):278-286. doi: 10.1093/infdis/jiaa451.","Waghmare A","J Infect Dis","2022","2020/07/26","PMC7454707","","10.1093/infdis/jiaa451"
"35634576","Modeling explains prolonged SARS-CoV-2 nasal shedding relative to lung shedding in remdesivir-treated rhesus macaques","Goyal A, Duke ER, Cardozo-Ojeda EF, Schiffer JT.","iScience. 2022 Jun 17;25(6):104448. doi: 10.1016/j.isci.2022.104448. Epub 2022 May 25.","Goyal A","iScience","2022","2022/05/31","PMC9130309","","10.1016/j.isci.2022.104448"
"36821766","Stochastic fate decisions of HSCs after transplantation: early contribution, symmetric expansion, and pool formation","Radtke S, Enstrom M, Pande D, Duke ER, Cardozo-Ojeda EF, Madhu R, Owen S, Kanestrom G, Cui M, Perez AM, Schiffer JT, Kiem HP.","Blood. 2023 Jul 6;142(1):33-43. doi: 10.1182/blood.2022018564.","Radtke S","Blood","2023","2023/02/23","","","10.1182/blood.2022018564"
"28638104","Anti-proliferative therapy for HIV cure: a compound interest approach","Reeves DB, Duke ER, Hughes SM, Prlic M, Hladik F, Schiffer JT.","Sci Rep. 2017 Jun 21;7(1):4011. doi: 10.1038/s41598-017-04160-3.","Reeves DB","Sci Rep","2017","2017/06/23","PMC5479830","","10.1038/s41598-017-04160-3"
"32970635","CMV viral load kinetics as surrogate endpoints after allogeneic transplantation","Duke ER, Williamson BD, Borate B, Golob JL, Wychera C, Stevens-Ayers T, Huang ML, Cossrow N, Wan H, Mast TC, Marks MA, Flowers ME, Jerome KR, Corey L, Gilbert PB, Schiffer JT, Boeckh M.","J Clin Invest. 2021 Jan 4;131(1):e133960. doi: 10.1172/JCI133960.","Duke ER","J Clin Invest","2021","2020/09/24","PMC7773411","","10.1172/JCI133960"
