PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23719202","Sieve analysis in HIV-1 vaccine efficacy trials","Edlefsen PT, Gilbert PB, Rolland M.","Curr Opin HIV AIDS. 2013 Sep;8(5):432-6. doi: 10.1097/COH.0b013e328362db2b.","Edlefsen PT","Curr Opin HIV AIDS","2013","2013/05/31","PMC3863593","NIHMS533774","10.1097/COH.0b013e328362db2b"
"34228762","Interleukin-15 response signature predicts RhCMV/SIV vaccine efficacy","Barrenäs F, Hansen SG, Law L, Driscoll C, Green RR, Smith E, Chang J, Golez I, Urion T, Peng X, Whitmore L, Newhouse D, Hughes CM, Morrow D, Randall KT, Selseth AN, Ford JC, Gilbride RM, Randall BE, Ainslie E, Oswald K, Shoemaker R, Fast R, Bosche WJ, Axthelm MK, Fukazawa Y, Pavlakis GN, Felber BK, Fourati S, Sekaly RP, Lifson JD, Komorowski J, Kosmider E, Shao D, Song W, Edlefsen PT, Picker LJ, Gale M Jr.","PLoS Pathog. 2021 Jul 6;17(7):e1009278. doi: 10.1371/journal.ppat.1009278. eCollection 2021 Jul.","Barrenäs F","PLoS Pathog","2021","2021/07/06","PMC8284654","","10.1371/journal.ppat.1009278"
"33651828","Correction: RV144 HIV-1 vaccination impacts post-infection antibody responses","Mdluli T, Jian N, Slike B, Paquin-Proulx D, Donofrio G, Alrubayyi A, Gift S, Grande R, Bryson M, Lee A, Dussupt V, Mendez-Rivera L, Sanders-Buell E, Chenine AL, Tran U, Li Y, Brown E, Edlefsen PT, O'Connell R, Gilbert P, Nitayaphan S, Pitisuttihum P, Rerks-Ngarm S, Robb ML, Gramzinski R, Alter G, Tovanabutra S, Georgiev IS, Ackerman ME, Polonis VR, Vasan S, Michael NL, Kim JH, Eller MA, Krebs SJ, Rolland M.","PLoS Pathog. 2021 Mar 2;17(3):e1009386. doi: 10.1371/journal.ppat.1009386. eCollection 2021 Mar.","Mdluli T","PLoS Pathog","2021","2021/03/02","PMC7924741","","10.1371/journal.ppat.1009386"
"33290394","RV144 HIV-1 vaccination impacts post-infection antibody responses","Mdluli T, Jian N, Slike B, Paquin-Proulx D, Donofrio G, Alrubayyi A, Gift S, Grande R, Bryson M, Lee A, Dussupt V, Mendez-Riveria L, Sanders-Buell E, Chenine AL, Tran U, Li Y, Brown E, Edlefsen PT, O'Connell R, Gilbert P, Nitayaphan S, Pitisuttihum P, Rerks-Ngarm S, Robb ML, Gramzinski R, Alter G, Tovanabutra S, Georgiev IS, Ackerman ME, Polonis VR, Vasan S, Michael NL, Kim JH, Eller MA, Krebs SJ, Rolland M.","PLoS Pathog. 2020 Dec 8;16(12):e1009101. doi: 10.1371/journal.ppat.1009101. eCollection 2020 Dec.","Mdluli T","PLoS Pathog","2020","2020/12/08","PMC7748270","","10.1371/journal.ppat.1009101"
"35995954","Neutralization titer biomarker for antibody-mediated prevention of HIV-1 acquisition","Gilbert PB, Huang Y, deCamp AC, Karuna S, Zhang Y, Magaret CA, Giorgi EE, Korber B, Edlefsen PT, Rossenkhan R, Juraska M, Rudnicki E, Kochar N, Huang Y, Carpp LN, Barouch DH, Mkhize NN, Hermanus T, Kgagudi P, Bekker V, Kaldine H, Mapengo RE, Eaton A, Domin E, West C, Feng W, Tang H, Seaton KE, Heptinstall J, Brackett C, Chiong K, Tomaras GD, Andrew P, Mayer BT, Reeves DB, Sobieszczyk ME, Garrett N, Sanchez J, Gay C, Makhema J, Williamson C, Mullins JI, Hural J, Cohen MS, Corey L, Montefiori DC, Morris L.","Nat Med. 2022 Sep;28(9):1924-1932. doi: 10.1038/s41591-022-01953-6. Epub 2022 Aug 22.","Gilbert PB","Nat Med","2022","2022/08/22","PMC9499869","","10.1038/s41591-022-01953-6"
"36993415","Assessing vaccine-mediated protection in an ultra-low dose Mycobacterium tuberculosis murine model","Plumlee CR, Barrett HW, Shao DE, Lien KA, Cross LM, Cohen SB, Edlefsen PT, Urdahl KB.","bioRxiv. 2023 Jun 16:2023.03.22.533820. doi: 10.1101/2023.03.22.533820. Preprint.","Plumlee CR","bioRxiv","2023","2023/03/30","PMC10055404","","10.1101/2023.03.22.533820"
"34532060","RV144 vaccine imprinting constrained HIV-1 evolution following breakthrough infection","Lewitus E, Sanders-Buell E, Bose M, O'Sullivan AM, Poltavee K, Li Y, Bai H, Mdluli T, Donofrio G, Slike B, Zhao H, Wong K, Chen L, Miller S, Lee J, Ahani B, Lepore S, Muhammad S, Grande R, Tran U, Dussupt V, Mendez-Rivera L, Nitayaphan S, Kaewkungwal J, Pitisuttithum P, Rerks-Ngarm S, O'Connell RJ, Janes H, Gilbert PB, Gramzinski R, Vasan S, Robb ML, Michael NL, Krebs SJ, Herbeck JT, Edlefsen PT, Mullins JI, Kim JH, Tovanabutra S, Rolland M.","Virus Evol. 2021 Jul 9;7(2):veab057. doi: 10.1093/ve/veab057. eCollection 2021.","Lewitus E","Virus Evol","2021","2021/09/17","PMC8438874","","10.1093/ve/veab057"
"37293702","T-SPOT.TB reactivity in Southern African children with and without in utero HIV exposure","Iwase SC, Edlefsen PT, Bhebhe L, Motsumi K, Moyo S, Happel AU, Shao D, Mmasa N, Schenkel S, Gasper MA, Dubois M, Files MA, Seshadri C, Duffy F, Aitchison J, Netea MG, Jao J, Cameron DW, Gray CM, Jaspan HB, Powis KM.","Clin Infect Dis. 2023 Jun 9:ciad356. doi: 10.1093/cid/ciad356. Online ahead of print.","Iwase SC","Clin Infect Dis","2023","2023/06/09","","","10.1093/cid/ciad356"
"35340357","A Gibbs sampler for a class of random convex polytopes","Jacob PE, Gong R, Edlefsen PT, Dempster AP.","J Am Stat Assoc. 2021;116(535):1181-1192. doi: 10.1080/01621459.2021.1945458. Epub 2021 Apr 22.","Jacob PE","J Am Stat Assoc","2021","2022/03/28","PMC8945543","NIHMS1736305","10.1080/01621459.2021.1945458"
"28636599","Addendum: Immune clearance of highly pathogenic SIV infection","Hansen SG, Piatak M, Ventura AB, Hughes CM, Gilbride RM, Ford JC, Oswald K, Shoemaker R, Li Y, Lewis MS, Gilliam AN, Xu G, Whizin N, Burwitz BJ, Planer SL, Turner JM, Legasse AW, Axthelm MK, Nelson JA, Früh K, Sacha JB, Estes JD, Keele BF, Edlefsen PT, Lifson JD, Picker LJ.","Nature. 2017 Jul 6;547(7661):123-124. doi: 10.1038/nature22984. Epub 2017 Jun 21.","Hansen SG","Nature","2017","2017/06/22","","","10.1038/nature22984"
