PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34795254","Immune cell topography predicts response to PD-1 blockade in cutaneous T cell lymphoma","Phillips D, Matusiak M, Gutierrez BR, Bhate SS, Barlow GL, Jiang S, Demeter J, Smythe KS, Pierce RH, Fling SP, Ramchurren N, Cheever MA, Goltsev Y, West RB, Khodadoust MS, Kim YH, Schürch CM, Nolan GP.","Nat Commun. 2021 Nov 18;12(1):6726. doi: 10.1038/s41467-021-26974-6.","Phillips D","Nat Commun","2021","2021/11/19","PMC8602403","","10.1038/s41467-021-26974-6"
"35080914","Pembrolizumab induces HIV latency reversal in people living with HIV and cancer on antiretroviral therapy","Uldrick TS, Adams SV, Fromentin R, Roche M, Fling SP, Gonçalves PH, Lurain K, Ramaswami R, Wang CJ, Gorelick RJ, Welker JL, O'Donoghue L, Choudhary H, Lifson JD, Rasmussen TA, Rhodes A, Tumpach C, Yarchoan R, Maldarelli F, Cheever MA, Sékaly R, Chomont N, Deeks SG, Lewin SR.","Sci Transl Med. 2022 Jan 26;14(629):eabl3836. doi: 10.1126/scitranslmed.abl3836. Epub 2022 Jan 26.","Uldrick TS","Sci Transl Med","2022","2022/01/26","PMC9014398","NIHMS1783163","10.1126/scitranslmed.abl3836"
"35294258","Metabolic adaptation of ovarian tumors in patients treated with an IDO1 inhibitor constrains antitumor immune responses","Odunsi K, Qian F, Lugade AA, Yu H, Geller MA, Fling SP, Kaiser JC, Lacroix AM, D'Amico L, Ramchurren N, Morishima C, Disis ML, Dennis L, Danaher P, Warren S, Nguyen VA, Ravi S, Tsuji T, Rosario S, Zha W, Hutson A, Liu S, Lele S, Zsiros E, McGray AJR, Chiello J, Koya R, Chodon T, Morrison CD, Putluri V, Putluri N, Mager DE, Gunawan R, Cheever MA, Battaglia S, Matsuzaki J.","Sci Transl Med. 2022 Mar 16;14(636):eabg8402. doi: 10.1126/scitranslmed.abg8402. Epub 2022 Mar 16.","Odunsi K","Sci Transl Med","2022","2022/03/16","PMC9311231","NIHMS1820177","10.1126/scitranslmed.abg8402"
"27093365","PD-1 Blockade with Pembrolizumab in Advanced Merkel-Cell Carcinoma","Nghiem PT, Bhatia S, Lipson EJ, Kudchadkar RR, Miller NJ, Annamalai L, Berry S, Chartash EK, Daud A, Fling SP, Friedlander PA, Kluger HM, Kohrt HE, Lundgren L, Margolin K, Mitchell A, Olencki T, Pardoll DM, Reddy SA, Shantha EM, Sharfman WH, Sharon E, Shemanski LR, Shinohara MM, Sunshine JC, Taube JM, Thompson JA, Townson SM, Yearley JH, Topalian SL, Cheever MA.","N Engl J Med. 2016 Jun 30;374(26):2542-52. doi: 10.1056/NEJMoa1603702. Epub 2016 Apr 19.","Nghiem PT","N Engl J Med","2016","2016/04/20","PMC4927341","NIHMS782894","10.1056/NEJMoa1603702"
"28239471","Gene expression markers of Tumor Infiltrating Leukocytes","Danaher P, Warren S, Dennis L, D'Amico L, White A, Disis ML, Geller MA, Odunsi K, Beechem J, Fling SP.","J Immunother Cancer. 2017 Feb 21;5:18. doi: 10.1186/s40425-017-0215-8. eCollection 2017.","Danaher P","J Immunother Cancer","2017","2017/02/28","PMC5319024","","10.1186/s40425-017-0215-8"
"31532724","Pembrolizumab in Relapsed and Refractory Mycosis Fungoides and Sézary Syndrome: A Multicenter Phase II Study","Khodadoust MS, Rook AH, Porcu P, Foss F, Moskowitz AJ, Shustov A, Shanbhag S, Sokol L, Fling SP, Ramchurren N, Pierce R, Davis A, Shine R, Li S, Fong S, Kim J, Yang Y, Blumenschein WM, Yearley JH, Das B, Patidar R, Datta V, Cantu E, McCutcheon JN, Karlovich C, Williams PM, Subrahmanyam PB, Maecker HT, Horwitz SM, Sharon E, Kohrt HE, Cheever MA, Kim YH.","J Clin Oncol. 2020 Jan 1;38(1):20-28. doi: 10.1200/JCO.19.01056. Epub 2019 Sep 18.","Khodadoust MS","J Clin Oncol","2020","2019/09/19","PMC6943974","","10.1200/JCO.19.01056"
"33560388","Pembrolizumab in mycosis fungoides with PD-L1 structural variants","Beygi S, Fernandez-Pol S, Duran G, Wang EB, Stehr H, Zehnder JL, Ramchurren N, Fling SP, Cheever MA, Weng WK, Kim YH, Khodadoust MS.","Blood Adv. 2021 Feb 9;5(3):771-774. doi: 10.1182/bloodadvances.2020002371.","Beygi S","Blood Adv","2021","2021/02/09","PMC7876893","","10.1182/bloodadvances.2020002371"
"36046812","Single-cell RNA-sequencing reveals predictive features of response to pembrolizumab in Sézary syndrome","Su T, Duran GE, Kwang AC, Ramchurren N, Fling SP, Kim YH, Khodadoust MS.","Oncoimmunology. 2022 Aug 27;11(1):2115197. doi: 10.1080/2162402X.2022.2115197. eCollection 2022.","Su T","Oncoimmunology","2022","2022/09/01","PMC9423847","","10.1080/2162402X.2022.2115197"
"37205196","A multiplexed assay for quantifying immunomodulatory proteins supports correlative studies in immunotherapy clinical trials","Whiteaker JR, Zhao L, Schoenherr RM, Huang D, Lundeen RA, Voytovich U, Kennedy JJ, Ivey RG, Lin C, Murillo OD, Lorentzen TD, Colantonio S, Caceres TW, Roberts RR, Knotts JG, Reading JJ, Perry CD, Richardson CW, Garcia-Buntley SS, Bocik W, Hewitt SM, Chowdhury S, Vandermeer J, Smith SD, Gopal AK, Ramchurren N, Fling SP, Wang P, Paulovich AG.","Front Oncol. 2023 May 2;13:1168710. doi: 10.3389/fonc.2023.1168710. eCollection 2023.","Whiteaker JR","Front Oncol","2023","2023/05/19","PMC10185886","","10.3389/fonc.2023.1168710"
"30651320","Tuberculosis following PD-1 blockade for cancer immunotherapy","Barber DL, Sakai S, Kudchadkar RR, Fling SP, Day TA, Vergara JA, Ashkin D, Cheng JH, Lundgren LM, Raabe VN, Kraft CS, Nieva JJ, Cheever MA, Nghiem PT, Sharon E.","Sci Transl Med. 2019 Jan 16;11(475):eaat2702. doi: 10.1126/scitranslmed.aat2702.","Barber DL","Sci Transl Med","2019","2019/01/18","PMC7372940","NIHMS1602940","10.1126/scitranslmed.aat2702"
