PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36326680","Successful Treatment of Prolonged, Severe Coronavirus Disease 2019 Lower Respiratory Tract Disease in a B cell Acute Lymphoblastic Leukemia Patient With an Extended Course of Remdesivir and Nirmatrelvir/Ritonavir","Ford ES, Simmons W, Karmarkar EN, Yoke LH, Braimah AB, Orozco JJ, Ghiuzeli CM, Barnhill S, Sack CL, Benditt JO, Roychoudhury P, Greninger AL, Shapiro AE, Hammond JL, Rusnak JM, Dolsten M, Boeckh M, Liu C, Cheng GS, Corey L.","Clin Infect Dis. 2023 Mar 4;76(5):926-929. doi: 10.1093/cid/ciac868.","Ford ES","Clin Infect Dis","2023","2022/11/03","PMC10226728","","10.1093/cid/ciac868"
"31555284","Immunotherapy in People With HIV and Cancer","Puronen CE, Ford ES, Uldrick TS.","Front Immunol. 2019 Aug 28;10:2060. doi: 10.3389/fimmu.2019.02060. eCollection 2019.","Puronen CE","Front Immunol","2019","2019/09/27","PMC6722204","","10.3389/fimmu.2019.02060"
"31990810","Pulmonary infections in the hematopoietic cell transplant patient","Ford ES, Crothers K, Cheng GS.","Curr Opin Infect Dis. 2020 Apr;33(2):205-213. doi: 10.1097/QCO.0000000000000626.","Ford ES","Curr Opin Infect Dis","2020","2020/01/29","","","10.1097/QCO.0000000000000626"
"36642379","Spike-specific T cells are enriched in breastmilk following SARS-CoV-2 mRNA vaccination","Armistead B, Jiang Y, Carlson M, Ford ES, Jani S, Houck J, Wu X, Jing L, Pecor T, Kachikis A, Yeung W, Nguyen T, Coig R, Minkah N, Larsen SE, Coler RN, Koelle DM, Harrington WE.","Mucosal Immunol. 2023 Feb;16(1):39-49. doi: 10.1016/j.mucimm.2023.01.003. Epub 2023 Jan 13.","Armistead B","Mucosal Immunol","2023","2023/01/15","PMC9836998","","10.1016/j.mucimm.2023.01.003"
"36746374","Frequently Asked Questions about Mpox (Formerly Monkeypox Disease) for Hematopoietic Cell Transplantation and Chimeric Antigen Receptor T Cell Recipients from the American Society for Transplantation and Cellular Therapy","Ford ES, Papanicolaou GA, Dadwal SS, Pergam S, Spallone A.","Transplant Cell Ther. 2023 May;29(5):289-292. doi: 10.1016/j.jtct.2023.01.030. Epub 2023 Feb 4.","Ford ES","Transplant Cell Ther","2023","2023/02/06","PMC9899127","","10.1016/j.jtct.2023.01.030"
"36203549","Spike-specific T cells are enriched in breastmilk following SARS-CoV-2 mRNA vaccination","Armistead B, Jiang Y, Carlson M, Ford ES, Jani S, Houck J, Wu X, Jing L, Pecor T, Kachikis A, Yeung W, Nguyen T, Minkah N, Larsen SE, Coler RN, Koelle DM, Harrington WE.","medRxiv. 2022 Sep 28:2021.12.03.21267036. doi: 10.1101/2021.12.03.21267036. Preprint.","Armistead B","medRxiv","2022","2022/10/07","PMC9536058","","10.1101/2021.12.03.21267036"
"34288726","Evaluation of Cell-Based and Surrogate SARS-CoV-2 Neutralization Assays","Sholukh AM, Fiore-Gartland A, Ford ES, Miner MD, Hou YJ, Tse LV, Kaiser H, Zhu H, Lu J, Madarampalli B, Park A, Lempp FA, St Germain R, Bossard EL, Kee JJ, Diem K, Stuart AB, Rupert PB, Brock C, Buerger M, Doll MK, Randhawa AK, Stamatatos L, Strong RK, McLaughlin C, Huang ML, Jerome KR, Baric RS, Montefiori D, Corey L.","J Clin Microbiol. 2021 Sep 20;59(10):e0052721. doi: 10.1128/JCM.00527-21. Epub 2021 Jul 21.","Sholukh AM","J Clin Microbiol","2021","2021/07/21","PMC8451402","","10.1128/JCM.00527-21"
"34696505","Methods to Measure Antibody Neutralization of Live Human Coronavirus OC43","Boonyaratanakornkit J, Sholukh AM, Gray M, Bossard EL, Ford ES, Corbett KS, Corey L, Taylor JJ.","Viruses. 2021 Oct 14;13(10):2075. doi: 10.3390/v13102075.","Boonyaratanakornkit J","Viruses","2021","2021/10/26","PMC8540522","","10.3390/v13102075"
"19532052","Immunopathogenesis of asymptomatic chronic HIV Infection: the calm before the storm","Ford ES, Puronen CE, Sereti I.","Curr Opin HIV AIDS. 2009 May;4(3):206-14. doi: 10.1097/COH.0b013e328329c68c.","Ford ES","Curr Opin HIV AIDS","2009","2009/06/18","PMC2760925","NIHMS130842","10.1097/COH.0b013e328329c68c"
"37383248","Successful Treatment of Persistent Symptomatic Coronavirus Disease 19 Infection With Extended-Duration Nirmatrelvir-Ritonavir Among Outpatients With Hematologic Cancer","Liu C, Yoke LH, Bhattacharyya P, Cassaday RD, Cheng GS, Escobar ZK, Ghiuzeli C, McCulloch DJ, Pergam SA, Roychoudhury P, Tverdek F, Schiffer JT, Ford ES.","Open Forum Infect Dis. 2023 Jun 6;10(6):ofad306. doi: 10.1093/ofid/ofad306. eCollection 2023 Jun.","Liu C","Open Forum Infect Dis","2023","2023/06/29","PMC10296060","","10.1093/ofid/ofad306"
"36263073","CD8+ T cell clonotypes from prior SARS-CoV-2 infection predominate during the cellular immune response to mRNA vaccination","Ford ES, Mayer-Blackwell K, Jing L, Sholukh AM, Germain RS, Bossard EL, Xie H, Pulliam TH, Jani S, Selke S, Burrow CJ, McClurkan CL, Wald A, Holbrook MR, Eaton B, Eudy E, Murphy M, Postnikova E, Robins HS, Elyanow R, Gittelman RM, Ecsedi M, Wilcox E, Chapuis AG, Fiore-Gartland A, Koelle DM.","Res Sq. 2022 Oct 10:rs.3.rs-2146712. doi: 10.21203/rs.3.rs-2146712/v1. Preprint.","Ford ES","Res Sq","2022","2022/10/20","PMC9580387","","10.21203/rs.3.rs-2146712/v1"
"33784252","B cells, antibody-secreting cells, and virus-specific antibodies respond to herpes simplex virus 2 reactivation in skin","Ford ES, Sholukh AM, Boytz R, Carmack SS, Klock A, Phasouk K, Shao D, Rossenkhan R, Edlefsen PT, Peng T, Johnston C, Wald A, Zhu J, Corey L.","J Clin Invest. 2021 May 3;131(9):e142088. doi: 10.1172/JCI142088.","Ford ES","J Clin Invest","2021","2021/03/30","PMC8087200","","10.1172/JCI142088"
"33330875","Evaluation of SARS-CoV-2 neutralization assays for antibody monitoring in natural infection and vaccine trials","Sholukh AM, Fiore-Gartland A, Ford ES, Hou Y, Tse LV, Lempp FA, Kaiser H, Saint Germain R, Bossard E, Kee JJ, Diem K, Stuart AB, Rupert PB, Brock C, Buerger M, Doll MK, Randhawa AK, Stamatatos L, Strong RK, McLaughlin C, Jerome KR, Baric RS, Montefiori D, Corey L.","medRxiv. 2020 Dec 8:2020.12.07.20245431. doi: 10.1101/2020.12.07.20245431. Preprint.","Sholukh AM","medRxiv","2020","2020/12/17","PMC7743084","","10.1101/2020.12.07.20245431"
"32743610","High Community SARS-CoV-2 Antibody Seroprevalence in a Ski Resort Community, Blaine County, Idaho, US. Preliminary Results","McLaughlin CC, Doll MK, Morrison KT, McLaughlin WL, O'Connor T, Sholukh AM, Bossard EL, Phasouk K, Ford ES, Diem K, Klock AM, Jerome KR, Corey L.","medRxiv. 2020 Jul 21:2020.07.19.20157198. doi: 10.1101/2020.07.19.20157198. Preprint.","McLaughlin CC","medRxiv","2020","2020/08/04","PMC7386534","","10.1101/2020.07.19.20157198"
"33964516","Outcomes of Hematopoietic Cell Transplantation in Patients with Mixed Response to Pretransplantation Treatment of Confirmed or Suspected Invasive Fungal Infection","Ford ES, Duke ER, Cheng GS, Yoke LM, Liu C, Hill JA, Pergam SA, Pipavath SNJ, Walter RB, Mielcarek M, Schiffer JT, Boeckh M.","Transplant Cell Ther. 2021 Aug;27(8):684.e1-684.e9. doi: 10.1016/j.jtct.2021.04.021. Epub 2021 May 5.","Ford ES","Transplant Cell Ther","2021","2021/05/08","","","10.1016/j.jtct.2021.04.021"
"23532479","Contribution of genetic background, traditional risk factors, and HIV-related factors to coronary artery disease events in HIV-positive persons","Rotger M, Glass TR, Junier T, Lundgren J, Neaton JD, Poloni ES, van 't Wout AB, Lubomirov R, Colombo S, Martinez R, Rauch A, Günthard HF, Neuhaus J, Wentworth D, van Manen D, Gras LA, Schuitemaker H, Albini L, Torti C, Jacobson LP, Li X, Kingsley LA, Carli F, Guaraldi G, Ford ES, Sereti I, Hadigan C, Martinez E, Arnedo M, Egaña-Gorroño L, Gatell JM, Law M, Bendall C, Petoumenos K, Rockstroh J, Wasmuth JC, Kabamba K, Delforge M, De Wit S, Berger F, Mauss S, de Paz Sierra M, Losso M, Belloso WH, Leyes M, Campins A, Mondi A, De Luca A, Bernardino I, Barriuso-Iglesias M, Torrecilla-Rodriguez A, Gonzalez-Garcia J, Arribas JR, Fanti I, Gel S, Puig J, Negredo E, Gutierrez M, Domingo P, Fischer J, Fätkenheuer G, Alonso-Villaverde C, Macken A, Woo J, McGinty T, Mallon P, Mangili A, Skinner S, Wanke CA, Reiss P, Weber R, Bucher HC, Fellay J, Telenti A, Tarr PE; MAGNIFICENT Consortium; INSIGHT; Swiss HIV Cohort Study.","Clin Infect Dis. 2013 Jul;57(1):112-21. doi: 10.1093/cid/cit196. Epub 2013 Mar 26.","Rotger M","Clin Infect Dis","2013","2013/03/28","PMC3669528","","10.1093/cid/cit196"
"20505494","Traditional risk factors and D-dimer predict incident cardiovascular disease events in chronic HIV infection","Ford ES, Greenwald JH, Richterman AG, Rupert A, Dutcher L, Badralmaa Y, Natarajan V, Rehm C, Hadigan C, Sereti I.","AIDS. 2010 Jun 19;24(10):1509-17. doi: 10.1097/QAD.0b013e32833ad914.","Ford ES","AIDS","2010","2010/05/28","PMC2884071","NIHMS203684","10.1097/QAD.0b013e32833ad914"
"33028713","Subclinical Genital Herpes Shedding in HIV/Herpes Simplex Virus 2-Coinfected Women during Antiretroviral Therapy Is Associated with an Increase in HIV Tissue Reservoirs and Potentially Promotes HIV Evolution","Stinn T, Kuntz S, Varon D, Huang ML, Selke S, Njikan S, Ford ES, Dragavon J, Coombs RW, Johnston C, Bull ME.","J Virol. 2020 Dec 9;95(1):e01606-20. doi: 10.1128/JVI.01606-20. Print 2020 Dec 9.","Stinn T","J Virol","2020","2020/10/08","PMC7737750","","10.1128/JVI.01606-20"
"28387523","Species-Specific Risk Factors, Treatment Decisions, and Clinical Outcomes for Laboratory Isolates of Less Common Nontuberculous Mycobacteria in Washington State","Ford ES, Horne DJ, Shah JA, Wallis CK, Fang FC, Hawn TR.","Ann Am Thorac Soc. 2017 Jul;14(7):1129-1138. doi: 10.1513/AnnalsATS.201609-731OC.","Ford ES","Ann Am Thorac Soc","2017","2017/04/08","PMC5566289","","10.1513/AnnalsATS.201609-731OC"
"30289810","Increase in HSV shedding at initiation of antiretroviral therapy and decrease in shedding over time on antiretroviral therapy in HIV and HSV-2 infected persons","Ford ES, Magaret AS, Spak CW, Selke S, Kuntz S, Corey L, Wald A.","AIDS. 2018 Nov 13;32(17):2525-2531. doi: 10.1097/QAD.0000000000002002.","Ford ES","AIDS","2018","2018/10/06","PMC6544442","NIHMS1526577","10.1097/QAD.0000000000002002"
