PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34098736","Erratum for Adeniji et al., ""COVID-19 Severity Is Associated with Differential Antibody Fc-Mediated Innate Immune Functions""","Adeniji OS, Giron LB, Purwar M, Zilberstein NF, Kulkarni AJ, Shaikh MW, Balk RA, Moy JN, Forsyth CB, Liu Q, Dweep H, Kossenkov A, Weiner DB, Keshavarzian A, Landay A, Abdel-Mohsen M.","mBio. 2021 Jun 29;12(3):e0124421. doi: 10.1128/mBio.01244-21. Epub 2021 Jun 8.","Adeniji OS","mBio","2021","2021/06/08","PMC8262861","","10.1128/mBio.01244-21"
"36371982","Inhibitory Siglec-sialic acid interactions in balancing immunological activation and tolerance during viral infections","Saini P, Adeniji OS, Abdel-Mohsen M.","EBioMedicine. 2022 Dec;86:104354. doi: 10.1016/j.ebiom.2022.104354. Epub 2022 Nov 10.","Saini P","EBioMedicine","2022","2022/11/13","PMC9663867","","10.1016/j.ebiom.2022.104354"
"35320541","Examining the Impact of Galectin-9 on Latent HIV Transcription","Adeniji OS, Giron LB, Abdel-Mohsen M.","Methods Mol Biol. 2022;2442:463-474. doi: 10.1007/978-1-0716-2055-7_25.","Adeniji OS","Methods Mol Biol","2022","2022/03/23","","","10.1007/978-1-0716-2055-7_25"
"36728420","Siglec-9 Restrains Antibody-Dependent Natural Killer Cell Cytotoxicity against SARS-CoV-2","Saini P, Adeniji OS, Bordoloi D, Kinslow J, Martinson J, Parent DM, Hong KY, Koshy J, Kulkarni AJ, Zilberstein NF, Balk RA, Moy JN, Giron LB, Tracy RP, Keshavarzian A, Muthumani K, Landay A, Weiner DB, Abdel-Mohsen M.","mBio. 2023 Feb 28;14(1):e0339322. doi: 10.1128/mbio.03393-22. Epub 2023 Feb 2.","Saini P","mBio","2023","2023/02/02","PMC9973332","","10.1128/mbio.03393-22"
"34869028","Development of Siglec-9 Blocking Antibody to Enhance Anti-Tumor Immunity","Choi H, Ho M, Adeniji OS, Giron L, Bordoloi D, Kulkarni AJ, Puchalt AP, Abdel-Mohsen M, Muthumani K.","Front Oncol. 2021 Nov 19;11:778989. doi: 10.3389/fonc.2021.778989. eCollection 2021.","Choi H","Front Oncol","2021","2021/12/06","PMC8640189","","10.3389/fonc.2021.778989"
"29762161","Anti-HIV IgM protects against mucosal SHIV transmission","Gong S, Tomusange K, Kulkarni V, Adeniji OS, Lakhashe SK, Hariraju D, Strickland A, Plake E, Frost PA, Ratcliffe SJ, Wang L, Lafer EM, Ruprecht RM.","AIDS. 2018 Jul 17;32(11):F5-F13. doi: 10.1097/QAD.0000000000001857.","Gong S","AIDS","2018","2018/05/16","PMC6380498","NIHMS1517877","10.1097/QAD.0000000000001857"
"33879594","COVID-19 Severity Is Associated with Differential Antibody Fc-Mediated Innate Immune Functions","Adeniji OS, Giron LB, Purwar M, Zilberstein NF, Kulkarni AJ, Shaikh MW, Balk RA, Moy JN, Forsyth CB, Liu Q, Dweep H, Kossenkov A, Weiner DB, Keshavarzian A, Landay A, Abdel-Mohsen M.","mBio. 2021 Apr 20;12(2):e00281-21. doi: 10.1128/mBio.00281-21.","Adeniji OS","mBio","2021","2021/04/21","PMC8092230","","10.1128/mBio.00281-21"
"32755584","Sialyl-Lewis(X) Glycoantigen Is Enriched on Cells with Persistent HIV Transcription during Therapy","Colomb F, Giron LB, Kuri-Cervantes L, Adeniji OS, Ma T, Dweep H, Battivelli E, Verdin E, Palmer CS, Tateno H, Kossenkov AV, Roan NR, Betts MR, Abdel-Mohsen M.","Cell Rep. 2020 Aug 4;32(5):107991. doi: 10.1016/j.celrep.2020.107991.","Colomb F","Cell Rep","2020","2020/08/07","PMC7432956","NIHMS1617875","10.1016/j.celrep.2020.107991"
"34762717","Siglec-9 defines and restrains a natural killer subpopulation highly cytotoxic to HIV-infected cells","Adeniji OS, Kuri-Cervantes L, Yu C, Xu Z, Ho M, Chew GM, Shikuma C, Tomescu C, George AF, Roan NR, Ndhlovu LC, Liu Q, Muthumani K, Weiner DB, Betts MR, Xiao H, Abdel-Mohsen M.","PLoS Pathog. 2021 Nov 11;17(11):e1010034. doi: 10.1371/journal.ppat.1010034. eCollection 2021 Nov.","Adeniji OS","PLoS Pathog","2021","2021/11/11","PMC8584986","","10.1371/journal.ppat.1010034"
"28922772","Plasmolysis-deplasmolysis causes changes in endoplasmic reticulum form, movement, flow, and cytoskeletal association","Cheng X, Lang I, Adeniji OS, Griffing L.","J Exp Bot. 2017 Jul 10;68(15):4075-4087. doi: 10.1093/jxb/erx243.","Cheng X","J Exp Bot","2017","2017/09/20","PMC5853952","","10.1093/jxb/erx243"
