PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36405776","Adjuvants influence the maturation of VRC01-like antibodies during immunization","Knudsen ML, Agrawal P, MacCamy A, Parks KR, Gray MD, Takushi BN, Khechaduri A, Salladay KR, Coler RN, LaBranche CC, Montefiori D, Stamatatos L.","iScience. 2022 Nov 2;25(11):105473. doi: 10.1016/j.isci.2022.105473. eCollection 2022 Nov 18.","Knudsen ML","iScience","2022","2022/11/21","PMC9667313","","10.1016/j.isci.2022.105473"
"31801073","Overcoming Steric Restrictions of VRC01 HIV-1 Neutralizing Antibodies through Immunization","Parks KR, MacCamy AJ, Trichka J, Gray M, Weidle C, Borst AJ, Khechaduri A, Takushi B, Agrawal P, Guenaga J, Wyatt RT, Coler R, Seaman M, LaBranche C, Montefiori DC, Veesler D, Pancera M, McGuire A, Stamatatos L.","Cell Rep. 2019 Dec 3;29(10):3060-3072.e7. doi: 10.1016/j.celrep.2019.10.071.","Parks KR","Cell Rep","2019","2019/12/05","PMC6936959","NIHMS1545816","10.1016/j.celrep.2019.10.071"
"33053332","HIV-1 VRC01 Germline-Targeting Immunogens Select Distinct Epitope-Specific B Cell Receptors","Lin YR, Parks KR, Weidle C, Naidu AS, Khechaduri A, Riker AO, Takushi B, Chun JH, Borst AJ, Veesler D, Stuart A, Agrawal P, Gray M, Pancera M, Huang PS, Stamatatos L.","Immunity. 2020 Oct 13;53(4):840-851.e6. doi: 10.1016/j.immuni.2020.09.007.","Lin YR","Immunity","2020","2020/10/14","PMC7735217","NIHMS1631365","10.1016/j.immuni.2020.09.007"
"31577947","Stoichiometric Analyses of Soluble CD4 to Native-like HIV-1 Envelope by Single-Molecule Fluorescence Spectroscopy","Agrawal P, DeVico AL, Foulke JS Jr, Lewis GK, Pazgier M, Ray K.","Cell Rep. 2019 Oct 1;29(1):176-186.e4. doi: 10.1016/j.celrep.2019.08.074.","Agrawal P","Cell Rep","2019","2019/10/03","PMC6897359","NIHMS1543430","10.1016/j.celrep.2019.08.074"
"36254955","Evaluation of efficacy of subgingival administration of 1% chlorhexidine gel as an adjunct to scaling and root planing in the treatment of chronic periodontitis - A clinical and microbiological study","Goswami V, Yeltiwar RK, Kujur S, Agrawal P, Bodhi S, Bhatnagar S.","Indian J Dent Res. 2022 Apr-Jun;33(2):174-179. doi: 10.4103/ijdr.ijdr_936_21.","Goswami V","Indian J Dent Res","2022","2022/10/18","","","10.4103/ijdr.ijdr_936_21"
"36824823","Priming locomotor training with transspinal stimulation in people with spinal cord injury: study protocol of a randomized clinical trial","Skiadopoulos A, Famodimu GO, Solomon SK, Agrawal P, Harel NY, Knikou M.","Res Sq. 2023 Feb 16:rs.3.rs-2527617. doi: 10.21203/rs.3.rs-2527617/v1. Preprint.","Skiadopoulos A","Res Sq","2023","2023/02/24","PMC9949167","","10.21203/rs.3.rs-2527617/v1"
"27784754","An RNAi Screen To Identify Protein Phosphatases That Function Within the Drosophila Circadian Clock","Agrawal P, Hardin PE.","G3 (Bethesda). 2016 Dec 7;6(12):4227-4238. doi: 10.1534/g3.116.035345.","Agrawal P","G3 (Bethesda)","2016","2016/10/28","PMC5144990","","10.1534/g3.116.035345"
"31778877","Risk of readmission for injury in patients with epilepsy in the United States - A population-based study","Kwon CS, Agrawal P, Goldstein J, Dhamoon M, Mazumdar M, Jetté N.","Epilepsy Behav. 2020 Jan;102:106651. doi: 10.1016/j.yebeh.2019.106651. Epub 2019 Nov 26.","Kwon CS","Epilepsy Behav","2020","2019/11/29","","","10.1016/j.yebeh.2019.106651"
"26672421","Comparative clinical evaluation of glycosylated haemoglobin level in healthy and chronic periodontitis patients: A chairside diagnostic method","Srinivasa TS, Agrawal P, Goyal P, Farista S, Sowmya NK, Deonani S.","Indian J Dent Res. 2015 Sep-Oct;26(5):504-7. doi: 10.4103/0970-9290.172049.","Srinivasa TS","Indian J Dent Res","2015","2015/12/18","","","10.4103/0970-9290.172049"
"28781048","Drosophila CRY Entrains Clocks in Body Tissues to Light and Maintains Passive Membrane Properties in a Non-clock Body Tissue Independent of Light","Agrawal P, Houl JH, Gunawardhana KL, Liu T, Zhou J, Zoran MJ, Hardin PE.","Curr Biol. 2017 Aug 21;27(16):2431-2441.e3. doi: 10.1016/j.cub.2017.06.064. Epub 2017 Aug 3.","Agrawal P","Curr Biol","2017","2017/08/08","","","10.1016/j.cub.2017.06.064"
