PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34062119","Integrated analysis of multimodal single-cell data","Hao Y, Hao S, Andersen-Nissen E, Mauck WM 3rd, Zheng S, Butler A, Lee MJ, Wilk AJ, Darby C, Zager M, Hoffman P, Stoeckius M, Papalexi E, Mimitou EP, Jain J, Srivastava A, Stuart T, Fleming LM, Yeung B, Rogers AJ, McElrath JM, Blish CA, Gottardo R, Smibert P, Satija R.","Cell. 2021 Jun 24;184(13):3573-3587.e29. doi: 10.1016/j.cell.2021.04.048. Epub 2021 May 31.","Hao Y","Cell","2021","2021/06/01","PMC8238499","","10.1016/j.cell.2021.04.048"
"35758878","Analysis of the HIV Vaccine Trials Network 702 Phase 2b-3 HIV-1 Vaccine Trial in South Africa Assessing RV144 Antibody and T-Cell Correlates of HIV-1 Acquisition Risk","Moodie Z, Dintwe O, Sawant S, Grove D, Huang Y, Janes H, Heptinstall J, Omar FL, Cohen K, De Rosa SC, Zhang L, Yates NL, Sarzotti-Kelsoe M, Seaton KE, Laher F, Bekker LG, Malahleha M, Innes C, Kassim S, Naicker N, Govender V, Sebe M, Singh N, Kotze P, Lazarus E, Nchabeleng M, Ward AM, Brumskine W, Dubula T, Randhawa AK, Grunenberg N, Hural J, Kee JJ, Benkeser D, Jin Y, Carpp LN, Allen M, D'Souza P, Tartaglia J, DiazGranados CA, Koutsoukos M, Gilbert PB, Kublin JG, Corey L, Andersen-Nissen E, Gray GE, Tomaras GD, McElrath MJ.","J Infect Dis. 2022 Aug 24;226(2):246-257. doi: 10.1093/infdis/jiac260.","Moodie Z","J Infect Dis","2022","2022/06/27","PMC9890908","","10.1093/infdis/jiac260"
"36240834","Developing tuberculosis vaccines for people with HIV: consensus statements from an international expert panel","Miner MD, Hatherill M, Mave V, Gray GE, Nachman S, Read SW, White RG, Hesseling A, Cobelens F, Patel S, Frick M, Bailey T, Seder R, Flynn J, Rengarajan J, Kaushal D, Hanekom W, Schmidt AC, Scriba TJ, Nemes E, Andersen-Nissen E, Landay A, Dorman SE, Aldrovandi G, Cranmer LM, Day CL, Garcia-Basteiro AL, Fiore-Gartland A, Mogg R, Kublin JG, Gupta A, Churchyard G.","Lancet HIV. 2022 Nov;9(11):e791-e800. doi: 10.1016/S2352-3018(22)00255-7. Epub 2022 Oct 11.","Miner MD","Lancet HIV","2022","2022/10/14","PMC9667733","NIHMS1843749","10.1016/S2352-3018(22)00255-7"
"22134340","Profiling immunity to HIV vaccines with systems biology","Andersen-Nissen E, Heit A, McElrath MJ.","Curr Opin HIV AIDS. 2012 Jan;7(1):32-7. doi: 10.1097/COH.0b013e32834ddcd9.","Andersen-Nissen E","Curr Opin HIV AIDS","2012","2011/12/03","PMC3290338","NIHMS352676","10.1097/COH.0b013e32834ddcd9"
"37205594","Dysfunctional effector memory CD8 T cells in the bronchoalveolar compartment of people living with HIV","Mthembu M, Claassen H, Khuzwayo S, Voillet V, Naidoo A, Nyamande K, Khan DF, Maharaj P, Mitha M, Mhlane Z, Karim F, Andersen-Nissen E, Ndung'u T, Pollara G, Wong EB.","bioRxiv. 2023 May 8:2023.05.05.539571. doi: 10.1101/2023.05.05.539571. Preprint.","Mthembu M","bioRxiv","2023","2023/05/19","PMC10187318","","10.1101/2023.05.05.539571"
"17690885","TLR5 and Ipaf: dual sensors of bacterial flagellin in the innate immune system","Miao EA, Andersen-Nissen E, Warren SE, Aderem A.","Semin Immunopathol. 2007 Sep;29(3):275-88. doi: 10.1007/s00281-007-0078-z. Epub 2007 Aug 10.","Miao EA","Semin Immunopathol","2007","2007/08/11","","","10.1007/s00281-007-0078-z"
"31676770","CXCR3 enables recruitment and site-specific bystander activation of memory CD8(+) T cells","Maurice NJ, McElrath MJ, Andersen-Nissen E, Frahm N, Prlic M.","Nat Commun. 2019 Nov 1;10(1):4987. doi: 10.1038/s41467-019-12980-2.","Maurice NJ","Nat Commun","2019","2019/11/03","PMC6825240","","10.1038/s41467-019-12980-2"
"35866359","Achieving intracellular cytokine staining assay concordance on two continents to assess HIV vaccine-induced T-cell responses","Dintwe OB, De Rosa SC, Huang Y, Flach BS, Manso B, Carter D, Omar FL, Schwedhelm KV, Yu C, Lu H, Morris D, Kee JJ, Voillet V, Stirewalt M, Hural J, Moodie Z, Frahm N, Cohen KW, McElrath MJ, Andersen-Nissen E.","J Leukoc Biol. 2022 Nov;112(5):1167-1181. doi: 10.1002/JLB.5MA0522-668R. Epub 2022 Jul 22.","Dintwe OB","J Leukoc Biol","2022","2022/07/22","PMC10229754","NIHMS1894529","10.1002/JLB.5MA0522-668R"
"27870536","Teaching advanced flow cytometry in Africa: 10 years of lessons learned","Nemes E, Burgers WA, Riou C, Andersen-Nissen E, Ferrari G, Gray CM, Scriba T.","Cytometry A. 2016 Nov;89(11):971-974. doi: 10.1002/cyto.a.23015. Epub 2016 Nov 4.","Nemes E","Cytometry A","2016","2016/11/22","PMC5326675","NIHMS846865","10.1002/cyto.a.23015"
"35353885","High Asymptomatic Carriage With the Omicron Variant in South Africa","Garrett N, Tapley A, Andriesen J, Seocharan I, Fisher LH, Bunts L, Espy N, Wallis CL, Randhawa AK, Miner MD, Ketter N, Yacovone M, Goga A, Huang Y, Hural J, Kotze P, Bekker LG, Gray GE, Corey L; Ubuntu Study Team.","Clin Infect Dis. 2022 Aug 24;75(1):e289-e292. doi: 10.1093/cid/ciac237.","Garrett N","Clin Infect Dis","2022","2022/03/30","PMC9383623","","10.1093/cid/ciac237"
