PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33378609","Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine","Baden LR, El Sahly HM, Essink B, Kotloff K, Frey S, Novak R, Diemert D, Spector SA, Rouphael N, Creech CB, McGettigan J, Khetan S, Segall N, Solis J, Brosz A, Fierro C, Schwartz H, Neuzil K, Corey L, Gilbert P, Janes H, Follmann D, Marovich M, Mascola J, Polakowski L, Ledgerwood J, Graham BS, Bennett H, Pajon R, Knightly C, Leav B, Deng W, Zhou H, Han S, Ivarsson M, Miller J, Zaks T; COVE Study Group.","N Engl J Med. 2021 Feb 4;384(5):403-416. doi: 10.1056/NEJMoa2035389. Epub 2020 Dec 30.","Baden LR","N Engl J Med","2021","2020/12/30","PMC7787219","","10.1056/NEJMoa2035389"
"34551225","Efficacy of the mRNA-1273 SARS-CoV-2 Vaccine at Completion of Blinded Phase","El Sahly HM, Baden LR, Essink B, Doblecki-Lewis S, Martin JM, Anderson EJ, Campbell TB, Clark J, Jackson LA, Fichtenbaum CJ, Zervos M, Rankin B, Eder F, Feldman G, Kennelly C, Han-Conrad L, Levin M, Neuzil KM, Corey L, Gilbert P, Janes H, Follmann D, Marovich M, Polakowski L, Mascola JR, Ledgerwood JE, Graham BS, August A, Clouting H, Deng W, Han S, Leav B, Manzo D, Pajon R, Schödel F, Tomassini JE, Zhou H, Miller J; COVE Study Group.","N Engl J Med. 2021 Nov 4;385(19):1774-1785. doi: 10.1056/NEJMoa2113017. Epub 2021 Sep 22.","El Sahly HM","N Engl J Med","2021","2021/09/22","PMC8482810","NIHMS1743941","10.1056/NEJMoa2113017"
"35353885","High Asymptomatic Carriage With the Omicron Variant in South Africa","Garrett N, Tapley A, Andriesen J, Seocharan I, Fisher LH, Bunts L, Espy N, Wallis CL, Randhawa AK, Miner MD, Ketter N, Yacovone M, Goga A, Huang Y, Hural J, Kotze P, Bekker LG, Gray GE, Corey L; Ubuntu Study Team.","Clin Infect Dis. 2022 Aug 24;75(1):e289-e292. doi: 10.1093/cid/ciac237.","Garrett N","Clin Infect Dis","2022","2022/03/30","PMC9383623","","10.1093/cid/ciac237"
"35043118","High Rate of Asymptomatic Carriage Associated with Variant Strain Omicron","Garrett N, Tapley A, Andriesen J, Seocharan I, Fisher LH, Bunts L, Espy N, Wallis CL, Randhawa AK, Ketter N, Yacovone M, Goga A, Bekker LG, Gray GE, Corey L.","medRxiv. 2022 Jan 14:2021.12.20.21268130. doi: 10.1101/2021.12.20.21268130. Preprint.","Garrett N","medRxiv","2022","2022/01/19","PMC8764727","","10.1101/2021.12.20.21268130"
"32995827","Outcomes associated with SARS-CoV-2 viral clades in COVID-19","Nakamichi K, Shen JZ, Lee CS, Lee AY, Roberts EA, Simonson PD, Roychoudhury P, Andriesen JG, Randhawa AK, Mathias PC, Greninger A, Jerome KR, Van Gelder RN.","medRxiv. 2020 Sep 25:2020.09.24.20201228. doi: 10.1101/2020.09.24.20201228. Preprint.","Nakamichi K","medRxiv","2020","2020/09/30","PMC7523168","","10.1101/2020.09.24.20201228"
"33637820","Hospitalization and mortality associated with SARS-CoV-2 viral clades in COVID-19","Nakamichi K, Shen JZ, Lee CS, Lee A, Roberts EA, Simonson PD, Roychoudhury P, Andriesen J, Randhawa AK, Mathias PC, Greninger AL, Jerome KR, Van Gelder RN.","Sci Rep. 2021 Feb 26;11(1):4802. doi: 10.1038/s41598-021-82850-9.","Nakamichi K","Sci Rep","2021","2021/02/27","PMC7910290","","10.1038/s41598-021-82850-9"
"36689221","Rapid Development of an Integrated Network Infrastructure to Conduct Phase 3 COVID-19 Vaccine Trials","Mena Lora AJ, Long JE, Huang Y, Baden LR, El Sahly HM, Follmann D, Goepfert P, Gray G, Grinsztejn B, Kotloff K, Rouphael N, Sobieszczyk M, Walsh SR, Andriesen J, Shah KA, Zhang Y, Gilbert P, Janes H, Gay CL, Falsey AR, Tripp RL, Gorman RL, Tong T, Marovich M, Neuzil K, Corey L, Kublin JG; COVID-19 Prevention Network.","JAMA Netw Open. 2023 Jan 3;6(1):e2251974. doi: 10.1001/jamanetworkopen.2022.51974.","Mena Lora AJ","JAMA Netw Open","2023","2023/01/23","","","10.1001/jamanetworkopen.2022.51974"
"37289667","Cross-protocol assessment of induction and durability of VISP/R in HIV preventive vaccine trial participants","Espy N, Han X, Grant S, Kwara E, Lakshminarayanan B, Stirewalt M, Seaton KE, Tomaras GD, Goecker E, McElrath J, Andriesen J, Huang Y, Walsh SR, Hural J.","PLOS Glob Public Health. 2023 Jun 8;3(6):e0002037. doi: 10.1371/journal.pgph.0002037. eCollection 2023.","Espy N","PLOS Glob Public Health","2023","2023/06/08","PMC10249892","","10.1371/journal.pgph.0002037"
"21945395","Ultra-sensitive detection of rare T cell clones","Robins H, Desmarais C, Matthis J, Livingston R, Andriesen J, Reijonen H, Carlson C, Nepom G, Yee C, Cerosaletti K.","J Immunol Methods. 2012 Jan 31;375(1-2):14-9. doi: 10.1016/j.jim.2011.09.001. Epub 2011 Sep 10.","Robins H","J Immunol Methods","2012","2011/09/28","PMC3721519","NIHMS464517","10.1016/j.jim.2011.09.001"
"30282622","Using Mobile Technology (pMOTAR) to Assess Reactogenicity: Protocol for a Pilot Randomized Controlled Trial","Mngadi KT, Maharaj B, Duki Y, Grove D, Andriesen J.","JMIR Res Protoc. 2018 Oct 3;7(10):e175. doi: 10.2196/resprot.9396.","Mngadi KT","JMIR Res Protoc","2018","2018/10/05","PMC6231778","","10.2196/resprot.9396"
"28760729","Using Digital Technologies in Clinical HIV Research: Real-World Applications and Considerations for Future Work","Andriesen J, Bull S, Dietrich J, Haberer JE, Van Der Pol B, Voronin Y, Wall KM, Whalen C, Priddy F.","J Med Internet Res. 2017 Jul 31;19(7):e274. doi: 10.2196/jmir.7513.","Andriesen J","J Med Internet Res","2017","2017/08/02","PMC5556256","","10.2196/jmir.7513"
"36250382","Impact of Point-of-Care Testing on the Management of Sexually Transmitted Infections in South Africa: Evidence from the HVTN702 Human Immunodeficiency Virus Vaccine Trial","Asare K, Andine T, Naicker N, Dorward J, Singh N, Spooner E, Andriesen J, Osman F, Ngcapu S, Vandormael A, Mindel A, Abdool Karim SS, Bekker LG, Gray G, Corey L, Tomita A, Garrett N.","Clin Infect Dis. 2023 Mar 4;76(5):881-889. doi: 10.1093/cid/ciac824.","Asare K","Clin Infect Dis","2023","2022/10/17","PMC7614294","EMS157961","10.1093/cid/ciac824"
