PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30059507","Cryopreservation of human mucosal tissues","Hughes SM, Ferre AL, Yandura SE, Shetler C, Baker CAR, Calienes F, Levy CN, Astronomo RD, Shu Z, Lentz GM, Fialkow M, Kirby AC, McElrath MJ, Sinclair E, Rohan LC, Anderson PL, Shacklett BL, Dezzutti CS, Gao D, Hladik F.","PLoS One. 2018 Jul 30;13(7):e0200653. doi: 10.1371/journal.pone.0200653. eCollection 2018.","Hughes SM","PLoS One","2018","2018/07/31","PMC6066204","","10.1371/journal.pone.0200653"
"20357803","Carbohydrate vaccines: developing sweet solutions to sticky situations?","Astronomo RD, Burton DR.","Nat Rev Drug Discov. 2010 Apr;9(4):308-24. doi: 10.1038/nrd3012.","Astronomo RD","Nat Rev Drug Discov","2010","2010/04/02","PMC3878310","NIHMS533964","10.1038/nrd3012"
"34452338","Buprenorphine Increases HIV-1 Infection In Vitro but Does Not Reactivate HIV-1 from Latency","Gornalusse GG, Vojtech LN, Levy CN, Hughes SM, Kim Y, Valdez R, Pandey U, Ochsenbauer C, Astronomo R, McElrath J, Hladik F.","Viruses. 2021 Jul 27;13(8):1472. doi: 10.3390/v13081472.","Gornalusse GG","Viruses","2021","2021/08/28","PMC8402857","","10.3390/v13081472"
"34166231","Rectal tissue and vaginal tissue from intravenous VRC01 recipients show protection against ex vivo HIV-1 challenge","Astronomo RD, Lemos MP, Narpala SR, Czartoski J, Fleming LB, Seaton KE, Prabhakaran M, Huang Y, Lu Y, Westerberg K, Zhang L, Gross MK, Hural J, Tieu HV, Baden LR, Hammer S, Frank I, Ochsenbauer C, Grunenberg N, Ledgerwood JE, Mayer K, Tomaras G, McDermott AB, McElrath MJ.","J Clin Invest. 2021 Aug 16;131(16):e146975. doi: 10.1172/JCI146975.","Astronomo RD","J Clin Invest","2021","2021/06/24","PMC8363291","","10.1172/JCI146975"
"24652495","Long-term effect of depot medroxyprogesterone acetate on vaginal microbiota, epithelial thickness and HIV target cells","Mitchell CM, McLemore L, Westerberg K, Astronomo R, Smythe K, Gardella C, Mack M, Magaret A, Patton D, Agnew K, McElrath MJ, Hladik F, Eschenbach D.","J Infect Dis. 2014 Aug 15;210(4):651-5. doi: 10.1093/infdis/jiu176. Epub 2014 Mar 20.","Mitchell CM","J Infect Dis","2014","2014/03/22","PMC4172039","","10.1093/infdis/jiu176"
"27919754","Neutralization Takes Precedence Over IgG or IgA Isotype-related Functions in Mucosal HIV-1 Antibody-mediated Protection","Astronomo RD, Santra S, Ballweber-Fleming L, Westerberg KG, Mach L, Hensley-McBain T, Sutherland L, Mildenberg B, Morton G, Yates NL, Mize GJ, Pollara J, Hladik F, Ochsenbauer C, Denny TN, Warrier R, Rerks-Ngarm S, Pitisuttithum P, Nitayapan S, Kaewkungwal J, Ferrari G, Shaw GM, Xia SM, Liao HX, Montefiori DC, Tomaras GD, Haynes BF, McElrath JM.","EBioMedicine. 2016 Dec;14:97-111. doi: 10.1016/j.ebiom.2016.11.024. Epub 2016 Nov 21.","Astronomo RD","EBioMedicine","2016","2016/12/07","PMC5161443","","10.1016/j.ebiom.2016.11.024"
"20416507","Defining criteria for oligomannose immunogens for HIV using icosahedral virus capsid scaffolds","Astronomo RD, Kaltgrad E, Udit AK, Wang SK, Doores KJ, Huang CY, Pantophlet R, Paulson JC, Wong CH, Finn MG, Burton DR.","Chem Biol. 2010 Apr 23;17(4):357-70. doi: 10.1016/j.chembiol.2010.03.012.","Astronomo RD","Chem Biol","2010","2010/04/27","PMC2867452","NIHMS196479","10.1016/j.chembiol.2010.03.012"
"16174734","Dissection of the carbohydrate specificity of the broadly neutralizing anti-HIV-1 antibody 2G12","Calarese DA, Lee HK, Huang CY, Best MD, Astronomo RD, Stanfield RL, Katinger H, Burton DR, Wong CH, Wilson IA.","Proc Natl Acad Sci U S A. 2005 Sep 20;102(38):13372-7. doi: 10.1073/pnas.0505763102. Epub 2005 Sep 7.","Calarese DA","Proc Natl Acad Sci U S A","2005","2005/09/22","PMC1224641","","10.1073/pnas.0505763102"
"18434393","A glycoconjugate antigen based on the recognition motif of a broadly neutralizing human immunodeficiency virus antibody, 2G12, is immunogenic but elicits antibodies unable to bind to the self glycans of gp120","Astronomo RD, Lee HK, Scanlan CN, Pantophlet R, Huang CY, Wilson IA, Blixt O, Dwek RA, Wong CH, Burton DR.","J Virol. 2008 Jul;82(13):6359-68. doi: 10.1128/JVI.00293-08. Epub 2008 Apr 23.","Astronomo RD","J Virol","2008","2008/04/25","PMC2447108","","10.1128/JVI.00293-08"
"18310320","Targeting the carbohydrates on HIV-1: Interaction of oligomannose dendrons with human monoclonal antibody 2G12 and DC-SIGN","Wang SK, Liang PH, Astronomo RD, Hsu TL, Hsieh SL, Burton DR, Wong CH.","Proc Natl Acad Sci U S A. 2008 Mar 11;105(10):3690-5. doi: 10.1073/pnas.0712326105. Epub 2008 Feb 29.","Wang SK","Proc Natl Acad Sci U S A","2008","2008/03/04","PMC2268808","","10.1073/pnas.0712326105"
