PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37165032","Adeno-associated virus vectors and neurotoxicity-lessons from preclinical and human studies","Stone D, Aubert M, Jerome KR.","Gene Ther. 2023 May 10. doi: 10.1038/s41434-023-00405-1. Online ahead of print.","Stone D","Gene Ther","2023","2023/05/10","","","10.1038/s41434-023-00405-1"
"29522311","CRISPR/Cas9 and Genome Editing for Viral Disease-Is Resistance Futile?","De Silva Feelixge HS, Stone D, Roychoudhury P, Aubert M, Jerome KR.","ACS Infect Dis. 2018 Jun 8;4(6):871-880. doi: 10.1021/acsinfecdis.7b00273. Epub 2018 Mar 21.","De Silva Feelixge HS","ACS Infect Dis","2018","2018/03/10","PMC5993632","NIHMS962811","10.1021/acsinfecdis.7b00273"
"18175811","Flow cytometric detection of activated caspase-3","Fox R, Aubert M.","Methods Mol Biol. 2008;414:47-56. doi: 10.1007/978-1-59745-339-4_5.","Fox R","Methods Mol Biol","2008","2008/01/08","","","10.1007/978-1-59745-339-4_5"
"22718830","Targeted DNA mutagenesis for the cure of chronic viral infections","Schiffer JT, Aubert M, Weber ND, Mintzer E, Stone D, Jerome KR.","J Virol. 2012 Sep;86(17):8920-36. doi: 10.1128/JVI.00052-12. Epub 2012 Jun 20.","Schiffer JT","J Virol","2012","2012/06/22","PMC3416169","","10.1128/JVI.00052-12"
"24485787","DNA cleavage enzymes for treatment of persistent viral infections: recent advances and the pathway forward","Weber ND, Aubert M, Dang CH, Stone D, Jerome KR.","Virology. 2014 Apr;454-455:353-61. doi: 10.1016/j.virol.2013.12.037. Epub 2014 Jan 31.","Weber ND","Virology","2014","2014/02/04","PMC3988252","NIHMS562607","10.1016/j.virol.2013.12.037"
"12959750","Apoptosis prevention as a mechanism of immune evasion","Aubert M, Jerome KR.","Int Rev Immunol. 2003 Sep-Dec;22(5-6):361-71. doi: 10.1080/08830180305213.","Aubert M","Int Rev Immunol","2003","2003/09/10","","","10.1080/08830180305213"
"33473359","CRISPR-Cas9 gene editing of hepatitis B virus in chronically infected humanized mice","Stone D, Long KR, Loprieno MA, De Silva Feelixge HS, Kenkel EJ, Liley RM, Rapp S, Roychoudhury P, Nguyen T, Stensland L, Colón-Thillet R, Klouser LM, Weber ND, Le C, Wagoner J, Goecker EA, Li AZ, Eichholz K, Corey L, Tyrrell DL, Greninger AL, Huang ML, Polyak SJ, Aubert M, Sagartz JE, Jerome KR.","Mol Ther Methods Clin Dev. 2020 Nov 26;20:258-275. doi: 10.1016/j.omtm.2020.11.014. eCollection 2021 Mar 12.","Stone D","Mol Ther Methods Clin Dev","2020","2021/01/21","PMC7803634","","10.1016/j.omtm.2020.11.014"
"32811834","Gene editing and elimination of latent herpes simplex virus in vivo","Aubert M, Strongin DE, Roychoudhury P, Loprieno MA, Haick AK, Klouser LM, Stensland L, Huang ML, Makhsous N, Tait A, De Silva Feelixge HS, Galetto R, Duchateau P, Greninger AL, Stone D, Jerome KR.","Nat Commun. 2020 Aug 18;11(1):4148. doi: 10.1038/s41467-020-17936-5.","Aubert M","Nat Commun","2020","2020/08/20","PMC7435201","","10.1038/s41467-020-17936-5"
"37199630","Liver-Humanized NSG-PiZ Mice Support the Study of Chronic Hepatitis B Virus Infection and Antiviral Therapies","Colón-Thillet R, Stone D, Loprieno MA, Klouser L, Roychoudhury P, Santo TK, Xie H, Stensland L, Upham SL, Pepper G, Huang ML, Aubert M, Jerome KR.","Microbiol Spectr. 2023 Jun 15;11(3):e0517622. doi: 10.1128/spectrum.05176-22. Epub 2023 May 18.","Colón-Thillet R","Microbiol Spectr","2023","2023/05/18","PMC10269919","","10.1128/spectrum.05176-22"
"26718067","Detection of treatment-resistant infectious HIV after genome-directed antiviral endonuclease therapy","De Silva Feelixge HS, Stone D, Pietz HL, Roychoudhury P, Greninger AL, Schiffer JT, Aubert M, Jerome KR.","Antiviral Res. 2016 Feb;126:90-8. doi: 10.1016/j.antiviral.2015.12.007. Epub 2015 Dec 22.","De Silva Feelixge HS","Antiviral Res","2016","2016/01/01","PMC4724322","NIHMS749229","10.1016/j.antiviral.2015.12.007"
"27642635","In vivo disruption of latent HSV by designer endonuclease therapy","Aubert M, Madden EA, Loprieno M, DeSilva Feelixge HS, Stensland L, Huang ML, Greninger AL, Roychoudhury P, Niyonzima N, Nguyen T, Magaret A, Galleto R, Stone D, Jerome KR.","JCI Insight. 2016 Sep 8;1(14):e88468. doi: 10.1172/jci.insight.88468.","Aubert M","JCI Insight","2016","2016/09/20","PMC5026126","NIHMS815893","10.1172/jci.insight.88468"
