PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36108049","The evolving SARS-CoV-2 epidemic in Africa: Insights from rapidly expanding genomic surveillance","Tegally H, San JE, Cotten M, Moir M, Tegomoh B, Mboowa G, Martin DP, Baxter C, Lambisia AW, Diallo A, Amoako DG, Diagne MM, Sisay A, Zekri AN, Gueye AS, Sangare AK, Ouedraogo AS, Sow A, Musa AO, Sesay AK, Abias AG, Elzagheid AI, Lagare A, Kemi AS, Abar AE, Johnson AA, Fowotade A, Oluwapelumi AO, Amuri AA, Juru A, Kandeil A, Mostafa A, Rebai A, Sayed A, Kazeem A, Balde A, Christoffels A, Trotter AJ, Campbell A, Keita AK, Kone A, Bouzid A, Souissi A, Agweyu A, Naguib A, Gutierrez AV, Nkeshimana A, Page AJ, Yadouleton A, Vinze A, Happi AN, Chouikha A, Iranzadeh A, Maharaj A, Batchi-Bouyou AL, Ismail A, Sylverken AA, Goba A, Femi A, Sijuwola AE, Marycelin B, Salako BL, Oderinde BS, Bolajoko B, Diarra B, Herring BL, Tsofa B, Lekana-Douki B, Mvula B, Njanpop-Lafourcade BM, Marondera BT, Khaireh BA, Kouriba B, Adu B, Pool B, McInnis B, Brook C, Williamson C, Nduwimana C, Anscombe C, Pratt CB, Scheepers C, Akoua-Koffi CG, Agoti CN, Mapanguy CM, Loucoubar C, Onwuamah CK, Ihekweazu C, Malaka CN, Peyrefitte C, Grace C, Omoruyi CE, Rafaï CD, Morang'a CM, Erameh C, Lule DB, Bridges DJ, Mukadi-Bamuleka D, Park D, Rasmussen DA, et al.","Science. 2022 Oct 7;378(6615):eabq5358. doi: 10.1126/science.abq5358. Epub 2022 Oct 7.","Tegally H","Science","2022","2022/09/15","PMC9529057","","10.1126/science.abq5358"
"25278604","HIV epidemiology. The early spread and epidemic ignition of HIV-1 in human populations","Faria NR, Rambaut A, Suchard MA, Baele G, Bedford T, Ward MJ, Tatem AJ, Sousa JD, Arinaminpathy N, Pépin J, Posada D, Peeters M, Pybus OG, Lemey P.","Science. 2014 Oct 3;346(6205):56-61. doi: 10.1126/science.1256739. Epub 2014 Oct 2.","Faria NR","Science","2014","2014/10/04","PMC4254776","NIHMS638717","10.1126/science.1256739"
"35998195","Urgent need for a non-discriminatory and non-stigmatizing nomenclature for monkeypox virus","Happi C, Adetifa I, Mbala P, Njouom R, Nakoune E, Happi A, Ndodo N, Ayansola O, Mboowa G, Bedford T, Neher RA, Roemer C, Hodcroft E, Tegally H, O'Toole Á, Rambaut A, Pybus O, Kraemer MUG, Wilkinson E, Isidro J, Borges V, Pinto M, Gomes JP, Freitas L, Resende PC, Lee RTC, Maurer-Stroh S, Baxter C, Lessells R, Ogwell AE, Kebede Y, Tessema SK, de Oliveira T.","PLoS Biol. 2022 Aug 23;20(8):e3001769. doi: 10.1371/journal.pbio.3001769. eCollection 2022 Aug.","Happi C","PLoS Biol","2022","2022/08/23","PMC9451062","","10.1371/journal.pbio.3001769"
"31671157","Twenty years of West Nile virus spread and evolution in the Americas visualized by Nextstrain","Hadfield J, Brito AF, Swetnam DM, Vogels CBF, Tokarz RE, Andersen KG, Smith RC, Bedford T, Grubaugh ND.","PLoS Pathog. 2019 Oct 31;15(10):e1008042. doi: 10.1371/journal.ppat.1008042. eCollection 2019 Oct.","Hadfield J","PLoS Pathog","2019","2019/11/01","PMC6822705","","10.1371/journal.ppat.1008042"
"23555203","Viral phylodynamics","Volz EM, Koelle K, Bedford T.","PLoS Comput Biol. 2013;9(3):e1002947. doi: 10.1371/journal.pcbi.1002947. Epub 2013 Mar 21.","Volz EM","PLoS Comput Biol","2013","2013/04/05","PMC3605911","","10.1371/journal.pcbi.1002947"
"32255483","Before the Flood","Seattle Front Line Infection Prevention, Public Health, and Clinical Healthcare Teams.","Clin Infect Dis. 2020 Dec 3;71(9):2513-2515. doi: 10.1093/cid/ciaa393.","Seattle Front Line Infection Prevention, Public Health, and Clinical Healthcare Teams","Clin Infect Dis","2020","2020/04/08","PMC7184343","","10.1093/cid/ciaa393"
"33948594","Recombination patterns in coronaviruses","Müller NF, Kistler KE, Bedford T.","bioRxiv. 2022 Feb 8:2021.04.28.441806. doi: 10.1101/2021.04.28.441806. Preprint.","Müller NF","bioRxiv","2022","2021/05/05","PMC8095201","","10.1101/2021.04.28.441806"
"29534854","Within-Host Evolution of Human Influenza Virus","Xue KS, Moncla LH, Bedford T, Bloom JD.","Trends Microbiol. 2018 Sep;26(9):781-793. doi: 10.1016/j.tim.2018.02.007. Epub 2018 Mar 10.","Xue KS","Trends Microbiol","2018","2018/03/15","PMC6097882","NIHMS958590","10.1016/j.tim.2018.02.007"
"29168807","Lorenzo-Redondo et al. reply","Lorenzo-Redondo R, Fryer HR, Bedford T, Kim EY, Archer J, Pond SLK, Chung YS, Penugonda S, Chipman JG, Fletcher CV, Schacker TW, Malim MH, Rambaut A, Haase AT, McLean AR, Wolinsky SM.","Nature. 2017 Nov 22;551(7681):E10. doi: 10.1038/nature24635.","Lorenzo-Redondo R","Nature","2017","2017/11/24","","","10.1038/nature24635"
"28538739","Multiplex PCR method for MinION and Illumina sequencing of Zika and other virus genomes directly from clinical samples","Quick J, Grubaugh ND, Pullan ST, Claro IM, Smith AD, Gangavarapu K, Oliveira G, Robles-Sikisaka R, Rogers TF, Beutler NA, Burton DR, Lewis-Ximenez LL, de Jesus JG, Giovanetti M, Hill SC, Black A, Bedford T, Carroll MW, Nunes M, Alcantara LC Jr, Sabino EC, Baylis SA, Faria NR, Loose M, Simpson JT, Pybus OG, Andersen KG, Loman NJ.","Nat Protoc. 2017 Jun;12(6):1261-1276. doi: 10.1038/nprot.2017.066. Epub 2017 May 24.","Quick J","Nat Protoc","2017","2017/05/25","PMC5902022","NIHMS956343","10.1038/nprot.2017.066"
