PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37018493","Postexposure Doxycycline to Prevent Bacterial Sexually Transmitted Infections","Luetkemeyer AF, Donnell D, Dombrowski JC, Cohen S, Grabow C, Brown CE, Malinski C, Perkins R, Nasser M, Lopez C, Vittinghoff E, Buchbinder SP, Scott H, Charlebois ED, Havlir DV, Soge OO, Celum C; DoxyPEP Study Team.","N Engl J Med. 2023 Apr 6;388(14):1296-1306. doi: 10.1056/NEJMoa2211934.","Luetkemeyer AF","N Engl J Med","2023","2023/04/05","PMC10140182","NIHMS1889907","10.1056/NEJMoa2211934"
"35797235","Comparative Pharmacokinetics of Tixagevimab/Cilgavimab (AZD7442) Administered Intravenously Versus Intramuscularly in Symptomatic SARS-CoV-2 Infection","Bender Ignacio RA, Wohl DA, Arends R, Pilla Reddy V, Mu Y, Javan AC, Hughes MD, Eron JJ, Currier JS, Smith D, Chew KW, Gibbs M, Fletcher CV.","Clin Pharmacol Ther. 2022 Dec;112(6):1207-1213. doi: 10.1002/cpt.2706. Epub 2022 Jul 26.","Bender Ignacio RA","Clin Pharmacol Ther","2022","2022/07/07","PMC9349574","","10.1002/cpt.2706"
"35636911","COVID-19: Where We Are, Where We Need to Be","Bender Ignacio RA, Gandhi RT.","Infect Dis Clin North Am. 2022 Jun;36(2):xiii-xv. doi: 10.1016/j.idc.2022.02.003. Epub 2022 Feb 11.","Bender Ignacio RA","Infect Dis Clin North Am","2022","2022/05/31","PMC8831136","","10.1016/j.idc.2022.02.003"
"34933447","Drug Combinations as a First Line of Defense against Coronaviruses and Other Emerging Viruses","White JM, Schiffer JT, Bender Ignacio RA, Xu S, Kainov D, Ianevski A, Aittokallio T, Frieman M, Olinger GG, Polyak SJ.","mBio. 2021 Dec 21;12(6):e0334721. doi: 10.1128/mbio.03347-21. Epub 2021 Dec 21.","White JM","mBio","2021","2021/12/22","PMC8689562","","10.1128/mbio.03347-21"
"30099376","Evolving Paradigms in HIV Malignancies: Review of Ongoing Clinical Trials","Bender Ignacio RA, Lin LL, Rajdev L, Chiao E.","J Natl Compr Canc Netw. 2018 Aug;16(8):1018-1026. doi: 10.6004/jnccn.2018.7064.","Bender Ignacio RA","J Natl Compr Canc Netw","2018","2018/08/13","PMC6109631","NIHMS985286","10.6004/jnccn.2018.7064"
"34953521","Time to knock monoclonal antibodies off the platform for patients hospitalised with COVID-19","Shapiro AE, Bender Ignacio RA.","Lancet Infect Dis. 2022 May;22(5):567-569. doi: 10.1016/S1473-3099(21)00762-3. Epub 2021 Dec 23.","Shapiro AE","Lancet Infect Dis","2022","2021/12/26","PMC8700277","","10.1016/S1473-3099(21)00762-3"
"33528741","Impact of Antiretroviral Therapy on Cancer Treatment Outcomes among People Living with HIV in Low- and Middle-Income Countries: a Systematic Review","Montaño MA, Chagomerana MB, Borok M, Painschab M, Uldrick TS, Bender Ignacio RA.","Curr HIV/AIDS Rep. 2021 Apr;18(2):105-116. doi: 10.1007/s11904-021-00542-5. Epub 2021 Feb 2.","Montaño MA","Curr HIV/AIDS Rep","2021","2021/02/02","PMC10227634","NIHMS1898935","10.1007/s11904-021-00542-5"
"35503767","Mycobacterium tuberculosis infection, immune activation, and risk of HIV acquisition","Bender Ignacio RA, Long J, Saha A, Nguyen FK, Joudeh L, Valinetz E, Mendelsohn SC, Scriba TJ, Hatherill M, Janes H, Churchyard G, Buchbinder S, Duerr A, Shah JA, Hawn TR.","PLoS One. 2022 May 3;17(5):e0267729. doi: 10.1371/journal.pone.0267729. eCollection 2022.","Bender Ignacio RA","PLoS One","2022","2022/05/03","PMC9064099","","10.1371/journal.pone.0267729"
"35687815","An Ethical Imperative to Ensure Uninterrupted HIV Care Following Therapeutic Trials: One Experience in Peru","Garcia-Rosales K, Sosa Barbaran K, Rios J, Pinto-Santini D, Del Rosario Leon M, Gallardo-Cartagena JA, MacRae J, Leon M, Valencia-Huamaní J, Montalban E, Gonzales P, Duerr A, Lama JR, Bender Ignacio R.","AIDS Patient Care STDS. 2022 Jun;36(6):205-207. doi: 10.1089/apc.2022.0075.","Garcia-Rosales K","AIDS Patient Care STDS","2022","2022/06/10","PMC9464051","","10.1089/apc.2022.0075"
"36483014","Dynamic immune markers predict HIV acquisition and augment associations with sociobehavioral factors for HIV exposure","Bender Ignacio RA, Dasgupta S, Valdez R, Pandey U, Pasalar S, Alfaro R, Hladik F, Gornalusse G, Lama JR, Duerr A.","iScience. 2022 Nov 19;25(12):105632. doi: 10.1016/j.isci.2022.105632. eCollection 2022 Dec 22.","Bender Ignacio RA","iScience","2022","2022/12/09","PMC9722478","","10.1016/j.isci.2022.105632"
