PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32416070","Imbalanced Host Response to SARS-CoV-2 Drives Development of COVID-19","Blanco-Melo D, Nilsson-Payant BE, Liu WC, Uhl S, Hoagland D, Møller R, Jordan TX, Oishi K, Panis M, Sachs D, Wang TT, Schwartz RE, Lim JK, Albrecht RA, tenOever BR.","Cell. 2020 May 28;181(5):1036-1045.e9. doi: 10.1016/j.cell.2020.04.026. Epub 2020 May 15.","Blanco-Melo D","Cell","2020","2020/05/17","PMC7227586","","10.1016/j.cell.2020.04.026"
"33941899","A human-airway-on-a-chip for the rapid identification of candidate antiviral therapeutics and prophylactics","Si L, Bai H, Rodas M, Cao W, Oh CY, Jiang A, Moller R, Hoagland D, Oishi K, Horiuchi S, Uhl S, Blanco-Melo D, Albrecht RA, Liu WC, Jordan T, Nilsson-Payant BE, Golynker I, Frere J, Logue J, Haupt R, McGrath M, Weston S, Zhang T, Plebani R, Soong M, Nurani A, Kim SM, Zhu DY, Benam KH, Goyal G, Gilpin SE, Prantil-Baun R, Gygi SP, Powers RK, Carlson KE, Frieman M, tenOever BR, Ingber DE.","Nat Biomed Eng. 2021 Aug;5(8):815-829. doi: 10.1038/s41551-021-00718-9. Epub 2021 May 3.","Si L","Nat Biomed Eng","2021","2021/05/04","PMC8387338","NIHMS1685527","10.1038/s41551-021-00718-9"
"36700653","Virology under the Microscope-a Call for Rational Discourse","Goodrum F, Lowen AC, Lakdawala S, Alwine J, Casadevall A, Imperiale MJ, Atwood W, Avgousti D, Baines J, Banfield B, Banks L, Bhaduri-McIntosh S, Bhattacharya D, Blanco-Melo D, Bloom D, Boon A, Boulant S, Brandt C, Broadbent A, Brooke C, Cameron C, Campos S, Caposio P, Chan G, Cliffe A, Coffin J, Collins K, Damania B, Daugherty M, Debbink K, DeCaprio J, Dermody T, Dikeakos J, DiMaio D, Dinglasan R, Duprex WP, Dutch R, Elde N, Emerman M, Enquist L, Fane B, Fernandez-Sesma A, Flenniken M, Frappier L, Frieman M, Frueh K, Gack M, Gaglia M, Gallagher T, Galloway D, García-Sastre A, Geballe A, Glaunsinger B, Goff S, Greninger A, Hancock M, Harris E, Heaton N, Heise M, Heldwein E, Hogue B, Horner S, Hutchinson E, Hyser J, Jackson W, Kalejta R, Kamil J, Karst S, Kirchhoff F, Knipe D, Kowalik T, Lagunoff M, Laimins L, Langlois R, Lauring A, Lee B, Leib D, Liu SL, Longnecker R, Lopez C, Luftig M, Lund J, Manicassamy B, McFadden G, McIntosh M, Mehle A, Miller WA, Mohr I, Moody C, Moorman N, Moscona A, Mounce B, Munger J, Münger K, Murphy E, Naghavi M, Nelson J, Neufeldt C, Nikolich J, O'Connor C, et al.","mSphere. 2023 Apr 20;8(2):e0003423. doi: 10.1128/msphere.00034-23. Epub 2023 Jan 26.","Goodrum F","mSphere","2023","2023/01/26","PMC10117089","","10.1128/msphere.00034-23"
"37268008","A Glimpse into the Past: What Ancient Viral Genomes Reveal About Human History","Guzmán-Solís AA, Navarro MA, Ávila-Arcos MC, Blanco-Melo D.","Annu Rev Virol. 2023 Jun 2. doi: 10.1146/annurev-virology-111821-123859. Online ahead of print.","Guzmán-Solís AA","Annu Rev Virol","2023","2023/06/02","","","10.1146/annurev-virology-111821-123859"
"36700640","Virology under the Microscope-a Call for Rational Discourse","Goodrum F, Lowen AC, Lakdawala S, Alwine J, Casadevall A, Imperiale MJ, Atwood W, Avgousti D, Baines J, Banfield B, Banks L, Bhaduri-McIntosh S, Bhattacharya D, Blanco-Melo D, Bloom D, Boon A, Boulant S, Brandt C, Broadbent A, Brooke C, Cameron C, Campos S, Caposio P, Chan G, Cliffe A, Coffin J, Collins K, Damania B, Daugherty M, Debbink K, DeCaprio J, Dermody T, Dikeakos J, DiMaio D, Dinglasan R, Duprex WP, Dutch R, Elde N, Emerman M, Enquist L, Fane B, Fernandez-Sesma A, Flenniken M, Frappier L, Frieman M, Frueh K, Gack M, Gaglia M, Gallagher T, Galloway D, García-Sastre A, Geballe A, Glaunsinger B, Goff S, Greninger A, Hancock M, Harris E, Heaton N, Heise M, Heldwein E, Hogue B, Horner S, Hutchinson E, Hyser J, Jackson W, Kalejta R, Kamil J, Karst S, Kirchhoff F, Knipe D, Kowalik T, Lagunoff M, Laimins L, Langlois R, Lauring A, Lee B, Leib D, Liu SL, Longnecker R, Lopez C, Luftig M, Lund J, Manicassamy B, McFadden G, McIntosh M, Mehle A, Miller WA, Mohr I, Moody C, Moorman N, Moscona A, Mounce B, Munger J, Münger K, Murphy E, Naghavi M, Nelson J, Neufeldt C, Nikolich J, O'Connor C, et al.","J Virol. 2023 Feb 28;97(2):e0008923. doi: 10.1128/jvi.00089-23. Epub 2023 Jan 26.","Goodrum F","J Virol","2023","2023/01/26","PMC9972907","","10.1128/jvi.00089-23"
"36700642","Virology under the Microscope-a Call for Rational Discourse","Goodrum F, Lowen AC, Lakdawala S, Alwine J, Casadevall A, Imperiale MJ, Atwood W, Avgousti D, Baines J, Banfield B, Banks L, Bhaduri-McIntosh S, Bhattacharya D, Blanco-Melo D, Bloom D, Boon A, Boulant S, Brandt C, Broadbent A, Brooke C, Cameron C, Campos S, Caposio P, Chan G, Cliffe A, Coffin J, Collins K, Damania B, Daugherty M, Debbink K, DeCaprio J, Dermody T, Dikeakos J, DiMaio D, Dinglasan R, Duprex WP, Dutch R, Elde N, Emerman M, Enquist L, Fane B, Fernandez-Sesma A, Flenniken M, Frappier L, Frieman M, Frueh K, Gack M, Gaglia M, Gallagher T, Galloway D, García-Sastre A, Geballe A, Glaunsinger B, Goff S, Greninger A, Hancock M, Harris E, Heaton N, Heise M, Heldwein E, Hogue B, Horner S, Hutchinson E, Hyser J, Jackson W, Kalejta R, Kamil J, Karst S, Kirchhoff F, Knipe D, Kowalik T, Lagunoff M, Laimins L, Langlois R, Lauring A, Lee B, Leib D, Liu SL, Longnecker R, Lopez C, Luftig M, Lund J, Manicassamy B, McFadden G, McIntosh M, Mehle A, Miller WA, Mohr I, Moody C, Moorman N, Moscona A, Mounce B, Munger J, Münger K, Murphy E, Naghavi M, Nelson J, Neufeldt C, Nikolich J, O'Connor C, et al.","mBio. 2023 Feb 28;14(1):e0018823. doi: 10.1128/mbio.00188-23. Epub 2023 Jan 26.","Goodrum F","mBio","2023","2023/01/26","PMC9973315","","10.1128/mbio.00188-23"
"36943134","Archaeal Kink-Turn Binding Protein Mediates Inhibition of Orthomyxovirus Splicing Biology","Oishi K, Blanco-Melo D, Kurland AP, Johnson JR, tenOever BR.","J Virol. 2023 Apr 27;97(4):e0181322. doi: 10.1128/jvi.01813-22. Epub 2023 Mar 21.","Oishi K","J Virol","2023","2023/03/21","PMC10134859","","10.1128/jvi.01813-22"
"34523966","The NF-κB Transcriptional Footprint Is Essential for SARS-CoV-2 Replication","Nilsson-Payant BE, Uhl S, Grimont A, Doane AS, Cohen P, Patel RS, Higgins CA, Acklin JA, Bram Y, Chandar V, Blanco-Melo D, Panis M, Lim JK, Elemento O, Schwartz RE, Rosenberg BR, Chandwani R, tenOever BR.","J Virol. 2021 Nov 9;95(23):e0125721. doi: 10.1128/JVI.01257-21. Epub 2021 Sep 15.","Nilsson-Payant BE","J Virol","2021","2021/09/15","PMC8577386","","10.1128/JVI.01257-21"
"29716624","Reconstruction of a replication-competent ancestral murine endogenous retrovirus-L","Blanco-Melo D, Gifford RJ, Bieniasz PD.","Retrovirology. 2018 May 2;15(1):34. doi: 10.1186/s12977-018-0416-3.","Blanco-Melo D","Retrovirology","2018","2018/05/03","PMC5930517","","10.1186/s12977-018-0416-3"
"30209219","Homologous recombination is an intrinsic defense against antiviral RNA interference","Aguado LC, Jordan TX, Hsieh E, Blanco-Melo D, Heard J, Panis M, Vignuzzi M, tenOever BR.","Proc Natl Acad Sci U S A. 2018 Sep 25;115(39):E9211-E9219. doi: 10.1073/pnas.1810229115. Epub 2018 Sep 12.","Aguado LC","Proc Natl Acad Sci U S A","2018","2018/09/14","PMC6166822","","10.1073/pnas.1810229115"
