PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31396218","Techniques to Study Antigen-Specific B Cell Responses","Boonyaratanakornkit J, Taylor JJ.","Front Immunol. 2019 Jul 24;10:1694. doi: 10.3389/fimmu.2019.01694. eCollection 2019.","Boonyaratanakornkit J","Front Immunol","2019","2019/08/10","PMC6667631","","10.3389/fimmu.2019.01694"
"31101673","B cells engineered to express pathogen-specific antibodies protect against infection","Moffett HF, Harms CK, Fitzpatrick KS, Tooley MR, Boonyaratanakornkit J, Taylor JJ.","Sci Immunol. 2019 May 17;4(35):eaax0644. doi: 10.1126/sciimmunol.aax0644.","Moffett HF","Sci Immunol","2019","2019/05/19","PMC6913193","NIHMS1062041","10.1126/sciimmunol.aax0644"
"35849517","Monoclonal antibodies for prophylaxis and treatment of respiratory viral infections","Boonyaratanakornkit J, Boeckh M, Waghmare A.","Curr Opin Infect Dis. 2022 Aug 1;35(4):280-287. doi: 10.1097/QCO.0000000000000846. Epub 2022 Jul 5.","Boonyaratanakornkit J","Curr Opin Infect Dis","2022","2022/07/18","","","10.1097/QCO.0000000000000846"
"31205241","Why Should We Advocate Maternal Immunization?","Boonyaratanakornkit J, Chu HY.","Pediatr Infect Dis J. 2019 Jun;38(6S Suppl 1):S28-S32. doi: 10.1097/INF.0000000000002312.","Boonyaratanakornkit J","Pediatr Infect Dis J","2019","2019/06/18","PMC6581206","NIHMS1523949","10.1097/INF.0000000000002312"
"36781872","Cross-protective antibodies against common endemic respiratory viruses","Cabán M, Rodarte JV, Bibby M, Gray MD, Taylor JJ, Pancera M, Boonyaratanakornkit J.","Nat Commun. 2023 Feb 13;14(1):798. doi: 10.1038/s41467-023-36459-3.","Cabán M","Nat Commun","2023","2023/02/13","PMC9923667","","10.1038/s41467-023-36459-3"
"21859271","Progress in the development of human parainfluenza virus vaccines","Schmidt AC, Schaap-Nutt A, Bartlett EJ, Schomacker H, Boonyaratanakornkit J, Karron RA, Collins PL.","Expert Rev Respir Med. 2011 Aug;5(4):515-26. doi: 10.1586/ers.11.32.","Schmidt AC","Expert Rev Respir Med","2011","2011/08/24","PMC3503243","NIHMS420365","10.1586/ers.11.32"
"31603585","Immunoglobulin M, more than just an early responder to malaria","Boonyaratanakornkit J, Taylor JJ.","Immunol Cell Biol. 2019 Oct;97(9):771-773. doi: 10.1111/imcb.12292.","Boonyaratanakornkit J","Immunol Cell Biol","2019","2019/10/12","","","10.1111/imcb.12292"
"35411021","Structural definition of a pan-sarbecovirus neutralizing epitope on the spike S2 subunit","Hurlburt NK, Homad LJ, Sinha I, Jennewein MF, MacCamy AJ, Wan YH, Boonyaratanakornkit J, Sholukh AM, Jackson AM, Zhou P, Burton DR, Andrabi R, Ozorowski G, Ward AB, Stamatatos L, Pancera M, McGuire AT.","Commun Biol. 2022 Apr 11;5(1):342. doi: 10.1038/s42003-022-03262-7.","Hurlburt NK","Commun Biol","2022","2022/04/12","PMC9001700","","10.1038/s42003-022-03262-7"
"33876699","Protective antibodies against human parainfluenza virus type 3 infection","Boonyaratanakornkit J, Singh S, Weidle C, Rodarte J, Bakthavatsalam R, Perkins J, Stewart-Jones GBE, Kwong PD, McGuire AT, Pancera M, Taylor JJ.","MAbs. 2021 Jan-Dec;13(1):1912884. doi: 10.1080/19420862.2021.1912884.","Boonyaratanakornkit J","MAbs","2021","2021/04/20","PMC8078717","","10.1080/19420862.2021.1912884"
"36883850","Validation of Ligand Tetramers for the Detection of Antigen-Specific Lymphocytes","Fitzpatrick KS, Degefu HN, Poljakov K, Bibby MG, Remington AJ, Searles TG, Gray MD, Boonyaratanakornkit J, Rosato PC, Taylor JJ.","J Immunol. 2023 Apr 15;210(8):1156-1165. doi: 10.4049/jimmunol.2200934.","Fitzpatrick KS","J Immunol","2023","2023/03/08","PMC10073333","NIHMS1873505","10.4049/jimmunol.2200934"
