PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34802773","Diagnosis of infectious diseases in immunocompromised hosts using metagenomic next generation sequencing-based diagnostics","Casto AM, Fredricks DN, Hill JA.","Blood Rev. 2022 May;53:100906. doi: 10.1016/j.blre.2021.100906. Epub 2021 Nov 6.","Casto AM","Blood Rev","2022","2021/11/22","","","10.1016/j.blre.2021.100906"
"36068236","Genomic surveillance of SARS-CoV-2 Omicron variants on a university campus","Weil AA, Luiten KG, Casto AM, Bennett JC, O'Hanlon J, Han PD, Gamboa LS, McDermot E, Truong M, Gottlieb GS, Acker Z, Wolf CR, Magedson A, Chow EJ, Lo NK, Pothan LC, McDonald D, Wright TC, McCaffrey KM, Figgins MD, Englund JA, Boeckh M, Lockwood CM, Nickerson DA, Shendure J, Bedford T, Hughes JP, Starita LM, Chu HY.","Nat Commun. 2022 Sep 6;13(1):5240. doi: 10.1038/s41467-022-32786-z.","Weil AA","Nat Commun","2022","2022/09/06","PMC9446629","","10.1038/s41467-022-32786-z"
"35393464","Host-pathogen dynamics in longitudinal clinical specimens from patients with COVID-19","Lin MJ, Rachleff VM, Xie H, Shrestha L, Lieberman NAP, Peddu V, Addetia A, Casto AM, Breit N, Mathias PC, Huang ML, Jerome KR, Greninger AL, Roychoudhury P.","Sci Rep. 2022 Apr 7;12(1):5856. doi: 10.1038/s41598-022-09752-2.","Lin MJ","Sci Rep","2022","2022/04/08","PMC8987511","","10.1038/s41598-022-09752-2"
"36150508","Human Parainfluenza Virus in Homeless Shelters before and during the COVID-19 Pandemic, Washington, USA","Chow EJ, Casto AM, Sampoleo R, Mills MG, Han PD, Xie H, Pfau B, Nguyen TV, Sereewit J, Rogers JH, Cox SN, Rolfes MA, Ogokeh C, Mosites E, Uyeki TM, Greninger AL, Hughes JP, Shim MM, Sugg N, Duchin JS, Starita LM, Englund JA, Roychoudhury P, Chu HY.","Emerg Infect Dis. 2022 Nov;28(11):2343-2347. doi: 10.3201/eid2811.221156. Epub 2022 Sep 23.","Chow EJ","Emerg Infect Dis","2022","2022/09/23","PMC9622239","","10.3201/eid2811.221156"
"35749582","The Clinical and Genomic Epidemiology of Rhinovirus in Homeless Shelters-King County, Washington","Chow EJ, Casto AM, Roychoudhury P, Han PD, Xie H, Pfau B, Nguyen TV, Sereewit J, Rogers JH, Cox SN, Wolf CR, Rolfes MA, Mosites E, Uyeki TM, Greninger AL, Hughes JP, Shim MM, Sugg N, Duchin JS, Starita LM, Englund JA, Chu HY.","J Infect Dis. 2022 Oct 7;226(Suppl 3):S304-S314. doi: 10.1093/infdis/jiac239.","Chow EJ","J Infect Dis","2022","2022/06/24","PMC9384451","","10.1093/infdis/jiac239"
"35091746","Phylogenomics of Severe Acute Respiratory Syndrome Coronavirus 2 in Emergency Shelters for People Experiencing Homelessness","Casto AM, Rogers JH, Link AC, Boeckh M, Jackson ML, Uyeki TM, Englund JA, Starita LM, Chu HY.","J Infect Dis. 2022 Aug 24;226(2):217-224. doi: 10.1093/infdis/jiac021.","Casto AM","J Infect Dis","2022","2022/01/29","PMC8807325","","10.1093/infdis/jiac021"
"34805425","SARS-CoV-2 Epidemiology on a Public University Campus in Washington State","Weil AA, Sohlberg SL, O'Hanlon JA, Casto AM, Emanuels AW, Lo NK, Greismer EP, Magedson AM, Wilcox NC, Kim AE, Back L, Frazar CD, Pelle B, Sibley TR, Ilcisin M, Lee J, Ryke EL, Craft JC, Schwabe-Fry KM, Fay KA, Cho S, Han PD, Heidl SJ, Pfau BA, Truong M, Zhong W, Srivatsan SR, Harb KF, Gottlieb GS, Hughes JP, Nickerson DA, Lockwood CM, Starita LM, Bedford T, Shendure JA, Chu HY.","Open Forum Infect Dis. 2021 Sep 17;8(11):ofab464. doi: 10.1093/ofid/ofab464. eCollection 2021 Nov.","Weil AA","Open Forum Infect Dis","2021","2021/11/22","PMC8599730","","10.1093/ofid/ofab464"
"34269803","Genetic variants associated with cytomegalovirus infection after allogeneic hematopoietic cell transplantation","Casto AM, Seo S, Levine DM, Storer BE, Dong X, Hansen JA, Boeckh M, Martin PJ.","Blood. 2021 Oct 28;138(17):1628-1636. doi: 10.1182/blood.2021012153.","Casto AM","Blood","2021","2021/07/16","PMC8554648","","10.1182/blood.2021012153"
"33563599","Evaluating Specimen Quality and Results from a Community-Wide, Home-Based Respiratory Surveillance Study","Kim AE, Brandstetter E, Wilcox N, Heimonen J, Graham C, Han PD, Starita LM, McCulloch DJ, Casto AM, Nickerson DA, Van de Loo MM, Mooney J, Ilcisin M, Fay KA, Lee J, Sibley TR, Lyon V, Geyer RE, Thompson M, Lutz BR, Rieder MJ, Bedford T, Boeckh M, Englund JA, Chu HY.","J Clin Microbiol. 2021 Apr 20;59(5):e02934-20. doi: 10.1128/JCM.02934-20. Print 2021 Apr 20.","Kim AE","J Clin Microbiol","2021","2021/02/10","PMC8091861","","10.1128/JCM.02934-20"
"31016321","Large, Stable, Contemporary Interspecies Recombination Events in Circulating Human Herpes Simplex Viruses","Casto AM, Roychoudhury P, Xie H, Selke S, Perchetti GA, Wofford H, Huang ML, Verjans GMGM, Gottlieb GS, Wald A, Jerome KR, Koelle DM, Johnston C, Greninger AL.","J Infect Dis. 2020 Mar 28;221(8):1271-1279. doi: 10.1093/infdis/jiz199.","Casto AM","J Infect Dis","2020","2019/04/25","PMC7325804","","10.1093/infdis/jiz199"
