PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32272077","The Biology of the HIV-1 Latent Reservoir and Implications for Cure Strategies","Cohn LB, Chomont N, Deeks SG.","Cell Host Microbe. 2020 Apr 8;27(4):519-530. doi: 10.1016/j.chom.2020.03.014.","Cohn LB","Cell Host Microbe","2020","2020/04/10","PMC7219958","NIHMS1579535","10.1016/j.chom.2020.03.014"
"24910635","Dendritic cell-targeted vaccines","Cohn L, Delamarre L.","Front Immunol. 2014 May 30;5:255. doi: 10.3389/fimmu.2014.00255. eCollection 2014.","Cohn L","Front Immunol","2014","2014/06/10","PMC4039009","","10.3389/fimmu.2014.00255"
"30531293","HIV-1 reservoir dynamics in CD4+ T cells","Bruner KM, Cohn LB.","Curr Opin HIV AIDS. 2019 Mar;14(2):108-114. doi: 10.1097/COH.0000000000000521.","Bruner KM","Curr Opin HIV AIDS","2019","2018/12/12","","","10.1097/COH.0000000000000521"
"28348204","HIV: Persistence through division","Cohn LB, Nussenzweig MC.","J Exp Med. 2017 Apr 3;214(4):875-876. doi: 10.1084/jem.20170463. Epub 2017 Mar 27.","Cohn LB","J Exp Med","2017","2017/03/29","PMC5379988","","10.1084/jem.20170463"
"37443365","Impact of misclassified defective proviruses on HIV reservoir measurements","Reeves DB, Gaebler C, Oliveira TY, Peluso MJ, Schiffer JT, Cohn LB, Deeks SG, Nussenzweig MC.","Nat Commun. 2023 Jul 13;14(1):4186. doi: 10.1038/s41467-023-39837-z.","Reeves DB","Nat Commun","2023","2023/07/14","PMC10345136","","10.1038/s41467-023-39837-z"
"33112933","Rapid deployment of SARS-CoV-2 testing: The CLIAHUB","Crawford ED, Acosta I, Ahyong V, Anderson EC, Arevalo S, Asarnow D, Axelrod S, Ayscue P, Azimi CS, Azumaya CM, Bachl S, Bachmutsky I, Bhaduri A, Brown JB, Batson J, Behnert A, Boileau RM, Bollam SR, Bonny AR, Booth D, Borja MJB, Brown D, Buie B, Burnett CE, Byrnes LE, Cabral KA, Cabrera JP, Caldera S, Canales G, Castañeda GR, Chan AP, Chang CR, Charles-Orszag A, Cheung C, Chio U, Chow ED, Citron YR, Cohen A, Cohn LB, Chiu C, Cole MA, Conrad DN, Constantino A, Cote A, Crayton-Hall T, Darmanis S, Detweiler AM, Dial RL, Dong S, Duarte EM, Dynerman D, Egger R, Fanton A, Frumm SM, Fu BXH, Garcia VE, Garcia J, Gladkova C, Goldman M, Gomez-Sjoberg R, Gordon MG, Grove JCR, Gupta S, Haddjeri-Hopkins A, Hadley P, Haliburton J, Hao SL, Hartoularos G, Herrera N, Hilberg M, Ho KYE, Hoppe N, Hosseinzadeh S, Howard CJ, Hussmann JA, Hwang E, Ingebrigtsen D, Jackson JR, Jowhar ZM, Kain D, Kim JYS, Kistler A, Kreutzfeld O, Kulsuptrakul J, Kung AF, Langelier C, Laurie MT, Lee L, Leng K, Leon KE, Leonetti MD, Levan SR, Li S, Li AW, Liu J, Lubin HS, Lyden A, Mann J, Mann S, Margulis G, et al.","PLoS Pathog. 2020 Oct 28;16(10):e1008966. doi: 10.1371/journal.ppat.1008966. eCollection 2020 Oct.","Crawford ED","PLoS Pathog","2020","2020/10/28","PMC7592773","","10.1371/journal.ppat.1008966"
"36070690","Distinct gene expression by expanded clones of quiescent memory CD4(+) T cells harboring intact latent HIV-1 proviruses","Weymar GHJ, Bar-On Y, Oliveira TY, Gaebler C, Ramos V, Hartweger H, Breton G, Caskey M, Cohn LB, Jankovic M, Nussenzweig MC.","Cell Rep. 2022 Sep 6;40(10):111311. doi: 10.1016/j.celrep.2022.111311.","Weymar GHJ","Cell Rep","2022","2022/09/07","PMC9471989","","10.1016/j.celrep.2022.111311"
"25635456","HIV-1 integration landscape during latent and active infection","Cohn LB, Silva IT, Oliveira TY, Rosales RA, Parrish EH, Learn GH, Hahn BH, Czartoski JL, McElrath MJ, Lehmann C, Klein F, Caskey M, Walker BD, Siliciano JD, Siliciano RF, Jankovic M, Nussenzweig MC.","Cell. 2015 Jan 29;160(3):420-32. doi: 10.1016/j.cell.2015.01.020.","Cohn LB","Cell","2015","2015/01/31","PMC4371550","NIHMS668896","10.1016/j.cell.2015.01.020"
"34636876","Integration features of intact latent HIV-1 in CD4+ T cell clones contribute to viral persistence","Huang AS, Ramos V, Oliveira TY, Gaebler C, Jankovic M, Nussenzweig MC, Cohn LB.","J Exp Med. 2021 Dec 6;218(12):e20211427. doi: 10.1084/jem.20211427. Epub 2021 Oct 12.","Huang AS","J Exp Med","2021","2021/10/12","PMC8515646","","10.1084/jem.20211427"
"25917102","Leptin receptor signaling in T cells is required for Th17 differentiation","Reis BS, Lee K, Fanok MH, Mascaraque C, Amoury M, Cohn LB, Rogoz A, Dallner OS, Moraes-Vieira PM, Domingos AI, Mucida D.","J Immunol. 2015 Jun 1;194(11):5253-60. doi: 10.4049/jimmunol.1402996. Epub 2015 Apr 27.","Reis BS","J Immunol","2015","2015/04/29","PMC4433844","NIHMS676384","10.4049/jimmunol.1402996"
