PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35680135","Prescribing Nirmatrelvir/Ritonavir for COVID-19 in Advanced CKD","Hiremath S, McGuinty M, Argyropoulos C, Brimble KS, Brown PA, Chagla Z, Cooper R, Hoar S, Juurlink D, Treleaven D, Walsh M, Yeung A, Blake P.","Clin J Am Soc Nephrol. 2022 Aug;17(8):1247-1250. doi: 10.2215/CJN.05270522. Epub 2022 Jun 9.","Hiremath S","Clin J Am Soc Nephrol","2022","2022/06/09","PMC9435977","","10.2215/CJN.05270522"
"33627334","Statin treatment and muscle symptoms: series of randomised, placebo controlled n-of-1 trials","Herrett E, Williamson E, Brack K, Beaumont D, Perkins A, Thayne A, Shakur-Still H, Roberts I, Prowse D, Goldacre B, van Staa T, MacDonald TM, Armitage J, Wimborne J, Melrose P, Singh J, Brooks L, Moore M, Hoffman M, Smeeth L; StatinWISE Trial Group.","BMJ. 2021 Feb 24;372:n135. doi: 10.1136/bmj.n135.","Herrett E","BMJ","2021","2021/02/25","PMC7903384","","10.1136/bmj.n135"
"33941528","COVID-19 chez les patients ontariens sous dialyse à long terme","Taji L, Thomas D, Oliver MJ, Ip J, Tang Y, Yeung A, Cooper R, House AA, McFarlane P, Blake PG.","CMAJ. 2021 May 3;193(18):E655-E662. doi: 10.1503/cmaj.202601-f.","Taji L","CMAJ","2021","2021/05/04","PMC8112626","","10.1503/cmaj.202601-f"
"35180300","COVID-19 vaccination and Guillain-Barré syndrome: analyses using the National Immunoglobulin Database","Keh RYS, Scanlon S, Datta-Nemdharry P, Donegan K, Cavanagh S, Foster M, Skelland D, Palmer J, Machado PM, Keddie S, Carr AS, Lunn MP; BPNS/ABN COVID-19 Vaccine GBS Study Group.","Brain. 2023 Feb 13;146(2):739-748. doi: 10.1093/brain/awac067.","Keh RYS","Brain","2023","2022/02/18","PMC8903477","","10.1093/brain/awac067"
"35882855","Neuroanatomical heterogeneity and homogeneity in individuals at clinical high risk for psychosis","Baldwin H, Radua J, Antoniades M, Haas SS, Frangou S, Agartz I, Allen P, Andreassen OA, Atkinson K, Bachman P, Baeza I, Bartholomeusz CF, Chee MWL, Colibazzi T, Cooper RE, Corcoran CM, Cropley VL, Ebdrup BH, Fortea A, Glenthøj LB, Hamilton HK, Haut KM, Hayes RA, He Y, Heekeren K, Kaess M, Kasai K, Katagiri N, Kim M, Kindler J, Klaunig MJ, Koike S, Koppel A, Kristensen TD, Bin Kwak Y, Kwon JS, Lawrie SM, Lebedeva I, Lee J, Lin A, Loewy RL, Mathalon DH, Michel C, Mizrahi R, Møller P, Nelson B, Nemoto T, Nordholm D, Omelchenko MA, Pantelis C, Raghava JM, Røssberg JI, Rössler W, Salisbury DF, Sasabayashi D, Schall U, Smigielski L, Sugranyes G, Suzuki M, Takahashi T, Tamnes CK, Tang J, Theodoridou A, Thomopoulos SI, Tomyshev AS, Uhlhaas PJ, Værnes TG, van Amelsvoort TAMJ, Van Erp TGM, Waltz JA, Westlye LT, Wood SJ, Zhou JH, McGuire P, Thompson PM, Jalbrzikowski M, Hernaus D, Fusar-Poli P; ENIGMA Clinical High Risk for Psychosis Working Group.","Transl Psychiatry. 2022 Jul 26;12(1):297. doi: 10.1038/s41398-022-02057-y.","Baldwin H","Transl Psychiatry","2022","2022/07/26","PMC9325730","","10.1038/s41398-022-02057-y"
"33950164","Association of Structural Magnetic Resonance Imaging Measures With Psychosis Onset in Individuals at Clinical High Risk for Developing Psychosis: An ENIGMA Working Group Mega-analysis","ENIGMA Clinical High Risk for Psychosis Working Group; Jalbrzikowski M, Hayes RA, Wood SJ, Nordholm D, Zhou JH, Fusar-Poli P, Uhlhaas PJ, Takahashi T, Sugranyes G, Kwak YB, Mathalon DH, Katagiri N, Hooker CI, Smigielski L, Colibazzi T, Via E, Tang J, Koike S, Rasser PE, Michel C, Lebedeva I, Hegelstad WTV, de la Fuente-Sandoval C, Waltz JA, Mizrahi R, Corcoran CM, Resch F, Tamnes CK, Haas SS, Lemmers-Jansen ILJ, Agartz I, Allen P, Amminger GP, Andreassen OA, Atkinson K, Bachman P, Baeza I, Baldwin H, Bartholomeusz CF, Borgwardt S, Catalano S, Chee MWL, Chen X, Cho KIK, Cooper RE, Cropley VL, Dolz M, Ebdrup BH, Fortea A, Glenthøj LB, Glenthøj BY, de Haan L, Hamilton HK, Harris MA, Haut KM, He Y, Heekeren K, Heinz A, Hubl D, Hwang WJ, Kaess M, Kasai K, Kim M, Kindler J, Klaunig MJ, Koppel A, Kristensen TD, Kwon JS, Lawrie SM, Lee J, León-Ortiz P, Lin A, Loewy RL, Ma X, McGorry P, McGuire P, Mizuno M, Møller P, Moncada-Habib T, Muñoz-Samons D, Nelson B, Nemoto T, Nordentoft M, Omelchenko MA, Oppedal K, Ouyang L, Pantelis C, Pariente JC, Raghava JM, Reyes-Madrigal F, Roach BJ, Røssberg JI, Rössler W, Salisbury DF, Sasabayashi D, Schall U, Schiffman J, Schlagenhauf F, Schmidt A, et al.","JAMA Psychiatry. 2021 Jul 1;78(7):753-766. doi: 10.1001/jamapsychiatry.2021.0638.","ENIGMA Clinical High Risk for Psychosis Working Group","JAMA Psychiatry","2021","2021/05/05","PMC8100913","","10.1001/jamapsychiatry.2021.0638"
"36758937","Editorial: Early Crying in Infancy: An Indicator of Emotional, Behavioral, and Neurobiological Outcomes in Childhood","Cooper RE.","J Am Acad Child Adolesc Psychiatry. 2023 Jun;62(6):627-628. doi: 10.1016/j.jaac.2023.01.015. Epub 2023 Feb 7.","Cooper RE","J Am Acad Child Adolesc Psychiatry","2023","2023/02/09","","","10.1016/j.jaac.2023.01.015"
"26690469","Herpesvirus gB: A Finely Tuned Fusion Machine","Cooper RS, Heldwein EE.","Viruses. 2015 Dec 11;7(12):6552-69. doi: 10.3390/v7122957.","Cooper RS","Viruses","2015","2015/12/23","PMC4690880","","10.3390/v7122957"
"21807421","Digoxin - time to take the gloves off?","Eade E, Cooper R, Mitchell AR.","Int J Cardiol. 2013 Apr 15;164(3):365-7. doi: 10.1016/j.ijcard.2011.07.034. Epub 2011 Jul 31.","Eade E","Int J Cardiol","2013","2011/08/03","","","10.1016/j.ijcard.2011.07.034"
"33542093","COVID-19 in patients undergoing long-term dialysis in Ontario","Taji L, Thomas D, Oliver MJ, Ip J, Tang Y, Yeung A, Cooper R, House AA, McFarlane P, Blake PG.","CMAJ. 2021 Feb 22;193(8):E278-E284. doi: 10.1503/cmaj.202601. Epub 2021 Feb 4.","Taji L","CMAJ","2021","2021/02/05","PMC8034346","","10.1503/cmaj.202601"
