PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33378609","Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine","Baden LR, El Sahly HM, Essink B, Kotloff K, Frey S, Novak R, Diemert D, Spector SA, Rouphael N, Creech CB, McGettigan J, Khetan S, Segall N, Solis J, Brosz A, Fierro C, Schwartz H, Neuzil K, Corey L, Gilbert P, Janes H, Follmann D, Marovich M, Mascola J, Polakowski L, Ledgerwood J, Graham BS, Bennett H, Pajon R, Knightly C, Leav B, Deng W, Zhou H, Han S, Ivarsson M, Miller J, Zaks T; COVE Study Group.","N Engl J Med. 2021 Feb 4;384(5):403-416. doi: 10.1056/NEJMoa2035389. Epub 2020 Dec 30.","Baden LR","N Engl J Med","2021","2020/12/30","PMC7787219","","10.1056/NEJMoa2035389"
"25102681","Back to the bench","Corey L.","IAVI Rep. 2014;18(2):15-7.","Corey L","IAVI Rep","2014","2014/08/09","","",""
"26933962","Which New Health Technologies Do We Need to Achieve an End to HIV/AIDS?","Gray GE, Laher F, Doherty T, Abdool Karim S, Hammer S, Mascola J, Beyrer C, Corey L.","PLoS Biol. 2016 Mar 2;14(3):e1002372. doi: 10.1371/journal.pbio.1002372. eCollection 2016 Mar.","Gray GE","PLoS Biol","2016","2016/03/03","PMC4774984","","10.1371/journal.pbio.1002372"
"29889809","Nonprimary Maternal Cytomegalovirus Infection After Viral Shedding in Infants","Boucoiran I, Mayer BT, Krantz EM, Marchant A, Pati S, Boppana S, Wald A, Corey L, Casper C, Schiffer JT, Gantt S.","Pediatr Infect Dis J. 2018 Jul;37(7):627-631. doi: 10.1097/INF.0000000000001877.","Boucoiran I","Pediatr Infect Dis J","2018","2018/06/12","PMC6016842","NIHMS929920","10.1097/INF.0000000000001877"
"28368743","Population pharmacokinetics analysis of VRC01, an HIV-1 broadly neutralizing monoclonal antibody, in healthy adults","Huang Y, Zhang L, Ledgerwood J, Grunenberg N, Bailer R, Isaacs A, Seaton K, Mayer KH, Capparelli E, Corey L, Gilbert PB.","MAbs. 2017 Jul;9(5):792-800. doi: 10.1080/19420862.2017.1311435. Epub 2017 Apr 3.","Huang Y","MAbs","2017","2017/04/04","PMC5524155","","10.1080/19420862.2017.1311435"
"25820067","Multiple factors affect immunogenicity of DNA plasmid HIV vaccines in human clinical trials","Jin X, Morgan C, Yu X, DeRosa S, Tomaras GD, Montefiori DC, Kublin J, Corey L, Keefer MC; NIAID HIV Vaccine Trials Network.","Vaccine. 2015 May 11;33(20):2347-53. doi: 10.1016/j.vaccine.2015.03.036. Epub 2015 Mar 25.","Jin X","Vaccine","2015","2015/03/31","PMC4433533","NIHMS674130","10.1016/j.vaccine.2015.03.036"
"26865856","Patterns of human herpesvirus-8 oral shedding among diverse cohorts of human herpesvirus-8 seropositive persons","Bender Ignacio RA, Goldman JD, Magaret AS, Selke S, Huang ML, Gantt S, Johnston C, Phipps WT, Schiffer JT, Zuckerman RA, McClelland RS, Celum C, Corey L, Wald A, Casper C.","Infect Agent Cancer. 2016 Feb 10;11:7. doi: 10.1186/s13027-016-0052-2. eCollection 2016.","Bender Ignacio RA","Infect Agent Cancer","2016","2016/02/12","PMC4748452","","10.1186/s13027-016-0052-2"
"18698002","Generation of HIV-1-specific CD8+ cell responses following allogeneic hematopoietic cell transplantation","Woolfrey AE, Malhotra U, Harrington RD, McNevin J, Manley TJ, Riddell SR, Coombs RW, Appelbaum FR, Corey L, Storb R.","Blood. 2008 Oct 15;112(8):3484-7. doi: 10.1182/blood-2008-05-157511. Epub 2008 Aug 12.","Woolfrey AE","Blood","2008","2008/08/14","PMC2569185","","10.1182/blood-2008-05-157511"
"30020484","Herpes Simplex Virus Shedding Rate: Surrogate Outcome for Genital Herpes Recurrence Frequency and Lesion Rates, and Phase 2 Clinical Trials End Point for Evaluating Efficacy of Antivirals","Agyemang E, Magaret AS, Selke S, Johnston C, Corey L, Wald A.","J Infect Dis. 2018 Oct 20;218(11):1691-1699. doi: 10.1093/infdis/jiy372.","Agyemang E","J Infect Dis","2018","2018/07/19","PMC6195656","","10.1093/infdis/jiy372"
"17329447","Optimizing PCR positivity criterion for detection of herpes simplex virus DNA on skin and mucosa","Magaret AS, Wald A, Huang ML, Selke S, Corey L.","J Clin Microbiol. 2007 May;45(5):1618-20. doi: 10.1128/JCM.01405-06. Epub 2007 Feb 28.","Magaret AS","J Clin Microbiol","2007","2007/03/03","PMC1865863","","10.1128/JCM.01405-06"
