PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35294258","Metabolic adaptation of ovarian tumors in patients treated with an IDO1 inhibitor constrains antitumor immune responses","Odunsi K, Qian F, Lugade AA, Yu H, Geller MA, Fling SP, Kaiser JC, Lacroix AM, D'Amico L, Ramchurren N, Morishima C, Disis ML, Dennis L, Danaher P, Warren S, Nguyen VA, Ravi S, Tsuji T, Rosario S, Zha W, Hutson A, Liu S, Lele S, Zsiros E, McGray AJR, Chiello J, Koya R, Chodon T, Morrison CD, Putluri V, Putluri N, Mager DE, Gunawan R, Cheever MA, Battaglia S, Matsuzaki J.","Sci Transl Med. 2022 Mar 16;14(636):eabg8402. doi: 10.1126/scitranslmed.abg8402. Epub 2022 Mar 16.","Odunsi K","Sci Transl Med","2022","2022/03/16","PMC9311231","NIHMS1820177","10.1126/scitranslmed.abg8402"
"28239471","Gene expression markers of Tumor Infiltrating Leukocytes","Danaher P, Warren S, Dennis L, D'Amico L, White A, Disis ML, Geller MA, Odunsi K, Beechem J, Fling SP.","J Immunother Cancer. 2017 Feb 21;5:18. doi: 10.1186/s40425-017-0215-8. eCollection 2017.","Danaher P","J Immunother Cancer","2017","2017/02/28","PMC5319024","","10.1186/s40425-017-0215-8"
"34950900","New interpretable machine-learning method for single-cell data reveals correlates of clinical response to cancer immunotherapy","Greene E, Finak G, D'Amico LA, Bhardwaj N, Church CD, Morishima C, Ramchurren N, Taube JM, Nghiem PT, Cheever MA, Fling SP, Gottardo R.","Patterns (N Y). 2021 Oct 27;2(12):100372. doi: 10.1016/j.patter.2021.100372. eCollection 2021 Dec 10.","Greene E","Patterns (N Y)","2021","2021/12/24","PMC8672150","","10.1016/j.patter.2021.100372"
"35121932","Flt3 ligand augments immune responses to anti-DEC-205-NY-ESO-1 vaccine through expansion of dendritic cell subsets","Bhardwaj N, Friedlander PA, Pavlick AC, Ernstoff MS, Gastman BR, Hanks BA, Curti BD, Albertini MR, Luke JJ, Blazquez AB, Balan S, Bedognetti D, Beechem JM, Crocker AS, D'Amico L, Danaher P, Davis TA, Hawthorne T, Hess BW, Keler T, Lundgren L, Morishima C, Ramchurren N, Rinchai D, Salazar AM, Salim BA, Sharon E, Vitale LA, Wang E, Warren S, Yellin MJ, Disis ML, Cheever MA, Fling SP.","Nat Cancer. 2020 Dec;1(12):1204-1217. doi: 10.1038/s43018-020-00143-y. Epub 2020 Nov 16.","Bhardwaj N","Nat Cancer","2020","2022/02/05","","","10.1038/s43018-020-00143-y"
"34452927","IL-7 expands lymphocyte populations and enhances immune responses to sipuleucel-T in patients with metastatic castration-resistant prostate cancer (mCRPC)","Pachynski RK, Morishima C, Szmulewitz R, Harshman L, Appleman L, Monk P, Bitting RL, Kucuk O, Millard F, Seigne JD, Fling SP, Maecker HT, Duault C, Ramchurren N, Hess B, D'Amico L, Lacroix A, Kaiser JC, Morre M, Grégoire A, Cheever M, Yu EY, Fong L.","J Immunother Cancer. 2021 Aug;9(8):e002903. doi: 10.1136/jitc-2021-002903.","Pachynski RK","J Immunother Cancer","2021","2021/08/28","PMC8404457","","10.1136/jitc-2021-002903"
"22253836","Discovery of T cell antigens by high-throughput screening of synthetic minigene libraries","Hondowicz BD, Schwedhelm KV, Kas A, Tasch MA, Rawlings C, Ramchurren N, McIntosh M, D'Amico LA, Sanda S, Standifer NE, Shendure J, Stone B.","PLoS One. 2012;7(1):e29949. doi: 10.1371/journal.pone.0029949. Epub 2012 Jan 12.","Hondowicz BD","PLoS One","2012","2012/01/19","PMC3257230","","10.1371/journal.pone.0029949"
"17336906","The g protein-coupled receptor agtrl1b regulates early development of myocardial progenitors","Scott IC, Masri B, D'Amico LA, Jin SW, Jungblut B, Wehman AM, Baier H, Audigier Y, Stainier DY.","Dev Cell. 2007 Mar;12(3):403-13. doi: 10.1016/j.devcel.2007.01.012.","Scott IC","Dev Cell","2007","2007/03/06","","","10.1016/j.devcel.2007.01.012"
"29756517","Local, Controlled Release In Vivo of Vascular Endothelial Growth Factor Within a Subcutaneous Scaffolded Islet Implant Reduces Early Islet Necrosis and Improves Performance of the Graft","Gebe JA, Preisinger A, Gooden MD, D'Amico LA, Vernon RB.","Cell Transplant. 2018 Mar;27(3):531-541. doi: 10.1177/0963689718754562. Epub 2018 May 14.","Gebe JA","Cell Transplant","2018","2018/05/15","PMC6038045","","10.1177/0963689718754562"
"28089377","Phase II trial of albumin-bound paclitaxel and granulocyte macrophage colony-stimulating factor as an immune modulator in recurrent platinum resistant ovarian cancer","Liao JB, Swensen RE, Ovenell KJ, Hitchcock-Bernhardt KM, Reichow JL, Apodaca MC, D'Amico L, Childs JS, Higgins DM, Buening BJ, Goff BA, Disis ML.","Gynecol Oncol. 2017 Mar;144(3):480-485. doi: 10.1016/j.ygyno.2017.01.008. Epub 2017 Jan 12.","Liao JB","Gynecol Oncol","2017","2017/01/17","","","10.1016/j.ygyno.2017.01.008"
"17276918","A mutation in zebrafish hmgcr1b reveals a role for isoprenoids in vertebrate heart-tube formation","D'Amico L, Scott IC, Jungblut B, Stainier DY.","Curr Biol. 2007 Feb 6;17(3):252-9. doi: 10.1016/j.cub.2006.12.023.","D'Amico L","Curr Biol","2007","2007/02/06","","","10.1016/j.cub.2006.12.023"
"16107477","Genetic and cellular analyses of zebrafish atrioventricular cushion and valve development","Beis D, Bartman T, Jin SW, Scott IC, D'Amico LA, Ober EA, Verkade H, Frantsve J, Field HA, Wehman A, Baier H, Tallafuss A, Bally-Cuif L, Chen JN, Stainier DY, Jungblut B.","Development. 2005 Sep;132(18):4193-204. doi: 10.1242/dev.01970. Epub 2005 Aug 17.","Beis D","Development","2005","2005/08/19","","","10.1242/dev.01970"
"17531218","A transgene-assisted genetic screen identifies essential regulators of vascular development in vertebrate embryos","Jin SW, Herzog W, Santoro MM, Mitchell TS, Frantsve J, Jungblut B, Beis D, Scott IC, D'Amico LA, Ober EA, Verkade H, Field HA, Chi NC, Wehman AM, Baier H, Stainier DY.","Dev Biol. 2007 Jul 1;307(1):29-42. doi: 10.1016/j.ydbio.2007.03.526. Epub 2007 Apr 5.","Jin SW","Dev Biol","2007","2007/05/29","PMC2695512","NIHMS25852","10.1016/j.ydbio.2007.03.526"
"23231959","Reversal of diabetes in mice with a bioengineered islet implant incorporating a type I collagen hydrogel and sustained release of vascular endothelial growth factor","Vernon RB, Preisinger A, Gooden MD, D'Amico LA, Yue BB, Bollyky PL, Kuhr CS, Hefty TR, Nepom GT, Gebe JA.","Cell Transplant. 2012;21(10):2099-110. doi: 10.3727/096368912X636786.","Vernon RB","Cell Transplant","2012","2012/12/13","PMC3829609","NIHMS491885","10.3727/096368912X636786"
