PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34763161","Bayesian validation framework for dynamic epidemic models","Dasgupta S, Moore MR, Dimitrov DT, Hughes JP.","Epidemics. 2021 Dec;37:100514. doi: 10.1016/j.epidem.2021.100514. Epub 2021 Oct 30.","Dasgupta S","Epidemics","2021","2021/11/11","PMC8720263","NIHMS1763848","10.1016/j.epidem.2021.100514"
"36483014","Dynamic immune markers predict HIV acquisition and augment associations with sociobehavioral factors for HIV exposure","Bender Ignacio RA, Dasgupta S, Valdez R, Pandey U, Pasalar S, Alfaro R, Hladik F, Gornalusse G, Lama JR, Duerr A.","iScience. 2022 Nov 19;25(12):105632. doi: 10.1016/j.isci.2022.105632. eCollection 2022 Dec 22.","Bender Ignacio RA","iScience","2022","2022/12/09","PMC9722478","","10.1016/j.isci.2022.105632"
"30559548","FEATURE ELIMINATION IN KERNEL MACHINES IN MODERATELY HIGH DIMENSIONS","Dasgupta S, Goldberg Y, Kosorok MR.","Ann Stat. 2019 Feb;47(1):497-526. doi: 10.1214/18-AOS1696.","Dasgupta S","Ann Stat","2019","2018/12/19","PMC6294291","NIHMS957342","10.1214/18-AOS1696"
"32698705","Trial designs for evaluating combination HIV prevention approaches","Chen YQ, Peng L, Wang Y, Appelmans E, Dasgupta S, Fleming TR.","HIV Res Clin Pract. 2020 Apr-Jun;21(2-3):72-82. doi: 10.1080/25787489.2020.1798083. Epub 2020 Jul 23.","Chen YQ","HIV Res Clin Pract","2020","2020/07/24","PMC7608072","NIHMS1621223","10.1080/25787489.2020.1798083"
"32921837","Selecting Biomarkers for building optimal treatment selection rules using Kernel Machines","Dasgupta S, Huang Y.","J R Stat Soc Ser C Appl Stat. 2020 Jan 1;69(1):69-88. doi: 10.1111/rssc.12379. Epub 2019 Sep 18.","Dasgupta S","J R Stat Soc Ser C Appl Stat","2020","2020/09/14","PMC7485396","NIHMS1058043","10.1111/rssc.12379"
"34877933","Genomic attributes of homology-directed DNA repair deficiency in metastatic prostate cancer","De Sarkar N, Dasgupta S, Chatterjee P, Coleman I, Ha G, Ang LS, Kohlbrenner EA, Frank SB, Nunez TA, Salipante SJ, Corey E, Morrissey C, Van Allen E, Schweizer MT, Haffner MC, Patel R, Hanratty B, Lucas JM, Dumpit RF, Pritchard CC, Montgomery RB, Nelson PS.","JCI Insight. 2021 Dec 8;6(23):e152789. doi: 10.1172/jci.insight.152789.","De Sarkar N","JCI Insight","2021","2021/12/08","PMC8675196","","10.1172/jci.insight.152789"
"31631216","Evaluating the surrogacy of multiple vaccine-induced immune response biomarkers in HIV vaccine trials","Dasgupta S, Huang Y.","Biostatistics. 2021 Apr 10;22(2):421-436. doi: 10.1093/biostatistics/kxz039.","Dasgupta S","Biostatistics","2021","2019/10/22","PMC8035998","","10.1093/biostatistics/kxz039"
"35611350","Immune Activation in Primary Human Immunodeficiency Virus: Influence of Duration of Infection, Treatment, and Substance Use","Gilada T, Schnittman SR, White E, Mercader J, Wang Y, Dasgupta S, Valdez R, Pinto-Santini D, Pasalar S, Sanchez J, Gonzales P, Lama JR, Bender Ignacio R, Duerr A.","Open Forum Infect Dis. 2022 Mar 24;9(6):ofac155. doi: 10.1093/ofid/ofac155. eCollection 2022 Jun.","Gilada T","Open Forum Infect Dis","2022","2022/05/25","PMC9124591","","10.1093/ofid/ofac155"
"33914708","Antibodies against vaccine-preventable infections after CAR-T cell therapy for B cell malignancies","Walti CS, Krantz EM, Maalouf J, Boonyaratanakornkit J, Keane-Candib J, Joncas-Schronce L, Stevens-Ayers T, Dasgupta S, Taylor JJ, Hirayama AV, Bar M, Gardner RA, Cowan AJ, Green DJ, Boeckh MJ, Maloney DG, Turtle CJ, Hill JA.","JCI Insight. 2021 Jun 8;6(11):e146743. doi: 10.1172/jci.insight.146743.","Walti CS","JCI Insight","2021","2021/04/29","PMC8262349","","10.1172/jci.insight.146743"
"35044990","Brief Report: Self-Reported Knowledge of HIV Status Among Cisgender Male Sex Partners of Transgender Women in Lima, Peru","Long JE, Sanchez H, Dasgupta S, Huerta L, Garcia DC, Lama JR, Duerr A.","J Acquir Immune Defic Syndr. 2022 May 1;90(1):1-5. doi: 10.1097/QAI.0000000000002920.","Long JE","J Acquir Immune Defic Syndr","2022","2022/01/19","PMC8986569","NIHMS1772600","10.1097/QAI.0000000000002920"
"37051619","Does a youth intern programme strengthen HIV service delivery in South Africa? An interrupted time-series analysis","Tollefson D, Dasgupta S, Setswe G, Reeves S, Churchyard G, Charalambous S, Duerr A.","J Int AIDS Soc. 2023 Apr;26(4):e26083. doi: 10.1002/jia2.26083.","Tollefson D","J Int AIDS Soc","2023","2023/04/13","PMC10098286","","10.1002/jia2.26083"
"34629415","HIV Disease Dynamics and Markers of Inflammation and CNS Injury During Primary HIV Infection and Their Relationship to Cognitive Performance","Longino AA, Paul R, Wang Y, Lama JR, Brandes P, Ruiz E, Correa C, Keating S, Spudich SS, Pilcher C, Vecchio A, Pasalar S, Bender Ignacio RA, Valdez R, Dasgupta S, Robertson K, Duerr A.","J Acquir Immune Defic Syndr. 2022 Feb 1;89(2):183-190. doi: 10.1097/QAI.0000000000002832.","Longino AA","J Acquir Immune Defic Syndr","2022","2021/10/11","PMC8752485","NIHMS1746412","10.1097/QAI.0000000000002832"
"31186276","Comprehensive viromewide antibody responses by systematic epitope scanning after hematopoietic cell transplantation","Bender Ignacio RA, Dasgupta S, Stevens-Ayers T, Kula T, Hill JA, Lee SJ, Mielcarek M, Duerr A, Elledge SJ, Boeckh M.","Blood. 2019 Aug 8;134(6):503-514. doi: 10.1182/blood.2019897405. Epub 2019 Jun 11.","Bender Ignacio RA","Blood","2019","2019/06/13","PMC6688428","","10.1182/blood.2019897405"
"31743392","Durable preservation of antiviral antibodies after CD19-directed chimeric antigen receptor T-cell immunotherapy","Hill JA, Krantz EM, Hay KA, Dasgupta S, Stevens-Ayers T, Bender Ignacio RA, Bar M, Maalouf J, Cherian S, Chen X, Pepper G, Riddell SR, Maloney DG, Boeckh MJ, Turtle CJ.","Blood Adv. 2019 Nov 26;3(22):3590-3601. doi: 10.1182/bloodadvances.2019000717.","Hill JA","Blood Adv","2019","2019/11/20","PMC6880890","","10.1182/bloodadvances.2019000717"
"34424782","Exploring HIV risk behavior and sexual/gender identities among transgender women and their sexual partners in Peru using respondent-driven sampling","Long JE, Sanchez H, Dasgupta S, Huerta L, Calderón Garcia D, Lama JR, Duerr A.","AIDS Care. 2022 Sep;34(9):1187-1195. doi: 10.1080/09540121.2021.1967855. Epub 2021 Aug 23.","Long JE","AIDS Care","2022","2021/08/23","PMC8863975","NIHMS1733123","10.1080/09540121.2021.1967855"
