PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36454825","Vaccination induces HIV broadly neutralizing antibody precursors in humans","Leggat DJ, Cohen KW, Willis JR, Fulp WJ, deCamp AC, Kalyuzhniy O, Cottrell CA, Menis S, Finak G, Ballweber-Fleming L, Srikanth A, Plyler JR, Schiffner T, Liguori A, Rahaman F, Lombardo A, Philiponis V, Whaley RE, Seese A, Brand J, Ruppel AM, Hoyland W, Yates NL, Williams LD, Greene K, Gao H, Mahoney CR, Corcoran MM, Cagigi A, Taylor A, Brown DM, Ambrozak DR, Sincomb T, Hu X, Tingle R, Georgeson E, Eskandarzadeh S, Alavi N, Lu D, Mullen TM, Kubitz M, Groschel B, Maenza J, Kolokythas O, Khati N, Bethony J, Crotty S, Roederer M, Karlsson Hedestam GB, Tomaras GD, Montefiori D, Diemert D, Koup RA, Laufer DS, McElrath MJ, McDermott AB, Schief WR.","Science. 2022 Dec 2;378(6623):eadd6502. doi: 10.1126/science.add6502. Epub 2022 Dec 2.","Leggat DJ","Science","2022","2022/12/01","","","10.1126/science.add6502"
"33730454","Two Randomized Trials of Neutralizing Antibodies to Prevent HIV-1 Acquisition","Corey L, Gilbert PB, Juraska M, Montefiori DC, Morris L, Karuna ST, Edupuganti S, Mgodi NM, deCamp AC, Rudnicki E, Huang Y, Gonzales P, Cabello R, Orrell C, Lama JR, Laher F, Lazarus EM, Sanchez J, Frank I, Hinojosa J, Sobieszczyk ME, Marshall KE, Mukwekwerere PG, Makhema J, Baden LR, Mullins JI, Williamson C, Hural J, McElrath MJ, Bentley C, Takuva S, Gomez Lorenzo MM, Burns DN, Espy N, Randhawa AK, Kochar N, Piwowar-Manning E, Donnell DJ, Sista N, Andrew P, Kublin JG, Gray G, Ledgerwood JE, Mascola JR, Cohen MS; HVTN 704/HPTN 085 and HVTN 703/HPTN 081 Study Teams.","N Engl J Med. 2021 Mar 18;384(11):1003-1014. doi: 10.1056/NEJMoa2031738.","Corey L","N Engl J Med","2021","2021/03/17","PMC8189692","NIHMS1701559","10.1056/NEJMoa2031738"
"26827165","Selection of HIV vaccine candidates for concurrent testing in an efficacy trial","Huang Y, DiazGranados C, Janes H, Huang Y, deCamp AC, Metch B, Grant S, Sanchez B, Phogat S, Koutsoukos M, Kanesa-Thasan N, Bourguignon P, Collard A, Buchbinder S, Tomaras GD, McElrath J, Gray G, Kublin JG, Corey L, Gilbert PB.","Curr Opin Virol. 2016 Apr;17:57-65. doi: 10.1016/j.coviro.2016.01.007. Epub 2016 Jan 29.","Huang Y","Curr Opin Virol","2016","2016/02/01","PMC4902743","NIHMS756136","10.1016/j.coviro.2016.01.007"
"35995954","Neutralization titer biomarker for antibody-mediated prevention of HIV-1 acquisition","Gilbert PB, Huang Y, deCamp AC, Karuna S, Zhang Y, Magaret CA, Giorgi EE, Korber B, Edlefsen PT, Rossenkhan R, Juraska M, Rudnicki E, Kochar N, Huang Y, Carpp LN, Barouch DH, Mkhize NN, Hermanus T, Kgagudi P, Bekker V, Kaldine H, Mapengo RE, Eaton A, Domin E, West C, Feng W, Tang H, Seaton KE, Heptinstall J, Brackett C, Chiong K, Tomaras GD, Andrew P, Mayer BT, Reeves DB, Sobieszczyk ME, Garrett N, Sanchez J, Gay C, Makhema J, Williamson C, Mullins JI, Hural J, Cohen MS, Corey L, Montefiori DC, Morris L.","Nat Med. 2022 Sep;28(9):1924-1932. doi: 10.1038/s41591-022-01953-6. Epub 2022 Aug 22.","Gilbert PB","Nat Med","2022","2022/08/22","PMC9499869","","10.1038/s41591-022-01953-6"
"36993183","Human immunoglobulin gene allelic variation impacts germline-targeting vaccine priming","deCamp AC, Corcoran MM, Fulp WJ, Willis JR, Cottrell CA, Bader DLV, Kalyuzhniy O, Leggat DJ, Cohen KW, Hyrien O, Menis S, Finak G, Ballweber-Fleming L, Srikanth A, Plyler JR, Rahaman F, Lombardo A, Philiponis V, Whaley RE, Seese A, Brand J, Ruppel AM, Hoyland W, Mahoney CR, Cagigi A, Taylor A, Brown DM, Ambrozak DR, Sincomb T, Mullen TM, Maenza J, Kolokythas O, Khati N, Bethony J, Roederer M, Diemert D, Koup RA, Laufer DS, McElrath JM, McDermott AB, Hedestam GBK, Schief WR.","medRxiv. 2023 Mar 15:2023.03.10.23287126. doi: 10.1101/2023.03.10.23287126. Preprint.","deCamp AC","medRxiv","2023","2023/03/30","PMC10055468","","10.1101/2023.03.10.23287126"
"37398105","Quantifying how single dose Ad26.COV2.S vaccine efficacy depends on Spike sequence features","Magaret C, Li L, deCamp A, Rolland M, Juraska M, Williamson B, Ludwig J, Molitor C, Benkeser D, Luedtke A, Simpkins B, Carpp L, Bai H, Dearlove B, Greninger A, Roychoudhury P, Sadoff J, Gray G, Roels S, Vandebosch A, Stieh D, Gars ML, Vingerhoets J, Grinsztejn B, Goepfert P, Truyers C, Dromme IV, Swann E, Marovich M, Follmann D, Neuzil K, Corey L, Hyrien O, de Sousa LP, Casapia M, Losso M, Little S, Gaur A, Bekker LG, Garrett N, Heng F, Sun Y, Gilbert P.","Res Sq. 2023 May 31:rs.3.rs-2743022. doi: 10.21203/rs.3.rs-2743022/v1. Preprint.","Magaret C","Res Sq","2023","2023/07/03","PMC10312950","","10.21203/rs.3.rs-2743022/v1"
"35385469","Optimizing clinical dosing of combination broadly neutralizing antibodies for HIV prevention","Mayer BT, deCamp AC, Huang Y, Schiffer JT, Gottardo R, Gilbert PB, Reeves DB.","PLoS Comput Biol. 2022 Apr 6;18(4):e1010003. doi: 10.1371/journal.pcbi.1010003. eCollection 2022 Apr.","Mayer BT","PLoS Comput Biol","2022","2022/04/06","PMC9084525","","10.1371/journal.pcbi.1010003"
"37300931","Pharmacokinetic serum concentrations of VRC01 correlate with prevention of HIV-1 acquisition","Seaton KE, Huang Y, Karuna S, Heptinstall JR, Brackett C, Chiong K, Zhang L, Yates NL, Sampson M, Rudnicki E, Juraska M, deCamp AC, Edlefsen PT, Mullins JI, Williamson C, Rossenkhan R, Giorgi EE, Kenny A, Angier H, Randhawa A, Weiner JA, Rojas M, Sarzotti-Kelsoe M, Zhang L, Sawant S, Ackerman ME, McDermott AB, Mascola JR, Hural J, McElrath MJ, Andrew P, Hidalgo JA, Clark J, Laher F, Orrell C, Frank I, Gonzales P, Edupuganti S, Mgodi N, Corey L, Morris L, Montefiori D, Cohen MS, Gilbert PB, Tomaras GD.","EBioMedicine. 2023 Jul;93:104590. doi: 10.1016/j.ebiom.2023.104590. Epub 2023 Jun 8.","Seaton KE","EBioMedicine","2023","2023/06/10","PMC10363420","","10.1016/j.ebiom.2023.104590"
"34730393","Selection of HIV Envelope Strains for Standardized Assessments of Vaccine-Elicited Antibody-Dependent Cellular Cytotoxicity-Mediating Antibodies","Mielke D, Stanfield-Oakley S, Borate B, Fisher LH, Faircloth K, Tuyishime M, Greene K, Gao H, Williamson C, Morris L, Ochsenbauer C, Tomaras G, Haynes BF, Montefiori D, Pollara J, deCamp AC, Ferrari G.","J Virol. 2022 Jan 26;96(2):e0164321. doi: 10.1128/JVI.01643-21. Epub 2021 Nov 3.","Mielke D","J Virol","2022","2021/11/03","PMC8791251","","10.1128/JVI.01643-21"
"31589165","Antibody Fc effector functions and IgG3 associate with decreased HIV-1 risk","Neidich SD, Fong Y, Li SS, Geraghty DE, Williamson BD, Young WC, Goodman D, Seaton KE, Shen X, Sawant S, Zhang L, deCamp AC, Blette BS, Shao M, Yates NL, Feely F, Pyo CW, Ferrari G; HVTN 505 Team; Frank I, Karuna ST, Swann EM, Mascola JR, Graham BS, Hammer SM, Sobieszczyk ME, Corey L, Janes HE, McElrath MJ, Gottardo R, Gilbert PB, Tomaras GD.","J Clin Invest. 2019 Nov 1;129(11):4838-4849. doi: 10.1172/JCI126391.","Neidich SD","J Clin Invest","2019","2019/10/08","PMC6819135","","10.1172/JCI126391"
