PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36328042","Elective surgery system strengthening: development, measurement, and validation of the surgical preparedness index across 1632 hospitals in 119 countries","NIHR Global Health Unit on Global Surgery; COVIDSurg Collaborative.","Lancet. 2022 Nov 5;400(10363):1607-1617. doi: 10.1016/S0140-6736(22)01846-3. Epub 2022 Oct 31.","NIHR Global Health Unit on Global Surgery","Lancet","2022","2022/11/03","PMC9621702","","10.1016/S0140-6736(22)01846-3"
"35623378","Effects of hospital facilities on patient outcomes after cancer surgery: an international, prospective, observational study","GlobalSurg Collaborative and NIHR Global Health Research Unit on Global Surgery.","Lancet Glob Health. 2022 Jul;10(7):e1003-e1011. doi: 10.1016/S2214-109X(22)00168-1. Epub 2022 May 24.","GlobalSurg Collaborative and NIHR Global Health Research Unit on Global Surgery","Lancet Glob Health","2022","2022/05/27","PMC9210173","NIHMS1812322","10.1016/S2214-109X(22)00168-1"
"33485461","Global variation in postoperative mortality and complications after cancer surgery: a multicentre, prospective cohort study in 82 countries","GlobalSurg Collaborative and National Institute for Health Research Global Health Research Unit on Global Surgery.","Lancet. 2021 Jan 30;397(10272):387-397. doi: 10.1016/S0140-6736(21)00001-5. Epub 2021 Jan 21.","GlobalSurg Collaborative and National Institute for Health Research Global Health Research Unit on Global Surgery","Lancet","2021","2021/01/24","PMC7846817","","10.1016/S0140-6736(21)00001-5"
"33761533","SARS-CoV-2 vaccination modelling for safe surgery to save lives: data from an international prospective cohort study","COVIDSurg Collaborative, GlobalSurg Collaborative.","Br J Surg. 2021 Sep 27;108(9):1056-1063. doi: 10.1093/bjs/znab101.","COVIDSurg Collaborative, GlobalSurg Collaborative","Br J Surg","2021","2021/03/24","PMC7995808","","10.1093/bjs/znab101"
"34371522","Effects of pre-operative isolation on postoperative pulmonary complications after elective surgery: an international prospective cohort study","COVIDSurg Collaborative; GlobalSurg Collaborative.","Anaesthesia. 2021 Nov;76(11):1454-1464. doi: 10.1111/anae.15560. Epub 2021 Aug 9.","COVIDSurg Collaborative","Anaesthesia","2021","2021/08/09","","","10.1111/anae.15560"
"33690889","Timing of surgery following SARS-CoV-2 infection: an international prospective cohort study","COVIDSurg Collaborative; GlobalSurg Collaborative.","Anaesthesia. 2021 Jun;76(6):748-758. doi: 10.1111/anae.15458. Epub 2021 Mar 9.","COVIDSurg Collaborative","Anaesthesia","2021","2021/03/10","PMC8206995","","10.1111/anae.15458"
"34428858","SARS-CoV-2 infection and venous thromboembolism after surgery: an international prospective cohort study","COVIDSurg Collaborative; GlobalSurg Collaborative.","Anaesthesia. 2022 Jan;77(1):28-39. doi: 10.1111/anae.15563. Epub 2021 Aug 24.","COVIDSurg Collaborative","Anaesthesia","2022","2021/08/24","PMC8652887","","10.1111/anae.15563"
"37152676","Evaluation of mpox vaccine dose-sparing strategies","Dimitrov D, Adamson B, Matrajt L.","PNAS Nexus. 2023 Mar 28;2(5):pgad095. doi: 10.1093/pnasnexus/pgad095. eCollection 2023 May.","Dimitrov D","PNAS Nexus","2023","2023/05/08","PMC10154907","","10.1093/pnasnexus/pgad095"
"35307692","THE USE OF ULTRASOUND GUIDED HIGH INTENSITY FOCUSED ULTRASOUND (HIFU) IN THE TREATMENT OF UTERINE FIBROIDS: AN OVERVIEW","Ivanova Y, Dimitrov D, Dimitrova K, Shanker A, Yordanov A.","Wiad Lek. 2022;75(2):545-550.","Ivanova Y","Wiad Lek","2022","2022/03/21","","",""
"34763161","Bayesian validation framework for dynamic epidemic models","Dasgupta S, Moore MR, Dimitrov DT, Hughes JP.","Epidemics. 2021 Dec;37:100514. doi: 10.1016/j.epidem.2021.100514. Epub 2021 Oct 30.","Dasgupta S","Epidemics","2021","2021/11/11","PMC8720263","NIHMS1763848","10.1016/j.epidem.2021.100514"
"23279040","Heterosexual anal intercourse: a neglected risk factor for HIV?","Baggaley RF, Dimitrov D, Owen BN, Pickles M, Butler AR, Masse B, Boily MC.","Am J Reprod Immunol. 2013 Feb;69 Suppl 1(0 1):95-105. doi: 10.1111/aji.12064. Epub 2012 Dec 24.","Baggaley RF","Am J Reprod Immunol","2013","2013/01/03","PMC3938911","NIHMS548718","10.1111/aji.12064"
"27105983","Seasonality and the effectiveness of mass vaccination","Chao DL, Dimitrov DT.","Math Biosci Eng. 2016 Apr 1;13(2):249-59. doi: 10.3934/mbe.2015001.","Chao DL","Math Biosci Eng","2016","2016/04/24","PMC4843823","NIHMS775582","10.3934/mbe.2015001"
"32987575","The dynamics of a simple, risk-structured HIV model","Kot M, Dimitrov DT.","Math Biosci Eng. 2020 Jun 15;17(4):4184-4209. doi: 10.3934/mbe.2020232.","Kot M","Math Biosci Eng","2020","2020/09/29","","","10.3934/mbe.2020232"
"37214988","Retrospective Analysis of Equity-Based Optimization for COVID-19 Vaccine Allocation","Stafford E, Dimitrov D, Ceballos R, Campelia G, Matrajt L.","medRxiv. 2023 May 11:2023.05.08.23289679. doi: 10.1101/2023.05.08.23289679. Preprint.","Stafford E","medRxiv","2023","2023/05/22","PMC10197793","","10.1101/2023.05.08.23289679"
"34696352","Mathematical Modeling of Vaccines That Prevent SARS-CoV-2 Transmission","Swan DA, Goyal A, Bracis C, Moore M, Krantz E, Brown E, Cardozo-Ojeda F, Reeves DB, Gao F, Gilbert PB, Corey L, Cohen MS, Janes H, Dimitrov D, Schiffer JT.","Viruses. 2021 Sep 24;13(10):1921. doi: 10.3390/v13101921.","Swan DA","Viruses","2021","2021/10/26","PMC8539635","","10.3390/v13101921"
