PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35758878","Analysis of the HIV Vaccine Trials Network 702 Phase 2b-3 HIV-1 Vaccine Trial in South Africa Assessing RV144 Antibody and T-Cell Correlates of HIV-1 Acquisition Risk","Moodie Z, Dintwe O, Sawant S, Grove D, Huang Y, Janes H, Heptinstall J, Omar FL, Cohen K, De Rosa SC, Zhang L, Yates NL, Sarzotti-Kelsoe M, Seaton KE, Laher F, Bekker LG, Malahleha M, Innes C, Kassim S, Naicker N, Govender V, Sebe M, Singh N, Kotze P, Lazarus E, Nchabeleng M, Ward AM, Brumskine W, Dubula T, Randhawa AK, Grunenberg N, Hural J, Kee JJ, Benkeser D, Jin Y, Carpp LN, Allen M, D'Souza P, Tartaglia J, DiazGranados CA, Koutsoukos M, Gilbert PB, Kublin JG, Corey L, Andersen-Nissen E, Gray GE, Tomaras GD, McElrath MJ.","J Infect Dis. 2022 Aug 24;226(2):246-257. doi: 10.1093/infdis/jiac260.","Moodie Z","J Infect Dis","2022","2022/06/27","PMC9890908","","10.1093/infdis/jiac260"
"33610126","Immune profiling of Mycobacterium tuberculosis-specific T cells in recent and remote infection","Mpande CAM, Rozot V, Mosito B, Musvosvi M, Dintwe OB, Bilek N, Hatherill M, Scriba TJ, Nemes E; ACS Study Team.","EBioMedicine. 2021 Feb;64:103233. doi: 10.1016/j.ebiom.2021.103233. Epub 2021 Feb 18.","Mpande CAM","EBioMedicine","2021","2021/02/20","PMC7902886","","10.1016/j.ebiom.2021.103233"
"28618268","Antigen Availability Shapes T Cell Differentiation and Function during Tuberculosis","Moguche AO, Musvosvi M, Penn-Nicholson A, Plumlee CR, Mearns H, Geldenhuys H, Smit E, Abrahams D, Rozot V, Dintwe O, Hoff ST, Kromann I, Ruhwald M, Bang P, Larson RP, Shafiani S, Ma S, Sherman DR, Sette A, Lindestam Arlehamn CS, McKinney DM, Maecker H, Hanekom WA, Hatherill M, Andersen P, Scriba TJ, Urdahl KB.","Cell Host Microbe. 2017 Jun 14;21(6):695-706.e5. doi: 10.1016/j.chom.2017.05.012.","Moguche AO","Cell Host Microbe","2017","2017/06/16","PMC5533182","NIHMS881418","10.1016/j.chom.2017.05.012"
"35866359","Achieving intracellular cytokine staining assay concordance on two continents to assess HIV vaccine-induced T-cell responses","Dintwe OB, De Rosa SC, Huang Y, Flach BS, Manso B, Carter D, Omar FL, Schwedhelm KV, Yu C, Lu H, Morris D, Kee JJ, Voillet V, Stirewalt M, Hural J, Moodie Z, Frahm N, Cohen KW, McElrath MJ, Andersen-Nissen E.","J Leukoc Biol. 2022 Nov;112(5):1167-1181. doi: 10.1002/JLB.5MA0522-668R. Epub 2022 Jul 22.","Dintwe OB","J Leukoc Biol","2022","2022/07/22","PMC10229754","NIHMS1894529","10.1002/JLB.5MA0522-668R"
"30830940","A comparison of antigen-specific T cell responses induced by six novel tuberculosis vaccine candidates","Rodo MJ, Rozot V, Nemes E, Dintwe O, Hatherill M, Little F, Scriba TJ.","PLoS Pathog. 2019 Mar 4;15(3):e1007643. doi: 10.1371/journal.ppat.1007643. eCollection 2019 Mar.","Rodo MJ","PLoS Pathog","2019","2019/03/05","PMC6417742","","10.1371/journal.ppat.1007643"
"31999736","Landscapes of binding antibody and T-cell responses to pox-protein HIV vaccines in Thais and South Africans","Zhao LP, Fiore-Gartland A, Carpp LN, Cohen KW, Rouphael N, Fleurs L, Dintwe O, Zhao M, Moodie Z, Fong Y, Garrett N, Huang Y, Innes C, Janes HE, Lazarus E, Michael NL, Nitayaphan S, Pitisuttithum P, Rerks-Ngarm S, Robb ML, De Rosa SC, Corey L, Gray GE, Seaton KE, Yates NL, McElrath MJ, Frahm N, Tomaras GD, Gilbert PB.","PLoS One. 2020 Jan 30;15(1):e0226803. doi: 10.1371/journal.pone.0226803. eCollection 2020.","Zhao LP","PLoS One","2020","2020/01/31","PMC6992005","","10.1371/journal.pone.0226803"
"23737382","Heterologous vaccination against human tuberculosis modulates antigen-specific CD4+ T-cell function","Dintwe OB, Day CL, Smit E, Nemes E, Gray C, Tameris M, McShane H, Mahomed H, Hanekom WA, Scriba TJ.","Eur J Immunol. 2013 Sep;43(9):2409-20. doi: 10.1002/eji.201343454. Epub 2013 Jul 8.","Dintwe OB","Eur J Immunol","2013","2013/06/06","PMC3816254","NIHMS511012","10.1002/eji.201343454"
"29545791","Functional, Antigen-Specific Stem Cell Memory (T(SCM)) CD4(+) T Cells Are Induced by Human Mycobacterium tuberculosis Infection","Mpande CAM, Dintwe OB, Musvosvi M, Mabwe S, Bilek N, Hatherill M, Nemes E, Scriba TJ; SATVI Clinical Immunology Team.","Front Immunol. 2018 Mar 1;9:324. doi: 10.3389/fimmu.2018.00324. eCollection 2018.","Mpande CAM","Front Immunol","2018","2018/03/17","PMC5839236","","10.3389/fimmu.2018.00324"
"23284056","Varicella zoster-specific CD4+Foxp3+ T cells accumulate after cutaneous antigen challenge in humans","Vukmanovic-Stejic M, Sandhu D, Sobande TO, Agius E, Lacy KE, Riddell N, Montez S, Dintwe OB, Scriba TJ, Breuer J, Nikolich-Zugich J, Ogg G, Rustin MH, Akbar AN.","J Immunol. 2013 Feb 1;190(3):977-86. doi: 10.4049/jimmunol.1201331. Epub 2013 Jan 2.","Vukmanovic-Stejic M","J Immunol","2013","2013/01/04","PMC3552094","NIHMS423698","10.4049/jimmunol.1201331"
"30919583","OMIP-056: Evaluation of Human Conventional T Cells, Donor-Unrestricted T Cells, and NK Cells Including Memory Phenotype by Intracellular Cytokine Staining","Dintwe O, Rohith S, Schwedhelm KV, McElrath MJ, Andersen-Nissen E, De Rosa SC.","Cytometry A. 2019 Jul;95(7):722-725. doi: 10.1002/cyto.a.23753. Epub 2019 Mar 28.","Dintwe O","Cytometry A","2019","2019/03/29","PMC6663658","NIHMS1018447","10.1002/cyto.a.23753"
