PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35081293","Homologous and Heterologous Covid-19 Booster Vaccinations","Atmar RL, Lyke KE, Deming ME, Jackson LA, Branche AR, El Sahly HM, Rostad CA, Martin JM, Johnston C, Rupp RE, Mulligan MJ, Brady RC, Frenck RW Jr, Bäcker M, Kottkamp AC, Babu TM, Rajakumar K, Edupuganti S, Dobrzynski D, Coler RN, Posavad CM, Archer JI, Crandon S, Nayak SU, Szydlo D, Zemanek JA, Dominguez Islas CP, Brown ER, Suthar MS, McElrath MJ, McDermott AB, O'Connell SE, Montefiori DC, Eaton A, Neuzil KM, Stephens DS, Roberts PC, Beigel JH; DMID 21-0012 Study Group.","N Engl J Med. 2022 Mar 17;386(11):1046-1057. doi: 10.1056/NEJMoa2116414. Epub 2022 Jan 26.","Atmar RL","N Engl J Med","2022","2022/01/26","PMC8820244","","10.1056/NEJMoa2116414"
"35485631","Bayesian approaches to fixed effects meta-analysis","Domínguez Islas C, Rice KM.","Res Synth Methods. 2022 Jul;13(4):520-532. doi: 10.1002/jrsm.1566. Epub 2022 May 15.","Domínguez Islas C","Res Synth Methods","2022","2022/04/29","","","10.1002/jrsm.1566"
"37433788","Immunogenicity of NVX-CoV2373 heterologous boost against SARS-CoV-2 variants","Lyke KE, Atmar RL, Dominguez Islas C, Posavad CM, Deming ME, Branche AR, Johnston C, El Sahly HM, Edupuganti S, Mulligan MJ, Jackson LA, Rupp RE, Rostad CA, Coler RN, Bäcker M, Kottkamp AC, Babu TM, Dobrzynski D, Martin JM, Brady RC, Frenck RW Jr, Rajakumar K, Kotloff K, Rouphael N, Szydlo D, PaulChoudhury R, Archer JI, Crandon S, Ingersoll B, Eaton A, Brown ER, McElrath MJ, Neuzil KM, Stephens DS, Post DJ, Lin BC, Serebryannyy L, Beigel JH, Montefiori DC, Roberts PC; DMID 21-0012 Study Group.","NPJ Vaccines. 2023 Jul 11;8(1):98. doi: 10.1038/s41541-023-00693-z.","Lyke KE","NPJ Vaccines","2023","2023/07/11","PMC10336079","","10.1038/s41541-023-00693-z"
"28571631","Maternal and Fetal Outcomes of Anticoagulation in Pregnant Women With Mechanical Heart Valves","Steinberg ZL, Dominguez-Islas CP, Otto CM, Stout KK, Krieger EV.","J Am Coll Cardiol. 2017 Jun 6;69(22):2681-2691. doi: 10.1016/j.jacc.2017.03.605.","Steinberg ZL","J Am Coll Cardiol","2017","2017/06/03","PMC5457289","","10.1016/j.jacc.2017.03.605"
"34596427","Acceptability of a Dapivirine Gel Administered Rectally to HIV-1 Seronegative Adults (MTN-033 Study)","Bauermeister JA, Tingler RC, Johnson S, Macagna N, Lucas J, Dominguez-Islas C, Szydlo D, Ngo J, Jacobson CE, Kramzer L, Singh D, Dezzutti CS, Kunjara Na Ayudhya RP, Piper J, Devlin B, Hendrix CW, Ho K; MTN-033 Protocol Team.","AIDS Educ Prev. 2021 Oct;33(5):361-376. doi: 10.1521/aeap.2021.33.5.361.","Bauermeister JA","AIDS Educ Prev","2021","2021/10/01","PMC8637489","NIHMS1759386","10.1521/aeap.2021.33.5.361"
"29574827","Addressing the estimation of standard errors in fixed effects meta-analysis","Domínguez Islas C, Rice KM.","Stat Med. 2018 May 20;37(11):1788-1809. doi: 10.1002/sim.7625. Epub 2018 Mar 25.","Domínguez Islas C","Stat Med","2018","2018/03/26","PMC6001579","","10.1002/sim.7625"
"36255254","MTN-033: a Phase 1 Study Comparing Applicator versus ""as Lubricant"" Delivery of Rectal Dapivirine Gel","Ho K, Dominguez-Islas C, Szydlo D, Edick S, Macagna N, Riddler SA, Brand RM, Jacobson CE, Kramzer L, Kunjara Na Ayudhya RP, Piper J, Marzinke MA, Bauermeister J, Nuttall J, Hillier SL, Hendrix CW.","Antimicrob Agents Chemother. 2022 Nov 15;66(11):e0081622. doi: 10.1128/aac.00816-22. Epub 2022 Oct 18.","Ho K","Antimicrob Agents Chemother","2022","2022/10/18","PMC9664840","","10.1128/aac.00816-22"
"30488475","Incorporating external evidence on between-trial heterogeneity in network meta-analysis","Turner RM, Domínguez-Islas CP, Jackson D, Rhodes KM, White IR.","Stat Med. 2019 Apr 15;38(8):1321-1335. doi: 10.1002/sim.8044. Epub 2018 Nov 28.","Turner RM","Stat Med","2019","2018/11/30","PMC6492109","","10.1002/sim.8044"
"36210460","Response to Hemilä and Chalker's ""Pitfalls in choosing data examples for methodological work: Bayesian approaches to a fixed effects meta-analysis of zinc lozenges for the common cold""","Domínguez Islas CP, Rice KM.","Res Synth Methods. 2023 Jan;14(1):2. doi: 10.1002/jrsm.1600. Epub 2022 Oct 19.","Domínguez Islas CP","Res Synth Methods","2023","2022/10/09","","","10.1002/jrsm.1600"
"34665672","Acceptability and Preference for 3-Month Versus 1-Month Vaginal Rings for HIV-1 Risk Reduction Among Participants in a Phase 1 Trial","Roberts ST, Hawley I, Luecke E, Mensch B, Wagner T, Hoesley C, McClure T, Dominguez Islas CP, Piper JM, Liu AY, van der Straten A.","J Womens Health (Larchmt). 2022 Jul;31(7):1029-1039. doi: 10.1089/jwh.2021.0121. Epub 2021 Oct 19.","Roberts ST","J Womens Health (Larchmt)","2022","2021/10/19","PMC9299526","","10.1089/jwh.2021.0121"
"34118115","Phase 1 pharmacokinetics and safety study of extended duration dapivirine vaginal rings in the United States","Liu AY, Dominguez Islas C, Gundacker H, Neradilek B, Hoesley C, van der Straten A, Hendrix CW, Beamer M, Jacobson CE, McClure T, Harrell T, Bunge K, Devlin B, Nuttall J, Spence P, Steytler J, Piper JM, Marzinke MA; MTN-036/IPM 047 Protocol Team for the Microbicide Trials Network.","J Int AIDS Soc. 2021 Jun;24(6):e25747. doi: 10.1002/jia2.25747.","Liu AY","J Int AIDS Soc","2021","2021/06/12","PMC8196716","","10.1002/jia2.25747"
"34498980","A Randomized, Double Blind, Placebo-Controlled, Phase 1 Safety, and Pharmacokinetic Study of Dapivirine Gel (0.05%) Administered Rectally to HIV-1 Seronegative Adults (MTN-026)","Cranston RD, Brown E, Bauermeister J, Dunne EF, Hoesley C, Ho K, Johnson S, Lucas J, Dominguez-Islas C, Gundacker H, Peda M, Jacobson CE, Kramzer L, Singh D, Dezzutti CS, Kunjara Na Ayudhya RP, Brand RM, Wang L, Marzinke MA, Piper J, Devlin B, Nuttall J, McGowan I, Hendrix CW.","AIDS Res Hum Retroviruses. 2022 Apr;38(4):257-268. doi: 10.1089/AID.2021.0071. Epub 2021 Dec 6.","Cranston RD","AIDS Res Hum Retroviruses","2022","2021/09/09","PMC9048178","","10.1089/AID.2021.0071"
"35684031","Consumption of Micronutrient Powder, Syrup or Fortified Food Significantly Improves Zinc and Iron Status in Young Mexican Children: A Cluster Randomized Trial","García-Guerra A, Rivera JA, Neufeld LM, Quezada-Sánchez AD, Dominguez Islas C, Fernández-Gaxiola AC, Bonvecchio Arenas A.","Nutrients. 2022 May 27;14(11):2231. doi: 10.3390/nu14112231.","García-Guerra A","Nutrients","2022","2022/06/10","PMC9183015","","10.3390/nu14112231"
"37043527","A randomized trial of safety, acceptability and adherence of three rectal microbicide placebo formulations among young sexual and gender minorities who engage in receptive anal intercourse (MTN-035)","Bauermeister JA, Dominguez Islas C, Jiao Y, Tingler R, Brown E, Zemanek J, Giguere R, Balan I, Johnson S, Macagna N, Lucas J, Rose M, Jacobson C, Collins C, Livant E, Singh D, Ho K, Hoesley C, Liu A, Kayange N, Palanee-Phillips T, Chariyalertsak S, Gonzales P, Piper J; MTN-035 Protocol Team.","PLoS One. 2023 Apr 12;18(4):e0284339. doi: 10.1371/journal.pone.0284339. eCollection 2023.","Bauermeister JA","PLoS One","2023","2023/04/12","PMC10096248","","10.1371/journal.pone.0284339"
"20464227","Anemia in Mexican women: results of two national probabilistic surveys","Shamah-Levy T, Villalpando-Hernández S, García-Guerra A, Mundo-Rosas V, Mejía-Rodríguez F, Domínguez-Islas CP.","Salud Publica Mex. 2009;51 Suppl 4:S515-22. doi: 10.1590/s0036-36342009001000006.","Shamah-Levy T","Salud Publica Mex","2009","2010/05/14","","","10.1590/s0036-36342009001000006"
"27820656","Insulinlike Growth Factor Binding Protein-1 and Ghrelin Predict Health Outcomes Among Older Adults: Cardiovascular Health Study Cohort","Kaplan RC, Strizich G, Aneke-Nash C, Dominguez-Islas C, Bužková P, Strickler H, Rohan T, Pollak M, Kuller L, Kizer JR, Cappola A, Li CI, Psaty BM, Newman A.","J Clin Endocrinol Metab. 2017 Jan 1;102(1):267-278. doi: 10.1210/jc.2016-2779.","Kaplan RC","J Clin Endocrinol Metab","2017","2016/11/08","PMC5413102","","10.1210/jc.2016-2779"
"21698100","A randomized placebo-controlled trial of acetaminophen for prevention of post-vaccination fever in infants","Jackson LA, Peterson D, Dunn J, Hambidge SJ, Dunstan M, Starkovich P, Yu O, Benoit J, Dominguez-Islas CP, Carste B, Benson P, Nelson JC.","PLoS One. 2011;6(6):e20102. doi: 10.1371/journal.pone.0020102. Epub 2011 Jun 17.","Jackson LA","PLoS One","2011","2011/06/24","PMC3117800","","10.1371/journal.pone.0020102"
"26774400","Agreement between circulating IGF-I, IGFBP-1 and IGFBP-3 levels measured by current assays versus unavailable assays previously used in epidemiological studies","Aneke-Nash CS, Dominguez-Islas C, Bůžková P, Qi Q, Xue X, Pollak M, Strickler HD, Kaplan RC.","Growth Horm IGF Res. 2016 Feb;26:11-6. doi: 10.1016/j.ghir.2015.12.007. Epub 2015 Dec 8.","Aneke-Nash CS","Growth Horm IGF Res","2016","2016/01/18","PMC4724357","NIHMS745157","10.1016/j.ghir.2015.12.007"
"23292957","Adapting group sequential methods to observational postlicensure vaccine safety surveillance: results of a pentavalent combination DTaP-IPV-Hib vaccine safety study","Nelson JC, Yu O, Dominguez-Islas CP, Cook AJ, Peterson D, Greene SK, Yih WK, Daley MF, Jacobsen SJ, Klein NP, Weintraub ES, Broder KR, Jackson LA.","Am J Epidemiol. 2013 Jan 15;177(2):131-41. doi: 10.1093/aje/kws317. Epub 2013 Jan 4.","Nelson JC","Am J Epidemiol","2013","2013/01/08","","","10.1093/aje/kws317"
