PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35152299","Self-Assessed Severity as a Determinant of Coronavirus Disease 2019 Symptom Specificity: A Longitudinal Cohort Study","Bershteyn A, Dahl AM, Dong TQ, Deming ME, Celum CL, Chu HY, Kottkamp AC, Greninger AL, Hoffman RM, Jerome KR, Johnston CM, Kissinger PJ, Landovitz RJ, Laufer MK, Luk A, Neuzil KM, Paasche-Orlow MK, Pitts RA, Schwartz MD, Stankiewicz Karita HC, Thorpe LE, Wald A, Zheng CY, Wener MH, Barnabas RV, Brown ER.","Clin Infect Dis. 2022 Aug 24;75(1):e1180-e1183. doi: 10.1093/cid/ciac129.","Bershteyn A","Clin Infect Dis","2022","2022/02/13","PMC8903379","","10.1093/cid/ciac129"
"33824039","Modeling and presentation of vaccination coverage estimates using data from household surveys","Dong TQ, Wakefield J.","Vaccine. 2021 Apr 28;39(18):2584-2594. doi: 10.1016/j.vaccine.2021.03.007. Epub 2021 Apr 3.","Dong TQ","Vaccine","2021","2021/04/07","PMC9384691","NIHMS1828516","10.1016/j.vaccine.2021.03.007"
"37490631","A joint Bayesian hierarchical model for estimating SARS-CoV-2 genomic and subgenomic RNA viral dynamics and seroconversion","Dong TQ, Brown ER.","Biostatistics. 2023 Jul 25:kxad016. doi: 10.1093/biostatistics/kxad016. Online ahead of print.","Dong TQ","Biostatistics","2023","2023/07/25","","","10.1093/biostatistics/kxad016"
"35604806","Implementation of a fully remote randomized clinical trial with cardiac monitoring","Mayfield JJ, Chatterjee NA, Noseworthy PA, Poole JE, Ackerman MJ, Stewart J, Kissinger PJ, Dwyer J, Hosek S, Oyedele T, Paasche-Orlow MK, Paolino K, Friedman PA, Waters C, Moreno J, Leingang H, Heller KB, Morrison SA, Krows ML, Barnabas RV, Baeten J, Johnston C; COVID-19 Early Treatment Team; Sridhar AR.","Commun Med (Lond). 2021 Dec 20;1:62. doi: 10.1038/s43856-021-00052-w. eCollection 2021.","Mayfield JJ","Commun Med (Lond)","2021","2022/05/23","PMC9053200","","10.1038/s43856-021-00052-w"
"32532542","Impact of state weights on national vaccination coverage estimates from household surveys in Nigeria","Dong TQ, Rhoda DA, Mercer LD.","Vaccine. 2020 Jul 6;38(32):5060-5070. doi: 10.1016/j.vaccine.2020.05.026. Epub 2020 Jun 10.","Dong TQ","Vaccine","2020","2020/06/14","PMC7327524","","10.1016/j.vaccine.2020.05.026"
"35150571","Detection and Kinetics of Subgenomic Severe Acute Respiratory Syndrome Coronavirus 2 RNA Viral Load in Longitudinal Diagnostic RNA-Positive Samples","Deming ME, Dong TQ, Agrawal V, Mills MG, Huang MLW, Greninger AL, Jerome KR, Wener MH, Paasche-Orlow MK, Kissinger P, Luk A, Hoffman RM, Stewart J, Kottkamp AC, Bershteyn A, Chu HY, Stankiewicz Karita HC, Johnston CM, Wald A, Barnabas R, Brown ER, Neuzil KM.","J Infect Dis. 2022 Sep 13;226(5):788-796. doi: 10.1093/infdis/jiac048.","Deming ME","J Infect Dis","2022","2022/02/12","PMC8903395","","10.1093/infdis/jiac048"
"35006245","Trajectory of Viral RNA Load Among Persons With Incident SARS-CoV-2 G614 Infection (Wuhan Strain) in Association With COVID-19 Symptom Onset and Severity","Stankiewicz Karita HC, Dong TQ, Johnston C, Neuzil KM, Paasche-Orlow MK, Kissinger PJ, Bershteyn A, Thorpe LE, Deming M, Kottkamp A, Laufer M, Landovitz RJ, Luk A, Hoffman R, Roychoudhury P, Magaret CA, Greninger AL, Huang ML, Jerome KR, Wener M, Celum C, Chu HY, Baeten JM, Wald A, Barnabas RV, Brown ER.","JAMA Netw Open. 2022 Jan 4;5(1):e2142796. doi: 10.1001/jamanetworkopen.2021.42796.","Stankiewicz Karita HC","JAMA Netw Open","2022","2022/01/10","PMC8749477","","10.1001/jamanetworkopen.2021.42796"
"33681731","Hydroxychloroquine with or without azithromycin for treatment of early SARS-CoV-2 infection among high-risk outpatient adults: A randomized clinical trial","Johnston C, Brown ER, Stewart J, Karita HCS, Kissinger PJ, Dwyer J, Hosek S, Oyedele T, Paasche-Orlow MK, Paolino K, Heller KB, Leingang H, Haugen HS, Dong TQ, Bershteyn A, Sridhar AR, Poole J, Noseworthy PA, Ackerman MJ, Morrison S, Greninger AL, Huang ML, Jerome KR, Wener MH, Wald A, Schiffer JT, Celum C, Chu HY, Barnabas RV, Baeten JM; COVID-19 Early Treatment Study Team.","EClinicalMedicine. 2021 Mar;33:100773. doi: 10.1016/j.eclinm.2021.100773. Epub 2021 Feb 27.","Johnston C","EClinicalMedicine","2021","2021/03/08","PMC7912360","","10.1016/j.eclinm.2021.100773"
"31420059","Impact of nucleic acid amplification test on pulmonary tuberculosis notifications and treatments in Taiwan: a 7-year single-center cohort study","Wu CW, Wu YK, Lan CC, Yang MC, Dong TQ, Tzeng IS, Hsiao SS.","BMC Infect Dis. 2019 Aug 16;19(1):726. doi: 10.1186/s12879-019-4358-8.","Wu CW","BMC Infect Dis","2019","2019/08/18","PMC6697961","","10.1186/s12879-019-4358-8"
"22423847","Melting of monatomic glass with free surfaces","Hoang VV, Dong TQ.","J Chem Phys. 2012 Mar 14;136(10):104506. doi: 10.1063/1.3694532.","Hoang VV","J Chem Phys","2012","2012/03/20","","","10.1063/1.3694532"
