PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31132024","A review of 65 years of human adenovirus seroprevalence","Mennechet FJD, Paris O, Ouoba AR, Salazar Arenas S, Sirima SB, Takoudjou Dzomo GR, Diarra A, Traore IT, Kania D, Eichholz K, Weaver EA, Tuaillon E, Kremer EJ.","Expert Rev Vaccines. 2019 Jun;18(6):597-613. doi: 10.1080/14760584.2019.1588113. Epub 2019 May 27.","Mennechet FJD","Expert Rev Vaccines","2019","2019/05/28","","","10.1080/14760584.2019.1588113"
"26325242","Ebola virus vaccine: benefit and risks of adenovirus-based vectors","Mennechet FJ, Tran TT, Eichholz K, van de Perre P, Kremer EJ.","Expert Rev Vaccines. 2015;14(11):1471-8. doi: 10.1586/14760584.2015.1083429. Epub 2015 Aug 31.","Mennechet FJ","Expert Rev Vaccines","2015","2015/09/02","","","10.1586/14760584.2015.1083429"
"35080426","Adenovirus-α-Defensin Complexes Induce NLRP3-Associated Maturation of Human Phagocytes via Toll-Like Receptor 4 Engagement","Eichholz K, Tran TH, Chéneau C, Tran TTP, Paris O, Pugniere M, Kremer EJ.","J Virol. 2022 Mar 23;96(6):e0185021. doi: 10.1128/jvi.01850-21. Epub 2022 Jan 26.","Eichholz K","J Virol","2022","2022/01/26","PMC8941863","","10.1128/jvi.01850-21"
"28990553","[Anti-adenovirus humoral immunity: impact on dendritic cell activation]","Mennechet FJD, Eichholz K, Tran TTP, Kremer EJ.","Med Sci (Paris). 2017 Jun-Jul;33(6-7):582-585. doi: 10.1051/medsci/20173306008. Epub 2017 Jul 19.","Mennechet FJD","Med Sci (Paris)","2017","2017/10/10","","","10.1051/medsci/20173306008"
"33473359","CRISPR-Cas9 gene editing of hepatitis B virus in chronically infected humanized mice","Stone D, Long KR, Loprieno MA, De Silva Feelixge HS, Kenkel EJ, Liley RM, Rapp S, Roychoudhury P, Nguyen T, Stensland L, Colón-Thillet R, Klouser LM, Weber ND, Le C, Wagoner J, Goecker EA, Li AZ, Eichholz K, Corey L, Tyrrell DL, Greninger AL, Huang ML, Polyak SJ, Aubert M, Sagartz JE, Jerome KR.","Mol Ther Methods Clin Dev. 2020 Nov 26;20:258-275. doi: 10.1016/j.omtm.2020.11.014. eCollection 2021 Mar 12.","Stone D","Mol Ther Methods Clin Dev","2020","2021/01/21","PMC7803634","","10.1016/j.omtm.2020.11.014"
"34093588","Lactoferrin Retargets Human Adenoviruses to TLR4 to Induce an Abortive NLRP3-Associated Pyroptotic Response in Human Phagocytes","Chéneau C, Eichholz K, Tran TH, Tran TTP, Paris O, Henriquet C, Bajramovic JJ, Pugniere M, Kremer EJ.","Front Immunol. 2021 May 20;12:685218. doi: 10.3389/fimmu.2021.685218. eCollection 2021.","Chéneau C","Front Immunol","2021","2021/06/07","PMC8173049","","10.3389/fimmu.2021.685218"
"34485613","Immune inactivation of anti-simian immunodeficiency virus chimeric antigen receptor T cells in rhesus macaques","Haeseleer F, Fukazawa Y, Park H, Varco-Merth B, Rust BJ, Smedley JV, Eichholz K, Peterson CW, Mason R, Kiem HP, Roederer M, Picker LJ, Okoye AA, Corey L.","Mol Ther Methods Clin Dev. 2021 Jun 24;22:304-319. doi: 10.1016/j.omtm.2021.06.008. eCollection 2021 Sep 10.","Haeseleer F","Mol Ther Methods Clin Dev","2021","2021/09/06","PMC8403686","","10.1016/j.omtm.2021.06.008"
"27636895","Immune-Complexed Adenovirus Induce AIM2-Mediated Pyroptosis in Human Dendritic Cells","Eichholz K, Bru T, Tran TT, Fernandes P, Welles H, Mennechet FJ, Manel N, Alves P, Perreau M, Kremer EJ.","PLoS Pathog. 2016 Sep 16;12(9):e1005871. doi: 10.1371/journal.ppat.1005871. eCollection 2016 Sep.","Eichholz K","PLoS Pathog","2016","2016/09/17","PMC5026364","","10.1371/journal.ppat.1005871"
"34155235","A CAR RNA FISH assay to study functional and spatial heterogeneity of chimeric antigen receptor T cells in tissue","Eichholz K, Li AZ, Diem K, Jensen MC, Zhu J, Corey L.","Sci Rep. 2021 Jun 21;11(1):12921. doi: 10.1038/s41598-021-92196-x.","Eichholz K","Sci Rep","2021","2021/06/22","PMC8217486","","10.1038/s41598-021-92196-x"
"34462503","Author Correction: A CAR RNA FISH assay to study functional and spatial heterogeneity of chimeric antigen receptor T cells in tissue","Eichholz K, Li AZ, Diem K, Jensen MC, Zhu J, Corey L.","Sci Rep. 2021 Aug 30;11(1):17650. doi: 10.1038/s41598-021-96979-0.","Eichholz K","Sci Rep","2021","2021/08/31","PMC8405663","","10.1038/s41598-021-96979-0"
