PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26969258","Isavuconazole treatment for mucormycosis: a single-arm open-label trial and case-control analysis","Marty FM, Ostrosky-Zeichner L, Cornely OA, Mullane KM, Perfect JR, Thompson GR 3rd, Alangaden GJ, Brown JM, Fredricks DN, Heinz WJ, Herbrecht R, Klimko N, Klyasova G, Maertens JA, Melinkeri SR, Oren I, Pappas PG, Ráčil Z, Rahav G, Santos R, Schwartz S, Vehreschild JJ, Young JH, Chetchotisakd P, Jaruratanasirikul S, Kanj SS, Engelhardt M, Kaufhold A, Ito M, Lee M, Sasse C, Maher RM, Zeiher B, Vehreschild MJGT; VITAL and FungiScope Mucormycosis Investigators.","Lancet Infect Dis. 2016 Jul;16(7):828-837. doi: 10.1016/S1473-3099(16)00071-2. Epub 2016 Mar 9.","Marty FM","Lancet Infect Dis","2016","2016/03/13","","","10.1016/S1473-3099(16)00071-2"
"34802773","Diagnosis of infectious diseases in immunocompromised hosts using metagenomic next generation sequencing-based diagnostics","Casto AM, Fredricks DN, Hill JA.","Blood Rev. 2022 May;53:100906. doi: 10.1016/j.blre.2021.100906. Epub 2021 Nov 6.","Casto AM","Blood Rev","2022","2021/11/22","","","10.1016/j.blre.2021.100906"
"33675793","Association between postmenopausal vulvovaginal discomfort, vaginal microbiota, and mucosal inflammation","Mitchell CM, Ma N, Mitchell AJ, Wu MC, Valint DJ, Proll S, Reed SD, Guthrie KA, Lacroix AZ, Larson JC, Pepin R, Raftery D, Fredricks DN, Srinivasan S.","Am J Obstet Gynecol. 2021 Aug;225(2):159.e1-159.e15. doi: 10.1016/j.ajog.2021.02.034. Epub 2021 Mar 4.","Mitchell CM","Am J Obstet Gynecol","2021","2021/03/06","PMC8328873","NIHMS1679870","10.1016/j.ajog.2021.02.034"
"35353163","Impact of Topical Interventions on the Vaginal Microbiota and Metabolome in Postmenopausal Women: A Secondary Analysis of a Randomized Clinical Trial","Srinivasan S, Hua X, Wu MC, Proll S, Valint DJ, Reed SD, Guthrie KA, LaCroix AZ, Larson JC, Pepin R, Bhasin S, Raftery D, Fredricks DN, Mitchell CM.","JAMA Netw Open. 2022 Mar 1;5(3):e225032. doi: 10.1001/jamanetworkopen.2022.5032.","Srinivasan S","JAMA Netw Open","2022","2022/03/30","PMC8968546","","10.1001/jamanetworkopen.2022.5032"
"31042160","The gut microbiota and graft-versus-host disease","Fredricks DN.","J Clin Invest. 2019 May 1;129(5):1808-1817. doi: 10.1172/JCI125797. Epub 2019 May 1.","Fredricks DN","J Clin Invest","2019","2019/05/02","PMC6486325","","10.1172/JCI125797"
"32544944","Evidence in Microbiome Science: Standards for the Field (and Laboratory)","Fredricks DN.","Clin Infect Dis. 2021 May 4;72(9):1514-1516. doi: 10.1093/cid/ciaa766.","Fredricks DN","Clin Infect Dis","2021","2020/06/17","","","10.1093/cid/ciaa766"
"33104186","COVID-19-Lessons Learned and Questions Remaining","Fang FC, Benson CA, Del Rio C, Edwards KM, Fowler VG, Fredricks DN, Limaye AP, Murray BE, Naggie S, Pappas PG, Patel R, Paterson DL, Pegues DA, Petri WA, Schooley RT.","Clin Infect Dis. 2021 Jun 15;72(12):2225-2240. doi: 10.1093/cid/ciaa1654.","Fang FC","Clin Infect Dis","2021","2020/10/26","PMC7797746","","10.1093/cid/ciaa1654"
"29020151","Viruses Associated With Unexplained Acute Liver Failure: Next Generation Reveals the Last Generation","Fredricks DN.","Clin Infect Dis. 2017 Oct 16;65(9):1486-1488. doi: 10.1093/cid/cix597.","Fredricks DN","Clin Infect Dis","2017","2017/10/12","","","10.1093/cid/cix597"
"31550285","Optimizing bacterial DNA extraction in urine","Munch MM, Chambers LC, Manhart LE, Domogala D, Lopez A, Fredricks DN, Srinivasan S.","PLoS One. 2019 Sep 24;14(9):e0222962. doi: 10.1371/journal.pone.0222962. eCollection 2019.","Munch MM","PLoS One","2019","2019/09/25","PMC6759279","","10.1371/journal.pone.0222962"
"19968513","PCR-based diagnosis of human fungal infections","Khot PD, Fredricks DN.","Expert Rev Anti Infect Ther. 2009 Dec;7(10):1201-21. doi: 10.1586/eri.09.104.","Khot PD","Expert Rev Anti Infect Ther","2009","2009/12/09","PMC2845394","NIHMS169086","10.1586/eri.09.104"
