PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35551291","Safety and antiviral activity of triple combination broadly neutralizing monoclonal antibody therapy against HIV-1: a phase 1 clinical trial","Julg B, Stephenson KE, Wagh K, Tan SC, Zash R, Walsh S, Ansel J, Kanjilal D, Nkolola J, Walker-Sperling VEK, Ophel J, Yanosick K, Borducchi EN, Maxfield L, Abbink P, Peter L, Yates NL, Wesley MS, Hassell T, Gelderblom HC, deCamp A, Mayer BT, Sato A, Gerber MW, Giorgi EE, Gama L, Koup RA, Mascola JR, Monczor A, Lupo S, Rolle CP, Arduino R, DeJesus E, Tomaras GD, Seaman MS, Korber B, Barouch DH.","Nat Med. 2022 Jun;28(6):1288-1296. doi: 10.1038/s41591-022-01815-1. Epub 2022 May 12.","Julg B","Nat Med","2022","2022/05/13","PMC9205771","","10.1038/s41591-022-01815-1"
"35995954","Neutralization titer biomarker for antibody-mediated prevention of HIV-1 acquisition","Gilbert PB, Huang Y, deCamp AC, Karuna S, Zhang Y, Magaret CA, Giorgi EE, Korber B, Edlefsen PT, Rossenkhan R, Juraska M, Rudnicki E, Kochar N, Huang Y, Carpp LN, Barouch DH, Mkhize NN, Hermanus T, Kgagudi P, Bekker V, Kaldine H, Mapengo RE, Eaton A, Domin E, West C, Feng W, Tang H, Seaton KE, Heptinstall J, Brackett C, Chiong K, Tomaras GD, Andrew P, Mayer BT, Reeves DB, Sobieszczyk ME, Garrett N, Sanchez J, Gay C, Makhema J, Williamson C, Mullins JI, Hural J, Cohen MS, Corey L, Montefiori DC, Morris L.","Nat Med. 2022 Sep;28(9):1924-1932. doi: 10.1038/s41591-022-01953-6. Epub 2022 Aug 22.","Gilbert PB","Nat Med","2022","2022/08/22","PMC9499869","","10.1038/s41591-022-01953-6"
"37384759","Neutralization profiles of HIV-1 viruses from the VRC01 Antibody Mediated Prevention (AMP) trials","Mkhize NN, Yssel AEJ, Kaldine H, van Dorsten RT, Woodward Davis AS, Beaume N, Matten D, Lambson B, Modise T, Kgagudi P, York T, Westfall DH, Giorgi EE, Korber B, Anthony C, Mapengo RE, Bekker V, Domin E, Eaton A, Deng W, DeCamp A, Huang Y, Gilbert PB, Gwashu-Nyangiwe A, Thebus R, Ndabambi N, Mielke D, Mgodi N, Karuna S, Edupuganti S, Seaman MS, Corey L, Cohen MS, Hural J, McElrath MJ, Mullins JI, Montefiori D, Moore PL, Williamson C, Morris L.","PLoS Pathog. 2023 Jun 29;19(6):e1011469. doi: 10.1371/journal.ppat.1011469. eCollection 2023 Jun.","Mkhize NN","PLoS Pathog","2023","2023/06/29","PMC10337935","","10.1371/journal.ppat.1011469"
"30355496","Completeness of HIV-1 Envelope Glycan Shield at Transmission Determines Neutralization Breadth","Wagh K, Kreider EF, Li Y, Barbian HJ, Learn GH, Giorgi E, Hraber PT, Decker TG, Smith AG, Gondim MV, Gillis L, Wandzilak J, Chuang GY, Rawi R, Cai F, Pellegrino P, Williams I, Overbaugh J, Gao F, Kwong PD, Haynes BF, Shaw GM, Borrow P, Seaman MS, Hahn BH, Korber B.","Cell Rep. 2018 Oct 23;25(4):893-908.e7. doi: 10.1016/j.celrep.2018.09.087.","Wagh K","Cell Rep","2018","2018/10/26","PMC6426304","NIHMS1511530","10.1016/j.celrep.2018.09.087"
"36787249","Trivalent mosaic or consensus HIV immunogens prime humoral and broader cellular immune responses in adults","Cohen KW, Fiore-Gartland A, Walsh SR, Yusim K, Frahm N, Elizaga ML, Maenza J, Scott H, Mayer KH, Goepfert PA, Edupuganti S, Pantaleo G, Hutter J, Morris DE, De Rosa SC, Geraghty DE, Robb ML, Michael NL, Fischer W, Giorgi EE, Malhi H, Pensiero MN, Ferrari G, Tomaras GD, Montefiori DC, Gilbert PB, McElrath MJ, Haynes BF, Korber BT, Baden LR; NIAID HVTN 106 Study Group.","J Clin Invest. 2023 Feb 15;133(4):e163338. doi: 10.1172/JCI163338.","Cohen KW","J Clin Invest","2023","2023/02/14","PMC9927951","","10.1172/JCI163338"
"37300931","Pharmacokinetic serum concentrations of VRC01 correlate with prevention of HIV-1 acquisition","Seaton KE, Huang Y, Karuna S, Heptinstall JR, Brackett C, Chiong K, Zhang L, Yates NL, Sampson M, Rudnicki E, Juraska M, deCamp AC, Edlefsen PT, Mullins JI, Williamson C, Rossenkhan R, Giorgi EE, Kenny A, Angier H, Randhawa A, Weiner JA, Rojas M, Sarzotti-Kelsoe M, Zhang L, Sawant S, Ackerman ME, McDermott AB, Mascola JR, Hural J, McElrath MJ, Andrew P, Hidalgo JA, Clark J, Laher F, Orrell C, Frank I, Gonzales P, Edupuganti S, Mgodi N, Corey L, Morris L, Montefiori D, Cohen MS, Gilbert PB, Tomaras GD.","EBioMedicine. 2023 Jul;93:104590. doi: 10.1016/j.ebiom.2023.104590. Epub 2023 Jun 8.","Seaton KE","EBioMedicine","2023","2023/06/10","PMC10363420","","10.1016/j.ebiom.2023.104590"
"25142591","Impact of clade, geography, and age of the epidemic on HIV-1 neutralization by antibodies","Hraber P, Korber BT, Lapedes AS, Bailer RT, Seaman MS, Gao H, Greene KM, McCutchan F, Williamson C, Kim JH, Tovanabutra S, Hahn BH, Swanstrom R, Thomson MM, Gao F, Harris L, Giorgi E, Hengartner N, Bhattacharya T, Mascola JR, Montefiori DC.","J Virol. 2014 Nov;88(21):12623-43. doi: 10.1128/JVI.01705-14. Epub 2014 Aug 20.","Hraber P","J Virol","2014","2014/08/22","PMC4248897","","10.1128/JVI.01705-14"
"34621054","Safety, pharmacokinetics and antiviral activity of PGT121, a broadly neutralizing monoclonal antibody against HIV-1: a randomized, placebo-controlled, phase 1 clinical trial","Stephenson KE, Julg B, Tan CS, Zash R, Walsh SR, Rolle CP, Monczor AN, Lupo S, Gelderblom HC, Ansel JL, Kanjilal DG, Maxfield LF, Nkolola J, Borducchi EN, Abbink P, Liu J, Peter L, Chandrashekar A, Nityanandam R, Lin Z, Setaro A, Sapiente J, Chen Z, Sunner L, Cassidy T, Bennett C, Sato A, Mayer B, Perelson AS, deCamp A, Priddy FH, Wagh K, Giorgi EE, Yates NL, Arduino RC, DeJesus E, Tomaras GD, Seaman MS, Korber B, Barouch DH.","Nat Med. 2021 Oct;27(10):1718-1724. doi: 10.1038/s41591-021-01509-0. Epub 2021 Oct 7.","Stephenson KE","Nat Med","2021","2021/10/08","PMC8516645","","10.1038/s41591-021-01509-0"
"25540368","A multivalent clade C HIV-1 Env trimer cocktail elicits a higher magnitude of neutralizing antibodies than any individual component","Bricault CA, Kovacs JM, Nkolola JP, Yusim K, Giorgi EE, Shields JL, Perry J, Lavine CL, Cheung A, Ellingson-Strouss K, Rademeyer C, Gray GE, Williamson C, Stamatatos L, Seaman MS, Korber BT, Chen B, Barouch DH.","J Virol. 2015 Mar;89(5):2507-19. doi: 10.1128/JVI.03331-14. Epub 2014 Dec 24.","Bricault CA","J Virol","2015","2014/12/26","PMC4325749","","10.1128/JVI.03331-14"
"27434311","Features of Recently Transmitted HIV-1 Clade C Viruses that Impact Antibody Recognition: Implications for Active and Passive Immunization","Rademeyer C, Korber B, Seaman MS, Giorgi EE, Thebus R, Robles A, Sheward DJ, Wagh K, Garrity J, Carey BR, Gao H, Greene KM, Tang H, Bandawe GP, Marais JC, Diphoko TE, Hraber P, Tumba N, Moore PL, Gray GE, Kublin J, McElrath MJ, Vermeulen M, Middelkoop K, Bekker LG, Hoelscher M, Maboko L, Makhema J, Robb ML, Abdool Karim S, Abdool Karim Q, Kim JH, Hahn BH, Gao F, Swanstrom R, Morris L, Montefiori DC, Williamson C.","PLoS Pathog. 2016 Jul 19;12(7):e1005742. doi: 10.1371/journal.ppat.1005742. eCollection 2016 Jul.","Rademeyer C","PLoS Pathog","2016","2016/07/20","PMC4951126","","10.1371/journal.ppat.1005742"
