PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29261232","A Mouse Model of West Nile Virus Infection","Graham JB, Swarts JL, Lund JM.","Curr Protoc Mouse Biol. 2017 Dec 20;7(4):221-235. doi: 10.1002/cpmo.33.","Graham JB","Curr Protoc Mouse Biol","2017","2017/12/21","PMC5777180","NIHMS930922","10.1002/cpmo.33"
"36951943","Memory T cells possess an innate-like function in local protection from mucosal infection","Arkatkar T, Davé V, Cruz Talavera I, Graham JB, Swarts JL, Hughes SM, Bell TA, Hock P, Farrington J, Shaw GD, Kirby A, Fialkow M, Huang ML, Jerome KR, Ferris MT, Hladik F, Schiffer JT, Prlic M, Lund JM.","J Clin Invest. 2023 May 15;133(10):e162800. doi: 10.1172/JCI162800.","Arkatkar T","J Clin Invest","2023","2023/03/23","PMC10178838","","10.1172/JCI162800"
"27806117","A Mouse Model of Chronic West Nile Virus Disease","Graham JB, Swarts JL, Wilkins C, Thomas S, Green R, Sekine A, Voss KM, Ireton RC, Mooney M, Choonoo G, Miller DR, Treuting PM, Pardo Manuel de Villena F, Ferris MT, McWeeney S, Gale M Jr, Lund JM.","PLoS Pathog. 2016 Nov 2;12(11):e1005996. doi: 10.1371/journal.ppat.1005996. eCollection 2016 Nov.","Graham JB","PLoS Pathog","2016","2016/11/03","PMC5091767","","10.1371/journal.ppat.1005996"
"31621854","Immune Predictors of Mortality After Ribonucleic Acid Virus Infection","Graham JB, Swarts JL, Menachery VD, Gralinski LE, Schäfer A, Plante KS, Morrison CR, Voss KM, Green R, Choonoo G, Jeng S, Miller DR, Mooney MA, McWeeney SK, Ferris MT, Pardo-Manuel de Villena F, Gale M, Heise MT, Baric RS, Lund JM.","J Infect Dis. 2020 Mar 2;221(6):882-889. doi: 10.1093/infdis/jiz531.","Graham JB","J Infect Dis","2020","2019/10/18","PMC7107456","","10.1093/infdis/jiz531"
"31415679","STING is required for host defense against neuropathological West Nile virus infection","McGuckin Wuertz K, Treuting PM, Hemann EA, Esser-Nobis K, Snyder AG, Graham JB, Daniels BP, Wilkins C, Snyder JM, Voss KM, Oberst A, Lund J, Gale M Jr.","PLoS Pathog. 2019 Aug 15;15(8):e1007899. doi: 10.1371/journal.ppat.1007899. eCollection 2019 Aug.","McGuckin Wuertz K","PLoS Pathog","2019","2019/08/16","PMC6695101","","10.1371/journal.ppat.1007899"
"33893179","Correlation of Regulatory T Cell Numbers with Disease Tolerance upon Virus Infection","Graham JB, Swarts JL, Edwards KR, Voss KM, Green R, Jeng S, Miller DR, Mooney MA, McWeeney SK, Ferris MT, Pardo-Manuel de Villena F, Gale M Jr, Lund JM.","Immunohorizons. 2021 Apr 23;5(4):157-169. doi: 10.4049/immunohorizons.2100009.","Graham JB","Immunohorizons","2021","2021/04/24","PMC8281504","NIHMS1719893","10.4049/immunohorizons.2100009"
"29166619","Extensive Homeostatic T Cell Phenotypic Variation within the Collaborative Cross","Graham JB, Swarts JL, Mooney M, Choonoo G, Jeng S, Miller DR, Ferris MT, McWeeney S, Lund JM.","Cell Rep. 2017 Nov 21;21(8):2313-2325. doi: 10.1016/j.celrep.2017.10.093.","Graham JB","Cell Rep","2017","2017/11/23","PMC5728448","NIHMS917692","10.1016/j.celrep.2017.10.093"
"33513210","Baseline T cell immune phenotypes predict virologic and disease control upon SARS-CoV infection in Collaborative Cross mice","Graham JB, Swarts JL, Leist SR, Schäfer A, Menachery VD, Gralinski LE, Jeng S, Miller DR, Mooney MA, McWeeney SK, Ferris MT, Pardo-Manuel de Villena F, Heise MT, Baric RS, Lund JM.","PLoS Pathog. 2021 Jan 29;17(1):e1009287. doi: 10.1371/journal.ppat.1009287. eCollection 2021 Jan.","Graham JB","PLoS Pathog","2021","2021/01/29","PMC7875398","","10.1371/journal.ppat.1009287"
"32995791","Baseline T cell immune phenotypes predict virologic and disease control upon SARS-CoV infection","Graham JB, Swarts JL, Leist SR, Schäfer A, Menachery VD, Gralinski LE, Jeng S, Miller DR, Mooney MA, McWeeney SK, Ferris MT, de Villena FP, Heise MT, Baric RS, Lund JM.","bioRxiv. 2020 Sep 21:2020.09.21.306837. doi: 10.1101/2020.09.21.306837. Preprint.","Graham JB","bioRxiv","2020","2020/09/30","PMC7523117","","10.1101/2020.09.21.306837"
"31036644","Regulatory T cells limit unconventional memory to preserve the capacity to mount protective CD8 memory responses to pathogens","Da Costa AS, Graham JB, Swarts JL, Lund JM.","Proc Natl Acad Sci U S A. 2019 May 14;116(20):9969-9978. doi: 10.1073/pnas.1818327116. Epub 2019 Apr 29.","Da Costa AS","Proc Natl Acad Sci U S A","2019","2019/05/01","PMC6525503","","10.1073/pnas.1818327116"
"30371803","Immune Correlates of Protection From West Nile Virus Neuroinvasion and Disease","Graham JB, Swarts JL, Thomas S, Voss KM, Sekine A, Green R, Ireton RC, Gale M, Lund JM.","J Infect Dis. 2019 Mar 15;219(7):1162-1171. doi: 10.1093/infdis/jiy623.","Graham JB","J Infect Dis","2019","2018/10/30","PMC6420170","","10.1093/infdis/jiy623"
"28094802","Extrinsic MAVS signaling is critical for Treg maintenance of Foxp3 expression following acute flavivirus infection","Da Costa A, Garza E, Graham JB, Swarts JL, Soerens AG, Gale M, Lund JM.","Sci Rep. 2017 Jan 17;7:40720. doi: 10.1038/srep40720.","Da Costa A","Sci Rep","2017","2017/01/18","PMC5240555","","10.1038/srep40720"
"24337378","Regulatory T cells shape the resident memory T cell response to virus infection in the tissues","Graham JB, Da Costa A, Lund JM.","J Immunol. 2014 Jan 15;192(2):683-90. doi: 10.4049/jimmunol.1202153. Epub 2013 Dec 11.","Graham JB","J Immunol","2014","2013/12/17","PMC3894741","NIHMS541614","10.4049/jimmunol.1202153"
"25944860","Genetic diversity in the collaborative cross model recapitulates human West Nile virus disease outcomes","Graham JB, Thomas S, Swarts J, McMillan AA, Ferris MT, Suthar MS, Treuting PM, Ireton R, Gale M Jr, Lund JM.","mBio. 2015 May 5;6(3):e00493-15. doi: 10.1128/mBio.00493-15.","Graham JB","mBio","2015","2015/05/07","PMC4436067","","10.1128/mBio.00493-15"
"22848738","A novel HIV vaccine adjuvanted by IC31 induces robust and persistent humoral and cellular immunity","Pattacini L, Mize GJ, Graham JB, Fluharty TR, Graham TM, Lingnau K, Wizel B, Perdiguero B, Esteban M, Pantaleo G, Shen M, Spies GA, McElrath MJ, Lund JM.","PLoS One. 2012;7(7):e42163. doi: 10.1371/journal.pone.0042163. Epub 2012 Jul 25.","Pattacini L","PLoS One","2012","2012/08/01","PMC3405041","","10.1371/journal.pone.0042163"
"24023717","Mapping of Mcs30, a new mammary carcinoma susceptibility quantitative trait locus (QTL30) on rat chromosome 12: identification of fry as a candidate Mcs gene","Ren X, Graham JC, Jing L, Mikheev AM, Gao Y, Lew JP, Xie H, Kim AS, Shang X, Friedman C, Vail G, Fang MZ, Bromberg Y, Zarbl H.","PLoS One. 2013 Sep 2;8(9):e70930. doi: 10.1371/journal.pone.0070930. eCollection 2013.","Ren X","PLoS One","2013","2013/09/12","PMC3759375","","10.1371/journal.pone.0070930"
