PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35901589","Central vs site outcome adjudication in the IRIS trial","Forman R, Viscoli CM, Bath PM, Furie KL, Guarino P, Inzucchi SE, Young L, Kernan WN.","J Stroke Cerebrovasc Dis. 2022 Sep;31(9):106667. doi: 10.1016/j.jstrokecerebrovasdis.2022.106667. Epub 2022 Jul 25.","Forman R","J Stroke Cerebrovasc Dis","2022","2022/07/28","","","10.1016/j.jstrokecerebrovasdis.2022.106667"
"29067313","Measuring informed consent capacity in an Alzheimer's disease clinical trial","Guarino PD, Vertrees JE, Asthana S, Sano M, Llorente MD, Pallaki M, Love S, Schellenberg GD, Dysken MW.","Alzheimers Dement (N Y). 2016 Sep 20;2(4):258-266. doi: 10.1016/j.trci.2016.09.001. eCollection 2016 Nov.","Guarino PD","Alzheimers Dement (N Y)","2016","2017/10/26","PMC5651363","","10.1016/j.trci.2016.09.001"
"28887378","Smoking cessation and outcome after ischemic stroke or TIA","Epstein KA, Viscoli CM, Spence JD, Young LH, Inzucchi SE, Gorman M, Gerstenhaber B, Guarino PD, Dixit A, Furie KL, Kernan WN; IRIS Trial Investigators.","Neurology. 2017 Oct 17;89(16):1723-1729. doi: 10.1212/WNL.0000000000004524. Epub 2017 Sep 8.","Epstein KA","Neurology","2017","2017/09/10","PMC5644463","","10.1212/WNL.0000000000004524"
"30175228","Impact of apolipoprotein E genotypes on vitamin E and memantine treatment outcomes in Alzheimer's disease","Belitskaya-Lévy I, Dysken M, Guarino P, Sano M, Asthana S, Vertrees JE, Pallaki M, Llorente M, Love S, Schellenberg G.","Alzheimers Dement (N Y). 2018 Jul 26;4:344-349. doi: 10.1016/j.trci.2018.06.001. eCollection 2018.","Belitskaya-Lévy I","Alzheimers Dement (N Y)","2018","2018/09/04","PMC6118101","","10.1016/j.trci.2018.06.001"
"30580725","Scoring System to Optimize Pioglitazone Therapy After Stroke Based on Fracture Risk","Viscoli CM, Kent DM, Conwit R, Dearborn JL, Furie KL, Gorman M, Guarino PD, Inzucchi SE, Stuart A, Young LH, Kernan WN; IRIS Trial Investigators.","Stroke. 2018 Dec 10:STROKEAHA118022745. doi: 10.1161/STROKEAHA.118.022745. Online ahead of print.","Viscoli CM","Stroke","2018","2018/12/25","PMC6557695","NIHMS1512766","10.1161/STROKEAHA.118.022745"
"29966477","Neuropsychiatric Symptoms and Caregiver Burden in Individuals With Alzheimer's Disease: The TEAM-AD VA Cooperative Study","Chen P, Guarino PD, Dysken MW, Pallaki M, Asthana S, Llorente MD, Love S, Vertrees JE, Schellenberg GD, Sano M.","J Geriatr Psychiatry Neurol. 2018 Jul;31(4):177-185. doi: 10.1177/0891988718783897. Epub 2018 Jul 2.","Chen P","J Geriatr Psychiatry Neurol","2018","2018/07/04","","","10.1177/0891988718783897"
"27846073","Brief Report: Preventing HIV-1 Infection in Women Using Oral Preexposure Prophylaxis: A Meta-analysis of Current Evidence","Hanscom B, Janes HE, Guarino PD, Huang Y, Brown ER, Chen YQ, Hammer SM, Gilbert PB, Donnell DJ.","J Acquir Immune Defic Syndr. 2016 Dec 15;73(5):606-608. doi: 10.1097/QAI.0000000000001160.","Hanscom B","J Acquir Immune Defic Syndr","2016","2016/11/16","PMC5175411","NIHMS809310","10.1097/QAI.0000000000001160"
"26279130","The VA augmentation and switching treatments for improving depression outcomes (VAST-D) study: Rationale and design considerations","Mohamed S, Johnson GR, Vertrees JE, Guarino PD, Weingart K, Young IT, Yoon J, Gleason TC, Kirkwood KA, Kilbourne AM, Gerrity M, Marder S, Biswas K, Hicks P, Davis LL, Chen P, Kelada A, Huang GD, Lawrence DD, LeGwin M, Zisook S.","Psychiatry Res. 2015 Oct 30;229(3):760-70. doi: 10.1016/j.psychres.2015.08.005. Epub 2015 Aug 6.","Mohamed S","Psychiatry Res","2015","2015/08/18","","","10.1016/j.psychres.2015.08.005"
"27449769","Bayesian accrual prediction for interim review of clinical studies: open source R package and smartphone application","Jiang Y, Guarino P, Ma S, Simon S, Mayo MS, Raghavan R, Gajewski BJ.","Trials. 2016 Jul 22;17(1):336. doi: 10.1186/s13063-016-1457-3.","Jiang Y","Trials","2016","2016/07/25","PMC4957321","","10.1186/s13063-016-1457-3"
"28939682","Effects of pioglitazone on cognitive function in patients with a recent ischaemic stroke or TIA: a report from the IRIS trial","Furie KL, Viscoli CM, Gorman M, Ford GA, Young LH, Inzucchi SE, Guarino PD, Lovejoy AM, Conwit R, Tanne D, Kernan WN; IRIS Trial Investigators.","J Neurol Neurosurg Psychiatry. 2018 Jan;89(1):21-27. doi: 10.1136/jnnp-2017-316361. Epub 2017 Sep 22.","Furie KL","J Neurol Neurosurg Psychiatry","2018","2017/09/24","","","10.1136/jnnp-2017-316361"
