PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34693991","Noniterative adjustment to regression estimators with population-based auxiliary information for semiparametric models","Gao F, Chan KCG.","Biometrics. 2023 Mar;79(1):140-150. doi: 10.1111/biom.13585. Epub 2021 Nov 15.","Gao F","Biometrics","2023","2021/10/25","","","10.1111/biom.13585"
"34984710","Statistical considerations for cross-sectional HIV incidence estimation based on recency test","Gao F, Bannick M.","Stat Med. 2022 Apr 15;41(8):1446-1461. doi: 10.1002/sim.9296. Epub 2022 Jan 4.","Gao F","Stat Med","2022","2022/01/05","PMC8918003","NIHMS1767850","10.1002/sim.9296"
"34696352","Mathematical Modeling of Vaccines That Prevent SARS-CoV-2 Transmission","Swan DA, Goyal A, Bracis C, Moore M, Krantz E, Brown E, Cardozo-Ojeda F, Reeves DB, Gao F, Gilbert PB, Corey L, Cohen MS, Janes H, Dimitrov D, Schiffer JT.","Viruses. 2021 Sep 24;13(10):1921. doi: 10.3390/v13101921.","Swan DA","Viruses","2021","2021/10/26","PMC8539635","","10.3390/v13101921"
"36550769","Facilitating Next-Generation Pre-Exposure Prophylaxis Clinical Trials Using HIV Recent Infection Assays: A Consensus Statement from the Forum HIV Prevention Trial Design Project","Parkin N, Gao F, Grebe E, Cutrell A, Das M, Donnell D, Duerr A, Glidden DV, Hughes JP, Murray J, Robertson MN, Zinserling J, Lau J, Miller V; Forum for Collaborative Research Recency Assay Working Group.","Clin Pharmacol Ther. 2023 Jul;114(1):29-40. doi: 10.1002/cpt.2830. Epub 2023 Jan 5.","Parkin N","Clin Pharmacol Ther","2023","2022/12/23","","","10.1002/cpt.2830"
"34510414","Discussion on ""Causal mediation of semicompeting risks"" by Yen-Tsung Huang","Chan KCG, Gao F, Xia F.","Biometrics. 2021 Dec;77(4):1155-1159. doi: 10.1111/biom.13520. Epub 2021 Sep 12.","Chan KCG","Biometrics","2021","2021/09/12","","","10.1111/biom.13520"
"33948627","Semiparametric regression analysis of bivariate censored events in a family study of Alzheimer's disease","Gao F, Zeng D, Wang Y.","Biostatistics. 2022 Dec 12;24(1):32-51. doi: 10.1093/biostatistics/kxab014.","Gao F","Biostatistics","2022","2021/05/05","PMC9748583","","10.1093/biostatistics/kxab014"
"34492117","Discussion on ""Estimating vaccine efficacy over time after a randomized study is unblinded"" by Anastasios A. Tsiatis and Marie Davidian","Janes H, Gao F, Luedtke A.","Biometrics. 2022 Sep;78(3):841-843. doi: 10.1111/biom.13542. Epub 2021 Sep 7.","Janes H","Biometrics","2022","2021/09/07","PMC8653041","","10.1111/biom.13542"
"35880999","Sample size calculation for active-arm trial with counterfactual incidence based on recency assay","Gao F, Glidden DV, Hughes JP, Donnell DJ.","Stat Commun Infect Dis. 2021 Nov 10;13(1):20200009. doi: 10.1515/scid-2020-0009. eCollection 2021 Jan 1.","Gao F","Stat Commun Infect Dis","2021","2022/07/26","PMC8865397","","10.1515/scid-2020-0009"
"37285153","Analysis of Antibiotic Exposure and Development of Acute Graft-vs-Host Disease Following Allogeneic Hematopoietic Cell Transplantation","Rashidi A, Gao F, Fredricks DN, Pergam SA, Mielcarek M, Milano F, Sandmaier BM, Lee SJ.","JAMA Netw Open. 2023 Jun 1;6(6):e2317188. doi: 10.1001/jamanetworkopen.2023.17188.","Rashidi A","JAMA Netw Open","2023","2023/06/07","PMC10248746","","10.1001/jamanetworkopen.2023.17188"
"27236679","Directed Differentiation of Human-Induced Pluripotent Stem Cells to Mesenchymal Stem Cells","Lian Q, Zhang Y, Liang X, Gao F, Tse HF.","Methods Mol Biol. 2016;1416:289-98. doi: 10.1007/978-1-4939-3584-0_17.","Lian Q","Methods Mol Biol","2016","2016/05/30","","","10.1007/978-1-4939-3584-0_17"
"37363917","Counterfactual estimation of efficacy against placebo for novel PrEP agents using external trial data: example of injectable cabotegravir and oral PrEP in women","Donnell D, Gao F, Hughes JP, Hanscom B, Corey L, Cohen MS, Edupuganti S, Mgodi N, Rees H, Baeten JM, Gray G, Bekker LG, Hosseinipour M, Delany-Moretlwe S.","J Int AIDS Soc. 2023 Jun;26(6):e26118. doi: 10.1002/jia2.26118.","Donnell D","J Int AIDS Soc","2023","2023/06/26","PMC10292682","","10.1002/jia2.26118"
