PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33761533","SARS-CoV-2 vaccination modelling for safe surgery to save lives: data from an international prospective cohort study","COVIDSurg Collaborative, GlobalSurg Collaborative.","Br J Surg. 2021 Sep 27;108(9):1056-1063. doi: 10.1093/bjs/znab101.","COVIDSurg Collaborative, GlobalSurg Collaborative","Br J Surg","2021","2021/03/24","PMC7995808","","10.1093/bjs/znab101"
"34371522","Effects of pre-operative isolation on postoperative pulmonary complications after elective surgery: an international prospective cohort study","COVIDSurg Collaborative; GlobalSurg Collaborative.","Anaesthesia. 2021 Nov;76(11):1454-1464. doi: 10.1111/anae.15560. Epub 2021 Aug 9.","COVIDSurg Collaborative","Anaesthesia","2021","2021/08/09","","","10.1111/anae.15560"
"33690889","Timing of surgery following SARS-CoV-2 infection: an international prospective cohort study","COVIDSurg Collaborative; GlobalSurg Collaborative.","Anaesthesia. 2021 Jun;76(6):748-758. doi: 10.1111/anae.15458. Epub 2021 Mar 9.","COVIDSurg Collaborative","Anaesthesia","2021","2021/03/10","PMC8206995","","10.1111/anae.15458"
"34428858","SARS-CoV-2 infection and venous thromboembolism after surgery: an international prospective cohort study","COVIDSurg Collaborative; GlobalSurg Collaborative.","Anaesthesia. 2022 Jan;77(1):28-39. doi: 10.1111/anae.15563. Epub 2021 Aug 24.","COVIDSurg Collaborative","Anaesthesia","2022","2021/08/24","PMC8652887","","10.1111/anae.15563"
"36781872","Cross-protective antibodies against common endemic respiratory viruses","Cabán M, Rodarte JV, Bibby M, Gray MD, Taylor JJ, Pancera M, Boonyaratanakornkit J.","Nat Commun. 2023 Feb 13;14(1):798. doi: 10.1038/s41467-023-36459-3.","Cabán M","Nat Commun","2023","2023/02/13","PMC9923667","","10.1038/s41467-023-36459-3"
"31345931","Anti-idiotypic antibodies elicit anti-HIV-1-specific B cell responses","Dosenovic P, Pettersson AK, Wall A, Thientosapol ES, Feng J, Weidle C, Bhullar K, Kara EE, Hartweger H, Pai JA, Gray MD, Parks KR, Taylor JJ, Pancera M, Stamatatos L, Nussenzweig MC, McGuire AT.","J Exp Med. 2019 Oct 7;216(10):2316-2330. doi: 10.1084/jem.20190446. Epub 2019 Jul 25.","Dosenovic P","J Exp Med","2019","2019/07/27","PMC6780999","","10.1084/jem.20190446"
"36405776","Adjuvants influence the maturation of VRC01-like antibodies during immunization","Knudsen ML, Agrawal P, MacCamy A, Parks KR, Gray MD, Takushi BN, Khechaduri A, Salladay KR, Coler RN, LaBranche CC, Montefiori D, Stamatatos L.","iScience. 2022 Nov 2;25(11):105473. doi: 10.1016/j.isci.2022.105473. eCollection 2022 Nov 18.","Knudsen ML","iScience","2022","2022/11/21","PMC9667313","","10.1016/j.isci.2022.105473"
"36883850","Validation of Ligand Tetramers for the Detection of Antigen-Specific Lymphocytes","Fitzpatrick KS, Degefu HN, Poljakov K, Bibby MG, Remington AJ, Searles TG, Gray MD, Boonyaratanakornkit J, Rosato PC, Taylor JJ.","J Immunol. 2023 Apr 15;210(8):1156-1165. doi: 10.4049/jimmunol.2200934.","Fitzpatrick KS","J Immunol","2023","2023/03/08","PMC10073333","NIHMS1873505","10.4049/jimmunol.2200934"
"31801073","Overcoming Steric Restrictions of VRC01 HIV-1 Neutralizing Antibodies through Immunization","Parks KR, MacCamy AJ, Trichka J, Gray M, Weidle C, Borst AJ, Khechaduri A, Takushi B, Agrawal P, Guenaga J, Wyatt RT, Coler R, Seaman M, LaBranche C, Montefiori DC, Veesler D, Pancera M, McGuire A, Stamatatos L.","Cell Rep. 2019 Dec 3;29(10):3060-3072.e7. doi: 10.1016/j.celrep.2019.10.071.","Parks KR","Cell Rep","2019","2019/12/05","PMC6936959","NIHMS1545816","10.1016/j.celrep.2019.10.071"
"34696505","Methods to Measure Antibody Neutralization of Live Human Coronavirus OC43","Boonyaratanakornkit J, Sholukh AM, Gray M, Bossard EL, Ford ES, Corbett KS, Corey L, Taylor JJ.","Viruses. 2021 Oct 14;13(10):2075. doi: 10.3390/v13102075.","Boonyaratanakornkit J","Viruses","2021","2021/10/26","PMC8540522","","10.3390/v13102075"
