PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32974904","Delaying surgery for patients with a previous SARS-CoV-2 infection","COVIDSurg Collaborative.","Br J Surg. 2020 Nov;107(12):e601-e602. doi: 10.1002/bjs.12050. Epub 2020 Sep 25.","COVIDSurg Collaborative","Br J Surg","2020","2020/09/25","PMC7537063","","10.1002/bjs.12050"
"34624250","Effect of COVID-19 pandemic lockdowns on planned cancer surgery for 15 tumour types in 61 countries: an international, prospective, cohort study","COVIDSurg Collaborative.","Lancet Oncol. 2021 Nov;22(11):1507-1517. doi: 10.1016/S1470-2045(21)00493-9. Epub 2021 Oct 5.","COVIDSurg Collaborative","Lancet Oncol","2021","2021/10/08","PMC8492020","","10.1016/S1470-2045(21)00493-9"
"34871379","Death following pulmonary complications of surgery before and during the SARS-CoV-2 pandemic","STARSurg Collaborative and COVIDSurg Collaborative.","Br J Surg. 2021 Dec 1;108(12):1448-1464. doi: 10.1093/bjs/znab336.","STARSurg Collaborative and COVIDSurg Collaborative","Br J Surg","2021","2021/12/06","PMC10364875","","10.1093/bjs/znab336"
"33021869","Elective Cancer Surgery in COVID-19-Free Surgical Pathways During the SARS-CoV-2 Pandemic: An International, Multicenter, Comparative Cohort Study","Glasbey JC, Nepogodiev D, Simoes JFF, Omar O, Li E, Venn ML, Pgdme, Abou Chaar MK, Capizzi V, Chaudhry D, Desai A, Edwards JG, Evans JP, Fiore M, Videria JF, Ford SJ, Ganly I, Griffiths EA, Gujjuri RR, Kolias AG, Kaafarani HMA, Minaya-Bravo A, McKay SC, Mohan HM, Roberts KJ, San Miguel-Méndez C, Pockney P, Shaw R, Smart NJ, Stewart GD, Sundar Mrcog S, Vidya R, Bhangu AA; COVIDSurg Collaborative.","J Clin Oncol. 2021 Jan 1;39(1):66-78. doi: 10.1200/JCO.20.01933. Epub 2020 Oct 6.","Glasbey JC","J Clin Oncol","2021","2020/10/06","PMC8189635","","10.1200/JCO.20.01933"
"25342792","Ebola: mobility data","Halloran ME, Vespignani A, Bharti N, Feldstein LR, Alexander KA, Ferrari M, Shaman J, Drake JM, Porco T, Eisenberg JN, Del Valle SY, Lofgren E, Scarpino SV, Eisenberg MC, Gao D, Hyman JM, Eubank S, Longini IM Jr.","Science. 2014 Oct 24;346(6208):433. doi: 10.1126/science.346.6208.433-a.","Halloran ME","Science","2014","2014/10/25","PMC4408607","NIHMS676149","10.1126/science.346.6208.433-a"
"33640908","Preoperative nasopharyngeal swab testing and postoperative pulmonary complications in patients undergoing elective surgery during the SARS-CoV-2 pandemic","COVIDSurg Collaborative.","Br J Surg. 2021 Jan 27;108(1):88-96. doi: 10.1093/bjs/znaa051.","COVIDSurg Collaborative","Br J Surg","2021","2021/02/28","PMC7717156","","10.1093/bjs/znaa051"
"16892904","Overview of vaccine field studies: types of effects and designs","Halloran ME.","J Biopharm Stat. 2006;16(4):415-27. doi: 10.1080/10543400600719236.","Halloran ME","J Biopharm Stat","2006","2006/08/09","","","10.1080/10543400600719236"
"19081744","Toward Causal Inference With Interference","Hudgens MG, Halloran ME.","J Am Stat Assoc. 2008 Jun;103(482):832-842. doi: 10.1198/016214508000000292.","Hudgens MG","J Am Stat Assoc","2008","2008/12/17","PMC2600548","NIHMS73860","10.1198/016214508000000292"
"25214617","Emerging, evolving, and established infectious diseases and interventions","Halloran ME, Longini IM Jr.","Science. 2014 Sep 12;345(6202):1292-4. doi: 10.1126/science.1254166.","Halloran ME","Science","2014","2014/09/13","PMC4408765","NIHMS677907","10.1126/science.1254166"
"29287587","Simulations for designing and interpreting intervention trials in infectious diseases","Halloran ME, Auranen K, Baird S, Basta NE, Bellan SE, Brookmeyer R, Cooper BS, DeGruttola V, Hughes JP, Lessler J, Lofgren ET, Longini IM, Onnela JP, Özler B, Seage GR, Smith TA, Vespignani A, Vynnycky E, Lipsitch M.","BMC Med. 2017 Dec 29;15(1):223. doi: 10.1186/s12916-017-0985-3.","Halloran ME","BMC Med","2017","2017/12/31","PMC5747936","","10.1186/s12916-017-0985-3"
