PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35216672","Multiple early factors anticipate post-acute COVID-19 sequelae","Su Y, Yuan D, Chen DG, Ng RH, Wang K, Choi J, Li S, Hong S, Zhang R, Xie J, Kornilov SA, Scherler K, Pavlovitch-Bedzyk AJ, Dong S, Lausted C, Lee I, Fallen S, Dai CL, Baloni P, Smith B, Duvvuri VR, Anderson KG, Li J, Yang F, Duncombe CJ, McCulloch DJ, Rostomily C, Troisch P, Zhou J, Mackay S, DeGottardi Q, May DH, Taniguchi R, Gittelman RM, Klinger M, Snyder TM, Roper R, Wojciechowska G, Murray K, Edmark R, Evans S, Jones L, Zhou Y, Rowen L, Liu R, Chour W, Algren HA, Berrington WR, Wallick JA, Cochran RA, Micikas ME; ISB-Swedish COVID-19 Biobanking Unit; Wrin T, Petropoulos CJ, Cole HR, Fischer TD, Wei W, Hoon DSB, Price ND, Subramanian N, Hill JA, Hadlock J, Magis AT, Ribas A, Lanier LL, Boyd SD, Bluestone JA, Chu H, Hood L, Gottardo R, Greenberg PD, Davis MM, Goldman JD, Heath JR.","Cell. 2022 Mar 3;185(5):881-895.e20. doi: 10.1016/j.cell.2022.01.014. Epub 2022 Jan 25.","Su Y","Cell","2022","2022/02/26","PMC8786632","","10.1016/j.cell.2022.01.014"
"34937145","Early Remdesivir to Prevent Progression to Severe Covid-19 in Outpatients","Gottlieb RL, Vaca CE, Paredes R, Mera J, Webb BJ, Perez G, Oguchi G, Ryan P, Nielsen BU, Brown M, Hidalgo A, Sachdeva Y, Mittal S, Osiyemi O, Skarbinski J, Juneja K, Hyland RH, Osinusi A, Chen S, Camus G, Abdelghany M, Davies S, Behenna-Renton N, Duff F, Marty FM, Katz MJ, Ginde AA, Brown SM, Schiffer JT, Hill JA; GS-US-540-9012 (PINETREE) Investigators.","N Engl J Med. 2022 Jan 27;386(4):305-315. doi: 10.1056/NEJMoa2116846. Epub 2021 Dec 22.","Gottlieb RL","N Engl J Med","2022","2021/12/22","PMC8757570","","10.1056/NEJMoa2116846"
"31153807","Guidelines for the management of cytomegalovirus infection in patients with haematological malignancies and after stem cell transplantation from the 2017 European Conference on Infections in Leukaemia (ECIL 7)","Ljungman P, de la Camara R, Robin C, Crocchiolo R, Einsele H, Hill JA, Hubacek P, Navarro D, Cordonnier C, Ward KN; 2017 European Conference on Infections in Leukaemia group.","Lancet Infect Dis. 2019 Aug;19(8):e260-e272. doi: 10.1016/S1473-3099(19)30107-0. Epub 2019 May 29.","Ljungman P","Lancet Infect Dis","2019","2019/06/03","","","10.1016/S1473-3099(19)30107-0"
"36906275","Immune Effector Cell-Associated Hemophagocytic Lymphohistiocytosis-Like Syndrome","Hines MR, Knight TE, McNerney KO, Leick MB, Jain T, Ahmed S, Frigault MJ, Hill JA, Jain MD, Johnson WT, Lin Y, Mahadeo KM, Maron GM, Marsh RA, Neelapu SS, Nikiforow S, Ombrello AK, Shah NN, Talleur AC, Turicek D, Vatsayan A, Wong SW, Maus MV, Komanduri KV, Berliner N, Henter JI, Perales MA, Frey NV, Teachey DT, Frank MJ, Shah NN.","Transplant Cell Ther. 2023 Jul;29(7):438.e1-438.e16. doi: 10.1016/j.jtct.2023.03.006. Epub 2023 Mar 9.","Hines MR","Transplant Cell Ther","2023","2023/03/11","PMC10330221","NIHMS1891829","10.1016/j.jtct.2023.03.006"
"31467131","Guidelines from the 2017 European Conference on Infections in Leukaemia for management of HHV-6 infection in patients with hematologic malignancies and after hematopoietic stem cell transplantation","Ward KN, Hill JA, Hubacek P, de la Camara R, Crocchiolo R, Einsele H, Navarro D, Robin C, Cordonnier C, Ljungman P; 2017 European Conference on Infections in Leukaemia (ECIL).","Haematologica. 2019 Nov;104(11):2155-2163. doi: 10.3324/haematol.2019.223073. Epub 2019 Aug 29.","Ward KN","Haematologica","2019","2019/08/31","PMC6821622","","10.3324/haematol.2019.223073"
"32582924","How I prevent infections in patients receiving CD19-targeted chimeric antigen receptor T cells for B-cell malignancies","Hill JA, Seo SK.","Blood. 2020 Aug 20;136(8):925-935. doi: 10.1182/blood.2019004000.","Hill JA","Blood","2020","2020/06/26","PMC7441168","","10.1182/blood.2019004000"
"34802773","Diagnosis of infectious diseases in immunocompromised hosts using metagenomic next generation sequencing-based diagnostics","Casto AM, Fredricks DN, Hill JA.","Blood Rev. 2022 May;53:100906. doi: 10.1016/j.blre.2021.100906. Epub 2021 Nov 6.","Casto AM","Blood Rev","2022","2021/11/22","","","10.1016/j.blre.2021.100906"
"35439295","Impact of CD19 CAR T-cell product type on outcomes in relapsed or refractory aggressive B-NHL","Gauthier J, Gazeau N, Hirayama AV, Hill JA, Wu V, Cearley A, Perkins P, Kirk A, Shadman M, Chow VA, Gopal AK, Hodges Dwinal A, Williamson S, Myers J, Chen A, Nagle S, Hayes-Lattin B, Schachter L, Maloney DG, Turtle CJ, Sorror ML, Maziarz RT.","Blood. 2022 Jun 30;139(26):3722-3731. doi: 10.1182/blood.2021014497.","Gauthier J","Blood","2022","2022/04/19","PMC9247364","","10.1182/blood.2021014497"
"31419568","Late Events after Treatment with CD19-Targeted Chimeric Antigen Receptor Modified T Cells","Cordeiro A, Bezerra ED, Hirayama AV, Hill JA, Wu QV, Voutsinas J, Sorror ML, Turtle CJ, Maloney DG, Bar M.","Biol Blood Marrow Transplant. 2020 Jan;26(1):26-33. doi: 10.1016/j.bbmt.2019.08.003. Epub 2019 Aug 13.","Cordeiro A","Biol Blood Marrow Transplant","2020","2019/08/17","PMC6953906","NIHMS1543714","10.1016/j.bbmt.2019.08.003"
"35385358","Managing hypogammaglobulinemia in patients treated with CAR-T-cell therapy: key points for clinicians","Kampouri E, Walti CS, Gauthier J, Hill JA.","Expert Rev Hematol. 2022 Apr;15(4):305-320. doi: 10.1080/17474086.2022.2063833. Epub 2022 Apr 11.","Kampouri E","Expert Rev Hematol","2022","2022/04/06","","","10.1080/17474086.2022.2063833"
