PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36195867","Changes in concentrations of cervicovaginal immune mediators across the menstrual cycle: a systematic review and meta-analysis of individual patient data","Hughes SM, Levy CN, Katz R, Lokken EM, Anahtar MN, Hall MB, Bradley F, Castle PE, Cortez V, Doncel GF, Fichorova R, Fidel PL Jr, Fowke KR, Francis SC, Ghosh M, Hwang LY, Jais M, Jespers V, Joag V, Kaul R, Kyongo J, Lahey T, Li H, Makinde J, McKinnon LR, Moscicki AB, Novak RM, Patel MV, Sriprasert I, Thurman AR, Yegorov S, Mugo NR, Roxby AC, Micks E, Hladik F; Consortium for Assessing Immunity Across the Menstrual Cycle.","BMC Med. 2022 Oct 5;20(1):353. doi: 10.1186/s12916-022-02532-9.","Hughes SM","BMC Med","2022","2022/10/04","PMC9533580","","10.1186/s12916-022-02532-9"
"33284679","Hydroxychloroquine as Postexposure Prophylaxis to Prevent Severe Acute Respiratory Syndrome Coronavirus 2 Infection : A Randomized Trial","Barnabas RV, Brown ER, Bershteyn A, Stankiewicz Karita HC, Johnston C, Thorpe LE, Kottkamp A, Neuzil KM, Laufer MK, Deming M, Paasche-Orlow MK, Kissinger PJ, Luk A, Paolino K, Landovitz RJ, Hoffman R, Schaafsma TT, Krows ML, Thomas KK, Morrison S, Haugen HS, Kidoguchi L, Wener M, Greninger AL, Huang ML, Jerome KR, Wald A, Celum C, Chu HY, Baeten JM; Hydroxychloroquine COVID-19 PEP Study Team.","Ann Intern Med. 2021 Mar;174(3):344-352. doi: 10.7326/M20-6519. Epub 2020 Dec 8.","Barnabas RV","Ann Intern Med","2021","2020/12/07","PMC7732017","","10.7326/M20-6519"
"35106463","HIV reservoir quantification using cross-subtype multiplex ddPCR","Cassidy NAJ, Fish CS, Levy CN, Roychoudhury P, Reeves DB, Hughes SM, Schiffer JT, Benki-Nugent S, John-Stewart G, Wamalwa D, Jerome KR, Overbaugh J, Hladik F, Lehman DA.","iScience. 2021 Dec 11;25(1):103615. doi: 10.1016/j.isci.2021.103615. eCollection 2022 Jan 21.","Cassidy NAJ","iScience","2021","2022/02/02","PMC8786636","","10.1016/j.isci.2021.103615"
"35958027","Phase 2 of extracellular RNA communication consortium charts next-generation approaches for extracellular RNA research","Mateescu B, Jones JC, Alexander RP, Alsop E, An JY, Asghari M, Boomgarden A, Bouchareychas L, Cayota A, Chang HC, Charest A, Chiu DT, Coffey RJ, Das S, De Hoff P, deMello A, D'Souza-Schorey C, Elashoff D, Eliato KR, Franklin JL, Galas DJ, Gerstein MB, Ghiran IH, Go DB, Gould S, Grogan TR, Higginbotham JN, Hladik F, Huang TJ, Huo X, Hutchins E, Jeppesen DK, Jovanovic-Talisman T, Kim BYS, Kim S, Kim KM, Kim Y, Kitchen RR, Knouse V, LaPlante EL, Lebrilla CB, Lee LJ, Lennon KM, Li G, Li F, Li T, Liu T, Liu Z, Maddox AL, McCarthy K, Meechoovet B, Maniya N, Meng Y, Milosavljevic A, Min BH, Morey A, Ng M, Nolan J, De Oliveira Junior GP, Paulaitis ME, Phu TA, Raffai RL, Reátegui E, Roth ME, Routenberg DA, Rozowsky J, Rufo J, Senapati S, Shachar S, Sharma H, Sood AK, Stavrakis S, Stürchler A, Tewari M, Tosar JP, Tucker-Schwartz AK, Turchinovich A, Valkov N, Van Keuren-Jensen K, Vickers KC, Vojtech L, Vreeland WN, Wang C, Wang K, Wang Z, Welsh JA, Witwer KW, Wong DTW, Xia J, Xie YH, Yang K, Zaborowski MP, Zhang C, Zhang Q, Zivkovic AM, Laurent LC.","iScience. 2022 Jun 23;25(8):104653. doi: 10.1016/j.isci.2022.104653. eCollection 2022 Aug 19.","Mateescu B","iScience","2022","2022/08/12","PMC9358052","","10.1016/j.isci.2022.104653"
"30059507","Cryopreservation of human mucosal tissues","Hughes SM, Ferre AL, Yandura SE, Shetler C, Baker CAR, Calienes F, Levy CN, Astronomo RD, Shu Z, Lentz GM, Fialkow M, Kirby AC, McElrath MJ, Sinclair E, Rohan LC, Anderson PL, Shacklett BL, Dezzutti CS, Gao D, Hladik F.","PLoS One. 2018 Jul 30;13(7):e0200653. doi: 10.1371/journal.pone.0200653. eCollection 2018.","Hughes SM","PLoS One","2018","2018/07/31","PMC6066204","","10.1371/journal.pone.0200653"
"35804422","Innate immune regulation in HIV latency models","Olson RM, Gornalusse G, Whitmore LS, Newhouse D, Tisoncik-Go J, Smith E, Ochsenbauer C, Hladik F, Gale M Jr.","Retrovirology. 2022 Jul 8;19(1):15. doi: 10.1186/s12977-022-00599-z.","Olson RM","Retrovirology","2022","2022/07/08","PMC9270781","","10.1186/s12977-022-00599-z"
"34818981","A review of ex vivo placental perfusion models: an underutilized but promising method to study maternal-fetal interactions","Calis P, Vojtech L, Hladik F, Gravett MG.","J Matern Fetal Neonatal Med. 2022 Dec;35(25):8823-8835. doi: 10.1080/14767058.2021.2005565. Epub 2021 Nov 24.","Calis P","J Matern Fetal Neonatal Med","2022","2021/11/25","PMC9126998","NIHMS1779023","10.1080/14767058.2021.2005565"
"23224426","Use of human mucosal tissue to study HIV-1 pathogenesis and evaluate HIV-1 prevention modalities","Dezzutti CS, Hladik F.","Curr HIV/AIDS Rep. 2013 Mar;10(1):12-20. doi: 10.1007/s11904-012-0148-2.","Dezzutti CS","Curr HIV/AIDS Rep","2013","2012/12/11","PMC4242793","NIHMS643173","10.1007/s11904-012-0148-2"
"37140024","Advances and challenges in studying the tissue-resident T cell compartment in the human female reproductive tract","Lund JM, Hladik F, Prlic M.","Immunol Rev. 2023 Jul;316(1):52-62. doi: 10.1111/imr.13212. Epub 2023 May 4.","Lund JM","Immunol Rev","2023","2023/05/04","","","10.1111/imr.13212"
"18469831","Setting the stage: host invasion by HIV","Hladik F, McElrath MJ.","Nat Rev Immunol. 2008 Jun;8(6):447-57. doi: 10.1038/nri2302.","Hladik F","Nat Rev Immunol","2008","2008/05/13","PMC2587276","NIHMS51727","10.1038/nri2302"
