PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33090877","Clinical Endpoints for Evaluating Efficacy in COVID-19 Vaccine Trials","Mehrotra DV, Janes HE, Fleming TR, Annunziato PW, Neuzil KM, Carpp LN, Benkeser D, Brown ER, Carone M, Cho I, Donnell D, Fay MP, Fong Y, Han S, Hirsch I, Huang Y, Huang Y, Hyrien O, Juraska M, Luedtke A, Nason M, Vandebosch A, Zhou H, Cohen MS, Corey L, Hartzel J, Follmann D, Gilbert PB.","Ann Intern Med. 2021 Feb;174(2):221-228. doi: 10.7326/M20-6169. Epub 2020 Oct 22.","Mehrotra DV","Ann Intern Med","2021","2020/10/22","PMC7596738","","10.7326/M20-6169"
"25129146","Joint analysis of three genome-wide association studies of esophageal squamous cell carcinoma in Chinese populations","Wu C, Wang Z, Song X, Feng XS, Abnet CC, He J, Hu N, Zuo XB, Tan W, Zhan Q, Hu Z, He Z, Jia W, Zhou Y, Yu K, Shu XO, Yuan JM, Zheng W, Zhao XK, Gao SG, Yuan ZQ, Zhou FY, Fan ZM, Cui JL, Lin HL, Han XN, Li B, Chen X, Dawsey SM, Liao L, Lee MP, Ding T, Qiao YL, Liu Z, Liu Y, Yu D, Chang J, Wei L, Gao YT, Koh WP, Xiang YB, Tang ZZ, Fan JH, Han JJ, Zhou SL, Zhang P, Zhang DY, Yuan Y, Huang Y, Liu C, Zhai K, Qiao Y, Jin G, Guo C, Fu J, Miao X, Lu C, Yang H, Wang C, Wheeler WA, Gail M, Yeager M, Yuenger J, Guo ET, Li AL, Zhang W, Li XM, Sun LD, Ma BG, Li Y, Tang S, Peng XQ, Liu J, Hutchinson A, Jacobs K, Giffen C, Burdette L, Fraumeni JF Jr, Shen H, Ke Y, Zeng Y, Wu T, Kraft P, Chung CC, Tucker MA, Hou ZC, Liu YL, Hu YL, Liu Y, Wang L, Yuan G, Chen LS, Liu X, Ma T, Meng H, Sun L, Li XM, Li XM, Ku JW, Zhou YF, et al.","Nat Genet. 2014 Sep;46(9):1001-1006. doi: 10.1038/ng.3064. Epub 2014 Aug 17.","Wu C","Nat Genet","2014","2014/08/18","PMC4212832","NIHMS616063","10.1038/ng.3064"
"27662407","Modeling HIV vaccine trials of the future","Gilbert PB, Huang Y, Janes HE.","Curr Opin HIV AIDS. 2016 Nov;11(6):620-627. doi: 10.1097/COH.0000000000000314.","Gilbert PB","Curr Opin HIV AIDS","2016","2016/09/24","PMC5077275","NIHMS823977","10.1097/COH.0000000000000314"
"26827165","Selection of HIV vaccine candidates for concurrent testing in an efficacy trial","Huang Y, DiazGranados C, Janes H, Huang Y, deCamp AC, Metch B, Grant S, Sanchez B, Phogat S, Koutsoukos M, Kanesa-Thasan N, Bourguignon P, Collard A, Buchbinder S, Tomaras GD, McElrath J, Gray G, Kublin JG, Corey L, Gilbert PB.","Curr Opin Virol. 2016 Apr;17:57-65. doi: 10.1016/j.coviro.2016.01.007. Epub 2016 Jan 29.","Huang Y","Curr Opin Virol","2016","2016/02/01","PMC4902743","NIHMS756136","10.1016/j.coviro.2016.01.007"
"29037149","chngpt: threshold regression model estimation and inference","Fong Y, Huang Y, Gilbert PB, Permar SR.","BMC Bioinformatics. 2017 Oct 16;18(1):454. doi: 10.1186/s12859-017-1863-x.","Fong Y","BMC Bioinformatics","2017","2017/10/18","PMC5644082","","10.1186/s12859-017-1863-x"
"35253259","Testing a global null hypothesis using ensemble machine learning methods","Han S, Fong Y, Huang Y.","Stat Med. 2022 Jun 15;41(13):2417-2426. doi: 10.1002/sim.9362. Epub 2022 Mar 7.","Han S","Stat Med","2022","2022/03/07","PMC9035066","NIHMS1782155","10.1002/sim.9362"
"23881548","Calibration of self-reported dietary measures using biomarkers: an approach to enhancing nutritional epidemiology reliability","Prentice RL, Tinker LF, Huang Y, Neuhouser ML.","Curr Atheroscler Rep. 2013 Sep;15(9):353. doi: 10.1007/s11883-013-0353-5.","Prentice RL","Curr Atheroscler Rep","2013","2013/07/25","PMC3832356","NIHMS509128","10.1007/s11883-013-0353-5"
"27858965","Model-robust inference for continuous threshold regression models","Fong Y, Di C, Huang Y, Gilbert PB.","Biometrics. 2017 Jun;73(2):452-462. doi: 10.1111/biom.12623. Epub 2016 Nov 17.","Fong Y","Biometrics","2017","2016/11/19","PMC5435560","NIHMS843482","10.1111/biom.12623"
"31650095","Tree-based Ensemble Methods For Individualized Treatment Rules","Zhu K, Huang Y, Zhou XH.","Biostat Epidemiol. 2017;2(1):61-83. doi: 10.1080/24709360.2018.1435608. Epub 2018 Mar 28.","Zhu K","Biostat Epidemiol","2017","2019/10/26","PMC6812564","NIHMS1502745","10.1080/24709360.2018.1435608"
"35995954","Neutralization titer biomarker for antibody-mediated prevention of HIV-1 acquisition","Gilbert PB, Huang Y, deCamp AC, Karuna S, Zhang Y, Magaret CA, Giorgi EE, Korber B, Edlefsen PT, Rossenkhan R, Juraska M, Rudnicki E, Kochar N, Huang Y, Carpp LN, Barouch DH, Mkhize NN, Hermanus T, Kgagudi P, Bekker V, Kaldine H, Mapengo RE, Eaton A, Domin E, West C, Feng W, Tang H, Seaton KE, Heptinstall J, Brackett C, Chiong K, Tomaras GD, Andrew P, Mayer BT, Reeves DB, Sobieszczyk ME, Garrett N, Sanchez J, Gay C, Makhema J, Williamson C, Mullins JI, Hural J, Cohen MS, Corey L, Montefiori DC, Morris L.","Nat Med. 2022 Sep;28(9):1924-1932. doi: 10.1038/s41591-022-01953-6. Epub 2022 Aug 22.","Gilbert PB","Nat Med","2022","2022/08/22","PMC9499869","","10.1038/s41591-022-01953-6"
