PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34910859","Efficacy and Safety of NVX-CoV2373 in Adults in the United States and Mexico","Dunkle LM, Kotloff KL, Gay CL, Áñez G, Adelglass JM, Barrat Hernández AQ, Harper WL, Duncanson DM, McArthur MA, Florescu DF, McClelland RS, Garcia-Fragoso V, Riesenberg RA, Musante DB, Fried DL, Safirstein BE, McKenzie M, Jeanfreau RJ, Kingsley JK, Henderson JA, Lane DC, Ruíz-Palacios GM, Corey L, Neuzil KM, Coombs RW, Greninger AL, Hutter J, Ake JA, Smith K, Woo W, Cho I, Glenn GM, Dubovsky F; 2019nCoV-301 Study Group.","N Engl J Med. 2022 Feb 10;386(6):531-543. doi: 10.1056/NEJMoa2116185. Epub 2021 Dec 15.","Dunkle LM","N Engl J Med","2022","2021/12/15","PMC8693692","","10.1056/NEJMoa2116185"
"33761206","Vaccine Efficacy of ALVAC-HIV and Bivalent Subtype C gp120-MF59 in Adults","Gray GE, Bekker LG, Laher F, Malahleha M, Allen M, Moodie Z, Grunenberg N, Huang Y, Grove D, Prigmore B, Kee JJ, Benkeser D, Hural J, Innes C, Lazarus E, Meintjes G, Naicker N, Kalonji D, Nchabeleng M, Sebe M, Singh N, Kotze P, Kassim S, Dubula T, Naicker V, Brumskine W, Ncayiya CN, Ward AM, Garrett N, Kistnasami G, Gaffoor Z, Selepe P, Makhoba PB, Mathebula MP, Mda P, Adonis T, Mapetla KS, Modibedi B, Philip T, Kobane G, Bentley C, Ramirez S, Takuva S, Jones M, Sikhosana M, Atujuna M, Andrasik M, Hejazi NS, Puren A, Wiesner L, Phogat S, Diaz Granados C, Koutsoukos M, Van Der Meeren O, Barnett SW, Kanesa-Thasan N, Kublin JG, McElrath MJ, Gilbert PB, Janes H, Corey L; HVTN 702 Study Team.","N Engl J Med. 2021 Mar 25;384(12):1089-1100. doi: 10.1056/NEJMoa2031499.","Gray GE","N Engl J Med","2021","2021/03/24","PMC7888373","","10.1056/NEJMoa2031499"
"33090877","Clinical Endpoints for Evaluating Efficacy in COVID-19 Vaccine Trials","Mehrotra DV, Janes HE, Fleming TR, Annunziato PW, Neuzil KM, Carpp LN, Benkeser D, Brown ER, Carone M, Cho I, Donnell D, Fay MP, Fong Y, Han S, Hirsch I, Huang Y, Huang Y, Hyrien O, Juraska M, Luedtke A, Nason M, Vandebosch A, Zhou H, Cohen MS, Corey L, Hartzel J, Follmann D, Gilbert PB.","Ann Intern Med. 2021 Feb;174(2):221-228. doi: 10.7326/M20-6169. Epub 2020 Oct 22.","Mehrotra DV","Ann Intern Med","2021","2020/10/22","PMC7596738","","10.7326/M20-6169"
"33730454","Two Randomized Trials of Neutralizing Antibodies to Prevent HIV-1 Acquisition","Corey L, Gilbert PB, Juraska M, Montefiori DC, Morris L, Karuna ST, Edupuganti S, Mgodi NM, deCamp AC, Rudnicki E, Huang Y, Gonzales P, Cabello R, Orrell C, Lama JR, Laher F, Lazarus EM, Sanchez J, Frank I, Hinojosa J, Sobieszczyk ME, Marshall KE, Mukwekwerere PG, Makhema J, Baden LR, Mullins JI, Williamson C, Hural J, McElrath MJ, Bentley C, Takuva S, Gomez Lorenzo MM, Burns DN, Espy N, Randhawa AK, Kochar N, Piwowar-Manning E, Donnell DJ, Sista N, Andrew P, Kublin JG, Gray G, Ledgerwood JE, Mascola JR, Cohen MS; HVTN 704/HPTN 085 and HVTN 703/HPTN 081 Study Teams.","N Engl J Med. 2021 Mar 18;384(11):1003-1014. doi: 10.1056/NEJMoa2031738.","Corey L","N Engl J Med","2021","2021/03/17","PMC8189692","NIHMS1701559","10.1056/NEJMoa2031738"
"35758878","Analysis of the HIV Vaccine Trials Network 702 Phase 2b-3 HIV-1 Vaccine Trial in South Africa Assessing RV144 Antibody and T-Cell Correlates of HIV-1 Acquisition Risk","Moodie Z, Dintwe O, Sawant S, Grove D, Huang Y, Janes H, Heptinstall J, Omar FL, Cohen K, De Rosa SC, Zhang L, Yates NL, Sarzotti-Kelsoe M, Seaton KE, Laher F, Bekker LG, Malahleha M, Innes C, Kassim S, Naicker N, Govender V, Sebe M, Singh N, Kotze P, Lazarus E, Nchabeleng M, Ward AM, Brumskine W, Dubula T, Randhawa AK, Grunenberg N, Hural J, Kee JJ, Benkeser D, Jin Y, Carpp LN, Allen M, D'Souza P, Tartaglia J, DiazGranados CA, Koutsoukos M, Gilbert PB, Kublin JG, Corey L, Andersen-Nissen E, Gray GE, Tomaras GD, McElrath MJ.","J Infect Dis. 2022 Aug 24;226(2):246-257. doi: 10.1093/infdis/jiac260.","Moodie Z","J Infect Dis","2022","2022/06/27","PMC9890908","","10.1093/infdis/jiac260"
"23193203","Comparability and reproducibility of biomedical data","Huang Y, Gottardo R.","Brief Bioinform. 2013 Jul;14(4):391-401. doi: 10.1093/bib/bbs078. Epub 2012 Nov 27.","Huang Y","Brief Bioinform","2013","2012/11/30","PMC3713713","","10.1093/bib/bbs078"
"26827165","Selection of HIV vaccine candidates for concurrent testing in an efficacy trial","Huang Y, DiazGranados C, Janes H, Huang Y, deCamp AC, Metch B, Grant S, Sanchez B, Phogat S, Koutsoukos M, Kanesa-Thasan N, Bourguignon P, Collard A, Buchbinder S, Tomaras GD, McElrath J, Gray G, Kublin JG, Corey L, Gilbert PB.","Curr Opin Virol. 2016 Apr;17:57-65. doi: 10.1016/j.coviro.2016.01.007. Epub 2016 Jan 29.","Huang Y","Curr Opin Virol","2016","2016/02/01","PMC4902743","NIHMS756136","10.1016/j.coviro.2016.01.007"
"23872613","New clinical trial designs for HIV vaccine evaluation","Moodie Z, Janes H, Huang Y.","Curr Opin HIV AIDS. 2013 Sep;8(5):437-42. doi: 10.1097/COH.0b013e328363d46a.","Moodie Z","Curr Opin HIV AIDS","2013","2013/07/23","PMC3872029","NIHMS533773","10.1097/COH.0b013e328363d46a"
"35353885","High Asymptomatic Carriage With the Omicron Variant in South Africa","Garrett N, Tapley A, Andriesen J, Seocharan I, Fisher LH, Bunts L, Espy N, Wallis CL, Randhawa AK, Miner MD, Ketter N, Yacovone M, Goga A, Huang Y, Hural J, Kotze P, Bekker LG, Gray GE, Corey L; Ubuntu Study Team.","Clin Infect Dis. 2022 Aug 24;75(1):e289-e292. doi: 10.1093/cid/ciac237.","Garrett N","Clin Infect Dis","2022","2022/03/30","PMC9383623","","10.1093/cid/ciac237"
"36658109","Immune correlates analysis of the PREVENT-19 COVID-19 vaccine efficacy clinical trial","Fong Y, Huang Y, Benkeser D, Carpp LN, Áñez G, Woo W, McGarry A, Dunkle LM, Cho I, Houchens CR, Martins K, Jayashankar L, Castellino F, Petropoulos CJ, Leith A, Haugaard D, Webb B, Lu Y, Yu C, Borate B, van der Laan LWP, Hejazi NS, Randhawa AK, Andrasik MP, Kublin JG, Hutter J, Keshtkar-Jahromi M, Beresnev TH, Corey L, Neuzil KM, Follmann D, Ake JA, Gay CL, Kotloff KL, Koup RA, Donis RO, Gilbert PB; Immune Assays Team; Coronavirus Vaccine Prevention Network (CoVPN)/2019nCoV-301 Principal Investigators and Study Team; United States Government (USG)/CoVPN Biostatistics Team.","Nat Commun. 2023 Jan 19;14(1):331. doi: 10.1038/s41467-022-35768-3.","Fong Y","Nat Commun","2023","2023/01/19","PMC9851580","","10.1038/s41467-022-35768-3"
