PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26432245","A global reference for human genetic variation","1000 Genomes Project Consortium; Auton A, Brooks LD, Durbin RM, Garrison EP, Kang HM, Korbel JO, Marchini JL, McCarthy S, McVean GA, Abecasis GR.","Nature. 2015 Oct 1;526(7571):68-74. doi: 10.1038/nature15393.","1000 Genomes Project Consortium","Nature","2015","2015/10/04","PMC4750478","NIHMS753481","10.1038/nature15393"
"36108049","The evolving SARS-CoV-2 epidemic in Africa: Insights from rapidly expanding genomic surveillance","Tegally H, San JE, Cotten M, Moir M, Tegomoh B, Mboowa G, Martin DP, Baxter C, Lambisia AW, Diallo A, Amoako DG, Diagne MM, Sisay A, Zekri AN, Gueye AS, Sangare AK, Ouedraogo AS, Sow A, Musa AO, Sesay AK, Abias AG, Elzagheid AI, Lagare A, Kemi AS, Abar AE, Johnson AA, Fowotade A, Oluwapelumi AO, Amuri AA, Juru A, Kandeil A, Mostafa A, Rebai A, Sayed A, Kazeem A, Balde A, Christoffels A, Trotter AJ, Campbell A, Keita AK, Kone A, Bouzid A, Souissi A, Agweyu A, Naguib A, Gutierrez AV, Nkeshimana A, Page AJ, Yadouleton A, Vinze A, Happi AN, Chouikha A, Iranzadeh A, Maharaj A, Batchi-Bouyou AL, Ismail A, Sylverken AA, Goba A, Femi A, Sijuwola AE, Marycelin B, Salako BL, Oderinde BS, Bolajoko B, Diarra B, Herring BL, Tsofa B, Lekana-Douki B, Mvula B, Njanpop-Lafourcade BM, Marondera BT, Khaireh BA, Kouriba B, Adu B, Pool B, McInnis B, Brook C, Williamson C, Nduwimana C, Anscombe C, Pratt CB, Scheepers C, Akoua-Koffi CG, Agoti CN, Mapanguy CM, Loucoubar C, Onwuamah CK, Ihekweazu C, Malaka CN, Peyrefitte C, Grace C, Omoruyi CE, Rafaï CD, Morang'a CM, Erameh C, Lule DB, Bridges DJ, Mukadi-Bamuleka D, Park D, Rasmussen DA, et al.","Science. 2022 Oct 7;378(6615):eabq5358. doi: 10.1126/science.abq5358. Epub 2022 Oct 7.","Tegally H","Science","2022","2022/09/15","PMC9529057","","10.1126/science.abq5358"
"33259788","Complete Mapping of Mutations to the SARS-CoV-2 Spike Receptor-Binding Domain that Escape Antibody Recognition","Greaney AJ, Starr TN, Gilchuk P, Zost SJ, Binshtein E, Loes AN, Hilton SK, Huddleston J, Eguia R, Crawford KHD, Dingens AS, Nargi RS, Sutton RE, Suryadevara N, Rothlauf PW, Liu Z, Whelan SPJ, Carnahan RH, Crowe JE Jr, Bloom JD.","Cell Host Microbe. 2021 Jan 13;29(1):44-57.e9. doi: 10.1016/j.chom.2020.11.007. Epub 2020 Nov 19.","Greaney AJ","Cell Host Microbe","2021","2020/12/01","PMC7676316","","10.1016/j.chom.2020.11.007"
"32060489","A slipped-CAG DNA-binding small molecule induces trinucleotide-repeat contractions in vivo","Nakamori M, Panigrahi GB, Lanni S, Gall-Duncan T, Hayakawa H, Tanaka H, Luo J, Otabe T, Li J, Sakata A, Caron MC, Joshi N, Prasolava T, Chiang K, Masson JY, Wold MS, Wang X, Lee MYWT, Huddleston J, Munson KM, Davidson S, Layeghifard M, Edward LM, Gallon R, Santibanez-Koref M, Murata A, Takahashi MP, Eichler EE, Shlien A, Nakatani K, Mochizuki H, Pearson CE.","Nat Genet. 2020 Feb;52(2):146-159. doi: 10.1038/s41588-019-0575-8. Epub 2020 Feb 14.","Nakamori M","Nat Genet","2020","2020/02/16","PMC7043212","NIHMS1547031","10.1038/s41588-019-0575-8"
"26432246","An integrated map of structural variation in 2,504 human genomes","Sudmant PH, Rausch T, Gardner EJ, Handsaker RE, Abyzov A, Huddleston J, Zhang Y, Ye K, Jun G, Fritz MH, Konkel MK, Malhotra A, Stütz AM, Shi X, Casale FP, Chen J, Hormozdiari F, Dayama G, Chen K, Malig M, Chaisson MJP, Walter K, Meiers S, Kashin S, Garrison E, Auton A, Lam HYK, Mu XJ, Alkan C, Antaki D, Bae T, Cerveira E, Chines P, Chong Z, Clarke L, Dal E, Ding L, Emery S, Fan X, Gujral M, Kahveci F, Kidd JM, Kong Y, Lameijer EW, McCarthy S, Flicek P, Gibbs RA, Marth G, Mason CE, Menelaou A, Muzny DM, Nelson BJ, Noor A, Parrish NF, Pendleton M, Quitadamo A, Raeder B, Schadt EE, Romanovitch M, Schlattl A, Sebra R, Shabalin AA, Untergasser A, Walker JA, Wang M, Yu F, Zhang C, Zhang J, Zheng-Bradley X, Zhou W, Zichner T, Sebat J, Batzer MA, McCarroll SA; 1000 Genomes Project Consortium; Mills RE, Gerstein MB, Bashir A, Stegle O, Devine SE, Lee C, Eichler EE, Korbel JO.","Nature. 2015 Oct 1;526(7571):75-81. doi: 10.1038/nature15394.","Sudmant PH","Nature","2015","2015/10/04","PMC4617611","EMS64772","10.1038/nature15394"
"32876050","Integrating genotypes and phenotypes improves long-term forecasts of seasonal influenza A/H3N2 evolution","Huddleston J, Barnes JR, Rowe T, Xu X, Kondor R, Wentworth DE, Whittaker L, Ermetal B, Daniels RS, McCauley JW, Fujisaki S, Nakamura K, Kishida N, Watanabe S, Hasegawa H, Barr I, Subbarao K, Barrat-Charlaix P, Neher RA, Bedford T.","Elife. 2020 Sep 2;9:e60067. doi: 10.7554/eLife.60067.","Huddleston J","Elife","2020","2020/09/03","PMC7553778","","10.7554/eLife.60067"
"29790939","Nextstrain: real-time tracking of pathogen evolution","Hadfield J, Megill C, Bell SM, Huddleston J, Potter B, Callender C, Sagulenko P, Bedford T, Neher RA.","Bioinformatics. 2018 Dec 1;34(23):4121-4123. doi: 10.1093/bioinformatics/bty407.","Hadfield J","Bioinformatics","2018","2018/05/24","PMC6247931","","10.1093/bioinformatics/bty407"
"28155877","Epigenetic origin of evolutionary novel centromeres","Tolomeo D, Capozzi O, Stanyon RR, Archidiacono N, D'Addabbo P, Catacchio CR, Purgato S, Perini G, Schempp W, Huddleston J, Malig M, Eichler EE, Rocchi M.","Sci Rep. 2017 Feb 3;7:41980. doi: 10.1038/srep41980.","Tolomeo D","Sci Rep","2017","2017/02/04","PMC5290474","","10.1038/srep41980"
"32913002","Cryptic transmission of SARS-CoV-2 in Washington state","Bedford T, Greninger AL, Roychoudhury P, Starita LM, Famulare M, Huang ML, Nalla A, Pepper G, Reinhardt A, Xie H, Shrestha L, Nguyen TN, Adler A, Brandstetter E, Cho S, Giroux D, Han PD, Fay K, Frazar CD, Ilcisin M, Lacombe K, Lee J, Kiavand A, Richardson M, Sibley TR, Truong M, Wolf CR, Nickerson DA, Rieder MJ, Englund JA; Seattle Flu Study Investigators; Hadfield J, Hodcroft EB, Huddleston J, Moncla LH, Müller NF, Neher RA, Deng X, Gu W, Federman S, Chiu C, Duchin JS, Gautom R, Melly G, Hiatt B, Dykema P, Lindquist S, Queen K, Tao Y, Uehara A, Tong S, MacCannell D, Armstrong GL, Baird GS, Chu HY, Shendure J, Jerome KR.","Science. 2020 Oct 30;370(6516):571-575. doi: 10.1126/science.abc0523. Epub 2020 Sep 10.","Bedford T","Science","2020","2020/09/11","PMC7810035","","10.1126/science.abc0523"
"32511596","Cryptic transmission of SARS-CoV-2 in Washington State","Bedford T, Greninger AL, Roychoudhury P, Starita LM, Famulare M, Huang ML, Nalla A, Pepper G, Reinhardt A, Xie H, Shrestha L, Nguyen TN, Adler A, Brandstetter E, Cho S, Giroux D, Han PD, Fay K, Frazar CD, Ilcisin M, Lacombe K, Lee J, Kiavand A, Richardson M, Sibley TR, Truong M, Wolf CR, Nickerson DA, Rieder MJ, Englund JA; Seattle Flu Study Investigators; Hadfield J, Hodcroft EB, Huddleston J, Moncla LH, Müller NF, Neher RA, Deng X, Gu W, Federman S, Chiu C, Duchin J, Gautom R, Melly G, Hiatt B, Dykema P, Lindquist S, Queen K, Tao Y, Uehara A, Tong S, MacCannell D, Armstrong GL, Baird GS, Chu HY, Shendure J, Jerome KR.","medRxiv. 2020 Apr 6:2020.04.02.20051417. doi: 10.1101/2020.04.02.20051417. Preprint.","Bedford T","medRxiv","2020","2020/06/09","PMC7276023","","10.1101/2020.04.02.20051417"
