PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32946741","A Potent Anti-Malarial Human Monoclonal Antibody Targets Circumsporozoite Protein Minor Repeats and Neutralizes Sporozoites in the Liver","Wang LT, Pereira LS, Flores-Garcia Y, O'Connor J, Flynn BJ, Schön A, Hurlburt NK, Dillon M, Yang ASP, Fabra-García A, Idris AH, Mayer BT, Gerber MW, Gottardo R, Mason RD, Cavett N, Ballard RB, Kisalu NK, Molina-Cruz A, Nelson J, Vistein R, Barillas-Mury C, Amino R, Baker D, King NP, Sauerwein RW, Pancera M, Cockburn IA, Zavala F, Francica JR, Seder RA.","Immunity. 2020 Oct 13;53(4):733-744.e8. doi: 10.1016/j.immuni.2020.08.014. Epub 2020 Sep 17.","Wang LT","Immunity","2020","2020/09/18","PMC7572793","NIHMS1631259","10.1016/j.immuni.2020.08.014"
"35736810","Highly protective antimalarial antibodies via precision library generation and yeast display screening","Banach BB, Tripathi P, Da Silva Pereira L, Gorman J, Nguyen TD, Dillon M, Fahad AS, Kiyuka PK, Madan B, Wolfe JR, Bonilla B, Flynn B, Francica JR, Hurlburt NK, Kisalu NK, Liu T, Ou L, Rawi R, Schön A, Shen CH, Teng IT, Zhang B, Pancera M, Idris AH, Seder RA, Kwong PD, DeKosky BJ.","J Exp Med. 2022 Aug 1;219(8):e20220323. doi: 10.1084/jem.20220323. Epub 2022 Jun 23.","Banach BB","J Exp Med","2022","2022/06/23","PMC9242090","","10.1084/jem.20220323"
"34237283","Isolation and characterization of cross-neutralizing coronavirus antibodies from COVID-19+ subjects","Jennewein MF, MacCamy AJ, Akins NR, Feng J, Homad LJ, Hurlburt NK, Seydoux E, Wan YH, Stuart AB, Edara VV, Floyd K, Vanderheiden A, Mascola JR, Doria-Rose N, Wang L, Yang ES, Chu HY, Torres JL, Ozorowski G, Ward AB, Whaley RE, Cohen KW, Pancera M, McElrath MJ, Englund JA, Finzi A, Suthar MS, McGuire AT, Stamatatos L.","Cell Rep. 2021 Jul 13;36(2):109353. doi: 10.1016/j.celrep.2021.109353. Epub 2021 Jun 22.","Jennewein MF","Cell Rep","2021","2021/07/08","PMC8216847","","10.1016/j.celrep.2021.109353"
"33791692","Isolation and Characterization of Cross-Neutralizing Coronavirus Antibodies from COVID-19+ Subjects","Jennewein MF, MacCamy AJ, Akins NR, Feng J, Homad LJ, Hurlburt NK, Seydoux E, Wan YH, Stuart AB, Edara VV, Floyd K, Vanderheiden A, Mascola JR, Doria-Rose N, Wang L, Yang ES, Chu HY, Torres JL, Ozorowski G, Ward AB, Whaley RE, Cohen KW, Pancera M, McElrath MJ, Englund JA, Finzi A, Suthar MS, McGuire AT, Stamatatos L.","bioRxiv. 2021 Mar 24:2021.03.23.436684. doi: 10.1101/2021.03.23.436684. Preprint.","Jennewein MF","bioRxiv","2021","2021/04/01","PMC8010719","","10.1101/2021.03.23.436684"
"35411021","Structural definition of a pan-sarbecovirus neutralizing epitope on the spike S2 subunit","Hurlburt NK, Homad LJ, Sinha I, Jennewein MF, MacCamy AJ, Wan YH, Boonyaratanakornkit J, Sholukh AM, Jackson AM, Zhou P, Burton DR, Andrabi R, Ozorowski G, Ward AB, Stamatatos L, Pancera M, McGuire AT.","Commun Biol. 2022 Apr 11;5(1):342. doi: 10.1038/s42003-022-03262-7.","Hurlburt NK","Commun Biol","2022","2022/04/12","PMC9001700","","10.1038/s42003-022-03262-7"
"32511342","Characterization of neutralizing antibodies from a SARS-CoV-2 infected individual","Seydoux E, Homad LJ, MacCamy AJ, Parks KR, Hurlburt NK, Jennewein MF, Akins NR, Stuart AB, Wan YH, Feng J, Nelson RE, Singh S, Cohen KW, McElrath MJ, Englund JA, Chu HY, Pancera M, McGuire AT, Stamatatos L.","bioRxiv. 2020 May 12:2020.05.12.091298. doi: 10.1101/2020.05.12.091298. Preprint.","Seydoux E","bioRxiv","2020","2020/06/09","PMC7241105","","10.1101/2020.05.12.091298"
"32577631","Structural basis for potent neutralization of SARS-CoV-2 and role of antibody affinity maturation","Hurlburt NK, Wan YH, Stuart AB, Feng J, McGuire AT, Stamatatos L, Pancera M.","bioRxiv. 2020 Jun 12:2020.06.12.148692. doi: 10.1101/2020.06.12.148692. Preprint.","Hurlburt NK","bioRxiv","2020","2020/06/25","PMC7301900","","10.1101/2020.06.12.148692"
"33110068","Structural basis for potent neutralization of SARS-CoV-2 and role of antibody affinity maturation","Hurlburt NK, Seydoux E, Wan YH, Edara VV, Stuart AB, Feng J, Suthar MS, McGuire AT, Stamatatos L, Pancera M.","Nat Commun. 2020 Oct 27;11(1):5413. doi: 10.1038/s41467-020-19231-9.","Hurlburt NK","Nat Commun","2020","2020/10/28","PMC7591918","","10.1038/s41467-020-19231-9"
"35172158","The light chain of the L9 antibody is critical for binding circumsporozoite protein minor repeats and preventing malaria","Wang LT, Hurlburt NK, Schön A, Flynn BJ, Flores-Garcia Y, Pereira LS, Kiyuka PK, Dillon M, Bonilla B, Zavala F, Idris AH, Francica JR, Pancera M, Seder RA.","Cell Rep. 2022 Feb 15;38(7):110367. doi: 10.1016/j.celrep.2022.110367.","Wang LT","Cell Rep","2022","2022/02/16","PMC8896312","NIHMS1779378","10.1016/j.celrep.2022.110367"
"33803622","Design of Alphavirus Virus-Like Particles Presenting Circumsporozoite Junctional Epitopes That Elicit Protection against Malaria","Francica JR, Shi W, Chuang GY, Chen SJ, Da Silva Pereira L, Farney SK, Flynn BJ, Ou L, Stephens T, Tsybovsky Y, Wang LT, Anderson A, Beck Z, Dillon M, Idris AH, Hurlburt N, Liu T, Zhang B, Alving CR, Matyas GR, Pancera M, Mascola JR, Kwong PD, Seder RA.","Vaccines (Basel). 2021 Mar 18;9(3):272. doi: 10.3390/vaccines9030272.","Francica JR","Vaccines (Basel)","2021","2021/04/03","PMC8003078","","10.3390/vaccines9030272"
