PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35139271","Final Analysis of Efficacy and Safety of Single-Dose Ad26.COV2.S","Sadoff J, Gray G, Vandebosch A, Cárdenas V, Shukarev G, Grinsztejn B, Goepfert PA, Truyers C, Van Dromme I, Spiessens B, Vingerhoets J, Custers J, Scheper G, Robb ML, Treanor J, Ryser MF, Barouch DH, Swann E, Marovich MA, Neuzil KM, Corey L, Stoddard J, Hardt K, Ruiz-Guiñazú J, Le Gars M, Schuitemaker H, Van Hoof J, Struyf F, Douoguih M; ENSEMBLE Study Group.","N Engl J Med. 2022 Mar 3;386(9):847-860. doi: 10.1056/NEJMoa2117608. Epub 2022 Feb 9.","Sadoff J","N Engl J Med","2022","2022/02/09","PMC8849184","","10.1056/NEJMoa2117608"
"33090877","Clinical Endpoints for Evaluating Efficacy in COVID-19 Vaccine Trials","Mehrotra DV, Janes HE, Fleming TR, Annunziato PW, Neuzil KM, Carpp LN, Benkeser D, Brown ER, Carone M, Cho I, Donnell D, Fay MP, Fong Y, Han S, Hirsch I, Huang Y, Huang Y, Hyrien O, Juraska M, Luedtke A, Nason M, Vandebosch A, Zhou H, Cohen MS, Corey L, Hartzel J, Follmann D, Gilbert PB.","Ann Intern Med. 2021 Feb;174(2):221-228. doi: 10.7326/M20-6169. Epub 2020 Oct 22.","Mehrotra DV","Ann Intern Med","2021","2020/10/22","PMC7596738","","10.7326/M20-6169"
"28644946","Effectiveness of Corticosteroid Injections for Treatment of de Quervain's Tenosynovitis","Oh JK, Messing S, Hyrien O, Hammert WC.","Hand (N Y). 2017 Jul;12(4):357-361. doi: 10.1177/1558944716681976. Epub 2016 Dec 5.","Oh JK","Hand (N Y)","2017","2017/06/24","PMC5484456","","10.1177/1558944716681976"
"37091190","The quest for vaccine-induced immune correlates of protection against tuberculosis","Nemes E, Fiore-Gartland A, Boggiano C, Coccia M, D'Souza P, Gilbert P, Ginsberg A, Hyrien O, Laddy D, Makar K, McElrath MJ, Ramachandra L, Schmidt AC, Shororbani S, Sunshine J, Tomaras G, Yu WH, Scriba TJ, Frahm N; BCG Correlates PIs Study Team, M72 Correlates PIs Study Team.","Vaccine Insights. 2022 Jul;1(3):165-181. doi: 10.18609/vac/2022.027. Epub 2022 Jul 29.","Nemes E","Vaccine Insights","2022","2023/04/24","PMC10117634","NIHMS1865255","10.18609/vac/2022.027"
"37398105","Quantifying how single dose Ad26.COV2.S vaccine efficacy depends on Spike sequence features","Magaret C, Li L, deCamp A, Rolland M, Juraska M, Williamson B, Ludwig J, Molitor C, Benkeser D, Luedtke A, Simpkins B, Carpp L, Bai H, Dearlove B, Greninger A, Roychoudhury P, Sadoff J, Gray G, Roels S, Vandebosch A, Stieh D, Gars ML, Vingerhoets J, Grinsztejn B, Goepfert P, Truyers C, Dromme IV, Swann E, Marovich M, Follmann D, Neuzil K, Corey L, Hyrien O, de Sousa LP, Casapia M, Losso M, Little S, Gaur A, Bekker LG, Garrett N, Heng F, Sun Y, Gilbert P.","Res Sq. 2023 May 31:rs.3.rs-2743022. doi: 10.21203/rs.3.rs-2743022/v1. Preprint.","Magaret C","Res Sq","2023","2023/07/03","PMC10312950","","10.21203/rs.3.rs-2743022/v1"
"36993183","Human immunoglobulin gene allelic variation impacts germline-targeting vaccine priming","deCamp AC, Corcoran MM, Fulp WJ, Willis JR, Cottrell CA, Bader DLV, Kalyuzhniy O, Leggat DJ, Cohen KW, Hyrien O, Menis S, Finak G, Ballweber-Fleming L, Srikanth A, Plyler JR, Rahaman F, Lombardo A, Philiponis V, Whaley RE, Seese A, Brand J, Ruppel AM, Hoyland W, Mahoney CR, Cagigi A, Taylor A, Brown DM, Ambrozak DR, Sincomb T, Mullen TM, Maenza J, Kolokythas O, Khati N, Bethony J, Roederer M, Diemert D, Koup RA, Laufer DS, McElrath JM, McDermott AB, Hedestam GBK, Schief WR.","medRxiv. 2023 Mar 15:2023.03.10.23287126. doi: 10.1101/2023.03.10.23287126. Preprint.","deCamp AC","medRxiv","2023","2023/03/30","PMC10055468","","10.1101/2023.03.10.23287126"
"36136590","Lower SARS-CoV-2-specific humoral immunity in people living with HIV-1 recovered from nonhospitalized COVID-19","Schuster DJ, Karuna S, Brackett C, Wesley M, Li SS, Eisel N, Tenney D, Hilliard S, Yates NL, Heptinstall JR, Williams LD, Shen X, Rolfe R, Cabello R, Zhang L, Sawant S, Hu J, Randhawa AK, Hyrien O, Hural JA, Corey L, Frank I, Tomaras GD, Seaton KE; HVTN 405/HPTN 1901 Study Team.","JCI Insight. 2022 Nov 8;7(21):e158402. doi: 10.1172/jci.insight.158402.","Schuster DJ","JCI Insight","2022","2022/09/22","PMC9675463","","10.1172/jci.insight.158402"
"36357712","Immune correlates analysis of the ENSEMBLE single Ad26.COV2.S dose vaccine efficacy clinical trial","Fong Y, McDermott AB, Benkeser D, Roels S, Stieh DJ, Vandebosch A, Le Gars M, Van Roey GA, Houchens CR, Martins K, Jayashankar L, Castellino F, Amoa-Awua O, Basappa M, Flach B, Lin BC, Moore C, Naisan M, Naqvi M, Narpala S, O'Connell S, Mueller A, Serebryannyy L, Castro M, Wang J, Petropoulos CJ, Luedtke A, Hyrien O, Lu Y, Yu C, Borate B, van der Laan LWP, Hejazi NS, Kenny A, Carone M, Wolfe DN, Sadoff J, Gray GE, Grinsztejn B, Goepfert PA, Little SJ, Paiva de Sousa L, Maboa R, Randhawa AK, Andrasik MP, Hendriks J, Truyers C, Struyf F, Schuitemaker H, Douoguih M, Kublin JG, Corey L, Neuzil KM, Carpp LN, Follmann D, Gilbert PB, Koup RA, Donis RO; Immune Assays Team; the Coronavirus Vaccine Prevention Network (CoVPN)/ENSEMBLE Team; and the United States Government (USG)/CoVPN Biostatistics Team.","Nat Microbiol. 2022 Dec;7(12):1996-2010. doi: 10.1038/s41564-022-01262-1. Epub 2022 Nov 10.","Fong Y","Nat Microbiol","2022","2022/11/10","PMC10166187","NIHMS1867012","10.1038/s41564-022-01262-1"
"31312028","A pro-inflammatory CD8+ T-cell subset patrols the cervicovaginal tract","Pattacini L, Woodward Davis A, Czartoski J, Mair F, Presnell S, Hughes SM, Hyrien O, Lentz GM, Kirby AC, Fialkow MF, Hladik F, Prlic M, Lund JM.","Mucosal Immunol. 2019 Sep;12(5):1118-1129. doi: 10.1038/s41385-019-0186-9. Epub 2019 Jul 16.","Pattacini L","Mucosal Immunol","2019","2019/07/18","PMC6717561","NIHMS1532161","10.1038/s41385-019-0186-9"
"26103163","Multi-Dimensional Measurement of Antibody-Mediated Heterosubtypic Immunity to Influenza","Wang J, Hilchey SP, Hyrien O, Huertas N, Perry S, Ramanunninair M, Bucher D, Zand MS.","PLoS One. 2015 Jun 23;10(6):e0129858. doi: 10.1371/journal.pone.0129858. eCollection 2015.","Wang J","PLoS One","2015","2015/06/24","PMC4478018","","10.1371/journal.pone.0129858"
