PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36385528","Effect of the intratumoral microbiota on spatial and cellular heterogeneity in cancer","Galeano Niño JL, Wu H, LaCourse KD, Kempchinsky AG, Baryiames A, Barber B, Futran N, Houlton J, Sather C, Sicinska E, Taylor A, Minot SS, Johnston CD, Bullman S.","Nature. 2022 Nov;611(7937):810-817. doi: 10.1038/s41586-022-05435-0. Epub 2022 Nov 16.","Galeano Niño JL","Nature","2022","2022/11/17","PMC9684076","","10.1038/s41586-022-05435-0"
"36384132","The cancer chemotherapeutic 5-fluorouracil is a potent Fusobacterium nucleatum inhibitor and its activity is modified by intratumoral microbiota","LaCourse KD, Zepeda-Rivera M, Kempchinsky AG, Baryiames A, Minot SS, Johnston CD, Bullman S.","Cell Rep. 2022 Nov 15;41(7):111625. doi: 10.1016/j.celrep.2022.111625.","LaCourse KD","Cell Rep","2022","2022/11/17","","","10.1016/j.celrep.2022.111625"
"35361914","The tumour-associated microbiome","Johnston CD, Bullman S.","Nat Rev Gastroenterol Hepatol. 2022 Jun;19(6):347-348. doi: 10.1038/s41575-022-00609-7.","Johnston CD","Nat Rev Gastroenterol Hepatol","2022","2022/04/01","","","10.1038/s41575-022-00609-7"
"33743198","The relationship between gastrointestinal cancers and the microbiota","LaCourse KD, Johnston CD, Bullman S.","Lancet Gastroenterol Hepatol. 2021 Jun;6(6):498-509. doi: 10.1016/S2468-1253(20)30362-9. Epub 2021 Mar 18.","LaCourse KD","Lancet Gastroenterol Hepatol","2021","2021/03/20","","","10.1016/S2468-1253(20)30362-9"
"35534708","Negativity bias, personality and political ideology","Johnston CD, Madson GJ.","Nat Hum Behav. 2022 May;6(5):666-676. doi: 10.1038/s41562-022-01327-5. Epub 2022 May 9.","Johnston CD","Nat Hum Behav","2022","2022/05/09","","","10.1038/s41562-022-01327-5"
"35121929","Harnessing the microbiome to restore immunotherapy response","Bullman S, Eggermont A, Johnston CD, Zitvogel L.","Nat Cancer. 2021 Dec;2(12):1301-1304. doi: 10.1038/s43018-021-00300-x.","Bullman S","Nat Cancer","2021","2022/02/05","","","10.1038/s43018-021-00300-x"
"36097170","A bacterial pan-genome makes gene essentiality strain-dependent and evolvable","Rosconi F, Rudmann E, Li J, Surujon D, Anthony J, Frank M, Jones DS, Rock C, Rosch JW, Johnston CD, van Opijnen T.","Nat Microbiol. 2022 Oct;7(10):1580-1592. doi: 10.1038/s41564-022-01208-7. Epub 2022 Sep 12.","Rosconi F","Nat Microbiol","2022","2022/09/13","PMC9519441","","10.1038/s41564-022-01208-7"
"35254123","Complete Genome Sequence of Morganella morganii CTX51T, Isolated from a Human Cecal Adenocarcinoma","Stepanovica M, Zepeda-Rivera MA, McGlinchey AS, Baryiames AA, Jones DS, LaCourse KD, Bullman S, Johnston CD.","Microbiol Resour Announc. 2022 Apr 21;11(4):e0006622. doi: 10.1128/mra.00066-22. Epub 2022 Mar 7.","Stepanovica M","Microbiol Resour Announc","2022","2022/03/07","PMC9022561","","10.1128/mra.00066-22"
"35234492","Complete Genome Sequence of Clostridium cadaveris IFB3C5, Isolated from a Human Colonic Adenocarcinoma","McGlinchey AS, Zepeda-Rivera MA, Stepanovica M, Baryiames AA, Jones DS, LaCourse KD, Bullman S, Johnston CD.","Microbiol Resour Announc. 2022 Mar 17;11(3):e0113521. doi: 10.1128/mra.01135-21. Epub 2022 Mar 2.","McGlinchey AS","Microbiol Resour Announc","2022","2022/03/02","PMC8928765","","10.1128/mra.01135-21"
"35060165","Fewer daily steps are associated with greater cartilage oligomeric matrix protein response to loading post-ACL reconstruction","Davis-Wilson HC, Thoma LM, Johnston CD, Young E, Evans-Pickett A, Spang JT, Blackburn JT, Hackney AC, Pietrosimone B.","J Orthop Res. 2022 Oct;40(10):2248-2257. doi: 10.1002/jor.25268. Epub 2022 Jan 20.","Davis-Wilson HC","J Orthop Res","2022","2022/01/21","","","10.1002/jor.25268"
"31097593","Systematic evasion of the restriction-modification barrier in bacteria","Johnston CD, Cotton SL, Rittling SR, Starr JR, Borisy GG, Dewhirst FE, Lemon KP.","Proc Natl Acad Sci U S A. 2019 Jun 4;116(23):11454-11459. doi: 10.1073/pnas.1820256116. Epub 2019 May 16.","Johnston CD","Proc Natl Acad Sci U S A","2019","2019/05/18","PMC6561282","","10.1073/pnas.1820256116"
"32826633","Effects of BMI on Walking Speed and Gait Biomechanics after Anterior Cruciate Ligament Reconstruction","Davis-Wilson HC, Johnston CD, Young E, Song K, Wikstrom EA, Blackburn JT, Pietrosimone B.","Med Sci Sports Exerc. 2021 Jan;53(1):108-114. doi: 10.1249/MSS.0000000000002460.","Davis-Wilson HC","Med Sci Sports Exerc","2021","2020/08/23","","","10.1249/MSS.0000000000002460"
"37295348","Expanding the rumen Prevotella collection: The description of Prevotella communis, sp. nov. of ovine origin","Grabner E, Stare E, Fanedl L, Zorec M, Jones DS, Johnston CD, Avguštin G, Accetto T.","Syst Appl Microbiol. 2023 Jul;46(4):126437. doi: 10.1016/j.syapm.2023.126437. Epub 2023 May 30.","Grabner E","Syst Appl Microbiol","2023","2023/06/09","","","10.1016/j.syapm.2023.126437"
"34546072","Genomic Stability and Genetic Defense Systems in Dolosigranulum pigrum, a Candidate Beneficial Bacterium from the Human Microbiome","Flores Ramos S, Brugger SD, Escapa IF, Skeete CA, Cotton SL, Eslami SM, Gao W, Bomar L, Tran TH, Jones DS, Minot S, Roberts RJ, Johnston CD, Lemon KP.","mSystems. 2021 Oct 26;6(5):e0042521. doi: 10.1128/mSystems.00425-21. Epub 2021 Sep 21.","Flores Ramos S","mSystems","2021","2021/09/21","PMC8547433","","10.1128/mSystems.00425-21"
"31809411","Bilateral Gait 6 and 12 Months Post-Anterior Cruciate Ligament Reconstruction Compared with Controls","Davis-Wilson HC, Pfeiffer SJ, Johnston CD, Seeley MK, Harkey MS, Blackburn JT, Fockler RP, Spang JT, Pietrosimone B.","Med Sci Sports Exerc. 2020 Apr;52(4):785-794. doi: 10.1249/MSS.0000000000002208.","Davis-Wilson HC","Med Sci Sports Exerc","2020","2019/12/07","PMC7078064","NIHMS1549954","10.1249/MSS.0000000000002208"
"27599164","Modulation of infection-mediated migration of neutrophils and CXCR2 trafficking by osteopontin","Singh R, Hui T, Matsui A, Allahem Z, Johnston CD, Ruiz-Torruella M, Rittling SR.","Immunology. 2017 Jan;150(1):74-86. doi: 10.1111/imm.12668. Epub 2016 Oct 7.","Singh R","Immunology","2017","2016/09/07","PMC5341506","","10.1111/imm.12668"
"30082754","Biosensor libraries harness large classes of binding domains for construction of allosteric transcriptional regulators","Juárez JF, Lecube-Azpeitia B, Brown SL, Johnston CD, Church GM.","Nat Commun. 2018 Aug 6;9(1):3101. doi: 10.1038/s41467-018-05525-6.","Juárez JF","Nat Commun","2018","2018/08/08","PMC6079105","","10.1038/s41467-018-05525-6"
"37398369","Fusobacterium sphaericum sp. nov. , isolated from a human colon tumor, is prevalent in various human body sites and induces IL-8 secretion from colorectal cancer cells","Zepeda-Rivera MA, Eisele Y, Baryiames A, Wu H, LaCourse KD, Jones DS, Hauner H, Dewhirst FE, Minot SS, Johnston CD, Bullman S.","bioRxiv. 2023 Jun 16:2023.06.16.545380. doi: 10.1101/2023.06.16.545380. Preprint.","Zepeda-Rivera MA","bioRxiv","2023","2023/07/03","PMC10312772","","10.1101/2023.06.16.545380"
"34854708","Complete Genome Sequence of Arachnia rubra Strain DSM 100122(T), a Cultured Member of the Human Oral Microbiome","Ouellette M, Bejian AA, Chen T, Jones DS, Johnston CD, Dewhirst FE.","Microbiol Resour Announc. 2021 Dec 2;10(48):e0095921. doi: 10.1128/MRA.00959-21. Epub 2021 Dec 2.","Ouellette M","Microbiol Resour Announc","2021","2021/12/02","PMC8638593","","10.1128/MRA.00959-21"
"32675190","Complete Genome Sequences and Methylome Analyses of Cutibacterium acnes subsp. acnes Strains DSM 16379 and DSM 1897(T)","Deptula P, Laine P, Paulin L, Auvinen P, Roberts RJ, Johnston CD, Varmanen P.","Microbiol Resour Announc. 2020 Jul 16;9(29):e00705-20. doi: 10.1128/MRA.00705-20.","Deptula P","Microbiol Resour Announc","2020","2020/07/18","PMC7365801","","10.1128/MRA.00705-20"
"33848702","Long-term gait biomechanics in level, uphill, and downhill conditions following anterior cruciate ligament reconstruction","Dewig DR, Johnston CD, Pietrosimone B, Blackburn JT.","Clin Biomech (Bristol, Avon). 2021 Apr;84:105345. doi: 10.1016/j.clinbiomech.2021.105345. Epub 2021 Mar 31.","Dewig DR","Clin Biomech (Bristol, Avon)","2021","2021/04/13","","","10.1016/j.clinbiomech.2021.105345"
