PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28298452","Applications of Digital PCR for Clinical Microbiology","Kuypers J, Jerome KR.","J Clin Microbiol. 2017 Jun;55(6):1621-1628. doi: 10.1128/JCM.00211-17. Epub 2017 Mar 15.","Kuypers J","J Clin Microbiol","2017","2017/03/17","PMC5442518","","10.1128/JCM.00211-17"
"32937062","Detection of SARS-CoV-2 with SHERLOCK One-Pot Testing","Joung J, Ladha A, Saito M, Kim NG, Woolley AE, Segel M, Barretto RPJ, Ranu A, Macrae RK, Faure G, Ioannidi EI, Krajeski RN, Bruneau R, Huang MW, Yu XG, Li JZ, Walker BD, Hung DT, Greninger AL, Jerome KR, Gootenberg JS, Abudayyeh OO, Zhang F.","N Engl J Med. 2020 Oct 8;383(15):1492-1494. doi: 10.1056/NEJMc2026172. Epub 2020 Sep 16.","Joung J","N Engl J Med","2020","2020/09/16","PMC7510942","","10.1056/NEJMc2026172"
"33882225","Safety and Efficacy of Single-Dose Ad26.COV2.S Vaccine against Covid-19","Sadoff J, Gray G, Vandebosch A, Cárdenas V, Shukarev G, Grinsztejn B, Goepfert PA, Truyers C, Fennema H, Spiessens B, Offergeld K, Scheper G, Taylor KL, Robb ML, Treanor J, Barouch DH, Stoddard J, Ryser MF, Marovich MA, Neuzil KM, Corey L, Cauwenberghs N, Tanner T, Hardt K, Ruiz-Guiñazú J, Le Gars M, Schuitemaker H, Van Hoof J, Struyf F, Douoguih M; ENSEMBLE Study Group.","N Engl J Med. 2021 Jun 10;384(23):2187-2201. doi: 10.1056/NEJMoa2101544. Epub 2021 Apr 21.","Sadoff J","N Engl J Med","2021","2021/04/21","PMC8220996","","10.1056/NEJMoa2101544"
"35139271","Final Analysis of Efficacy and Safety of Single-Dose Ad26.COV2.S","Sadoff J, Gray G, Vandebosch A, Cárdenas V, Shukarev G, Grinsztejn B, Goepfert PA, Truyers C, Van Dromme I, Spiessens B, Vingerhoets J, Custers J, Scheper G, Robb ML, Treanor J, Ryser MF, Barouch DH, Swann E, Marovich MA, Neuzil KM, Corey L, Stoddard J, Hardt K, Ruiz-Guiñazú J, Le Gars M, Schuitemaker H, Van Hoof J, Struyf F, Douoguih M; ENSEMBLE Study Group.","N Engl J Med. 2022 Mar 3;386(9):847-860. doi: 10.1056/NEJMoa2117608. Epub 2022 Feb 9.","Sadoff J","N Engl J Med","2022","2022/02/09","PMC8849184","","10.1056/NEJMoa2117608"
"33657225","Cytomegalovirus-specific T-cell reconstitution following letermovir prophylaxis after hematopoietic cell transplantation","Zamora D, Duke ER, Xie H, Edmison BC, Akoto B, Kiener R, Stevens-Ayers T, Wagner R, Mielcarek M, Leisenring WM, Jerome KR, Schiffer JT, Finak G, De Rosa SC, Boeckh M.","Blood. 2021 Jul 8;138(1):34-43. doi: 10.1182/blood.2020009396.","Zamora D","Blood","2021","2021/03/03","PMC8493975","","10.1182/blood.2020009396"
"36693927","Cytomegalovirus breakthrough and resistance during letermovir prophylaxis","Perchetti GA, Biernacki MA, Xie H, Castor J, Joncas-Schronce L, Ueda Oshima M, Kim Y, Jerome KR, Sandmaier BM, Martin PJ, Boeckh M, Greninger AL, Zamora D.","Bone Marrow Transplant. 2023 Apr;58(4):430-436. doi: 10.1038/s41409-023-01920-w. Epub 2023 Jan 24.","Perchetti GA","Bone Marrow Transplant","2023","2023/01/24","","","10.1038/s41409-023-01920-w"
"36272098","Viral Shedding 1 Year Following First-Episode Genital HSV-1 Infection","Johnston C, Magaret A, Son H, Stern M, Rathbun M, Renner D, Szpara M, Gunby S, Ott M, Jing L, Campbell VL, Huang ML, Selke S, Jerome KR, Koelle DM, Wald A.","JAMA. 2022 Nov 1;328(17):1730-1739. doi: 10.1001/jama.2022.19061.","Johnston C","JAMA","2022","2022/10/22","PMC9588168","","10.1001/jama.2022.19061"
"36113538","Efficacy, safety, and immunogenicity of a booster regimen of Ad26.COV2.S vaccine against COVID-19 (ENSEMBLE2): results of a randomised, double-blind, placebo-controlled, phase 3 trial","Hardt K, Vandebosch A, Sadoff J, Le Gars M, Truyers C, Lowson D, Van Dromme I, Vingerhoets J, Kamphuis T, Scheper G, Ruiz-Guiñazú J, Faust SN, Spinner CD, Schuitemaker H, Van Hoof J, Douoguih M, Struyf F; ENSEMBLE2 study group.","Lancet Infect Dis. 2022 Dec;22(12):1703-1715. doi: 10.1016/S1473-3099(22)00506-0. Epub 2022 Sep 13.","Hardt K","Lancet Infect Dis","2022","2022/09/16","PMC9639796","","10.1016/S1473-3099(22)00506-0"
"33284679","Hydroxychloroquine as Postexposure Prophylaxis to Prevent Severe Acute Respiratory Syndrome Coronavirus 2 Infection : A Randomized Trial","Barnabas RV, Brown ER, Bershteyn A, Stankiewicz Karita HC, Johnston C, Thorpe LE, Kottkamp A, Neuzil KM, Laufer MK, Deming M, Paasche-Orlow MK, Kissinger PJ, Luk A, Paolino K, Landovitz RJ, Hoffman R, Schaafsma TT, Krows ML, Thomas KK, Morrison S, Haugen HS, Kidoguchi L, Wener M, Greninger AL, Huang ML, Jerome KR, Wald A, Celum C, Chu HY, Baeten JM; Hydroxychloroquine COVID-19 PEP Study Team.","Ann Intern Med. 2021 Mar;174(3):344-352. doi: 10.7326/M20-6519. Epub 2020 Dec 8.","Barnabas RV","Ann Intern Med","2021","2020/12/07","PMC7732017","","10.7326/M20-6519"
"14736935","The danger within","Jerome KR, Corey L.","N Engl J Med. 2004 Jan 22;350(4):411-2. doi: 10.1056/NEJMcibr032455.","Jerome KR","N Engl J Med","2004","2004/01/23","","","10.1056/NEJMcibr032455"
