PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"15451457","Differences in F36VMpl-based in vivo selection among large animal models","Richard RE, De Claro RA, Yan J, Chien S, Von Recum H, Morris J, Kiem HP, Dalgarno DC, Heimfeld S, Clackson T, Andrews R, Blau CA.","Mol Ther. 2004 Oct;10(4):730-40. doi: 10.1016/j.ymthe.2004.07.005.","Richard RE","Mol Ther","2004","2004/09/29","","","10.1016/j.ymthe.2004.07.005"
"18357342","High incidence of leukemia in large animals after stem cell gene therapy with a HOXB4-expressing retroviral vector","Zhang XB, Beard BC, Trobridge GD, Wood BL, Sale GE, Sud R, Humphries RK, Kiem HP.","J Clin Invest. 2008 Apr;118(4):1502-10. doi: 10.1172/JCI34371.","Zhang XB","J Clin Invest","2008","2008/03/22","PMC2268879","","10.1172/JCI34371"
"16645714","Complications of a temozolomide overdose: a case report","Spence AM, Kiem HP, Partap S, Schuetze S, Silber JR, Peterson RA.","J Neurooncol. 2006 Oct;80(1):57-61. doi: 10.1007/s11060-006-9152-y. Epub 2006 Apr 28.","Spence AM","J Neurooncol","2006","2006/04/29","","","10.1007/s11060-006-9152-y"
"20403449","Outcome of allogeneic hematopoietic cell transplantation from HLA-identical siblings for severe aplastic anemia in patients over 40 years of age","Sangiolo D, Storb R, Deeg HJ, Flowers ME, Martin PJ, Sandmaier BM, Kiem HP, Nash RA, Doney K, Leisenring WM, Georges GE.","Biol Blood Marrow Transplant. 2010 Oct;16(10):1411-8. doi: 10.1016/j.bbmt.2010.04.005. Epub 2010 Apr 18.","Sangiolo D","Biol Blood Marrow Transplant","2010","2010/04/21","PMC2934906","NIHMS197756","10.1016/j.bbmt.2010.04.005"
"18410895","Sirolimus in combination with cyclosporine or tacrolimus plus methotrexate for prevention of graft-versus-host disease following hematopoietic cell transplantation from unrelated donors","Furlong T, Kiem HP, Appelbaum FR, Carpenter PA, Deeg HJ, Doney K, Flowers ME, Mielcarek M, Nash RA, Storb R, Martin PJ.","Biol Blood Marrow Transplant. 2008 May;14(5):531-7. doi: 10.1016/j.bbmt.2008.02.009.","Furlong T","Biol Blood Marrow Transplant","2008","2008/04/16","PMC2563039","NIHMS47713","10.1016/j.bbmt.2008.02.009"
"24512963","Transmission of Chagas disease via blood transfusions in 2 immunosuppressed pigtailed macaques (Macaca nemestrina)","Fong DL, Torrence AE, Vogel KW, Stockinger DE, Nelson V, Murnane RD, Baldessari A, Kuller L, Agy M, Kiem HP, Hotchkiss CE.","Comp Med. 2014 Feb;64(1):63-7.","Fong DL","Comp Med","2014","2014/02/12","PMC3929221","",""
"18022575","HLA-matched related donor hematopoietic cell transplantation in 43 patients with Fanconi anemia conditioned with 60 mg/kg of cyclophosphamide","Bonfim CM, de Medeiros CR, Bitencourt MA, Zanis-Neto J, Funke VA, Setubal DC, Ruiz J, Sanders JE, Flowers ME, Kiem HP, Storb R, Pasquini R.","Biol Blood Marrow Transplant. 2007 Dec;13(12):1455-60. doi: 10.1016/j.bbmt.2007.08.004. Epub 2007 Oct 18.","Bonfim CM","Biol Blood Marrow Transplant","2007","2007/11/21","PMC2174905","NIHMS35036","10.1016/j.bbmt.2007.08.004"
"17440443","Comparison of HIV-derived lentiviral and MLV-based gammaretroviral vector integration sites in primate repopulating cells","Beard BC, Dickerson D, Beebe K, Gooch C, Fletcher J, Okbinoglu T, Miller DG, Jacobs MA, Kaul R, Kiem HP, Trobridge GD.","Mol Ther. 2007 Jul;15(7):1356-65. doi: 10.1038/sj.mt.6300159. Epub 2007 Apr 17.","Beard BC","Mol Ther","2007","2007/04/19","","","10.1038/sj.mt.6300159"
"18394775","Tightly regulated gene expression in human hematopoietic stem cells after transduction with helper-dependent Ad5/35 vectors","Wang H, Cao H, Wohlfahrt M, Kiem HP, Lieber A.","Exp Hematol. 2008 Jul;36(7):823-31. doi: 10.1016/j.exphem.2008.01.014. Epub 2008 Apr 18.","Wang H","Exp Hematol","2008","2008/04/09","PMC2517261","NIHMS57439","10.1016/j.exphem.2008.01.014"
"16635793","Reduced incidence of acute and chronic graft-versus-host disease with the addition of thymoglobulin to a targeted busulfan/cyclophosphamide regimen","Deeg HJ, Storer BE, Boeckh M, Martin PJ, McCune JS, Myerson D, Heimfeld S, Flowers ME, Anasetti C, Doney KC, Hansen JA, Kiem HP, Nash RA, O'Donnell PV, Radich JP, Sandmaier BM, Scott BL, Sorror ML, Warren EH, Witherspoon RP, Woolfrey A, Appelbaum FR, Storb R.","Biol Blood Marrow Transplant. 2006 May;12(5):573-84. doi: 10.1016/j.bbmt.2005.12.036.","Deeg HJ","Biol Blood Marrow Transplant","2006","2006/04/26","","","10.1016/j.bbmt.2005.12.036"
"17487744","Differential effects of bexarotene on intrinsic and extrinsic pathways in TRAIL-induced apoptosis in two myeloid leukemia cell lines","Ying SX, Seal S, Abbassi N, Hockenbery DM, Kiem HP, Li X, Pagel JM, Gopal AK, Deeg HJ.","Leuk Lymphoma. 2007 May;48(5):1003-14. doi: 10.1080/10428190701242358.","Ying SX","Leuk Lymphoma","2007","2007/05/10","","","10.1080/10428190701242358"
"23587923","CD34(+) expansion with Delta-1 and HOXB4 promotes rapid engraftment and transfusion independence in a Macaca nemestrina cord blood transplant model","Watts KL, Delaney C, Nelson V, Trobridge GD, Beard BC, Humphries RK, Kiem HP.","Mol Ther. 2013 Jun;21(6):1270-8. doi: 10.1038/mt.2013.40. Epub 2013 Apr 16.","Watts KL","Mol Ther","2013","2013/04/17","PMC3677311","","10.1038/mt.2013.40"
"18838202","Differential responses of FLIPLong and FLIPShort-overexpressing human myeloid leukemia cells to TNF-alpha and TRAIL-initiated apoptotic signals","Seal S, Hockenbery DM, Spaulding EY, Kiem HP, Abbassi N, Deeg HJ.","Exp Hematol. 2008 Dec;36(12):1660-72. doi: 10.1016/j.exphem.2008.07.012. Epub 2008 Oct 5.","Seal S","Exp Hematol","2008","2008/10/08","PMC2645417","NIHMS80734","10.1016/j.exphem.2008.07.012"
"12543864","Interleukin-7 improves CD4 T-cell reconstitution after autologous CD34 cell transplantation in monkeys","Storek J, Gillespy T 3rd, Lu H, Joseph A, Dawson MA, Gough M, Morris J, Hackman RC, Horn PA, Sale GE, Andrews RG, Maloney DG, Kiem HP.","Blood. 2003 May 15;101(10):4209-18. doi: 10.1182/blood-2002-08-2671. Epub 2003 Jan 23.","Storek J","Blood","2003","2003/01/25","","","10.1182/blood-2002-08-2671"
"17510218","Effects of HOXB4 overexpression on ex vivo expansion and immortalization of hematopoietic cells from different species","Zhang XB, Schwartz JL, Humphries RK, Kiem HP.","Stem Cells. 2007 Aug;25(8):2074-81. doi: 10.1634/stemcells.2006-0742. Epub 2007 May 17.","Zhang XB","Stem Cells","2007","2007/05/19","","","10.1634/stemcells.2006-0742"
"16631413","Efficient transduction and engraftment of G-CSF-mobilized peripheral blood CD34+ cells in nonhuman primates using GALV-pseudotyped gammaretroviral vectors","Beard BC, Mezquita P, Morris JC, Kiem HP.","Mol Ther. 2006 Aug;14(2):212-7. doi: 10.1016/j.ymthe.2006.01.016. Epub 2006 Apr 21.","Beard BC","Mol Ther","2006","2006/04/25","","","10.1016/j.ymthe.2006.01.016"
"15253281","Radiation-induced glioblastoma multiforme in two adult baboons (Papio cynocephalus anubis)","Schielke JE, Kiem HP, Liggitt D, Bielefeldt-Ohmann H.","Comp Med. 2004 Jun;54(3):327-32.","Schielke JE","Comp Med","2004","2004/07/16","","",""
