PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34845322","Mucosal tissue regulatory T cells are integral in balancing immunity and tolerance at portals of antigen entry","Traxinger BR, Richert-Spuhler LE, Lund JM.","Mucosal Immunol. 2022 Mar;15(3):398-407. doi: 10.1038/s41385-021-00471-x. Epub 2021 Nov 29.","Traxinger BR","Mucosal Immunol","2022","2021/11/30","PMC8628059","","10.1038/s41385-021-00471-x"
"37140024","Advances and challenges in studying the tissue-resident T cell compartment in the human female reproductive tract","Lund JM, Hladik F, Prlic M.","Immunol Rev. 2023 Jul;316(1):52-62. doi: 10.1111/imr.13212. Epub 2023 May 4.","Lund JM","Immunol Rev","2023","2023/05/04","","","10.1111/imr.13212"
"26615099","The Immune Fulcrum: Regulatory T Cells Tip the Balance Between Pro- and Anti-inflammatory Outcomes upon Infection","Richert-Spuhler LE, Lund JM.","Prog Mol Biol Transl Sci. 2015;136:217-43. doi: 10.1016/bs.pmbts.2015.07.015. Epub 2015 Aug 18.","Richert-Spuhler LE","Prog Mol Biol Transl Sci","2015","2015/11/29","PMC4769439","NIHMS760905","10.1016/bs.pmbts.2015.07.015"
"29261232","A Mouse Model of West Nile Virus Infection","Graham JB, Swarts JL, Lund JM.","Curr Protoc Mouse Biol. 2017 Dec 20;7(4):221-235. doi: 10.1002/cpmo.33.","Graham JB","Curr Protoc Mouse Biol","2017","2017/12/21","PMC5777180","NIHMS930922","10.1002/cpmo.33"
"35197551","A spotlight on heightened T cell complexity and relevance in mucosal tissues","Lund JM.","Mucosal Immunol. 2022 Mar;15(3):377-378. doi: 10.1038/s41385-022-00485-z. Epub 2022 Feb 23.","Lund JM","Mucosal Immunol","2022","2022/02/24","PMC8864207","","10.1038/s41385-022-00485-z"
"30129205","Herpes simplex virus-2 dynamics as a probe to measure the extremely rapid and spatially localized tissue-resident T-cell response","Schiffer JT, Swan DA, Prlic M, Lund JM.","Immunol Rev. 2018 Sep;285(1):113-133. doi: 10.1111/imr.12672.","Schiffer JT","Immunol Rev","2018","2018/08/22","PMC6752889","NIHMS1029834","10.1111/imr.12672"
"37314481","Recurrent infection transiently expands human tissue T cells while maintaining long-term homeostasis","Davé V, Richert-Spuhler LE, Arkatkar T, Warrier L, Pholsena T, Johnston C, Schiffer JT, Prlic M, Lund JM.","J Exp Med. 2023 Sep 4;220(9):e20210692. doi: 10.1084/jem.20210692. Epub 2023 Jun 14.","Davé V","J Exp Med","2023","2023/06/14","PMC10267593","","10.1084/jem.20210692"
"36951943","Memory T cells possess an innate-like function in local protection from mucosal infection","Arkatkar T, Davé V, Cruz Talavera I, Graham JB, Swarts JL, Hughes SM, Bell TA, Hock P, Farrington J, Shaw GD, Kirby A, Fialkow M, Huang ML, Jerome KR, Ferris MT, Hladik F, Schiffer JT, Prlic M, Lund JM.","J Clin Invest. 2023 May 15;133(10):e162800. doi: 10.1172/JCI162800.","Arkatkar T","J Clin Invest","2023","2023/03/23","PMC10178838","","10.1172/JCI162800"
"34195685","CD101 genetic variants modify regulatory and conventional T cell phenotypes and functions","Richert-Spuhler LE, Mar CM, Shinde P, Wu F, Hong T, Greene E, Hou S, Thomas K, Gottardo R, Mugo N, de Bruyn G, Celum C, Baeten JM, Lingappa JR, Lund JM; Partners in Prevention HSV/HIV Transmission Study; and the Partners PrEP Study Teams.","Cell Rep Med. 2021 Jun 15;2(6):100322. doi: 10.1016/j.xcrm.2021.100322. eCollection 2021 Jun 15.","Richert-Spuhler LE","Cell Rep Med","2021","2021/07/01","PMC8233694","","10.1016/j.xcrm.2021.100322"
"32125285","Tissue-resident T cell-derived cytokines eliminate herpes simplex virus-2-infected cells","Roychoudhury P, Swan DA, Duke E, Corey L, Zhu J, Davé V, Spuhler LR, Lund JM, Prlic M, Schiffer JT.","J Clin Invest. 2020 Jun 1;130(6):2903-2919. doi: 10.1172/JCI132583.","Roychoudhury P","J Clin Invest","2020","2020/03/04","PMC7260013","","10.1172/JCI132583"
"31312028","A pro-inflammatory CD8+ T-cell subset patrols the cervicovaginal tract","Pattacini L, Woodward Davis A, Czartoski J, Mair F, Presnell S, Hughes SM, Hyrien O, Lentz GM, Kirby AC, Fialkow MF, Hladik F, Prlic M, Lund JM.","Mucosal Immunol. 2019 Sep;12(5):1118-1129. doi: 10.1038/s41385-019-0186-9. Epub 2019 Jul 16.","Pattacini L","Mucosal Immunol","2019","2019/07/18","PMC6717561","NIHMS1532161","10.1038/s41385-019-0186-9"
"31621854","Immune Predictors of Mortality After Ribonucleic Acid Virus Infection","Graham JB, Swarts JL, Menachery VD, Gralinski LE, Schäfer A, Plante KS, Morrison CR, Voss KM, Green R, Choonoo G, Jeng S, Miller DR, Mooney MA, McWeeney SK, Ferris MT, Pardo-Manuel de Villena F, Gale M, Heise MT, Baric RS, Lund JM.","J Infect Dis. 2020 Mar 2;221(6):882-889. doi: 10.1093/infdis/jiz531.","Graham JB","J Infect Dis","2020","2019/10/18","PMC7107456","","10.1093/infdis/jiz531"
"34088770","Cervicovaginal Tissue Residence Confers a Distinct Differentiation Program upon Memory CD8 T Cells","Davé VA, Cardozo-Ojeda EF, Mair F, Erickson J, Woodward-Davis AS, Koehne A, Soerens A, Czartoski J, Teague C, Potchen N, Oberle S, Zehn D, Schiffer JT, Lund JM, Prlic M.","J Immunol. 2021 Jun 15;206(12):2937-2948. doi: 10.4049/jimmunol.2100166. Epub 2021 Jun 4.","Davé VA","J Immunol","2021","2021/06/05","PMC8642491","NIHMS1695343","10.4049/jimmunol.2100166"
"34757794","A regulatory T cell signature distinguishes the immune landscape of COVID-19 patients from those with other respiratory infections","Vick SC, Frutoso M, Mair F, Konecny AJ, Greene E, Wolf CR, Logue JK, Franko NM, Boonyaratanakornkit J, Gottardo R, Schiffer JT, Chu HY, Prlic M, Lund JM.","Sci Adv. 2021 Nov 12;7(46):eabj0274. doi: 10.1126/sciadv.abj0274. Epub 2021 Nov 10.","Vick SC","Sci Adv","2021","2021/11/10","PMC8580318","","10.1126/sciadv.abj0274"
