PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34250512","Longitudinal analysis shows durable and broad immune memory after SARS-CoV-2 infection with persisting antibody responses and memory B and T cells","Cohen KW, Linderman SL, Moodie Z, Czartoski J, Lai L, Mantus G, Norwood C, Nyhoff LE, Edara VV, Floyd K, De Rosa SC, Ahmed H, Whaley R, Patel SN, Prigmore B, Lemos MP, Davis CW, Furth S, O'Keefe JB, Gharpure MP, Gunisetty S, Stephens K, Antia R, Zarnitsyna VI, Stephens DS, Edupuganti S, Rouphael N, Anderson EJ, Mehta AK, Wrammert J, Suthar MS, Ahmed R, McElrath MJ.","Cell Rep Med. 2021 Jul 20;2(7):100354. doi: 10.1016/j.xcrm.2021.100354. Epub 2021 Jul 3.","Cohen KW","Cell Rep Med","2021","2021/07/12","PMC8253687","","10.1016/j.xcrm.2021.100354"
"29412886","Pathology-Based Research in Africa","Lemos MP, Taylor TE, McGoldrick SM, Molyneux ME, Menon M, Kussick S, Mkhize NN, Martinson NA, Stritmatter A, Randolph-Habecker J.","Clin Lab Med. 2018 Mar;38(1):67-90. doi: 10.1016/j.cll.2017.10.006.","Lemos MP","Clin Lab Med","2018","2018/02/08","PMC5894888","NIHMS931421","10.1016/j.cll.2017.10.006"
"33766944","mRNA vaccination boosts cross-variant neutralizing antibodies elicited by SARS-CoV-2 infection","Stamatatos L, Czartoski J, Wan YH, Homad LJ, Rubin V, Glantz H, Neradilek M, Seydoux E, Jennewein MF, MacCamy AJ, Feng J, Mize G, De Rosa SC, Finzi A, Lemos MP, Cohen KW, Moodie Z, McElrath MJ, McGuire AT.","Science. 2021 Mar 25;372(6549):1413-8. doi: 10.1126/science.abg9175. Online ahead of print.","Stamatatos L","Science","2021","2021/03/26","PMC8139425","","10.1126/science.abg9175"
"37296110","Persistent serum protein signatures define an inflammatory subcategory of long COVID","Talla A, Vasaikar SV, Szeto GL, Lemos MP, Czartoski JL, MacMillan H, Moodie Z, Cohen KW, Fleming LB, Thomson Z, Okada L, Becker LA, Coffey EM, De Rosa SC, Newell EW, Skene PJ, Li X, Bumol TF, Juliana McElrath M, Torgerson TR.","Nat Commun. 2023 Jun 9;14(1):3417. doi: 10.1038/s41467-023-38682-4.","Talla A","Nat Commun","2023","2023/06/09","PMC10252177","","10.1038/s41467-023-38682-4"
"30590447","Response to Guo et al.'s Letter to the Editor","Fong Y, Huang Y, Lemos MP, Mcelrath MJ.","Biostatistics. 2019 Apr 1;20(2):363-365. doi: 10.1093/biostatistics/kxy061.","Fong Y","Biostatistics","2019","2018/12/28","PMC6657390","","10.1093/biostatistics/kxy061"
"34075380","Longitudinal immune dynamics of mild COVID-19 define signatures of recovery and persistence","Talla A, Vasaikar SV, Lemos MP, Moodie Z, Lee Pebworth MP, Henderson KE, Cohen KW, Czartoski JL, Lai L, Suthar MS, Heubeck AT, Genge PC, Roll CR, Weiss M, Reading J, Kondza N, MacMillan H, Fong OC, Thomson ZJ, Graybuck LT, Okada LY, Newell EW, Coffey EM, Meijer P, Becker LA, De Rosa SC, Skene PJ, Torgerson TR, Li XJ, Szeto GL, McElrath MJ, Bumol TF.","bioRxiv. 2021 Aug 19:2021.05.26.442666. doi: 10.1101/2021.05.26.442666. Preprint.","Talla A","bioRxiv","2021","2021/06/02","PMC8168393","","10.1101/2021.05.26.442666"
"33758873","A single mRNA immunization boosts cross-variant neutralizing antibodies elicited by SARS-CoV-2 infection","Stamatatos L, Czartoski J, Wan YH, Homad LJ, Rubin V, Glantz H, Neradilek M, Seydoux E, Jennewein MF, MacCamy AJ, Feng J, Mize G, De Rosa SC, Finzi A, Lemos MP, Cohen KW, Moodie Z, McElrath MJ, McGuire AT.","medRxiv. 2021 Mar 10:2021.02.05.21251182. doi: 10.1101/2021.02.05.21251182. Preprint.","Stamatatos L","medRxiv","2021","2021/03/24","PMC7987032","","10.1101/2021.02.05.21251182"
"28968816","Rank-based two-sample tests for paired data with missing values","Fong Y, Huang Y, Lemos MP, Mcelrath MJ.","Biostatistics. 2018 Jul 1;19(3):281-294. doi: 10.1093/biostatistics/kxx039.","Fong Y","Biostatistics","2018","2017/10/03","PMC5991263","","10.1093/biostatistics/kxx039"
"34166231","Rectal tissue and vaginal tissue from intravenous VRC01 recipients show protection against ex vivo HIV-1 challenge","Astronomo RD, Lemos MP, Narpala SR, Czartoski J, Fleming LB, Seaton KE, Prabhakaran M, Huang Y, Lu Y, Westerberg K, Zhang L, Gross MK, Hural J, Tieu HV, Baden LR, Hammer S, Frank I, Ochsenbauer C, Grunenberg N, Ledgerwood JE, Mayer K, Tomaras G, McDermott AB, McElrath MJ.","J Clin Invest. 2021 Aug 16;131(16):e146975. doi: 10.1172/JCI146975.","Astronomo RD","J Clin Invest","2021","2021/06/24","PMC8363291","","10.1172/JCI146975"
"32929044","Rapid Collection of Human Rectal Secretions Using OriCol Devices Is Suitable for Measurement of Mucosal Ig without Blood Contamination","Czartoski J, Lemos MP, Fong Y, Mize GJ, Konchan A, Berger D, Maenza J, McElrath MJ.","J Immunol. 2020 Oct 15;205(8):2312-2320. doi: 10.4049/jimmunol.2000320. Epub 2020 Sep 14.","Czartoski J","J Immunol","2020","2020/09/15","PMC7942816","NIHMS1622627","10.4049/jimmunol.2000320"
