PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33859204","Meta-analysis of HIV-1 vaccine elicited mucosal antibodies in humans","Seaton KE, Deal A, Han X, Li SS, Clayton A, Heptinstall J, Duerr A, Allen MA, Shen X, Sawant S, Yates NL, Spearman P, Churchyard G, Goepfert PA, Maenza J, Gray G, Pantaleo G, Polakowski L, Robinson HL, Grant S, Randhawa AK, Huang Y, Morgan C, Grunenberg N, Karuna S, Gilbert PB, McElrath MJ, Huang Y, Tomaras GD; NIAID HIV Vaccine Trials Network (HVTN) 076, 088, 086, 096, 097, 205 Study Teams.","NPJ Vaccines. 2021 Apr 15;6(1):56. doi: 10.1038/s41541-021-00305-8.","Seaton KE","NPJ Vaccines","2021","2021/04/16","PMC8050318","","10.1038/s41541-021-00305-8"
"36136590","Lower SARS-CoV-2-specific humoral immunity in people living with HIV-1 recovered from nonhospitalized COVID-19","Schuster DJ, Karuna S, Brackett C, Wesley M, Li SS, Eisel N, Tenney D, Hilliard S, Yates NL, Heptinstall JR, Williams LD, Shen X, Rolfe R, Cabello R, Zhang L, Sawant S, Hu J, Randhawa AK, Hyrien O, Hural JA, Corey L, Frank I, Tomaras GD, Seaton KE; HVTN 405/HPTN 1901 Study Team.","JCI Insight. 2022 Nov 8;7(21):e158402. doi: 10.1172/jci.insight.158402.","Schuster DJ","JCI Insight","2022","2022/09/22","PMC9675463","","10.1172/jci.insight.158402"
"35841889","HLA-B∗46 associates with rapid HIV disease progression in Asian cohorts and prominent differences in NK cell phenotype","Li SS, Hickey A, Shangguan S, Ehrenberg PK, Geretz A, Butler L, Kundu G, Apps R, Creegan M, Clifford RJ, Pinyakorn S, Eller LA, Luechai P, Gilbert PB, Holtz TH, Chitwarakorn A, Sacdalan C, Kroon E, Phanuphak N, de Souza M, Ananworanich J, O'Connell RJ, Robb ML, Michael NL, Vasan S, Thomas R.","Cell Host Microbe. 2022 Aug 10;30(8):1173-1185.e8. doi: 10.1016/j.chom.2022.06.005. Epub 2022 Jul 15.","Li SS","Cell Host Microbe","2022","2022/07/16","PMC9380401","NIHMS1817876","10.1016/j.chom.2022.06.005"
"31589165","Antibody Fc effector functions and IgG3 associate with decreased HIV-1 risk","Neidich SD, Fong Y, Li SS, Geraghty DE, Williamson BD, Young WC, Goodman D, Seaton KE, Shen X, Sawant S, Zhang L, deCamp AC, Blette BS, Shao M, Yates NL, Feely F, Pyo CW, Ferrari G; HVTN 505 Team; Frank I, Karuna ST, Swann EM, Mascola JR, Graham BS, Hammer SM, Sobieszczyk ME, Corey L, Janes HE, McElrath MJ, Gottardo R, Gilbert PB, Tomaras GD.","J Clin Invest. 2019 Nov 1;129(11):4838-4849. doi: 10.1172/JCI126391.","Neidich SD","J Clin Invest","2019","2019/10/08","PMC6819135","","10.1172/JCI126391"
"34635391","Associations of human leukocyte antigen with neutralizing antibody titers in a tetravalent dengue vaccine phase 2 efficacy trial in Thailand","Thomas R, Chansinghakul D, Limkittikul K, Gilbert PB, Hattasingh W, Moodie Z, Shangguan S, Frago C, Dulyachai W, Li SS, Jarman RG, Geretz A, Bouckenooghe A, Sabchareon A, Juraska M, Ehrenberg P, Michael NL, Bailleux F, Bryant C, Gurunathan S.","Hum Immunol. 2022 Jan;83(1):53-60. doi: 10.1016/j.humimm.2021.09.006. Epub 2021 Oct 8.","Thomas R","Hum Immunol","2022","2021/10/12","","","10.1016/j.humimm.2021.09.006"
"31566579","DNA priming and gp120 boosting induces HIV-specific antibodies in a randomized clinical trial","Rouphael NG, Morgan C, Li SS, Jensen R, Sanchez B, Karuna S, Swann E, Sobieszczyk ME, Frank I, Wilson GJ, Tieu HV, Maenza J, Norwood A, Kobie J, Sinangil F, Pantaleo G, Ding S, McElrath MJ, De Rosa SC, Montefiori DC, Ferrari G, Tomaras GD, Keefer MC; HVTN 105 Protocol Team and the NIAID HIV Vaccine Trials Network.","J Clin Invest. 2019 Nov 1;129(11):4769-4785. doi: 10.1172/JCI128699.","Rouphael NG","J Clin Invest","2019","2019/10/01","PMC6819112","","10.1172/JCI128699"
"22289434","Sequencing genes in silico using single nucleotide polymorphisms","Zhang XC, Zhang B, Li SS, Huang X, Hansen JA, Zhao LP.","BMC Genet. 2012 Jan 30;13:6. doi: 10.1186/1471-2156-13-6.","Zhang XC","BMC Genet","2012","2012/02/01","PMC3283449","","10.1186/1471-2156-13-6"
"20099195","Dietary and demographic correlates of serum beta-glucuronidase activity","Maruti SS, Li L, Chang JL, Prunty J, Schwarz Y, Li SS, King IB, Potter JD, Lampe JW.","Nutr Cancer. 2010;62(2):208-19. doi: 10.1080/01635580903305375.","Maruti SS","Nutr Cancer","2010","2010/01/26","PMC2858007","NIHMS183001","10.1080/01635580903305375"
"25105367","FCGR2C polymorphisms associate with HIV-1 vaccine protection in RV144 trial","Li SS, Gilbert PB, Tomaras GD, Kijak G, Ferrari G, Thomas R, Pyo CW, Zolla-Pazner S, Montefiori D, Liao HX, Nabel G, Pinter A, Evans DT, Gottardo R, Dai JY, Janes H, Morris D, Fong Y, Edlefsen PT, Li F, Frahm N, Alpert MD, Prentice H, Rerks-Ngarm S, Pitisuttithum P, Kaewkungwal J, Nitayaphan S, Robb ML, O'Connell RJ, Haynes BF, Michael NL, Kim JH, McElrath MJ, Geraghty DE.","J Clin Invest. 2014 Sep;124(9):3879-90. doi: 10.1172/JCI75539. Epub 2014 Aug 8.","Li SS","J Clin Invest","2014","2014/08/09","PMC4151214","","10.1172/JCI75539"
"36935288","Cellular and humoral responses to an HIV DNA prime by electroporation boosted with recombinant vesicular stomatitis virus expressing HIV subtype C Env in a randomized controlled clinical trial","Wilson GJ, Rodriguez B, Li SS, Allen M, Frank I, Rudnicki E, Trahey M, Kalams S, Hannaman D, Clarke DK, Xu R, Egan M, Eldridge J, Pensiero M, Latham T, Ferrari G, Montefiori DC, Tomaras GD, De Rosa SC, Jacobson JM, Miner MD, Elizaga M; HIV Vaccine Trials Network 112 Protocol Team.","Vaccine. 2023 Apr 17;41(16):2696-2706. doi: 10.1016/j.vaccine.2023.03.015. Epub 2023 Mar 17.","Wilson GJ","Vaccine","2023","2023/03/19","PMC10102555","NIHMS1886144","10.1016/j.vaccine.2023.03.015"
