PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37046089","Extrachromosomal DNA in the cancerous transformation of Barrett's oesophagus","Luebeck J, Ng AWT, Galipeau PC, Li X, Sanchez CA, Katz-Summercorn AC, Kim H, Jammula S, He Y, Lippman SM, Verhaak RGW, Maley CC, Alexandrov LB, Reid BJ, Fitzgerald RC, Paulson TG, Chang HY, Wu S, Bafna V, Mischel PS.","Nature. 2023 Apr;616(7958):798-805. doi: 10.1038/s41586-023-05937-5. Epub 2023 Apr 12.","Luebeck J","Nature","2023","2023/04/12","PMC10132967","","10.1038/s41586-023-05937-5"
"26208895","Genetic Insights in Barrett's Esophagus and Esophageal Adenocarcinoma","Reid BJ, Paulson TG, Li X.","Gastroenterology. 2015 Oct;149(5):1142-1152.e3. doi: 10.1053/j.gastro.2015.07.010. Epub 2015 Jul 21.","Reid BJ","Gastroenterology","2015","2015/07/26","PMC4589483","NIHMS710317","10.1053/j.gastro.2015.07.010"
"20094044","Barrett's oesophagus and oesophageal adenocarcinoma: time for a new synthesis","Reid BJ, Li X, Galipeau PC, Vaughan TL.","Nat Rev Cancer. 2010 Feb;10(2):87-101. doi: 10.1038/nrc2773.","Reid BJ","Nat Rev Cancer","2010","2010/01/23","PMC2879265","NIHMS200752","10.1038/nrc2773"
"33664784","Within-patient phylogenetic reconstruction reveals early events in Barrett's Esophagus","Smith LP, Yamato JA, Galipeau PC, Paulson TG, Li X, Sanchez CA, Reid BJ, Kuhner MK.","Evol Appl. 2020 Sep 20;14(2):399-415. doi: 10.1111/eva.13125. eCollection 2021 Feb.","Smith LP","Evol Appl","2020","2021/03/05","PMC7896700","","10.1111/eva.13125"
"30867038","Correction to: NSAID use and somatic exomic mutations in Barrett's esophagus","Galipeau PC, Oman KM, Paulson TG, Sanchez CA, Zhang Q, Marty JA, Delrow JJ, Kuhner MK, Vaughan TL, Reid BJ, Li X.","Genome Med. 2019 Mar 12;11(1):14. doi: 10.1186/s13073-019-0625-y.","Galipeau PC","Genome Med","2019","2019/03/15","PMC6417226","","10.1186/s13073-019-0625-y"
"35484108","Somatic whole genome dynamics of precancer in Barrett's esophagus reveals features associated with disease progression","Paulson TG, Galipeau PC, Oman KM, Sanchez CA, Kuhner MK, Smith LP, Hadi K, Shah M, Arora K, Shelton J, Johnson M, Corvelo A, Maley CC, Yao X, Sanghvi R, Venturini E, Emde AK, Hubert B, Imielinski M, Robine N, Reid BJ, Li X.","Nat Commun. 2022 Apr 28;13(1):2300. doi: 10.1038/s41467-022-29767-7.","Paulson TG","Nat Commun","2022","2022/04/28","PMC9050715","","10.1038/s41467-022-29767-7"
"33007263","Distinct Classes of Complex Structural Variation Uncovered across Thousands of Cancer Genome Graphs","Hadi K, Yao X, Behr JM, Deshpande A, Xanthopoulakis C, Tian H, Kudman S, Rosiene J, Darmofal M, DeRose J, Mortensen R, Adney EM, Shaiber A, Gajic Z, Sigouros M, Eng K, Wala JA, Wrzeszczyński KO, Arora K, Shah M, Emde AK, Felice V, Frank MO, Darnell RB, Ghandi M, Huang F, Dewhurst S, Maciejowski J, de Lange T, Setton J, Riaz N, Reis-Filho JS, Powell S, Knowles DA, Reznik E, Mishra B, Beroukhim R, Zody MC, Robine N, Oman KM, Sanchez CA, Kuhner MK, Smith LP, Galipeau PC, Paulson TG, Reid BJ, Li X, Wilkes D, Sboner A, Mosquera JM, Elemento O, Imielinski M.","Cell. 2020 Oct 1;183(1):197-210.e32. doi: 10.1016/j.cell.2020.08.006.","Hadi K","Cell","2020","2020/10/02","PMC7912537","NIHMS1665467","10.1016/j.cell.2020.08.006"
"29486792","NSAID use and somatic exomic mutations in Barrett's esophagus","Galipeau PC, Oman KM, Paulson TG, Sanchez CA, Zhang Q, Marty JA, Delrow JJ, Kuhner MK, Vaughan TL, Reid BJ, Li X.","Genome Med. 2018 Feb 27;10(1):17. doi: 10.1186/s13073-018-0520-y.","Galipeau PC","Genome Med","2018","2018/03/01","PMC5830331","","10.1186/s13073-018-0520-y"
"29476056","Evolution of Barrett's esophagus through space and time at single-crypt and whole-biopsy levels","Martinez P, Mallo D, Paulson TG, Li X, Sanchez CA, Reid BJ, Graham TA, Kuhner MK, Maley CC.","Nat Commun. 2018 Feb 23;9(1):794. doi: 10.1038/s41467-017-02621-x.","Martinez P","Nat Commun","2018","2018/02/25","PMC5824808","","10.1038/s41467-017-02621-x"
"26374103","Copy number alterations detected by whole-exome and whole-genome sequencing of esophageal adenocarcinoma","Wang X, Li X, Cheng Y, Sun X, Sun X, Self S, Kooperberg C, Dai JY.","Hum Genomics. 2015 Sep 15;9(1):22. doi: 10.1186/s40246-015-0044-0.","Wang X","Hum Genomics","2015","2015/09/17","PMC4570720","","10.1186/s40246-015-0044-0"
"25333822","Esophageal Adenocarcinoma and Its Rare Association with Barrett's Esophagus in Henan, China","Liu S, Dai JY, Yao L, Li X, Reid B, Self S, Ma J, Chang Y, Feng S, Tapsoba Jde D, Sun X, Sun X.","PLoS One. 2014 Oct 15;9(10):e110348. doi: 10.1371/journal.pone.0110348. eCollection 2014.","Liu S","PLoS One","2014","2014/10/22","PMC4198241","","10.1371/journal.pone.0110348"
"24253313","Temporal and spatial evolution of somatic chromosomal alterations: a case-cohort study of Barrett's esophagus","Li X, Galipeau PC, Paulson TG, Sanchez CA, Arnaudo J, Liu K, Sather CL, Kostadinov RL, Odze RD, Kuhner MK, Maley CC, Self SG, Vaughan TL, Blount PL, Reid BJ.","Cancer Prev Res (Phila). 2014 Jan;7(1):114-27. doi: 10.1158/1940-6207.CAPR-13-0289. Epub 2013 Nov 19.","Li X","Cancer Prev Res (Phila)","2014","2013/11/21","PMC3904552","NIHMS541964","10.1158/1940-6207.CAPR-13-0289"
"25280564","Integrative post-genome-wide association analysis of CDKN2A and TP53 SNPs and risk of esophageal adenocarcinoma","Buas MF, Levine DM, Makar KW, Utsugi H, Onstad L, Li X, Galipeau PC, Shaheen NJ, Hardie LJ, Romero Y, Bernstein L, Gammon MD, Casson AG, Bird NC, Risch HA, Ye W, Liu G, Corley DA, Blount PL, Fitzgerald RC, Whiteman DC, Wu AH, Reid BJ, Vaughan TL.","Carcinogenesis. 2014 Dec;35(12):2740-7. doi: 10.1093/carcin/bgu207. Epub 2014 Oct 3.","Buas MF","Carcinogenesis","2014","2014/10/05","PMC4247522","","10.1093/carcin/bgu207"
"26130253","Assessment of Esophageal Adenocarcinoma Risk Using Somatic Chromosome Alterations in Longitudinal Samples in Barrett's Esophagus","Li X, Paulson TG, Galipeau PC, Sanchez CA, Liu K, Kuhner MK, Maley CC, Self SG, Vaughan TL, Reid BJ, Blount PL.","Cancer Prev Res (Phila). 2015 Sep;8(9):845-56. doi: 10.1158/1940-6207.CAPR-15-0130. Epub 2015 Jun 30.","Li X","Cancer Prev Res (Phila)","2015","2015/07/02","PMC4560605","NIHMS704879","10.1158/1940-6207.CAPR-15-0130"
"19407369","Translation of an STR-based biomarker into a clinically compatible SNP-based platform for loss of heterozygosity","Kissel HD, Galipeau PC, Li X, Reid BJ.","Cancer Biomark. 2009;5(3):143-58. doi: 10.3233/CBM-2009-0618.","Kissel HD","Cancer Biomark","2009","2009/05/02","PMC2861428","NIHMS134113","10.3233/CBM-2009-0618"
"19043591","p16 mutation spectrum in the premalignant condition Barrett's esophagus","Paulson TG, Galipeau PC, Xu L, Kissel HD, Li X, Blount PL, Sanchez CA, Odze RD, Reid BJ.","PLoS One. 2008;3(11):e3809. doi: 10.1371/journal.pone.0003809. Epub 2008 Nov 27.","Paulson TG","PLoS One","2008","2008/12/02","PMC2585012","","10.1371/journal.pone.0003809"
"19417022","Chromosomal instability and copy number alterations in Barrett's esophagus and esophageal adenocarcinoma","Paulson TG, Maley CC, Li X, Li H, Sanchez CA, Chao DL, Odze RD, Vaughan TL, Blount PL, Reid BJ.","Clin Cancer Res. 2009 May 15;15(10):3305-14. doi: 10.1158/1078-0432.CCR-08-2494. Epub 2009 May 5.","Paulson TG","Clin Cancer Res","2009","2009/05/07","PMC2684570","NIHMS103143","10.1158/1078-0432.CCR-08-2494"
"26230607","High Goblet Cell Count Is Inversely Associated with Ploidy Abnormalities and Risk of Adenocarcinoma in Barrett's Esophagus","Srivastava A, Golden KL, Sanchez CA, Liu K, Fong PY, Li X, Cowan DS, Rabinovitch PS, Reid BJ, Blount PL, Odze RD.","PLoS One. 2015 Jul 31;10(7):e0133403. doi: 10.1371/journal.pone.0133403. eCollection 2015.","Srivastava A","PLoS One","2015","2015/08/01","PMC4521918","","10.1371/journal.pone.0133403"
"18052545","Direct inference of SNP heterozygosity rates and resolution of LOH detection","Li X, Self SG, Galipeau PC, Paulson TG, Reid BJ.","PLoS Comput Biol. 2007 Nov;3(11):e244. doi: 10.1371/journal.pcbi.0030244.","Li X","PLoS Comput Biol","2007","2007/12/07","PMC2098867","","10.1371/journal.pcbi.0030244"
"17326708","NSAIDs modulate CDKN2A, TP53, and DNA content risk for progression to esophageal adenocarcinoma","Galipeau PC, Li X, Blount PL, Maley CC, Sanchez CA, Odze RD, Ayub K, Rabinovitch PS, Vaughan TL, Reid BJ.","PLoS Med. 2007 Feb;4(2):e67. doi: 10.1371/journal.pmed.0040067.","Galipeau PC","PLoS Med","2007","2007/03/01","PMC1808095","","10.1371/journal.pmed.0040067"
"24282417","Feasibility of RNA and DNA extraction from fresh pipelle and archival endometrial tissues for use in gene expression and SNP arrays","Kissel HD, Paulson TG, Liu K, Li X, Swisher E, Garcia R, Sanchez CA, Reid BJ, Reed SD, Doherty JA.","Obstet Gynecol Int. 2013;2013:576842. doi: 10.1155/2013/576842. Epub 2013 Oct 26.","Kissel HD","Obstet Gynecol Int","2013","2013/11/28","PMC3825122","","10.1155/2013/576842"
"26076489","Bacterial Composition of the Human Upper Gastrointestinal Tract Microbiome Is Dynamic and Associated with Genomic Instability in a Barrett's Esophagus Cohort","Gall A, Fero J, McCoy C, Claywell BC, Sanchez CA, Blount PL, Li X, Vaughan TL, Matsen FA, Reid BJ, Salama NR.","PLoS One. 2015 Jun 15;10(6):e0129055. doi: 10.1371/journal.pone.0129055. eCollection 2015.","Gall A","PLoS One","2015","2015/06/16","PMC4468150","","10.1371/journal.pone.0129055"
"29250210","Quantification of Multiple Tumor Clones Using Gene Array and Sequencing Data","Cheng Y, Dai JY, Paulson TG, Wang X, Li X, Reid BJ, Kooperberg C.","Ann Appl Stat. 2017 Jun;11(2):967-991. doi: 10.1214/17-AOAS1026. Epub 2017 Jul 20.","Cheng Y","Ann Appl Stat","2017","2017/12/19","PMC5728449","NIHMS899704","10.1214/17-AOAS1026"
"21390279","Application of biomarkers in cancer risk management: evaluation from stochastic clonal evolutionary and dynamic system optimization points of view","Li X, Blount PL, Vaughan TL, Reid BJ.","PLoS Comput Biol. 2011 Feb;7(2):e1001087. doi: 10.1371/journal.pcbi.1001087. Epub 2011 Feb 24.","Li X","PLoS Comput Biol","2011","2011/03/11","PMC3044766","","10.1371/journal.pcbi.1001087"
"15492292","The combination of genetic instability and clonal expansion predicts progression to esophageal adenocarcinoma","Maley CC, Galipeau PC, Li X, Sanchez CA, Paulson TG, Blount PL, Reid BJ.","Cancer Res. 2004 Oct 15;64(20):7629-33. doi: 10.1158/0008-5472.CAN-04-1738.","Maley CC","Cancer Res","2004","2004/10/20","","","10.1158/0008-5472.CAN-04-1738"
"16537709","Genetic mechanisms of TP53 loss of heterozygosity in Barrett's esophagus: implications for biomarker validation","Wongsurawat VJ, Finley JC, Galipeau PC, Sanchez CA, Maley CC, Li X, Blount PL, Odze RD, Rabinovitch PS, Reid BJ.","Cancer Epidemiol Biomarkers Prev. 2006 Mar;15(3):509-16. doi: 10.1158/1055-9965.EPI-05-0246.","Wongsurawat VJ","Cancer Epidemiol Biomarkers Prev","2006","2006/03/16","","","10.1158/1055-9965.EPI-05-0246"
"19138988","Single nucleotide polymorphism-based genome-wide chromosome copy change, loss of heterozygosity, and aneuploidy in Barrett's esophagus neoplastic progression","Li X, Galipeau PC, Sanchez CA, Blount PL, Maley CC, Arnaudo J, Peiffer DA, Pokholok D, Gunderson KL, Reid BJ.","Cancer Prev Res (Phila). 2008 Nov;1(6):413-23. doi: 10.1158/1940-6207.CAPR-08-0121.","Li X","Cancer Prev Res (Phila)","2008","2009/01/14","PMC2882787","NIHMS102648","10.1158/1940-6207.CAPR-08-0121"
"24602132","Quantification of population benefit in evaluation of biomarkers: practical implications for disease detection and prevention","Li X, Blount PL, Reid BJ, Vaughan TL.","BMC Med Inform Decis Mak. 2014 Mar 6;14:15. doi: 10.1186/1472-6947-14-15.","Li X","BMC Med Inform Decis Mak","2014","2014/03/08","PMC3996972","","10.1186/1472-6947-14-15"
"15150093","Selectively advantageous mutations and hitchhikers in neoplasms: p16 lesions are selected in Barrett's esophagus","Maley CC, Galipeau PC, Li X, Sanchez CA, Paulson TG, Reid BJ.","Cancer Res. 2004 May 15;64(10):3414-27. doi: 10.1158/0008-5472.CAN-03-3249.","Maley CC","Cancer Res","2004","2004/05/20","","","10.1158/0008-5472.CAN-03-3249"
