PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32191793","Therapeutic monitoring of vancomycin for serious methicillin-resistant Staphylococcus aureus infections: A revised consensus guideline and review by the American Society of Health-System Pharmacists, the Infectious Diseases Society of America, the Pediatric Infectious Diseases Society, and the Society of Infectious Diseases Pharmacists","Rybak MJ, Le J, Lodise TP, Levine DP, Bradley JS, Liu C, Mueller BA, Pai MP, Wong-Beringer A, Rotschafer JC, Rodvold KA, Maples HD, Lomaestro BM.","Am J Health Syst Pharm. 2020 May 19;77(11):835-864. doi: 10.1093/ajhp/zxaa036.","Rybak MJ","Am J Health Syst Pharm","2020","2020/03/20","","","10.1093/ajhp/zxaa036"
"32227354","Executive Summary: Therapeutic Monitoring of Vancomycin for Serious Methicillin-Resistant Staphylococcus aureus Infections: A Revised Consensus Guideline and Review of the American Society of Health-System Pharmacists, the Infectious Diseases Society of America, the Pediatric Infectious Diseases Society, and the Society of Infectious Diseases Pharmacists","Rybak MJ, Le J, Lodise TP, Levine DP, Bradley JS, Liu C, Mueller BA, Pai MP, Wong-Beringer A, Rotschafer JC, Rodvold KA, Maples HD, Lomaestro BM.","Pharmacotherapy. 2020 Apr;40(4):363-367. doi: 10.1002/phar.2376. Epub 2020 Mar 29.","Rybak MJ","Pharmacotherapy","2020","2020/04/01","","","10.1002/phar.2376"
"32658968","Therapeutic Monitoring of Vancomycin for Serious Methicillin-resistant Staphylococcus aureus Infections: A Revised Consensus Guideline and Review by the American Society of Health-system Pharmacists, the Infectious Diseases Society of America, the Pediatric Infectious Diseases Society, and the Society of Infectious Diseases Pharmacists","Rybak MJ, Le J, Lodise TP, Levine DP, Bradley JS, Liu C, Mueller BA, Pai MP, Wong-Beringer A, Rotschafer JC, Rodvold KA, Maples HD, Lomaestro B.","Clin Infect Dis. 2020 Sep 12;71(6):1361-1364. doi: 10.1093/cid/ciaa303.","Rybak MJ","Clin Infect Dis","2020","2020/07/14","","","10.1093/cid/ciaa303"
"36326680","Successful Treatment of Prolonged, Severe Coronavirus Disease 2019 Lower Respiratory Tract Disease in a B cell Acute Lymphoblastic Leukemia Patient With an Extended Course of Remdesivir and Nirmatrelvir/Ritonavir","Ford ES, Simmons W, Karmarkar EN, Yoke LH, Braimah AB, Orozco JJ, Ghiuzeli CM, Barnhill S, Sack CL, Benditt JO, Roychoudhury P, Greninger AL, Shapiro AE, Hammond JL, Rusnak JM, Dolsten M, Boeckh M, Liu C, Cheng GS, Corey L.","Clin Infect Dis. 2023 Mar 4;76(5):926-929. doi: 10.1093/cid/ciac868.","Ford ES","Clin Infect Dis","2023","2022/11/03","PMC10226728","","10.1093/cid/ciac868"
"32011834","Risk factors for deep surgical site infection following thoracolumbar spinal surgery","Deng H, Chan AK, Ammanuel S, Chan AY, Oh T, Skrehot HC, Edwards S, Kondapavulur S, Nichols AD, Liu C, Yue JK, Dhall SS, Clark AJ, Chou D, Ames CP, Mummaneni PV.","J Neurosurg Spine. 2019 Nov 1;32(2):292-301. doi: 10.3171/2019.8.SPINE19479.","Deng H","J Neurosurg Spine","2019","2020/02/04","","","10.3171/2019.8.SPINE19479"
"33238295","Questions on Vancomycin Dosing","Rybak MJ, Le J, Lodise TP, Levine DP, Bradley JS, Liu C, Mueller BA, Pai MP, Wong-Beringer A, Rodvold KA, Maples HD.","Clin Infect Dis. 2021 Oct 5;73(7):e1777-e1778. doi: 10.1093/cid/ciaa1775.","Rybak MJ","Clin Infect Dis","2021","2020/11/25","","","10.1093/cid/ciaa1775"
"32980860","Blood and marrow transplantation during the emerging COVID-19 pandemic: the Seattle approach","Ueda Oshima M, Sandmaier BM, Petersdorf E, Flowers ME, Hill GR, Lee SJ, Appelbaum FR, Carpenter PA, Baker KS, Connelly-Smith L, McCool A, Elgar S, Pergam SA, Liu C, Stewart FM, Mielcarek M.","Bone Marrow Transplant. 2021 Feb;56(2):305-313. doi: 10.1038/s41409-020-01068-x. Epub 2020 Sep 26.","Ueda Oshima M","Bone Marrow Transplant","2021","2020/09/27","PMC7519858","","10.1038/s41409-020-01068-x"
"31800049","Clinically significant drug interaction: letermovir and voriconazole","Duong A, Sweet A, Jain R, Hill JA, Pergam SA, Boeckh M, Liu C.","J Antimicrob Chemother. 2020 Mar 1;75(3):775-777. doi: 10.1093/jac/dkz499.","Duong A","J Antimicrob Chemother","2020","2019/12/05","PMC7021092","","10.1093/jac/dkz499"
"36570695","COVID-19 Vaccination Response and Its Practical Application in Patients With Chronic Lymphocytic Leukemia","Shadman M, Liu C, Eakle K, Hiew HJ, Biondo JML, Ghia P, Mato AR.","Hemasphere. 2022 Dec 20;7(1):e811. doi: 10.1097/HS9.0000000000000811. eCollection 2023 Jan.","Shadman M","Hemasphere","2022","2022/12/26","PMC9771252","","10.1097/HS9.0000000000000811"
"37250175","Antiviral Prescribing Among Patients at an Ambulatory Cancer Center With Laboratory-Confirmed Influenza","Sorey W, Krantz EM, Morris J, Klaassen J, Sweet A, Tverdek F, Escobar ZK, McCulloch DJ, Pergam SA, Liu C.","Open Forum Infect Dis. 2023 May 10;10(5):ofad254. doi: 10.1093/ofid/ofad254. eCollection 2023 May.","Sorey W","Open Forum Infect Dis","2023","2023/05/30","PMC10220506","","10.1093/ofid/ofad254"
"35428417","Treatment failure cost analysis of Cytomegalovirus (CMV) management in allogeneic hematopoietic cell transplantation","Lindsay J, Greenwood M, Othman J, Chen SC, Kong DCM, Pergam SA, Liu C, Slavin MA.","Leuk Lymphoma. 2022 Sep;63(9):2254-2256. doi: 10.1080/10428194.2022.2064992. Epub 2022 Apr 15.","Lindsay J","Leuk Lymphoma","2022","2022/04/16","","","10.1080/10428194.2022.2064992"
"29360277","Comparative effectiveness of aerosolized versus oral ribavirin for the treatment of respiratory syncytial virus infections: A single-center retrospective cohort study and review of the literature","Trang TP, Whalen M, Hilts-Horeczko A, Doernberg SB, Liu C.","Transpl Infect Dis. 2018 Apr;20(2):e12844. doi: 10.1111/tid.12844. Epub 2018 Mar 31.","Trang TP","Transpl Infect Dis","2018","2018/01/24","","","10.1111/tid.12844"
"36790925","Invasive fungal infections after CLAG-M/CLAG chemotherapy for acute myeloid leukemia and high-grade myeloid neoplasms","Lindsay J, Walti CS, Halpern AB, Xie H, Chung EL, Schonhoff KG, Huebner EM, Cheng GS, Kimball LE, Leisenring WM, Greenwood M, Chen SC, Kong DCM, Slavin MA, Boeckh M, Fredricks DN, Liu C, Pergam SA, Walter RB, Hill JA.","Blood Adv. 2023 Jul 11;7(13):3140-3145. doi: 10.1182/bloodadvances.2022009562.","Lindsay J","Blood Adv","2023","2023/02/15","PMC10362529","","10.1182/bloodadvances.2022009562"
"32577634","SARS-CoV-2 mRNA Vaccine Development Enabled by Prototype Pathogen Preparedness","Corbett KS, Edwards D, Leist SR, Abiona OM, Boyoglu-Barnum S, Gillespie RA, Himansu S, Schäfer A, Ziwawo CT, DiPiazza AT, Dinnon KH, Elbashir SM, Shaw CA, Woods A, Fritch EJ, Martinez DR, Bock KW, Minai M, Nagata BM, Hutchinson GB, Bahl K, Garcia-Dominguez D, Ma L, Renzi I, Kong WP, Schmidt SD, Wang L, Zhang Y, Stevens LJ, Phung E, Chang LA, Loomis RJ, Altaras NE, Narayanan E, Metkar M, Presnyak V, Liu C, Louder MK, Shi W, Leung K, Yang ES, West A, Gully KL, Wang N, Wrapp D, Doria-Rose NA, Stewart-Jones G, Bennett H, Nason MC, Ruckwardt TJ, McLellan JS, Denison MR, Chappell JD, Moore IN, Morabito KM, Mascola JR, Baric RS, Carfi A, Graham BS.","bioRxiv. 2020 Jun 11:2020.06.11.145920. doi: 10.1101/2020.06.11.145920. Preprint.","Corbett KS","bioRxiv","2020","2020/06/25","PMC7301911","","10.1101/2020.06.11.145920"
"34319355","Seroprevalence of Measles and Mumps Antibodies Among Individuals With Cancer","Marquis SR, Logue JK, Chu HY, Loeffelholz T, Quinn ZZ, Liu C, Stewart FM, Carpenter PA, Pergam SA, Krantz EM.","JAMA Netw Open. 2021 Jul 1;4(7):e2118508. doi: 10.1001/jamanetworkopen.2021.18508.","Marquis SR","JAMA Netw Open","2021","2021/07/28","PMC8319758","","10.1001/jamanetworkopen.2021.18508"
"32369409","Considerations for Managing Patients With Hematologic Malignancy During the COVID-19 Pandemic: The Seattle Strategy","Percival MM, Lynch RC, Halpern AB, Shadman M, Cassaday RD, Ujjani C, Shustov A, Tseng YD, Liu C, Pergam S, Libby EN, Scott BL, Smith SD, Green DJ, Gopal AK, Cowan AJ.","JCO Oncol Pract. 2020 Sep;16(9):571-578. doi: 10.1200/OP.20.00241. Epub 2020 May 5.","Percival MM","JCO Oncol Pract","2020","2020/05/06","PMC7489485","","10.1200/OP.20.00241"
"32197238","Managing Cancer Care During the COVID-19 Pandemic: Agility and Collaboration Toward a Common Goal","Ueda M, Martins R, Hendrie PC, McDonnell T, Crews JR, Wong TL, McCreery B, Jagels B, Crane A, Byrd DR, Pergam SA, Davidson NE, Liu C, Stewart FM.","J Natl Compr Canc Netw. 2020 Mar 20:1-4. doi: 10.6004/jnccn.2020.7560. Online ahead of print.","Ueda M","J Natl Compr Canc Netw","2020","2020/03/21","","","10.6004/jnccn.2020.7560"
"37383248","Successful Treatment of Persistent Symptomatic Coronavirus Disease 19 Infection With Extended-Duration Nirmatrelvir-Ritonavir Among Outpatients With Hematologic Cancer","Liu C, Yoke LH, Bhattacharyya P, Cassaday RD, Cheng GS, Escobar ZK, Ghiuzeli C, McCulloch DJ, Pergam SA, Roychoudhury P, Tverdek F, Schiffer JT, Ford ES.","Open Forum Infect Dis. 2023 Jun 6;10(6):ofad306. doi: 10.1093/ofid/ofad306. eCollection 2023 Jun.","Liu C","Open Forum Infect Dis","2023","2023/06/29","PMC10296060","","10.1093/ofid/ofad306"
"35559121","SUBA-Itraconazole for Primary Antifungal Prophylaxis After Allogeneic Hematopoietic Cell Transplantation","Lindsay J, Othman J, Kong Y, Yip A, Van Hal S, Larsen S, Bryant C, Gibson J, Kerridge I, Fay K, Stevenson W, Arthur C, Chen SCA, Kong DCM, Greenwood M, Pergam SA, Liu C, Slavin MA.","Open Forum Infect Dis. 2021 Nov 23;8(11):ofab502. doi: 10.1093/ofid/ofab502. eCollection 2021 Nov.","Lindsay J","Open Forum Infect Dis","2021","2022/05/13","PMC9088511","","10.1093/ofid/ofab502"
"29437651","Antibiotics after incision and drainage for uncomplicated skin abscesses: a clinical practice guideline","Vermandere M, Aertgeerts B, Agoritsas T, Liu C, Burgers J, Merglen A, Okwen PM, Lytvyn L, Chua S, Vandvik PO, Guyatt GH, Beltran-Arroyave C, Lavergne V, Speeckaert R, Steen FE, Arteaga V, Sender R, McLeod S, Sun X, Wang W, Siemieniuk RAC.","BMJ. 2018 Feb 6;360:k243. doi: 10.1136/bmj.k243.","Vermandere M","BMJ","2018","2018/02/14","PMC5799894","","10.1136/bmj.k243"
