PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37152676","Evaluation of mpox vaccine dose-sparing strategies","Dimitrov D, Adamson B, Matrajt L.","PNAS Nexus. 2023 Mar 28;2(5):pgad095. doi: 10.1093/pnasnexus/pgad095. eCollection 2023 May.","Dimitrov D","PNAS Nexus","2023","2023/05/08","PMC10154907","","10.1093/pnasnexus/pgad095"
"34014927","Protection afforded by previous Vibrio cholerae infection against subsequent disease and infection: A review","Leung T, Matrajt L.","PLoS Negl Trop Dis. 2021 May 20;15(5):e0009383. doi: 10.1371/journal.pntd.0009383. eCollection 2021 May.","Leung T","PLoS Negl Trop Dis","2021","2021/05/20","PMC8136710","","10.1371/journal.pntd.0009383"
"31412101","Reply to Lindsey, Höschler, and de Silva","Matrajt L, Halloran ME, Antia R.","Clin Infect Dis. 2020 May 6;70(10):2236-2237. doi: 10.1093/cid/ciz774.","Matrajt L","Clin Infect Dis","2020","2019/08/15","PMC7201405","","10.1093/cid/ciz774"
"33536223","Vaccine optimization for COVID-19: Who to vaccinate first?","Matrajt L, Eaton J, Leung T, Brown ER.","Sci Adv. 2021 Feb 3;7(6):eabf1374. doi: 10.1126/sciadv.abf1374. Print 2020 Feb.","Matrajt L","Sci Adv","2021","2021/02/04","PMC8128110","","10.1126/sciadv.abf1374"
"37214988","Retrospective Analysis of Equity-Based Optimization for COVID-19 Vaccine Allocation","Stafford E, Dimitrov D, Ceballos R, Campelia G, Matrajt L.","medRxiv. 2023 May 11:2023.05.08.23289679. doi: 10.1101/2023.05.08.23289679. Preprint.","Stafford E","medRxiv","2023","2023/05/22","PMC10197793","","10.1101/2023.05.08.23289679"
"32817963","Vaccine optimization for COVID-19: who to vaccinate first?","Matrajt L, Eaton J, Leung T, Brown ER.","medRxiv. 2020 Dec 15:2020.08.14.20175257. doi: 10.1101/2020.08.14.20175257. Preprint.","Matrajt L","medRxiv","2020","2020/08/21","PMC7430607","","10.1101/2020.08.14.20175257"
"34790985","Could widespread use of antiviral treatment curb the COVID-19 pandemic? A modeling study","Matrajt L, Brown ER, Cohen MS, Dimitrov D, Janes H.","medRxiv. 2022 Apr 4:2021.11.10.21266139. doi: 10.1101/2021.11.10.21266139. Preprint.","Matrajt L","medRxiv","2022","2021/11/18","PMC8597888","","10.1101/2021.11.10.21266139"
"35442958","Optimizing one-dose and two-dose cholera vaccine allocation in outbreak settings: A modeling study","Leung T, Eaton J, Matrajt L.","PLoS Negl Trop Dis. 2022 Apr 20;16(4):e0010358. doi: 10.1371/journal.pntd.0010358. eCollection 2022 Apr.","Leung T","PLoS Negl Trop Dis","2022","2022/04/20","PMC9060364","","10.1371/journal.pntd.0010358"
"18974084","Estimating influenza vaccine efficacy from challenge and community-based study data","Basta NE, Halloran ME, Matrajt L, Longini IM Jr.","Am J Epidemiol. 2008 Dec 15;168(12):1343-52. doi: 10.1093/aje/kwn259. Epub 2008 Oct 29.","Basta NE","Am J Epidemiol","2008","2008/11/01","PMC2638553","","10.1093/aje/kwn259"
"35945513","Could widespread use of antiviral treatment curb the COVID-19 pandemic? A modeling study","Matrajt L, Brown ER, Cohen MS, Dimitrov D, Janes H.","BMC Infect Dis. 2022 Aug 9;22(1):683. doi: 10.1186/s12879-022-07639-1.","Matrajt L","BMC Infect Dis","2022","2022/08/09","PMC9361252","","10.1186/s12879-022-07639-1"
