PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35798890","SARS-CoV-2 Omicron is an immune escape variant with an altered cell entry pathway","Willett BJ, Grove J, MacLean OA, Wilkie C, De Lorenzo G, Furnon W, Cantoni D, Scott S, Logan N, Ashraf S, Manali M, Szemiel A, Cowton V, Vink E, Harvey WT, Davis C, Asamaphan P, Smollett K, Tong L, Orton R, Hughes J, Holland P, Silva V, Pascall DJ, Puxty K, da Silva Filipe A, Yebra G, Shaaban S, Holden MTG, Pinto RM, Gunson R, Templeton K, Murcia PR, Patel AH, Klenerman P, Dunachie S; PITCH Consortium; COVID-19 Genomics UK (COG-UK) Consortium; Haughney J, Robertson DL, Palmarini M, Ray S, Thomson EC.","Nat Microbiol. 2022 Aug;7(8):1161-1179. doi: 10.1038/s41564-022-01143-7. Epub 2022 Jul 7.","Willett BJ","Nat Microbiol","2022","2022/07/07","PMC9352574","","10.1038/s41564-022-01143-7"
"33853970","Genomics and epidemiology of the P.1 SARS-CoV-2 lineage in Manaus, Brazil","Faria NR, Mellan TA, Whittaker C, Claro IM, Candido DDS, Mishra S, Crispim MAE, Sales FCS, Hawryluk I, McCrone JT, Hulswit RJG, Franco LAM, Ramundo MS, de Jesus JG, Andrade PS, Coletti TM, Ferreira GM, Silva CAM, Manuli ER, Pereira RHM, Peixoto PS, Kraemer MUG, Gaburo N Jr, Camilo CDC, Hoeltgebaum H, Souza WM, Rocha EC, de Souza LM, de Pinho MC, Araujo LJT, Malta FSV, de Lima AB, Silva JDP, Zauli DAG, Ferreira ACS, Schnekenberg RP, Laydon DJ, Walker PGT, Schlüter HM, Dos Santos ALP, Vidal MS, Del Caro VS, Filho RMF, Dos Santos HM, Aguiar RS, Proença-Modena JL, Nelson B, Hay JA, Monod M, Miscouridou X, Coupland H, Sonabend R, Vollmer M, Gandy A, Prete CA Jr, Nascimento VH, Suchard MA, Bowden TA, Pond SLK, Wu CH, Ratmann O, Ferguson NM, Dye C, Loman NJ, Lemey P, Rambaut A, Fraiji NA, Carvalho MDPSS, Pybus OG, Flaxman S, Bhatt S, Sabino EC.","Science. 2021 May 21;372(6544):815-821. doi: 10.1126/science.abh2644. Epub 2021 Apr 14.","Faria NR","Science","2021","2021/04/15","PMC8139423","","10.1126/science.abh2644"
"33275900","Evaluating the Effects of SARS-CoV-2 Spike Mutation D614G on Transmissibility and Pathogenicity","Volz E, Hill V, McCrone JT, Price A, Jorgensen D, O'Toole Á, Southgate J, Johnson R, Jackson B, Nascimento FF, Rey SM, Nicholls SM, Colquhoun RM, da Silva Filipe A, Shepherd J, Pascall DJ, Shah R, Jesudason N, Li K, Jarrett R, Pacchiarini N, Bull M, Geidelberg L, Siveroni I; COG-UK Consortium; Goodfellow I, Loman NJ, Pybus OG, Robertson DL, Thomson EC, Rambaut A, Connor TR.","Cell. 2021 Jan 7;184(1):64-75.e11. doi: 10.1016/j.cell.2020.11.020. Epub 2020 Nov 19.","Volz E","Cell","2021","2020/12/04","PMC7674007","","10.1016/j.cell.2020.11.020"
"35952712","Context-specific emergence and growth of the SARS-CoV-2 Delta variant","McCrone JT, Hill V, Bajaj S, Pena RE, Lambert BC, Inward R, Bhatt S, Volz E, Ruis C, Dellicour S, Baele G, Zarebski AE, Sadilek A, Wu N, Schneider A, Ji X, Raghwani J, Jackson B, Colquhoun R, O'Toole Á, Peacock TP, Twohig K, Thelwall S, Dabrera G, Myers R; COVID-19 Genomics UK (COG-UK) Consortium; Faria NR, Huber C, Bogoch II, Khan K, du Plessis L, Barrett JC, Aanensen DM, Barclay WS, Chand M, Connor T, Loman NJ, Suchard MA, Pybus OG, Rambaut A, Kraemer MUG.","Nature. 2022 Oct;610(7930):154-160. doi: 10.1038/s41586-022-05200-3. Epub 2022 Aug 11.","McCrone JT","Nature","2022","2022/08/11","PMC9534748","","10.1038/s41586-022-05200-3"
"34526718","Resurgence of Ebola virus in 2021 in Guinea suggests a new paradigm for outbreaks","Keita AK, Koundouno FR, Faye M, Düx A, Hinzmann J, Diallo H, Ayouba A, Le Marcis F, Soropogui B, Ifono K, Diagne MM, Sow MS, Bore JA, Calvignac-Spencer S, Vidal N, Camara J, Keita MB, Renevey A, Diallo A, Soumah AK, Millimono SL, Mari-Saez A, Diop M, Doré A, Soumah FY, Kourouma K, Vielle NJ, Loucoubar C, Camara I, Kourouma K, Annibaldis G, Bah A, Thielebein A, Pahlmann M, Pullan ST, Carroll MW, Quick J, Formenty P, Legand A, Pietro K, Wiley MR, Tordo N, Peyrefitte C, McCrone JT, Rambaut A, Sidibé Y, Barry MD, Kourouma M, Saouromou CD, Condé M, Baldé M, Povogui M, Keita S, Diakite M, Bah MS, Sidibe A, Diakite D, Sako FB, Traore FA, Ki-Zerbo GA, Lemey P, Günther S, Kafetzopoulou LE, Sall AA, Delaporte E, Duraffour S, Faye O, Leendertz FH, Peeters M, Toure A, Magassouba NF.","Nature. 2021 Sep;597(7877):539-543. doi: 10.1038/s41586-021-03901-9. Epub 2021 Sep 15.","Keita AK","Nature","2021","2021/09/16","","","10.1038/s41586-021-03901-9"
"29107838","Genetic bottlenecks in intraspecies virus transmission","McCrone JT, Lauring AS.","Curr Opin Virol. 2018 Feb;28:20-25. doi: 10.1016/j.coviro.2017.10.008. Epub 2017 Nov 3.","McCrone JT","Curr Opin Virol","2018","2017/11/07","PMC5835166","NIHMS916198","10.1016/j.coviro.2017.10.008"
"36962792","Genomics-informed outbreak investigations of SARS-CoV-2 using civet","O'Toole Á, Hill V, Jackson B, Dewar R, Sahadeo N, Colquhoun R, Rooke S, McCrone JT, Duggan K, McHugh MP, Nicholls SM, Poplawski R; COVID-19 Genomics UK (COG-UK) Consortium; COVID-19 Impact Project (Trinidad & Tobago Group); Aanensen D, Holden M, Connor T, Loman N, Goodfellow I, Carrington CVF, Templeton K, Rambaut A.","PLOS Glob Public Health. 2022 Dec 9;2(12):e0000704. doi: 10.1371/journal.pgph.0000704. eCollection 2022.","O'Toole Á","PLOS Glob Public Health","2022","2023/03/24","PMC10021969","","10.1371/journal.pgph.0000704"
"34301854","Spatiotemporal invasion dynamics of SARS-CoV-2 lineage B.1.1.7 emergence","Kraemer MUG, Hill V, Ruis C, Dellicour S, Bajaj S, McCrone JT, Baele G, Parag KV, Battle AL, Gutierrez B, Jackson B, Colquhoun R, O'Toole Á, Klein B, Vespignani A; COVID-19 Genomics UK (COG-UK) Consortium; Volz E, Faria NR, Aanensen DM, Loman NJ, du Plessis L, Cauchemez S, Rambaut A, Scarpino SV, Pybus OG.","Science. 2021 Aug 20;373(6557):889-895. doi: 10.1126/science.abj0113. Epub 2021 Jul 22.","Kraemer MUG","Science","2021","2021/07/24","PMC9269003","","10.1126/science.abj0113"
"27571422","The Mutational Robustness of Influenza A Virus","Visher E, Whitefield SE, McCrone JT, Fitzsimmons W, Lauring AS.","PLoS Pathog. 2016 Aug 29;12(8):e1005856. doi: 10.1371/journal.ppat.1005856. eCollection 2016 Aug.","Visher E","PLoS Pathog","2016","2016/08/30","PMC5003363","","10.1371/journal.ppat.1005856"
"33851177","Genomic epidemiology of SARS-CoV-2 transmission lineages in Ecuador","Gutierrez B, Márquez S, Prado-Vivar B, Becerra-Wong M, Guadalupe JJ, da Silva Candido D, Fernandez-Cadena JC, Morey-Leon G, Armas-Gonzalez R, Andrade-Molina DM, Bruno A, de Mora D, Olmedo M, Portugal D, Gonzalez M, Orlando A, Drexler JF, Moreira-Soto A, Sander AL, Brünink S, Kühne A, Patiño L, Carrazco-Montalvo A, Mestanza O, Zurita J, Sevillano G, du Plessis L, McCrone JT, Coloma J, Trueba G, Barragán V, Rojas-Silva P, Grunauer M, Kraemer MUG, Faria NR, Escalera-Zamudio M, Pybus OG, Cárdenas P.","medRxiv. 2021 Apr 5:2021.03.31.21254685. doi: 10.1101/2021.03.31.21254685. Preprint.","Gutierrez B","medRxiv","2021","2021/04/14","PMC8043474","","10.1101/2021.03.31.21254685"
"35203112","Genomic Epidemiology of Early SARS-CoV-2 Transmission Dynamics, Gujarat, India","Raghwani J, du Plessis L, McCrone JT, Hill SC, Parag KV, Thézé J, Kumar D, Puvar A, Pandit R, Pybus OG, Fournié G, Joshi M, Joshi C.","Emerg Infect Dis. 2022 Apr;28(4):751-758. doi: 10.3201/eid2804.212053. Epub 2022 Feb 24.","Raghwani J","Emerg Infect Dis","2022","2022/02/24","PMC8962880","","10.3201/eid2804.212053"
"37471538","Genomic assessment of invasion dynamics of SARS-CoV-2 Omicron BA.1","Tsui JL, McCrone JT, Lambert B, Bajaj S, Inward RPD, Bosetti P, Pena RE, Tegally H, Hill V, Zarebski AE, Peacock TP, Liu L, Wu N, Davis M, Bogoch II, Khan K, Kall M, Abdul Aziz NIB, Colquhoun R, O'Toole Á, Jackson B, Dasgupta A, Wilkinson E, de Oliveira T; COVID-19 Genomics UK (COG-UK) consortium¶; Connor TR, Loman NJ, Colizza V, Fraser C, Volz E, Ji X, Gutierrez B, Chand M, Dellicour S, Cauchemez S, Raghwani J, Suchard MA, Lemey P, Rambaut A, Pybus OG, Kraemer MUG.","Science. 2023 Jul 21;381(6655):336-343. doi: 10.1126/science.adg6605. Epub 2023 Jul 20.","Tsui JL","Science","2023","2023/07/20","","","10.1126/science.adg6605"
"36332633","Evidence for SARS-CoV-2 Delta and Omicron co-infections and recombination","Bolze A, Basler T, White S, Dei Rossi A, Wyman D, Dai H, Roychoudhury P, Greninger AL, Hayashibara K, Beatty M, Shah S, Stous S, McCrone JT, Kil E, Cassens T, Tsan K, Nguyen J, Ramirez J, Carter S, Cirulli ET, Schiabor Barrett K, Washington NL, Belda-Ferre P, Jacobs S, Sandoval E, Becker D, Lu JT, Isaksson M, Lee W, Luo S.","Med. 2022 Dec 9;3(12):848-859.e4. doi: 10.1016/j.medj.2022.10.002. Epub 2022 Oct 20.","Bolze A","Med","2022","2022/11/04","PMC9581791","","10.1016/j.medj.2022.10.002"
"33419936","Establishment and lineage dynamics of the SARS-CoV-2 epidemic in the UK","du Plessis L, McCrone JT, Zarebski AE, Hill V, Ruis C, Gutierrez B, Raghwani J, Ashworth J, Colquhoun R, Connor TR, Faria NR, Jackson B, Loman NJ, O'Toole Á, Nicholls SM, Parag KV, Scher E, Vasylyeva TI, Volz EM, Watts A, Bogoch II, Khan K; COVID-19 Genomics UK (COG-UK) Consortium; Aanensen DM, Kraemer MUG, Rambaut A, Pybus OG.","Science. 2021 Feb 12;371(6530):708-712. doi: 10.1126/science.abf2946. Epub 2021 Jan 8.","du Plessis L","Science","2021","2021/01/09","PMC7877493","","10.1126/science.abf2946"
"34499854","Generation and transmission of interlineage recombinants in the SARS-CoV-2 pandemic","Jackson B, Boni MF, Bull MJ, Colleran A, Colquhoun RM, Darby AC, Haldenby S, Hill V, Lucaci A, McCrone JT, Nicholls SM, O'Toole Á, Pacchiarini N, Poplawski R, Scher E, Todd F, Webster HJ, Whitehead M, Wierzbicki C; COVID-19 Genomics UK (COG-UK) Consortium; Loman NJ, Connor TR, Robertson DL, Pybus OG, Rambaut A.","Cell. 2021 Sep 30;184(20):5179-5188.e8. doi: 10.1016/j.cell.2021.08.014. Epub 2021 Aug 17.","Jackson B","Cell","2021","2021/09/09","PMC8367733","","10.1016/j.cell.2021.08.014"
"34527281","Genomic epidemiology of SARS-CoV-2 transmission lineages in Ecuador","Gutierrez B, Márquez S, Prado-Vivar B, Becerra-Wong M, Guadalupe JJ, Candido DDS, Fernandez-Cadena JC, Morey-Leon G, Armas-Gonzalez R, Andrade-Molina DM, Bruno A, De Mora D, Olmedo M, Portugal D, Gonzalez M, Orlando A, Drexler JF, Moreira-Soto A, Sander AL, Brünink S, Kühne A, Patiño L, Carrazco-Montalvo A, Mestanza O, Zurita J, Sevillano G, Du Plessis L, McCrone JT, Coloma J, Trueba G, Barragán V, Rojas-Silva P, Grunauer M, Kraemer MUG, Faria NR, Escalera-Zamudio M, Pybus OG, Cárdenas P.","Virus Evol. 2021 Jun 4;7(2):veab051. doi: 10.1093/ve/veab051. eCollection 2021.","Gutierrez B","Virus Evol","2021","2021/09/16","PMC8244811","","10.1093/ve/veab051"
"34649268","Genomic reconstruction of the SARS-CoV-2 epidemic in England","Vöhringer HS, Sanderson T, Sinnott M, De Maio N, Nguyen T, Goater R, Schwach F, Harrison I, Hellewell J, Ariani CV, Gonçalves S, Jackson DK, Johnston I, Jung AW, Saint C, Sillitoe J, Suciu M, Goldman N, Panovska-Griffiths J; Wellcome Sanger Institute COVID-19 Surveillance Team; COVID-19 Genomics UK (COG-UK) Consortium*; Birney E, Volz E, Funk S, Kwiatkowski D, Chand M, Martincorena I, Barrett JC, Gerstung M.","Nature. 2021 Dec;600(7889):506-511. doi: 10.1038/s41586-021-04069-y. Epub 2021 Oct 14.","Vöhringer HS","Nature","2021","2021/10/14","PMC8674138","","10.1038/s41586-021-04069-y"
"33767447","Assessing transmissibility of SARS-CoV-2 lineage B.1.1.7 in England","Volz E, Mishra S, Chand M, Barrett JC, Johnson R, Geidelberg L, Hinsley WR, Laydon DJ, Dabrera G, O'Toole Á, Amato R, Ragonnet-Cronin M, Harrison I, Jackson B, Ariani CV, Boyd O, Loman NJ, McCrone JT, Gonçalves S, Jorgensen D, Myers R, Hill V, Jackson DK, Gaythorpe K, Groves N, Sillitoe J, Kwiatkowski DP; COVID-19 Genomics UK (COG-UK) consortium; Flaxman S, Ratmann O, Bhatt S, Hopkins S, Gandy A, Rambaut A, Ferguson NM.","Nature. 2021 May;593(7858):266-269. doi: 10.1038/s41586-021-03470-x. Epub 2021 Mar 25.","Volz E","Nature","2021","2021/03/26","","","10.1038/s41586-021-03470-x"
"32359424","Genomic Epidemiology of SARS-CoV-2 in Guangdong Province, China","Lu J, du Plessis L, Liu Z, Hill V, Kang M, Lin H, Sun J, François S, Kraemer MUG, Faria NR, McCrone JT, Peng J, Xiong Q, Yuan R, Zeng L, Zhou P, Liang C, Yi L, Liu J, Xiao J, Hu J, Liu T, Ma W, Li W, Su J, Zheng H, Peng B, Fang S, Su W, Li K, Sun R, Bai R, Tang X, Liang M, Quick J, Song T, Rambaut A, Loman N, Raghwani J, Pybus OG, Ke C.","Cell. 2020 May 28;181(5):997-1003.e9. doi: 10.1016/j.cell.2020.04.023. Epub 2020 Apr 30.","Lu J","Cell","2020","2020/05/04","PMC7192124","","10.1016/j.cell.2020.04.023"
"36533153","The origins and molecular evolution of SARS-CoV-2 lineage B.1.1.7 in the UK","Hill V, Du Plessis L, Peacock TP, Aggarwal D, Colquhoun R, Carabelli AM, Ellaby N, Gallagher E, Groves N, Jackson B, McCrone JT, O'Toole Á, Price A, Sanderson T, Scher E, Southgate J, Volz E, Barclay WS, Barrett JC, Chand M, Connor T, Goodfellow I, Gupta RK, Harrison EM, Loman N, Myers R, Robertson DL, Pybus OG, Rambaut A.","Virus Evol. 2022 Aug 26;8(2):veac080. doi: 10.1093/ve/veac080. eCollection 2022.","Hill V","Virus Evol","2022","2022/12/19","PMC9752794","","10.1093/ve/veac080"
"35701578","Publisher Correction: Genomic reconstruction of the SARS CoV-2 epidemic in England","Vöhringer HS, Sanderson T, Sinnott M, De Maio N, Nguyen T, Goater R, Schwach F, Harrison I, Hellewell J, Ariani CV, Gonçalves S, Jackson DK, Johnston I, Jung AW, Saint C, Sillitoe J, Suciu M, Goldman N, Panovska-Griffiths J; Wellcome Sanger Institute COVID-19 Surveillance Team; COVID-19 Genomics UK (COG-UK) Consortium*; Birney E, Volz E, Funk S, Kwiatkowski D, Chand M, Martincorena I, Barrett JC, Gerstung M.","Nature. 2022 Jun;606(7915):E18. doi: 10.1038/s41586-022-04887-8.","Vöhringer HS","Nature","2022","2022/06/14","PMC9172604","","10.1038/s41586-022-04887-8"
"34527285","Assignment of epidemiological lineages in an emerging pandemic using the pangolin tool","O'Toole Á, Scher E, Underwood A, Jackson B, Hill V, McCrone JT, Colquhoun R, Ruis C, Abu-Dahab K, Taylor B, Yeats C, du Plessis L, Maloney D, Medd N, Attwood SW, Aanensen DM, Holmes EC, Pybus OG, Rambaut A.","Virus Evol. 2021 Jul 30;7(2):veab064. doi: 10.1093/ve/veab064. eCollection 2021.","O'Toole Á","Virus Evol","2021","2021/09/16","PMC8344591","","10.1093/ve/veab064"
"33514928","Addendum: A dynamic nomenclature proposal for SARS-CoV-2 lineages to assist genomic epidemiology","Rambaut A, Holmes EC, O'Toole Á, Hill V, McCrone JT, Ruis C, du Plessis L, Pybus OG.","Nat Microbiol. 2021 Mar;6(3):415. doi: 10.1038/s41564-021-00872-5.","Rambaut A","Nat Microbiol","2021","2021/01/30","PMC7845574","","10.1038/s41564-021-00872-5"
"29683424","Stochastic processes constrain the within and between host evolution of influenza virus","McCrone JT, Woods RJ, Martin ET, Malosh RE, Monto AS, Lauring AS.","Elife. 2018 May 3;7:e35962. doi: 10.7554/eLife.35962.","McCrone JT","Elife","2018","2018/04/24","PMC5933925","","10.7554/eLife.35962"
