PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35216672","Multiple early factors anticipate post-acute COVID-19 sequelae","Su Y, Yuan D, Chen DG, Ng RH, Wang K, Choi J, Li S, Hong S, Zhang R, Xie J, Kornilov SA, Scherler K, Pavlovitch-Bedzyk AJ, Dong S, Lausted C, Lee I, Fallen S, Dai CL, Baloni P, Smith B, Duvvuri VR, Anderson KG, Li J, Yang F, Duncombe CJ, McCulloch DJ, Rostomily C, Troisch P, Zhou J, Mackay S, DeGottardi Q, May DH, Taniguchi R, Gittelman RM, Klinger M, Snyder TM, Roper R, Wojciechowska G, Murray K, Edmark R, Evans S, Jones L, Zhou Y, Rowen L, Liu R, Chour W, Algren HA, Berrington WR, Wallick JA, Cochran RA, Micikas ME; ISB-Swedish COVID-19 Biobanking Unit; Wrin T, Petropoulos CJ, Cole HR, Fischer TD, Wei W, Hoon DSB, Price ND, Subramanian N, Hill JA, Hadlock J, Magis AT, Ribas A, Lanier LL, Boyd SD, Bluestone JA, Chu H, Hood L, Gottardo R, Greenberg PD, Davis MM, Goldman JD, Heath JR.","Cell. 2022 Mar 3;185(5):881-895.e20. doi: 10.1016/j.cell.2022.01.014. Epub 2022 Jan 25.","Su Y","Cell","2022","2022/02/26","PMC8786632","","10.1016/j.cell.2022.01.014"
"33606031","Sequelae in Adults at 6 Months After COVID-19 Infection","Logue JK, Franko NM, McCulloch DJ, McDonald D, Magedson A, Wolf CR, Chu HY.","JAMA Netw Open. 2021 Feb 1;4(2):e210830. doi: 10.1001/jamanetworkopen.2021.0830.","Logue JK","JAMA Netw Open","2021","2021/02/19","PMC7896197","","10.1001/jamanetworkopen.2021.0830"
"37250175","Antiviral Prescribing Among Patients at an Ambulatory Cancer Center With Laboratory-Confirmed Influenza","Sorey W, Krantz EM, Morris J, Klaassen J, Sweet A, Tverdek F, Escobar ZK, McCulloch DJ, Pergam SA, Liu C.","Open Forum Infect Dis. 2023 May 10;10(5):ofad254. doi: 10.1093/ofid/ofad254. eCollection 2023 May.","Sorey W","Open Forum Infect Dis","2023","2023/05/30","PMC10220506","","10.1093/ofid/ofad254"
"32783920","Distinct Early Serological Signatures Track with SARS-CoV-2 Survival","Atyeo C, Fischinger S, Zohar T, Slein MD, Burke J, Loos C, McCulloch DJ, Newman KL, Wolf C, Yu J, Shuey K, Feldman J, Hauser BM, Caradonna T, Schmidt AG, Suscovich TJ, Linde C, Cai Y, Barouch D, Ryan ET, Charles RC, Lauffenburger D, Chu H, Alter G.","Immunity. 2020 Sep 15;53(3):524-532.e4. doi: 10.1016/j.immuni.2020.07.020. Epub 2020 Jul 30.","Atyeo C","Immunity","2020","2020/08/14","PMC7392190","","10.1016/j.immuni.2020.07.020"
"33197930","Remote Household Observation for Noninfluenza Respiratory Viral Illness","Emanuels A, Heimonen J, O'Hanlon J, Kim AE, Wilcox N, McCulloch DJ, Brandstetter E, Wolf CR, Logue JK, Han PD, Pfau B, Newman KL, Hughes JP, Jackson ML, Uyeki TM, Boeckh M, Starita LM, Nickerson DA, Bedford T, Englund JA, Chu HY.","Clin Infect Dis. 2021 Dec 6;73(11):e4411-e4418. doi: 10.1093/cid/ciaa1719.","Emanuels A","Clin Infect Dis","2021","2020/11/16","PMC7717193","","10.1093/cid/ciaa1719"
"34286830","SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing","Srivatsan S, Heidl S, Pfau B, Martin BK, Han PD, Zhong W, van Raay K, McDermot E, Opsahl J, Gamboa L, Smith N, Truong M, Cho S, Barrow KA, Rich LM, Stone J, Wolf CR, McCulloch DJ, Kim AE, Brandstetter E, Sohlberg SL, Ilcisin M, Geyer RE, Chen W, Gehring J; Seattle Flu Study Investigators; Kosuri S, Bedford T, Rieder MJ, Nickerson DA, Chu HY, Konnick EQ, Debley JS, Shendure J, Lockwood CM, Starita LM.","Clin Chem. 2021 Dec 30;68(1):143-152. doi: 10.1093/clinchem/hvab132.","Srivatsan S","Clin Chem","2021","2021/07/21","PMC8406859","","10.1093/clinchem/hvab132"
"32511368","SwabExpress: An end-to-end protocol for extraction-free COVID-19 testing","Srivatsan S, Heidl S, Pfau B, Martin BK, Han PD, Zhong W, van Raay K, McDermot E, Opsahl J, Gamboa L, Smith N, Truong M, Cho S, Barrow KA, Rich LM, Stone J, Wolf CR, McCulloch DJ, Kim AE, Brandstetter E, Sohlberg SL, Ilcisin M, Geyer RE, Chen W, Gehring J; Seattle Flu Study Investigators; Kosuri S, Bedford T, Rieder MJ, Nickerson DA, Chu HY, Konnick EQ, Debley JS, Shendure J, Lockwood CM, Starita LM.","bioRxiv. 2021 Apr 29:2020.04.22.056283. doi: 10.1101/2020.04.22.056283. Preprint.","Srivatsan S","bioRxiv","2021","2020/06/09","PMC7263496","","10.1101/2020.04.22.056283"
"34043706","Seroprevalence of SARS-CoV-2 antibodies in Seattle, Washington: October 2019-April 2020","McCulloch DJ, Jackson ML, Hughes JP, Lester S, Mills L, Freeman B, Rasheed MAU, Thornburg NJ, Chu HY.","PLoS One. 2021 May 27;16(5):e0252235. doi: 10.1371/journal.pone.0252235. eCollection 2021.","McCulloch DJ","PLoS One","2021","2021/05/27","PMC8158900","","10.1371/journal.pone.0252235"
"37383248","Successful Treatment of Persistent Symptomatic Coronavirus Disease 19 Infection With Extended-Duration Nirmatrelvir-Ritonavir Among Outpatients With Hematologic Cancer","Liu C, Yoke LH, Bhattacharyya P, Cassaday RD, Cheng GS, Escobar ZK, Ghiuzeli C, McCulloch DJ, Pergam SA, Roychoudhury P, Tverdek F, Schiffer JT, Ford ES.","Open Forum Infect Dis. 2023 Jun 6;10(6):ofad306. doi: 10.1093/ofid/ofad306. eCollection 2023 Jun.","Liu C","Open Forum Infect Dis","2023","2023/06/29","PMC10296060","","10.1093/ofid/ofad306"
"33939275","A remote household-based approach to influenza self-testing and antiviral treatment","Heimonen J, McCulloch DJ, O'Hanlon J, Kim AE, Emanuels A, Wilcox N, Brandstetter E, Stewart M, McCune D, Fry S, Parsons S, Hughes JP, Jackson ML, Uyeki TM, Boeckh M, Starita LM, Bedford T, Englund JA, Chu HY.","Influenza Other Respir Viruses. 2021 Jul;15(4):469-477. doi: 10.1111/irv.12859. Epub 2021 May 3.","Heimonen J","Influenza Other Respir Viruses","2021","2021/05/03","PMC8189204","","10.1111/irv.12859"
