PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34347950","Subcutaneous REGEN-COV Antibody Combination to Prevent Covid-19","O'Brien MP, Forleo-Neto E, Musser BJ, Isa F, Chan KC, Sarkar N, Bar KJ, Barnabas RV, Barouch DH, Cohen MS, Hurt CB, Burwen DR, Marovich MA, Hou P, Heirman I, Davis JD, Turner KC, Ramesh D, Mahmood A, Hooper AT, Hamilton JD, Kim Y, Purcell LA, Baum A, Kyratsous CA, Krainson J, Perez-Perez R, Mohseni R, Kowal B, DiCioccio AT, Stahl N, Lipsich L, Braunstein N, Herman G, Yancopoulos GD, Weinreich DM; Covid-19 Phase 3 Prevention Trial Team.","N Engl J Med. 2021 Sep 23;385(13):1184-1195. doi: 10.1056/NEJMoa2109682. Epub 2021 Aug 4.","O'Brien MP","N Engl J Med","2021","2021/08/04","PMC8362593","","10.1056/NEJMoa2109682"
"35138909","Targeting an alternate Wilms' tumor antigen 1 peptide bypasses immunoproteasome dependency","Lahman MC, Schmitt TM, Paulson KG, Vigneron N, Buenrostro D, Wagener FD, Voillet V, Martin L, Gottardo R, Bielas J, McElrath JM, Stirewalt DL, Pogosova-Agadjanyan EL, Yeung CC, Pierce RH, Egan DN, Bar M, Hendrie PC, Kinsella S, Vakil A, Butler J, Chaffee M, Linton J, McAfee MS, Hunter DS, Bleakley M, Rongvaux A, Van den Eynde BJ, Chapuis AG, Greenberg PD.","Sci Transl Med. 2022 Feb 9;14(631):eabg8070. doi: 10.1126/scitranslmed.abg8070. Epub 2022 Feb 9.","Lahman MC","Sci Transl Med","2022","2022/02/09","PMC8985599","NIHMS1784706","10.1126/scitranslmed.abg8070"
"36316476","Pan-vaccine analysis reveals innate immune endotypes predictive of antibody responses to vaccination","Fourati S, Tomalin LE, Mulè MP, Chawla DG, Gerritsen B, Rychkov D, Henrich E, Miller HER, Hagan T, Diray-Arce J, Dunn P; Human Immunology Project Consortium (HIPC); Levy O, Gottardo R, Sarwal MM, Tsang JS, Suárez-Fariñas M, Pulendran B, Kleinstein SH, Sékaly RP.","Nat Immunol. 2022 Dec;23(12):1777-1787. doi: 10.1038/s41590-022-01329-5. Epub 2022 Oct 31.","Fourati S","Nat Immunol","2022","2022/11/01","PMC9747610","","10.1038/s41590-022-01329-5"
"35029629","Effect of Subcutaneous Casirivimab and Imdevimab Antibody Combination vs Placebo on Development of Symptomatic COVID-19 in Early Asymptomatic SARS-CoV-2 Infection: A Randomized Clinical Trial","O'Brien MP, Forleo-Neto E, Sarkar N, Isa F, Hou P, Chan KC, Musser BJ, Bar KJ, Barnabas RV, Barouch DH, Cohen MS, Hurt CB, Burwen DR, Marovich MA, Brown ER, Heirman I, Davis JD, Turner KC, Ramesh D, Mahmood A, Hooper AT, Hamilton JD, Kim Y, Purcell LA, Baum A, Kyratsous CA, Krainson J, Perez-Perez R, Mohseni R, Kowal B, DiCioccio AT, Geba GP, Stahl N, Lipsich L, Braunstein N, Herman G, Yancopoulos GD, Weinreich DM; COVID-19 Phase 3 Prevention Trial Team.","JAMA. 2022 Feb 1;327(5):432-441. doi: 10.1001/jama.2021.24939.","O'Brien MP","JAMA","2022","2022/01/14","PMC8808333","","10.1001/jama.2021.24939"
"33730454","Two Randomized Trials of Neutralizing Antibodies to Prevent HIV-1 Acquisition","Corey L, Gilbert PB, Juraska M, Montefiori DC, Morris L, Karuna ST, Edupuganti S, Mgodi NM, deCamp AC, Rudnicki E, Huang Y, Gonzales P, Cabello R, Orrell C, Lama JR, Laher F, Lazarus EM, Sanchez J, Frank I, Hinojosa J, Sobieszczyk ME, Marshall KE, Mukwekwerere PG, Makhema J, Baden LR, Mullins JI, Williamson C, Hural J, McElrath MJ, Bentley C, Takuva S, Gomez Lorenzo MM, Burns DN, Espy N, Randhawa AK, Kochar N, Piwowar-Manning E, Donnell DJ, Sista N, Andrew P, Kublin JG, Gray G, Ledgerwood JE, Mascola JR, Cohen MS; HVTN 704/HPTN 085 and HVTN 703/HPTN 081 Study Teams.","N Engl J Med. 2021 Mar 18;384(11):1003-1014. doi: 10.1056/NEJMoa2031738.","Corey L","N Engl J Med","2021","2021/03/17","PMC8189692","NIHMS1701559","10.1056/NEJMoa2031738"
"26827165","Selection of HIV vaccine candidates for concurrent testing in an efficacy trial","Huang Y, DiazGranados C, Janes H, Huang Y, deCamp AC, Metch B, Grant S, Sanchez B, Phogat S, Koutsoukos M, Kanesa-Thasan N, Bourguignon P, Collard A, Buchbinder S, Tomaras GD, McElrath J, Gray G, Kublin JG, Corey L, Gilbert PB.","Curr Opin Virol. 2016 Apr;17:57-65. doi: 10.1016/j.coviro.2016.01.007. Epub 2016 Jan 29.","Huang Y","Curr Opin Virol","2016","2016/02/01","PMC4902743","NIHMS756136","10.1016/j.coviro.2016.01.007"
"37289667","Cross-protocol assessment of induction and durability of VISP/R in HIV preventive vaccine trial participants","Espy N, Han X, Grant S, Kwara E, Lakshminarayanan B, Stirewalt M, Seaton KE, Tomaras GD, Goecker E, McElrath J, Andriesen J, Huang Y, Walsh SR, Hural J.","PLOS Glob Public Health. 2023 Jun 8;3(6):e0002037. doi: 10.1371/journal.pgph.0002037. eCollection 2023.","Espy N","PLOS Glob Public Health","2023","2023/06/08","PMC10249892","","10.1371/journal.pgph.0002037"
"34843602","Sequence and vector shapes vaccine induced antibody effector functions in HIV vaccine trials","Fischinger S, Cizmeci D, Deng D, Grant SP, Frahm N, McElrath J, Fuchs J, Bart PA, Pantaleo G, Keefer M, O Hahn W, Rouphael N, Churchyard G, Moodie Z, Donastorg Y, Streeck H, Alter G.","PLoS Pathog. 2021 Nov 29;17(11):e1010016. doi: 10.1371/journal.ppat.1010016. eCollection 2021 Nov.","Fischinger S","PLoS Pathog","2021","2021/11/29","PMC8659322","","10.1371/journal.ppat.1010016"
"35353885","High Asymptomatic Carriage With the Omicron Variant in South Africa","Garrett N, Tapley A, Andriesen J, Seocharan I, Fisher LH, Bunts L, Espy N, Wallis CL, Randhawa AK, Miner MD, Ketter N, Yacovone M, Goga A, Huang Y, Hural J, Kotze P, Bekker LG, Gray GE, Corey L; Ubuntu Study Team.","Clin Infect Dis. 2022 Aug 24;75(1):e289-e292. doi: 10.1093/cid/ciac237.","Garrett N","Clin Infect Dis","2022","2022/03/30","PMC9383623","","10.1093/cid/ciac237"
"34452338","Buprenorphine Increases HIV-1 Infection In Vitro but Does Not Reactivate HIV-1 from Latency","Gornalusse GG, Vojtech LN, Levy CN, Hughes SM, Kim Y, Valdez R, Pandey U, Ochsenbauer C, Astronomo R, McElrath J, Hladik F.","Viruses. 2021 Jul 27;13(8):1472. doi: 10.3390/v13081472.","Gornalusse GG","Viruses","2021","2021/08/28","PMC8402857","","10.3390/v13081472"
