PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32946741","A Potent Anti-Malarial Human Monoclonal Antibody Targets Circumsporozoite Protein Minor Repeats and Neutralizes Sporozoites in the Liver","Wang LT, Pereira LS, Flores-Garcia Y, O'Connor J, Flynn BJ, Schön A, Hurlburt NK, Dillon M, Yang ASP, Fabra-García A, Idris AH, Mayer BT, Gerber MW, Gottardo R, Mason RD, Cavett N, Ballard RB, Kisalu NK, Molina-Cruz A, Nelson J, Vistein R, Barillas-Mury C, Amino R, Baker D, King NP, Sauerwein RW, Pancera M, Cockburn IA, Zavala F, Francica JR, Seder RA.","Immunity. 2020 Oct 13;53(4):733-744.e8. doi: 10.1016/j.immuni.2020.08.014. Epub 2020 Sep 17.","Wang LT","Immunity","2020","2020/09/18","PMC7572793","NIHMS1631259","10.1016/j.immuni.2020.08.014"
"35551291","Safety and antiviral activity of triple combination broadly neutralizing monoclonal antibody therapy against HIV-1: a phase 1 clinical trial","Julg B, Stephenson KE, Wagh K, Tan SC, Zash R, Walsh S, Ansel J, Kanjilal D, Nkolola J, Walker-Sperling VEK, Ophel J, Yanosick K, Borducchi EN, Maxfield L, Abbink P, Peter L, Yates NL, Wesley MS, Hassell T, Gelderblom HC, deCamp A, Mayer BT, Sato A, Gerber MW, Giorgi EE, Gama L, Koup RA, Mascola JR, Monczor A, Lupo S, Rolle CP, Arduino R, DeJesus E, Tomaras GD, Seaman MS, Korber B, Barouch DH.","Nat Med. 2022 Jun;28(6):1288-1296. doi: 10.1038/s41591-022-01815-1. Epub 2022 May 12.","Julg B","Nat Med","2022","2022/05/13","PMC9205771","","10.1038/s41591-022-01815-1"
"29617786","Reply to Giménez et al","Hill JA, Mayer BT, Xie H, Leisenring WM, Boeckh M, Schiffer JT.","Clin Infect Dis. 2018 Aug 16;67(5):807-808. doi: 10.1093/cid/ciy139.","Hill JA","Clin Infect Dis","2018","2018/04/05","PMC6093997","","10.1093/cid/ciy139"
"35995954","Neutralization titer biomarker for antibody-mediated prevention of HIV-1 acquisition","Gilbert PB, Huang Y, deCamp AC, Karuna S, Zhang Y, Magaret CA, Giorgi EE, Korber B, Edlefsen PT, Rossenkhan R, Juraska M, Rudnicki E, Kochar N, Huang Y, Carpp LN, Barouch DH, Mkhize NN, Hermanus T, Kgagudi P, Bekker V, Kaldine H, Mapengo RE, Eaton A, Domin E, West C, Feng W, Tang H, Seaton KE, Heptinstall J, Brackett C, Chiong K, Tomaras GD, Andrew P, Mayer BT, Reeves DB, Sobieszczyk ME, Garrett N, Sanchez J, Gay C, Makhema J, Williamson C, Mullins JI, Hural J, Cohen MS, Corey L, Montefiori DC, Morris L.","Nat Med. 2022 Sep;28(9):1924-1932. doi: 10.1038/s41591-022-01953-6. Epub 2022 Aug 22.","Gilbert PB","Nat Med","2022","2022/08/22","PMC9499869","","10.1038/s41591-022-01953-6"
"35385469","Optimizing clinical dosing of combination broadly neutralizing antibodies for HIV prevention","Mayer BT, deCamp AC, Huang Y, Schiffer JT, Gottardo R, Gilbert PB, Reeves DB.","PLoS Comput Biol. 2022 Apr 6;18(4):e1010003. doi: 10.1371/journal.pcbi.1010003. eCollection 2022 Apr.","Mayer BT","PLoS Comput Biol","2022","2022/04/06","PMC9084525","","10.1371/journal.pcbi.1010003"
"33620317","Viral load and contact heterogeneity predict SARS-CoV-2 transmission and super-spreading events","Goyal A, Reeves DB, Cardozo-Ojeda EF, Schiffer JT, Mayer BT.","Elife. 2021 Feb 23;10:e63537. doi: 10.7554/eLife.63537.","Goyal A","Elife","2021","2021/02/23","PMC7929560","","10.7554/eLife.63537"
"28839090","Reply to ""Early Stochastic Dynamics in Human Cytomegalovirus Infection""","Gantt S, Mayer BT, Schiffer JT.","J Virol. 2017 Aug 24;91(18):e01006-17. doi: 10.1128/JVI.01006-17. Print 2017 Sep 15.","Gantt S","J Virol","2017","2017/08/26","PMC5571264","","10.1128/JVI.01006-17"
"33432929","Thresholds for post-rebound SHIV control after CCR5 gene-edited autologous hematopoietic cell transplantation","Cardozo-Ojeda EF, Duke ER, Peterson CW, Reeves DB, Mayer BT, Kiem HP, Schiffer JT.","Elife. 2021 Jan 12;10:e57646. doi: 10.7554/eLife.57646.","Cardozo-Ojeda EF","Elife","2021","2021/01/12","PMC7803377","","10.7554/eLife.57646"
"34186015","Timing HIV infection with a simple and accurate population viral dynamics model","Reeves DB, Rolland M, Dearlove BL, Li Y, Robb ML, Schiffer JT, Gilbert P, Cardozo-Ojeda EF, Mayer BT.","J R Soc Interface. 2021 Jun;18(179):20210314. doi: 10.1098/rsif.2021.0314. Epub 2021 Jun 30.","Reeves DB","J R Soc Interface","2021","2021/06/29","PMC8241492","","10.1098/rsif.2021.0314"
"35020436","Estimation of the in vivo neutralization potency of eCD4Ig and conditions for AAV-mediated production for SHIV long-term remission","Goyal A, Gardner M, Mayer BT, Jerome KR, Farzan M, Schiffer JT, Cardozo-Ojeda EF.","Sci Adv. 2022 Jan 14;8(2):eabj5666. doi: 10.1126/sciadv.abj5666. Epub 2022 Jan 12.","Goyal A","Sci Adv","2022","2022/01/12","PMC8754410","","10.1126/sciadv.abj5666"
"29889809","Nonprimary Maternal Cytomegalovirus Infection After Viral Shedding in Infants","Boucoiran I, Mayer BT, Krantz EM, Marchant A, Pati S, Boppana S, Wald A, Corey L, Casper C, Schiffer JT, Gantt S.","Pediatr Infect Dis J. 2018 Jul;37(7):627-631. doi: 10.1097/INF.0000000000001877.","Boucoiran I","Pediatr Infect Dis J","2018","2018/06/12","PMC6016842","NIHMS929920","10.1097/INF.0000000000001877"
"29020348","Kinetics of Double-Stranded DNA Viremia After Allogeneic Hematopoietic Cell Transplantation","Hill JA, Mayer BT, Xie H, Leisenring WM, Huang ML, Stevens-Ayers T, Milano F, Delaney C, Jerome KR, Zerr DM, Nichols G, Boeckh M, Schiffer JT.","Clin Infect Dis. 2018 Jan 18;66(3):368-375. doi: 10.1093/cid/cix804.","Hill JA","Clin Infect Dis","2018","2017/10/12","PMC5850428","","10.1093/cid/cix804"
"27651417","Dynamics of Persistent Oral Cytomegalovirus Shedding During Primary Infection in Ugandan Infants","Mayer BT, Matrajt L, Casper C, Krantz EM, Corey L, Wald A, Gantt S, Schiffer JT.","J Infect Dis. 2016 Dec 1;214(11):1735-1743. doi: 10.1093/infdis/jiw442. Epub 2016 Sep 20.","Mayer BT","J Infect Dis","2016","2016/09/22","PMC5144733","","10.1093/infdis/jiw442"
"32084132","Mathematical modeling to reveal breakthrough mechanisms in the HIV Antibody Mediated Prevention (AMP) trials","Reeves DB, Huang Y, Duke ER, Mayer BT, Cardozo-Ojeda EF, Boshier FA, Swan DA, Rolland M, Robb ML, Mascola JR, Cohen MS, Corey L, Gilbert PB, Schiffer JT.","PLoS Comput Biol. 2020 Feb 21;16(2):e1007626. doi: 10.1371/journal.pcbi.1007626. eCollection 2020 Feb.","Reeves DB","PLoS Comput Biol","2020","2020/02/22","PMC7055956","","10.1371/journal.pcbi.1007626"
