PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32155444","Structure, Function, and Antigenicity of the SARS-CoV-2 Spike Glycoprotein","Walls AC, Park YJ, Tortorici MA, Wall A, McGuire AT, Veesler D.","Cell. 2020 Apr 16;181(2):281-292.e6. doi: 10.1016/j.cell.2020.02.058. Epub 2020 Mar 9.","Walls AC","Cell","2020","2020/03/11","PMC7102599","NIHMS1572097","10.1016/j.cell.2020.02.058"
"33795432","Designed proteins assemble antibodies into modular nanocages","Divine R, Dang HV, Ueda G, Fallas JA, Vulovic I, Sheffler W, Saini S, Zhao YT, Raj IX, Morawski PA, Jennewein MF, Homad LJ, Wan YH, Tooley MR, Seeger F, Etemadi A, Fahning ML, Lazarovits J, Roederer A, Walls AC, Stewart L, Mazloomi M, King NP, Campbell DJ, McGuire AT, Stamatatos L, Ruohola-Baker H, Mathieu J, Veesler D, Baker D.","Science. 2021 Apr 2;372(6537):eabd9994. doi: 10.1126/science.abd9994.","Divine R","Science","2021","2021/04/02","PMC8592034","NIHMS1751936","10.1126/science.abd9994"
"34554826","Defining variant-resistant epitopes targeted by SARS-CoV-2 antibodies: A global consortium study","Hastie KM, Li H, Bedinger D, Schendel SL, Dennison SM, Li K, Rayaprolu V, Yu X, Mann C, Zandonatti M, Diaz Avalos R, Zyla D, Buck T, Hui S, Shaffer K, Hariharan C, Yin J, Olmedillas E, Enriquez A, Parekh D, Abraha M, Feeney E, Horn GQ; CoVIC-DB team1; Aldon Y, Ali H, Aracic S, Cobb RR, Federman RS, Fernandez JM, Glanville J, Green R, Grigoryan G, Lujan Hernandez AG, Ho DD, Huang KA, Ingraham J, Jiang W, Kellam P, Kim C, Kim M, Kim HM, Kong C, Krebs SJ, Lan F, Lang G, Lee S, Leung CL, Liu J, Lu Y, MacCamy A, McGuire AT, Palser AL, Rabbitts TH, Rikhtegaran Tehrani Z, Sajadi MM, Sanders RW, Sato AK, Schweizer L, Seo J, Shen B, Snitselaar JL, Stamatatos L, Tan Y, Tomic MT, van Gils MJ, Youssef S, Yu J, Yuan TZ, Zhang Q, Peters B, Tomaras GD, Germann T, Saphire EO.","Science. 2021 Oct 22;374(6566):472-478. doi: 10.1126/science.abh2315. Epub 2021 Sep 23.","Hastie KM","Science","2021","2021/09/23","PMC9302186","NIHMS1811249","10.1126/science.abh2315"
"35705092","Immunization with a self-assembling nanoparticle vaccine displaying EBV gH/gL protects humanized mice against lethal viral challenge","Malhi H, Homad LJ, Wan YH, Poudel B, Fiala B, Borst AJ, Wang JY, Walkey C, Price J, Wall A, Singh S, Moodie Z, Carter L, Handa S, Correnti CE, Stoddard BL, Veesler D, Pancera M, Olson J, King NP, McGuire AT.","Cell Rep Med. 2022 Jun 21;3(6):100658. doi: 10.1016/j.xcrm.2022.100658. Epub 2022 Jun 14.","Malhi H","Cell Rep Med","2022","2022/06/15","PMC9245003","","10.1016/j.xcrm.2022.100658"
"28133796","Germline-targeting immunogens","Stamatatos L, Pancera M, McGuire AT.","Immunol Rev. 2017 Jan;275(1):203-216. doi: 10.1111/imr.12483.","Stamatatos L","Immunol Rev","2017","2017/01/31","PMC5741082","NIHMS926791","10.1111/imr.12483"
"34453881","Live imaging of SARS-CoV-2 infection in mice reveals that neutralizing antibodies require Fc function for optimal efficacy","Ullah I, Prévost J, Ladinsky MS, Stone H, Lu M, Anand SP, Beaudoin-Bussières G, Symmes K, Benlarbi M, Ding S, Gasser R, Fink C, Chen Y, Tauzin A, Goyette G, Bourassa C, Medjahed H, Mack M, Chung K, Wilen CB, Dekaban GA, Dikeakos JD, Bruce EA, Kaufmann DE, Stamatatos L, McGuire AT, Richard J, Pazgier M, Bjorkman PJ, Mothes W, Finzi A, Kumar P, Uchil PD.","Immunity. 2021 Sep 14;54(9):2143-2158.e15. doi: 10.1016/j.immuni.2021.08.015. Epub 2021 Aug 18.","Ullah I","Immunity","2021","2021/08/28","PMC8372518","NIHMS1735421","10.1016/j.immuni.2021.08.015"
"33766944","mRNA vaccination boosts cross-variant neutralizing antibodies elicited by SARS-CoV-2 infection","Stamatatos L, Czartoski J, Wan YH, Homad LJ, Rubin V, Glantz H, Neradilek M, Seydoux E, Jennewein MF, MacCamy AJ, Feng J, Mize G, De Rosa SC, Finzi A, Lemos MP, Cohen KW, Moodie Z, McElrath MJ, McGuire AT.","Science. 2021 Mar 25;372(6549):1413-8. doi: 10.1126/science.abg9175. Online ahead of print.","Stamatatos L","Science","2021","2021/03/26","PMC8139425","","10.1126/science.abg9175"
"33398277","Structural basis for broad coronavirus neutralization","Sauer MM, Tortorici MA, Park YJ, Walls AC, Homad L, Acton O, Bowen J, Wang C, Xiong X, de van der Schueren W, Quispe J, Hoffstrom BG, Bosch BJ, McGuire AT, Veesler D.","bioRxiv. 2021 Jan 4:2020.12.29.424482. doi: 10.1101/2020.12.29.424482. Preprint.","Sauer MM","bioRxiv","2021","2021/01/05","PMC7781312","","10.1101/2020.12.29.424482"
"33981021","Structural basis for broad coronavirus neutralization","Sauer MM, Tortorici MA, Park YJ, Walls AC, Homad L, Acton OJ, Bowen JE, Wang C, Xiong X, de van der Schueren W, Quispe J, Hoffstrom BG, Bosch BJ, McGuire AT, Veesler D.","Nat Struct Mol Biol. 2021 Jun;28(6):478-486. doi: 10.1038/s41594-021-00596-4. Epub 2021 May 12.","Sauer MM","Nat Struct Mol Biol","2021","2021/05/13","","","10.1038/s41594-021-00596-4"
"30946041","Targeting broadly neutralizing antibody precursors: a naïve approach to vaccine design","McGuire AT.","Curr Opin HIV AIDS. 2019 Jul;14(4):294-301. doi: 10.1097/COH.0000000000000548.","McGuire AT","Curr Opin HIV AIDS","2019","2019/04/05","","","10.1097/COH.0000000000000548"
"31345931","Anti-idiotypic antibodies elicit anti-HIV-1-specific B cell responses","Dosenovic P, Pettersson AK, Wall A, Thientosapol ES, Feng J, Weidle C, Bhullar K, Kara EE, Hartweger H, Pai JA, Gray MD, Parks KR, Taylor JJ, Pancera M, Stamatatos L, Nussenzweig MC, McGuire AT.","J Exp Med. 2019 Oct 7;216(10):2316-2330. doi: 10.1084/jem.20190446. Epub 2019 Jul 25.","Dosenovic P","J Exp Med","2019","2019/07/27","PMC6780999","","10.1084/jem.20190446"
"33791692","Isolation and Characterization of Cross-Neutralizing Coronavirus Antibodies from COVID-19+ Subjects","Jennewein MF, MacCamy AJ, Akins NR, Feng J, Homad LJ, Hurlburt NK, Seydoux E, Wan YH, Stuart AB, Edara VV, Floyd K, Vanderheiden A, Mascola JR, Doria-Rose N, Wang L, Yang ES, Chu HY, Torres JL, Ozorowski G, Ward AB, Whaley RE, Cohen KW, Pancera M, McElrath MJ, Englund JA, Finzi A, Suthar MS, McGuire AT, Stamatatos L.","bioRxiv. 2021 Mar 24:2021.03.23.436684. doi: 10.1101/2021.03.23.436684. Preprint.","Jennewein MF","bioRxiv","2021","2021/04/01","PMC8010719","","10.1101/2021.03.23.436684"
"36513069","Structures of drug-specific monoclonal antibodies bound to opioids and nicotine reveal a common mode of binding","Rodarte JV, Baehr C, Hicks D, Liban TL, Weidle C, Rupert PB, Jahan R, Wall A, McGuire AT, Strong RK, Runyon S, Pravetoni M, Pancera M.","Structure. 2023 Jan 5;31(1):20-32.e5. doi: 10.1016/j.str.2022.11.008. Epub 2022 Dec 12.","Rodarte JV","Structure","2023","2022/12/13","","","10.1016/j.str.2022.11.008"
"33299994","Designed proteins assemble antibodies into modular nanocages","Divine R, Dang HV, Ueda G, Fallas JA, Vulovic I, Sheffler W, Saini S, Zhao YT, Raj IX, Morawski PA, Jennewein MF, Homad LJ, Wan YH, Tooley MR, Seeger F, Etemadi A, Fahning ML, Lazarovits J, Roederer A, Walls AC, Stewart L, Mazloomi M, King NP, Campbell DJ, McGuire AT, Stamatatos L, Ruohola-Baker H, Mathieu J, Veesler D, Baker D.","bioRxiv. 2020 Dec 1:2020.12.01.406611. doi: 10.1101/2020.12.01.406611. Preprint.","Divine R","bioRxiv","2020","2020/12/10","PMC7724662","","10.1101/2020.12.01.406611"
"32724901","Neutralizing Antibodies Protect against Oral Transmission of Lymphocryptovirus","Singh S, Homad LJ, Akins NR, Stoffers CM, Lackhar S, Malhi H, Wan YH, Rawlings DJ, McGuire AT.","Cell Rep Med. 2020 Jun 23;1(3):100033. doi: 10.1016/j.xcrm.2020.100033.","Singh S","Cell Rep Med","2020","2020/07/30","PMC7386402","NIHMS1607462","10.1016/j.xcrm.2020.100033"
"34237283","Isolation and characterization of cross-neutralizing coronavirus antibodies from COVID-19+ subjects","Jennewein MF, MacCamy AJ, Akins NR, Feng J, Homad LJ, Hurlburt NK, Seydoux E, Wan YH, Stuart AB, Edara VV, Floyd K, Vanderheiden A, Mascola JR, Doria-Rose N, Wang L, Yang ES, Chu HY, Torres JL, Ozorowski G, Ward AB, Whaley RE, Cohen KW, Pancera M, McElrath MJ, Englund JA, Finzi A, Suthar MS, McGuire AT, Stamatatos L.","Cell Rep. 2021 Jul 13;36(2):109353. doi: 10.1016/j.celrep.2021.109353. Epub 2021 Jun 22.","Jennewein MF","Cell Rep","2021","2021/07/08","PMC8216847","","10.1016/j.celrep.2021.109353"
"30975893","HIV-specific humoral immune responses by CRISPR/Cas9-edited B cells","Hartweger H, McGuire AT, Horning M, Taylor JJ, Dosenovic P, Yost D, Gazumyan A, Seaman MS, Stamatatos L, Jankovic M, Nussenzweig MC.","J Exp Med. 2019 Jun 3;216(6):1301-1310. doi: 10.1084/jem.20190287. Epub 2019 Apr 11.","Hartweger H","J Exp Med","2019","2019/04/13","PMC6547862","","10.1084/jem.20190287"
"33306958","Structure, Function, and Antigenicity of the SARS-CoV-2 Spike Glycoprotein","Walls AC, Park YJ, Tortorici MA, Wall A, McGuire AT, Veesler D.","Cell. 2020 Dec 10;183(6):1735. doi: 10.1016/j.cell.2020.11.032.","Walls AC","Cell","2020","2020/12/11","PMC7833104","","10.1016/j.cell.2020.11.032"
"32511342","Characterization of neutralizing antibodies from a SARS-CoV-2 infected individual","Seydoux E, Homad LJ, MacCamy AJ, Parks KR, Hurlburt NK, Jennewein MF, Akins NR, Stuart AB, Wan YH, Feng J, Nelson RE, Singh S, Cohen KW, McElrath MJ, Englund JA, Chu HY, Pancera M, McGuire AT, Stamatatos L.","bioRxiv. 2020 May 12:2020.05.12.091298. doi: 10.1101/2020.05.12.091298. Preprint.","Seydoux E","bioRxiv","2020","2020/06/09","PMC7241105","","10.1101/2020.05.12.091298"
"36763635","CD4 binding site immunogens elicit heterologous anti-HIV-1 neutralizing antibodies in transgenic and wild-type animals","Gristick HB, Hartweger H, Loewe M, van Schooten J, Ramos V, Oliveira TY, Nishimura Y, Koranda NS, Wall A, Yao KH, Poston D, Gazumyan A, Wiatr M, Horning M, Keeffe JR, Hoffmann MAG, Yang Z, Abernathy ME, Dam KA, Gao H, Gnanapragasam PNP, Kakutani LM, Pavlovitch-Bedzyk AJ, Seaman MS, Howarth M, McGuire AT, Stamatatos L, Martin MA, West AP Jr, Nussenzweig MC, Bjorkman PJ.","Sci Immunol. 2023 Feb 17;8(80):eade6364. doi: 10.1126/sciimmunol.ade6364. Epub 2023 Feb 10.","Gristick HB","Sci Immunol","2023","2023/02/10","PMC10202037","NIHMS1887584","10.1126/sciimmunol.ade6364"
"33095855","Maternal Epstein-Barr Virus-Specific Antibodies and Risk of Infection in Ugandan Infants","Minab R, Bu W, Nguyen H, Wall A, Sholukh AM, Huang ML, Ortego M, Krantz EM, Irvine M, Casper C, Orem J, McGuire AT, Cohen JI, Gantt S.","J Infect Dis. 2021 Jun 4;223(11):1897-1904. doi: 10.1093/infdis/jiaa654.","Minab R","J Infect Dis","2021","2020/10/23","PMC8176630","","10.1093/infdis/jiaa654"
"32577631","Structural basis for potent neutralization of SARS-CoV-2 and role of antibody affinity maturation","Hurlburt NK, Wan YH, Stuart AB, Feng J, McGuire AT, Stamatatos L, Pancera M.","bioRxiv. 2020 Jun 12:2020.06.12.148692. doi: 10.1101/2020.06.12.148692. Preprint.","Hurlburt NK","bioRxiv","2020","2020/06/25","PMC7301900","","10.1101/2020.06.12.148692"
"33876699","Protective antibodies against human parainfluenza virus type 3 infection","Boonyaratanakornkit J, Singh S, Weidle C, Rodarte J, Bakthavatsalam R, Perkins J, Stewart-Jones GBE, Kwong PD, McGuire AT, Pancera M, Taylor JJ.","MAbs. 2021 Jan-Dec;13(1):1912884. doi: 10.1080/19420862.2021.1912884.","Boonyaratanakornkit J","MAbs","2021","2021/04/20","PMC8078717","","10.1080/19420862.2021.1912884"
"34289363","Development of a VRC01-class germline targeting immunogen derived from anti-idiotypic antibodies","Seydoux E, Wan YH, Feng J, Wall A, Aljedani S, Homad LJ, MacCamy AJ, Weidle C, Gray MD, Brumage L, Taylor JJ, Pancera M, Stamatatos L, McGuire AT.","Cell Rep. 2021 Jul 20;36(3):109454. doi: 10.1016/j.celrep.2021.109454.","Seydoux E","Cell Rep","2021","2021/07/21","PMC8407517","NIHMS1726850","10.1016/j.celrep.2021.109454"
"35411021","Structural definition of a pan-sarbecovirus neutralizing epitope on the spike S2 subunit","Hurlburt NK, Homad LJ, Sinha I, Jennewein MF, MacCamy AJ, Wan YH, Boonyaratanakornkit J, Sholukh AM, Jackson AM, Zhou P, Burton DR, Andrabi R, Ozorowski G, Ward AB, Stamatatos L, Pancera M, McGuire AT.","Commun Biol. 2022 Apr 11;5(1):342. doi: 10.1038/s42003-022-03262-7.","Hurlburt NK","Commun Biol","2022","2022/04/12","PMC9001700","","10.1038/s42003-022-03262-7"
"33110068","Structural basis for potent neutralization of SARS-CoV-2 and role of antibody affinity maturation","Hurlburt NK, Seydoux E, Wan YH, Edara VV, Stuart AB, Feng J, Suthar MS, McGuire AT, Stamatatos L, Pancera M.","Nat Commun. 2020 Oct 27;11(1):5413. doi: 10.1038/s41467-020-19231-9.","Hurlburt NK","Nat Commun","2020","2020/10/28","PMC7591918","","10.1038/s41467-020-19231-9"
"33758873","A single mRNA immunization boosts cross-variant neutralizing antibodies elicited by SARS-CoV-2 infection","Stamatatos L, Czartoski J, Wan YH, Homad LJ, Rubin V, Glantz H, Neradilek M, Seydoux E, Jennewein MF, MacCamy AJ, Feng J, Mize G, De Rosa SC, Finzi A, Lemos MP, Cohen KW, Moodie Z, McElrath MJ, McGuire AT.","medRxiv. 2021 Mar 10:2021.02.05.21251182. doi: 10.1101/2021.02.05.21251182. Preprint.","Stamatatos L","medRxiv","2021","2021/03/24","PMC7987032","","10.1101/2021.02.05.21251182"
"26997349","Structural basis for germline antibody recognition of HIV-1 immunogens","Scharf L, West AP, Sievers SA, Chen C, Jiang S, Gao H, Gray MD, McGuire AT, Scheid JF, Nussenzweig MC, Stamatatos L, Bjorkman PJ.","Elife. 2016 Mar 21;5:e13783. doi: 10.7554/eLife.13783.","Scharf L","Elife","2016","2016/03/22","PMC4811768","","10.7554/eLife.13783"
"33791699","Live Imaging of SARS-CoV-2 Infection in Mice Reveals Neutralizing Antibodies Require Fc Function for Optimal Efficacy","Ullah I, Prévost J, Ladinsky MS, Stone H, Lu M, Anand SP, Beaudoin-Bussières G, Symmes K, Benlarbi M, Ding S, Gasser R, Fink C, Chen Y, Tauzin A, Goyette G, Bourassa C, Medjahed H, Mack M, Chung K, Wilen CB, Dekaban GA, Dikeakos JD, Bruce EA, Kaufmann DE, Stamatatos L, McGuire AT, Richard J, Pazgier M, Bjorkman PJ, Mothes W, Finzi A, Kumar P, Uchil PD.","bioRxiv. 2021 Jun 28:2021.03.22.436337. doi: 10.1101/2021.03.22.436337. Preprint.","Ullah I","bioRxiv","2021","2021/04/01","PMC8010726","","10.1101/2021.03.22.436337"
"34133950","A single dose of the SARS-CoV-2 vaccine BNT162b2 elicits Fc-mediated antibody effector functions and T cell responses","Tauzin A, Nayrac M, Benlarbi M, Gong SY, Gasser R, Beaudoin-Bussières G, Brassard N, Laumaea A, Vézina D, Prévost J, Anand SP, Bourassa C, Gendron-Lepage G, Medjahed H, Goyette G, Niessl J, Tastet O, Gokool L, Morrisseau C, Arlotto P, Stamatatos L, McGuire AT, Larochelle C, Uchil P, Lu M, Mothes W, De Serres G, Moreira S, Roger M, Richard J, Martel-Laferrière V, Duerr R, Tremblay C, Kaufmann DE, Finzi A.","Cell Host Microbe. 2021 Jul 14;29(7):1137-1150.e6. doi: 10.1016/j.chom.2021.06.001. Epub 2021 Jun 4.","Tauzin A","Cell Host Microbe","2021","2021/06/16","PMC8175625","","10.1016/j.chom.2021.06.001"
"33951425","Development of a VRC01-class germline targeting immunogen derived from anti-idiotypic antibodies","Seydoux E, Wan YH, Feng J, Wall A, Aljedani S, Homad LJ, MacCamy AJ, Weidle C, Gray MD, Brumage L, Taylor JJ, Pancera M, Stamatatos L, McGuire AT.","Cell Rep. 2021 May 4;35(5):109084. doi: 10.1016/j.celrep.2021.109084.","Seydoux E","Cell Rep","2021","2021/05/05","PMC8127986","NIHMS1700552","10.1016/j.celrep.2021.109084"
"30913265","Correction: HIV-1 envelope glycan modifications that permit neutralization by germline-reverted VRC01-class broadly neutralizing antibodies","LaBranche CC, McGuire AT, Gray MD, Behrens S, Chen X, Zhou T, Sattentau QJ, Peacock J, Eaton A, Greene K, Gao H, Tang H, Perez LG, Saunders KO, Kwong PD, Mascola JR, Haynes BF, Stamatatos L, Montefiori DC.","PLoS Pathog. 2019 Mar 26;15(3):e1007646. doi: 10.1371/journal.ppat.1007646. eCollection 2019 Mar.","LaBranche CC","PLoS Pathog","2019","2019/03/27","PMC6435110","","10.1371/journal.ppat.1007646"
