PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24855282","Developing risk prediction models for kidney injury and assessing incremental value for novel biomarkers","Kerr KF, Meisner A, Thiessen-Philbrook H, Coca SG, Parikh CR.","Clin J Am Soc Nephrol. 2014 Aug 7;9(8):1488-96. doi: 10.2215/CJN.10351013. Epub 2014 May 22.","Kerr KF","Clin J Am Soc Nephrol","2014","2014/05/24","PMC4123400","","10.2215/CJN.10351013"
"33871887","Combining biomarkers by maximizing the true positive rate for a fixed false positive rate","Meisner A, Carone M, Pepe MS, Kerr KF.","Biom J. 2021 Aug;63(6):1223-1240. doi: 10.1002/bimj.202000210. Epub 2021 Apr 19.","Meisner A","Biom J","2021","2021/04/19","PMC9845072","NIHMS1860770","10.1002/bimj.202000210"
"28795578","Evaluating biomarkers for prognostic enrichment of clinical trials","Kerr KF, Roth J, Zhu K, Thiessen-Philbrook H, Meisner A, Wilson FP, Coca S, Parikh CR.","Clin Trials. 2017 Dec;14(6):629-638. doi: 10.1177/1740774517723588. Epub 2017 Aug 10.","Kerr KF","Clin Trials","2017","2017/08/11","PMC5714681","NIHMS892229","10.1177/1740774517723588"
"28683730","Urinalysis findings and urinary kidney injury biomarker concentrations","Nadkarni GN, Coca SG, Meisner A, Patel S, Kerr KF, Patel UD, Koyner JL, Garg AX, Philbrook HT, Edelstein CL, Shlipak M, El-Khoury J, Parikh CR; TRIBE-AKI Consortium Investigators.","BMC Nephrol. 2017 Jul 6;18(1):218. doi: 10.1186/s12882-017-0629-z.","Nadkarni GN","BMC Nephrol","2017","2017/07/08","PMC5499057","","10.1186/s12882-017-0629-z"
"29157119","Biomarker combinations for diagnosis and prognosis in multicenter studies: Principles and methods","Meisner A, Parikh CR, Kerr KF.","Stat Methods Med Res. 2019 Apr;28(4):969-985. doi: 10.1177/0962280217740392. Epub 2017 Nov 20.","Meisner A","Stat Methods Med Res","2019","2017/11/22","PMC9835724","NIHMS1856865","10.1177/0962280217740392"
"32794249","Developing biomarker combinations in multicenter studies via direct maximization and penalization","Meisner A, Parikh CR, Kerr KF.","Stat Med. 2020 Oct 30;39(24):3412-3426. doi: 10.1002/sim.8673. Epub 2020 Aug 13.","Meisner A","Stat Med","2020","2020/08/15","","","10.1002/sim.8673"
"35990584","PrEP uptake and HIV viral suppression when PrEP is integrated into Ugandan ART clinics for HIV-negative members of HIV-serodifferent couples: A stepped wedge cluster randomized trial","Heffron R, Muwonge TR, Thomas KK, Nambi F, Nakabugo L, Kibuuka J, Thomas D, Feutz E, Meisner A, Ware NC, Wyatt MA, Simoni JM, Katz IT, Kadama H, Baeten JM, Mujugira A; Partners PrEP Program Team.","EClinicalMedicine. 2022 Aug 11;52:101611. doi: 10.1016/j.eclinm.2022.101611. eCollection 2022 Oct.","Heffron R","EClinicalMedicine","2022","2022/08/22","PMC9386395","","10.1016/j.eclinm.2022.101611"
"25642328","RiGoR: reporting guidelines to address common sources of bias in risk model development","Kerr KF, Meisner A, Thiessen-Philbrook H, Coca SG, Parikh CR.","Biomark Res. 2015 Jan 24;3(1):2. doi: 10.1186/s40364-014-0027-7. eCollection 2015.","Kerr KF","Biomark Res","2015","2015/02/03","PMC4312434","","10.1186/s40364-014-0027-7"
"35149246","Performance of anterior nares and tongue swabs for nucleic acid, Nucleocapsid, and Spike antigen testing for detecting SARS-CoV-2 against nasopharyngeal PCR and viral culture","Montaño MA, Bemer MJ, Heller KB, Meisner A, Marfatia Z, Rechkina EA, Padgett LR, Ahls CL, Rains D, Hao L, Hsiang TY, Cangelosi GA, Greninger AL, Cantera JL, Golden A, Peck RB, Boyle DS, Gale M Jr, Drain PK.","Int J Infect Dis. 2022 Apr;117:287-294. doi: 10.1016/j.ijid.2022.02.009. Epub 2022 Feb 9.","Montaño MA","Int J Infect Dis","2022","2022/02/12","PMC8827388","","10.1016/j.ijid.2022.02.009"
"26086764","Validity of a Neurological Scoring System for Canine X-Linked Myotubular Myopathy","Snyder JM, Meisner A, Mack D, Goddard M, Coulter IT, Grange R, Childers MK.","Hum Gene Ther Clin Dev. 2015 Jun;26(2):131-7. doi: 10.1089/humc.2015.049.","Snyder JM","Hum Gene Ther Clin Dev","2015","2015/06/19","PMC4574743","","10.1089/humc.2015.049"
"36913789","Duration of viral infectiousness and correlation with symptoms and diagnostic testing in non-hospitalized adults during acute SARS-CoV-2 infection: A longitudinal cohort study","Drain PK, Dalmat RR, Hao L, Bemer MJ, Budiawan E, Morton JF, Ireton RC, Hsiang TY, Marfatia Z, Prabhu R, Woosley C, Gichamo A, Rechkina E, Hamilton D, Montaño M, Cantera JL, Ball AS, Golez I, Smith E, Greninger AL, McElrath MJ, Thompson M, Grant BD, Meisner A, Gottlieb GS, Gale M Jr.","J Clin Virol. 2023 Apr;161:105420. doi: 10.1016/j.jcv.2023.105420. Epub 2023 Mar 3.","Drain PK","J Clin Virol","2023","2023/03/13","PMC9981266","","10.1016/j.jcv.2023.105420"
"26986253","Pre-diagnostic circulating sex hormone levels and risk of prostate cancer by ERG tumour protein expression","Graff RE, Meisner A, Ahearn TU, Fiorentino M, Loda M, Giovannucci EL, Mucci LA, Pettersson A.","Br J Cancer. 2016 Apr 12;114(8):939-44. doi: 10.1038/bjc.2016.61. Epub 2016 Mar 17.","Graff RE","Br J Cancer","2016","2016/03/18","PMC4984801","","10.1038/bjc.2016.61"
"34895357","Integrating PrEP delivery in public health family planning clinics: a protocol for a pragmatic stepped wedge cluster randomized trial in Kenya","Mugwanya KK, Matemo D, Scoville CW, Beima-Sofie KM, Meisner A, Onyango D, Mugambi M, Feutz E, Grabow C, Barnabas R, Weiner B, Baeten JM, Kinuthia J; FP Plus Team.","Implement Sci Commun. 2021 Dec 11;2(1):135. doi: 10.1186/s43058-021-00228-4.","Mugwanya KK","Implement Sci Commun","2021","2021/12/13","PMC8665600","","10.1186/s43058-021-00228-4"
"29344362","Development of biomarker combinations for postoperative acute kidney injury via Bayesian model selection in a multicenter cohort study","Meisner A, Kerr KF, Thiessen-Philbrook H, Wilson FP, Garg AX, Shlipak MG, Kavsak P, Whitlock RP, Coca SG, Parikh CR.","Biomark Res. 2018 Jan 12;6:3. doi: 10.1186/s40364-018-0117-z. eCollection 2018.","Meisner A","Biomark Res","2018","2018/01/19","PMC5767010","","10.1186/s40364-018-0117-z"
"31093558","Using ordinal outcomes to construct and select biomarker combinations for single-level prediction","Meisner A, Parikh CR, Kerr KF.","Diagn Progn Res. 2018 May 21;2:8. doi: 10.1186/s41512-018-0028-3. eCollection 2018.","Meisner A","Diagn Progn Res","2018","2019/05/17","PMC6460803","","10.1186/s41512-018-0028-3"
