PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34763161","Bayesian validation framework for dynamic epidemic models","Dasgupta S, Moore MR, Dimitrov DT, Hughes JP.","Epidemics. 2021 Dec;37:100514. doi: 10.1016/j.epidem.2021.100514. Epub 2021 Oct 30.","Dasgupta S","Epidemics","2021","2021/11/11","PMC8720263","NIHMS1763848","10.1016/j.epidem.2021.100514"
"34696352","Mathematical Modeling of Vaccines That Prevent SARS-CoV-2 Transmission","Swan DA, Goyal A, Bracis C, Moore M, Krantz E, Brown E, Cardozo-Ojeda F, Reeves DB, Gao F, Gilbert PB, Corey L, Cohen MS, Janes H, Dimitrov D, Schiffer JT.","Viruses. 2021 Sep 24;13(10):1921. doi: 10.3390/v13101921.","Swan DA","Viruses","2021","2021/10/26","PMC8539635","","10.3390/v13101921"
"34849635","How Can Progress Toward Ending the Human Immunodeficiency Virus Epidemic in the United States Be Monitored?","Mitchell KM, Maheu-Giroux M, Dimitrov D, Moore M, Hughes JP, Donnell D, Beyrer C, El-Sadr WM, Cohen MS, Boily MC.","Clin Infect Dis. 2022 Aug 24;75(1):163-169. doi: 10.1093/cid/ciab976.","Mitchell KM","Clin Infect Dis","2022","2021/12/01","PMC9403299","","10.1093/cid/ciab976"
"33899042","Rapid vaccination and partial lockdown minimize 4(th) waves from emerging highly contagious SARS-CoV-2 variants","Reeves DB, Bracis C, Swan DA, Burns E, Moore M, Dimitrov D, Schiffer JT.","Med. 2021 May 14;2(5):573-574. doi: 10.1016/j.medj.2021.04.012. Epub 2021 Apr 20.","Reeves DB","Med","2021","2021/04/26","PMC8057771","","10.1016/j.medj.2021.04.012"
"36618897","Estimating benefits of using on-demand oral prep by MSM: A comparative modeling study of the US and Thailand","Stansfield SE, Moore M, Boily MC, Hughes JP, Donnell DJ, Dimitrov DT.","EClinicalMedicine. 2022 Dec 26;56:101776. doi: 10.1016/j.eclinm.2022.101776. eCollection 2023 Feb.","Stansfield SE","EClinicalMedicine","2022","2023/01/09","PMC9813675","","10.1016/j.eclinm.2022.101776"
"34648489","Dynamics and turnover of memory CD8 T cell responses following yellow fever vaccination","Zarnitsyna VI, Akondy RS, Ahmed H, McGuire DJ, Zarnitsyn VG, Moore M, Johnson PLF, Ahmed R, Li KW, Hellerstein MK, Antia R.","PLoS Comput Biol. 2021 Oct 14;17(10):e1009468. doi: 10.1371/journal.pcbi.1009468. eCollection 2021 Oct.","Zarnitsyna VI","PLoS Comput Biol","2021","2021/10/14","PMC8568194","","10.1371/journal.pcbi.1009468"
"35603374","Improving vaccination coverage and offering vaccine to all school-age children allowed uninterrupted in-person schooling in King County, WA: Modeling analysis","Bracis C, Moore M, Swan DA, Matrajt L, Anderson L, Reeves DB, Burns E, Schiffer JT, Dimitrov D.","Math Biosci Eng. 2022 Apr 1;19(6):5699-5716. doi: 10.3934/mbe.2022266.","Bracis C","Math Biosci Eng","2022","2022/05/23","PMC9553324","NIHMS1837942","10.3934/mbe.2022266"
"33136735","Identifying Regions of Greatest Need for Ending the HIV Epidemic: A Plan for America","Moore M, Boily MC, Mitchell KM, Donnell DD, Cohen MS, Dimitrov DT.","J Acquir Immune Defic Syndr. 2020 Dec 1;85(4):395-398. doi: 10.1097/QAI.0000000000002477.","Moore M","J Acquir Immune Defic Syndr","2020","2020/11/02","","","10.1097/QAI.0000000000002477"
"36844011","Estimating the impact of HIV PrEP regimens containing long-acting injectable cabotegravir or daily oral tenofovir disoproxil fumarate/emtricitabine among men who have sex with men in the United States: a mathematical modelling study for HPTN 083","Mitchell KM, Boily MC, Hanscom B, Moore M, Todd J, Paz-Bailey G, Wejnert C, Liu A, Donnell DJ, Grinsztejn B, Landovitz RJ, Dimitrov DT.","Lancet Reg Health Am. 2023 Jan 17;18:100416. doi: 10.1016/j.lana.2022.100416. eCollection 2023 Feb.","Mitchell KM","Lancet Reg Health Am","2023","2023/02/27","PMC9950652","","10.1016/j.lana.2022.100416"
"37439080","Population-level impact of expanding PrEP coverage by offering long-acting injectable PrEP to MSM in three high-resource settings: a model comparison analysis","Stansfield SE, Heitner J, Mitchell KM, Doyle CM, Milwid RM, Moore M, Donnell DJ, Hanscom B, Xia Y, Maheu-Giroux M, Vijver DV, Wang H, Barnabas R, Boily MC, Dimitrov DT.","J Int AIDS Soc. 2023 Jul;26 Suppl 2(Suppl 2):e26109. doi: 10.1002/jia2.26109.","Stansfield SE","J Int AIDS Soc","2023","2023/07/13","PMC10339001","","10.1002/jia2.26109"
"33617783","The potential effect of COVID-19-related disruptions on HIV incidence and HIV-related mortality among men who have sex with men in the USA: a modelling study","Mitchell KM, Dimitrov D, Silhol R, Geidelberg L, Moore M, Liu A, Beyrer C, Mayer KH, Baral S, Boily MC.","Lancet HIV. 2021 Apr;8(4):e206-e215. doi: 10.1016/S2352-3018(21)00022-9. Epub 2021 Feb 19.","Mitchell KM","Lancet HIV","2021","2021/02/22","PMC8045548","NIHMS1684590","10.1016/S2352-3018(21)00022-9"
"33294745","Widespread testing, case isolation and contact tracing may allow safe school reopening with continued moderate physical distancing: A modeling analysis of King County, WA data","Bracis C, Burns E, Moore M, Swan D, Reeves DB, Schiffer JT, Dimitrov D.","Infect Dis Model. 2020 Nov 13;6:24-35. doi: 10.1016/j.idm.2020.11.003. eCollection 2021.","Bracis C","Infect Dis Model","2020","2020/12/09","PMC7695953","","10.1016/j.idm.2020.11.003"
"34330945","COVID-19 vaccines that reduce symptoms but do not block infection need higher coverage and faster rollout to achieve population impact","Swan DA, Bracis C, Janes H, Moore M, Matrajt L, Reeves DB, Burns E, Donnell D, Cohen MS, Schiffer JT, Dimitrov D.","Sci Rep. 2021 Jul 30;11(1):15531. doi: 10.1038/s41598-021-94719-y.","Swan DA","Sci Rep","2021","2021/07/31","PMC8324774","","10.1038/s41598-021-94719-y"
"33285419","Assessing the use of surveillance data to estimate the impact of prevention interventions on HIV incidence in cluster-randomized controlled trials","Mitchell KM, Dimitrov D, Hughes JP, Moore M, Vittinghoff E, Liu A, Cohen MS, Beyrer C, Donnell D, Boily MC.","Epidemics. 2020 Dec;33:100423. doi: 10.1016/j.epidem.2020.100423. Epub 2020 Nov 20.","Mitchell KM","Epidemics","2020","2020/12/07","PMC7938213","NIHMS1657598","10.1016/j.epidem.2020.100423"
"33173893","Estimating the potential impact of COVID-19-related disruptions on HIV incidence and mortality among men who have sex with men in the United States: a modelling study","Mitchell KM, Dimitrov D, Silhol R, Geidelberg L, Moore M, Liu A, Beyrer C, Mayer KH, Baral S, Boily MC.","medRxiv. 2020 Nov 3:2020.10.30.20222893. doi: 10.1101/2020.10.30.20222893. Preprint.","Mitchell KM","medRxiv","2020","2020/11/11","PMC7654885","","10.1101/2020.10.30.20222893"
