PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28685417","The Lymph Node in HIV Pathogenesis","Dimopoulos Y, Moysi E, Petrovas C.","Curr HIV/AIDS Rep. 2017 Aug;14(4):133-140. doi: 10.1007/s11904-017-0359-7.","Dimopoulos Y","Curr HIV/AIDS Rep","2017","2017/07/08","","","10.1007/s11904-017-0359-7"
"34039844","Visualization of HIV-1 reservoir: an imaging perspective","Chapon C, Moysi E, Naninck T, Mayet C, Petrovas C.","Curr Opin HIV AIDS. 2021 Jul 1;16(4):232-239. doi: 10.1097/COH.0000000000000691.","Chapon C","Curr Opin HIV AIDS","2021","2021/05/27","PMC8214835","NIHMS1703508","10.1097/COH.0000000000000691"
"32477334","Immunogenicity of Protein Therapeutics: A Lymph Node Perspective","Fu K, March K, Alexaki A, Fabozzi G, Moysi E, Petrovas C.","Front Immunol. 2020 May 14;11:791. doi: 10.3389/fimmu.2020.00791. eCollection 2020.","Fu K","Front Immunol","2020","2020/06/02","PMC7240201","","10.3389/fimmu.2020.00791"
"26830285","Novel Imaging Methods for Analysis of Tissue Resident Cells in HIV/SIV","Moysi E, Estes JD, Petrovas C.","Curr HIV/AIDS Rep. 2016 Feb;13(1):38-43. doi: 10.1007/s11904-016-0300-5.","Moysi E","Curr HIV/AIDS Rep","2016","2016/02/03","","","10.1007/s11904-016-0300-5"
"29967602","Follicular CD4 T Helper Cells As a Major HIV Reservoir Compartment: A Molecular Perspective","Aid M, Dupuy FP, Moysi E, Moir S, Haddad EK, Estes JD, Sekaly RP, Petrovas C, Ribeiro SP.","Front Immunol. 2018 Jun 18;9:895. doi: 10.3389/fimmu.2018.00895. eCollection 2018.","Aid M","Front Immunol","2018","2018/07/04","PMC6015877","","10.3389/fimmu.2018.00895"
"29227356","Novel advances on tissue immune dynamics in HIV/simian immunodeficiency virus: lessons from imaging studies","Moysi E, Padhan K, Fabozzi G, Petrovas C.","Curr Opin HIV AIDS. 2018 Mar;13(2):112-118. doi: 10.1097/COH.0000000000000437.","Moysi E","Curr Opin HIV AIDS","2018","2017/12/12","","","10.1097/COH.0000000000000437"
"37520703","Multilevel human secondary lymphoid immune system compartmentalization revealed by complementary imaging approaches","Oyler BL, Valencia-Dávila JA, Moysi E, Molyvdas A, Ioannidou K, March K, Ambrozak D, De Leval L, Fabozzi G, Woods AS, Koup RA, Petrovas C.","iScience. 2023 Jul 3;26(8):107261. doi: 10.1016/j.isci.2023.107261. eCollection 2023 Aug 18.","Oyler BL","iScience","2023","2023/07/31","PMC10371825","","10.1016/j.isci.2023.107261"
"30081906","The role of follicular helper CD4 T cells in the development of HIV-1 specific broadly neutralizing antibody responses","Moysi E, Petrovas C, Koup RA.","Retrovirology. 2018 Aug 6;15(1):54. doi: 10.1186/s12977-018-0437-y.","Moysi E","Retrovirology","2018","2018/08/08","PMC6080353","","10.1186/s12977-018-0437-y"
"35193447","Human lymph node immune dynamics as driver of vaccine efficacy: an understudied aspect of immune responses","Moysi E, Paris RM, Le Grand R, Koup RA, Petrovas C.","Expert Rev Vaccines. 2022 May;21(5):633-644. doi: 10.1080/14760584.2022.2045198. Epub 2022 Mar 9.","Moysi E","Expert Rev Vaccines","2022","2022/02/23","","","10.1080/14760584.2022.2045198"
"29781814","Lymphoid tissue fibrosis is associated with impaired vaccine responses","Kityo C, Makamdop KN, Rothenberger M, Chipman JG, Hoskuldsson T, Beilman GJ, Grzywacz B, Mugyenyi P, Ssali F, Akondy RS, Anderson J, Schmidt TE, Reimann T, Callisto SP, Schoephoerster J, Schuster J, Muloma P, Ssengendo P, Moysi E, Petrovas C, Lanciotti R, Zhang L, Arévalo MT, Rodriguez B, Ross TM, Trautmann L, Sekaly RP, Lederman MM, Koup RA, Ahmed R, Reilly C, Douek DC, Schacker TW.","J Clin Invest. 2018 Jul 2;128(7):2763-2773. doi: 10.1172/JCI97377. Epub 2018 May 21.","Kityo C","J Clin Invest","2018","2018/05/22","PMC6025977","","10.1172/JCI97377"
