PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30531897","Dimensionality reduction for visualizing single-cell data using UMAP","Becht E, McInnes L, Healy J, Dutertre CA, Kwok IWH, Ng LG, Ginhoux F, Newell EW.","Nat Biotechnol. 2018 Dec 3. doi: 10.1038/nbt.4314. Online ahead of print.","Becht E","Nat Biotechnol","2018","2018/12/12","","","10.1038/nbt.4314"
"34931002","Single-cell immunology of SARS-CoV-2 infection","Tian Y, Carpp LN, Miller HER, Zager M, Newell EW, Gottardo R.","Nat Biotechnol. 2022 Jan;40(1):30-41. doi: 10.1038/s41587-021-01131-y. Epub 2021 Dec 20.","Tian Y","Nat Biotechnol","2022","2021/12/21","PMC9414121","NIHMS1824918","10.1038/s41587-021-01131-y"
"34469775","A subset of Kupffer cells regulates metabolism through the expression of CD36","Blériot C, Barreby E, Dunsmore G, Ballaire R, Chakarov S, Ficht X, De Simone G, Andreata F, Fumagalli V, Guo W, Wan G, Gessain G, Khalilnezhad A, Zhang XM, Ang N, Chen P, Morgantini C, Azzimato V, Kong WT, Liu Z, Pai R, Lum J, Shihui F, Low I, Xu C, Malleret B, Kairi MFM, Balachander A, Cexus O, Larbi A, Lee B, Newell EW, Ng LG, Phoo WW, Sobota RM, Sharma A, Howland SW, Chen J, Bajenoff M, Yvan-Charvet L, Venteclef N, Iannacone M, Aouadi M, Ginhoux F.","Immunity. 2021 Sep 14;54(9):2101-2116.e6. doi: 10.1016/j.immuni.2021.08.006. Epub 2021 Aug 31.","Blériot C","Immunity","2021","2021/09/01","","","10.1016/j.immuni.2021.08.006"
"33046887","Two subsets of stem-like CD8(+) memory T cell progenitors with distinct fate commitments in humans","Galletti G, De Simone G, Mazza EMC, Puccio S, Mezzanotte C, Bi TM, Davydov AN, Metsger M, Scamardella E, Alvisi G, De Paoli F, Zanon V, Scarpa A, Camisa B, Colombo FS, Anselmo A, Peano C, Polletti S, Mavilio D, Gattinoni L, Boi SK, Youngblood BA, Jones RE, Baird DM, Gostick E, Llewellyn-Lacey S, Ladell K, Price DA, Chudakov DM, Newell EW, Casucci M, Lugli E.","Nat Immunol. 2020 Dec;21(12):1552-1562. doi: 10.1038/s41590-020-0791-5. Epub 2020 Oct 12.","Galletti G","Nat Immunol","2020","2020/10/13","PMC7610790","EMS117985","10.1038/s41590-020-0791-5"
"30343900","High-Dimensional Analysis Delineates Myeloid and Lymphoid Compartment Remodeling during Successful Immune-Checkpoint Cancer Therapy","Gubin MM, Esaulova E, Ward JP, Malkova ON, Runci D, Wong P, Noguchi T, Arthur CD, Meng W, Alspach E, Medrano RFV, Fronick C, Fehlings M, Newell EW, Fulton RS, Sheehan KCF, Oh ST, Schreiber RD, Artyomov MN.","Cell. 2018 Nov 1;175(4):1014-1030.e19. doi: 10.1016/j.cell.2018.09.030. Epub 2018 Oct 18.","Gubin MM","Cell","2018","2018/10/23","PMC6501221","NIHMS1507892","10.1016/j.cell.2018.09.030"
"29466759","Developmental Analysis of Bone Marrow Neutrophils Reveals Populations Specialized in Expansion, Trafficking, and Effector Functions","Evrard M, Kwok IWH, Chong SZ, Teng KWW, Becht E, Chen J, Sieow JL, Penny HL, Ching GC, Devi S, Adrover JM, Li JLY, Liong KH, Tan L, Poon Z, Foo S, Chua JW, Su IH, Balabanian K, Bachelerie F, Biswas SK, Larbi A, Hwang WYK, Madan V, Koeffler HP, Wong SC, Newell EW, Hidalgo A, Ginhoux F, Ng LG.","Immunity. 2018 Feb 20;48(2):364-379.e8. doi: 10.1016/j.immuni.2018.02.002.","Evrard M","Immunity","2018","2018/02/22","","","10.1016/j.immuni.2018.02.002"
"31474513","Single-Cell Analysis of Human Mononuclear Phagocytes Reveals Subset-Defining Markers and Identifies Circulating Inflammatory Dendritic Cells","Dutertre CA, Becht E, Irac SE, Khalilnezhad A, Narang V, Khalilnezhad S, Ng PY, van den Hoogen LL, Leong JY, Lee B, Chevrier M, Zhang XM, Yong PJA, Koh G, Lum J, Howland SW, Mok E, Chen J, Larbi A, Tan HKK, Lim TKH, Karagianni P, Tzioufas AG, Malleret B, Brody J, Albani S, van Roon J, Radstake T, Newell EW, Ginhoux F.","Immunity. 2019 Sep 17;51(3):573-589.e8. doi: 10.1016/j.immuni.2019.08.008. Epub 2019 Aug 29.","Dutertre CA","Immunity","2019","2019/09/03","","","10.1016/j.immuni.2019.08.008"
"32579887","Combinatorial Single-Cell Analyses of Granulocyte-Monocyte Progenitor Heterogeneity Reveals an Early Uni-potent Neutrophil Progenitor","Kwok I, Becht E, Xia Y, Ng M, Teh YC, Tan L, Evrard M, Li JLY, Tran HTN, Tan Y, Liu D, Mishra A, Liong KH, Leong K, Zhang Y, Olsson A, Mantri CK, Shyamsunder P, Liu Z, Piot C, Dutertre CA, Cheng H, Bari S, Ang N, Biswas SK, Koeffler HP, Tey HL, Larbi A, Su IH, Lee B, St John A, Chan JKY, Hwang WYK, Chen J, Salomonis N, Chong SZ, Grimes HL, Liu B, Hidalgo A, Newell EW, Cheng T, Ginhoux F, Ng LG.","Immunity. 2020 Aug 18;53(2):303-318.e5. doi: 10.1016/j.immuni.2020.06.005. Epub 2020 Jun 23.","Kwok I","Immunity","2020","2020/06/25","","","10.1016/j.immuni.2020.06.005"
"32275969","Hepatocellular Carcinoma Cells Up-regulate PVRL1, Stabilizing PVR and Inhibiting the Cytotoxic T-Cell Response via TIGIT to Mediate Tumor Resistance to PD1 Inhibitors in Mice","Chiu DK, Yuen VW, Cheu JW, Wei LL, Ting V, Fehlings M, Sumatoh H, Nardin A, Newell EW, Ng IO, Yau TC, Wong CM, Wong CC.","Gastroenterology. 2020 Aug;159(2):609-623. doi: 10.1053/j.gastro.2020.03.074. Epub 2020 Apr 8.","Chiu DK","Gastroenterology","2020","2020/04/11","","","10.1053/j.gastro.2020.03.074"
"36259971","Intraventricular B7-H3 CAR T Cells for Diffuse Intrinsic Pontine Glioma: Preliminary First-in-Human Bioactivity and Safety","Vitanza NA, Wilson AL, Huang W, Seidel K, Brown C, Gustafson JA, Yokoyama JK, Johnson AJ, Baxter BA, Koning RW, Reid AN, Meechan M, Biery MC, Myers C, Rawlings-Rhea SD, Albert CM, Browd SR, Hauptman JS, Lee A, Ojemann JG, Berens ME, Dun MD, Foster JB, Crotty EE, Leary SES, Cole BL, Perez FA, Wright JN, Orentas RJ, Chour T, Newell EW, Whiteaker JR, Zhao L, Paulovich AG, Pinto N, Gust J, Gardner RA, Jensen MC, Park JR.","Cancer Discov. 2023 Jan 9;13(1):114-131. doi: 10.1158/2159-8290.CD-22-0750.","Vitanza NA","Cancer Discov","2023","2022/10/19","PMC9827115","NIHMS1844899","10.1158/2159-8290.CD-22-0750"
