PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34481552","Haematological malignancies in sub-Saharan Africa: east Africa as an example for improving care","Okello CD, Niyonzima N, Ferraresso M, Kadhumbula S, Ddungu H, Tarlock K, Balagadde-Kambugu J, Omoding A, Ngendahayo L, Karagu A, Mwaiselage J, Harlan JM, Uldrick TS, Turner SD, Orem J.","Lancet Haematol. 2021 Oct;8(10):e756-e769. doi: 10.1016/S2352-3026(21)00198-8. Epub 2021 Sep 2.","Okello CD","Lancet Haematol","2021","2021/09/05","","","10.1016/S2352-3026(21)00198-8"
"30241258","Peer Mentoring at the Uganda Cancer Institute: A Novel Model for Career Development of Clinician-Scientists in Resource-Limited Settings","Phipps W, Kansiime R, Stevenson P, Orem J, Casper C, Morrow RA.","J Glob Oncol. 2018 Sep;4:1-11. doi: 10.1200/JGO.17.00134.","Phipps W","J Glob Oncol","2018","2018/09/23","PMC6223430","","10.1200/JGO.17.00134"
"23486453","Cutaneous T-cell lymphoma in sub-Saharan Africa","Ulrickson M, Okuku F, Walusansa V, Press O, Kalungi S, Wu D, Kambugu F, Casper C, Orem J.","J Natl Compr Canc Netw. 2013 Mar 1;11(3):275-280. doi: 10.6004/jnccn.2013.0038.","Ulrickson M","J Natl Compr Canc Netw","2013","2013/03/15","PMC3865990","NIHMS528261","10.6004/jnccn.2013.0038"
"33300963","Strengthening Laboratory Diagnostic Capacity to Support Cancer Care in Uganda","Niyonzima N, Wannume H, Kadhumbula S, Wasswa H, Osinde G, Mulumba Y, Tusabe T, Kalungi S, Orem J.","Am J Clin Pathol. 2021 Jul 6;156(2):205-213. doi: 10.1093/ajcp/aqaa218.","Niyonzima N","Am J Clin Pathol","2021","2020/12/10","PMC8859427","","10.1093/ajcp/aqaa218"
"33095855","Maternal Epstein-Barr Virus-Specific Antibodies and Risk of Infection in Ugandan Infants","Minab R, Bu W, Nguyen H, Wall A, Sholukh AM, Huang ML, Ortego M, Krantz EM, Irvine M, Casper C, Orem J, McGuire AT, Cohen JI, Gantt S.","J Infect Dis. 2021 Jun 4;223(11):1897-1904. doi: 10.1093/infdis/jiaa654.","Minab R","J Infect Dis","2021","2020/10/23","PMC8176630","","10.1093/infdis/jiaa654"
"32348563","Breast cancer early detection and diagnostic capacity in Uganda","Scheel JR, Giglou MJ, Segel S, Orem J, Tsu V, Galukande M, Okello J, Nakigudde G, Mugisha N, Muyinda Z, Anderson BO, Duggan C.","Cancer. 2020 May 15;126 Suppl 10(Suppl 10):2469-2480. doi: 10.1002/cncr.32890.","Scheel JR","Cancer","2020","2020/04/30","PMC7219536","NIHMS1584213","10.1002/cncr.32890"
"25002726","Stage-stratified approach to AIDS-related Kaposi's sarcoma: implications for resource-limited environments","Krown SE, Borok MZ, Campbell TB, Casper C, Dittmer DP, Hosseinipour MC, Mitsuyasu RT, Mosam A, Orem J, Phipps WT.","J Clin Oncol. 2014 Aug 10;32(23):2512-3. doi: 10.1200/JCO.2014.55.8999. Epub 2014 Jul 7.","Krown SE","J Clin Oncol","2014","2014/07/09","PMC4809749","NIHMS696346","10.1200/JCO.2014.55.8999"
"29296767","High-throughput sequencing reveals novel features of immunoglobulin gene rearrangements in Burkitt lymphoma","Lombardo KA, Coffey DG, Morales AJ, Carlson CS, Towlerton AMH, Gerdts SE, Nkrumah FK, Neequaye J, Biggar RJ, Orem J, Casper C, Mbulaiteye SM, Bhatia KG, Warren EH.","Blood Adv. 2017 Jul 3;1(16):1261-1262. doi: 10.1182/bloodadvances.2017008060. eCollection 2017 Jul 11.","Lombardo KA","Blood Adv","2017","2018/01/04","PMC5728551","","10.1182/bloodadvances.2017008060"
"35195571","Multiple High-Risk HPV Types Contribute to Cervical Dysplasia in Ugandan Women Living With HIV on Antiretroviral Therapy","Nakisige C, Adams SV, Namirembe C, Okoche L, Ferrenberg J, Towlerton A, Larsen A, Orem J, Casper C, Frenkel L, Uldrick TS.","J Acquir Immune Defic Syndr. 2022 Jul 1;90(3):333-342. doi: 10.1097/QAI.0000000000002941.","Nakisige C","J Acquir Immune Defic Syndr","2022","2022/02/23","PMC9203909","NIHMS1781266","10.1097/QAI.0000000000002941"
"30840316","The cost effectiveness of treating Burkitt lymphoma in Uganda","Denburg AE, Laher N, Mutyaba I, McGoldrick S, Kambugu J, Sessle E, Orem J, Casper C.","Cancer. 2019 Jun 1;125(11):1918-1928. doi: 10.1002/cncr.32006. Epub 2019 Mar 6.","Denburg AE","Cancer","2019","2019/03/07","","","10.1002/cncr.32006"
