PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35705092","Immunization with a self-assembling nanoparticle vaccine displaying EBV gH/gL protects humanized mice against lethal viral challenge","Malhi H, Homad LJ, Wan YH, Poudel B, Fiala B, Borst AJ, Wang JY, Walkey C, Price J, Wall A, Singh S, Moodie Z, Carter L, Handa S, Correnti CE, Stoddard BL, Veesler D, Pancera M, Olson J, King NP, McGuire AT.","Cell Rep Med. 2022 Jun 21;3(6):100658. doi: 10.1016/j.xcrm.2022.100658. Epub 2022 Jun 14.","Malhi H","Cell Rep Med","2022","2022/06/15","PMC9245003","","10.1016/j.xcrm.2022.100658"
"32946741","A Potent Anti-Malarial Human Monoclonal Antibody Targets Circumsporozoite Protein Minor Repeats and Neutralizes Sporozoites in the Liver","Wang LT, Pereira LS, Flores-Garcia Y, O'Connor J, Flynn BJ, Schön A, Hurlburt NK, Dillon M, Yang ASP, Fabra-García A, Idris AH, Mayer BT, Gerber MW, Gottardo R, Mason RD, Cavett N, Ballard RB, Kisalu NK, Molina-Cruz A, Nelson J, Vistein R, Barillas-Mury C, Amino R, Baker D, King NP, Sauerwein RW, Pancera M, Cockburn IA, Zavala F, Francica JR, Seder RA.","Immunity. 2020 Oct 13;53(4):733-744.e8. doi: 10.1016/j.immuni.2020.08.014. Epub 2020 Sep 17.","Wang LT","Immunity","2020","2020/09/18","PMC7572793","NIHMS1631259","10.1016/j.immuni.2020.08.014"
"28133796","Germline-targeting immunogens","Stamatatos L, Pancera M, McGuire AT.","Immunol Rev. 2017 Jan;275(1):203-216. doi: 10.1111/imr.12483.","Stamatatos L","Immunol Rev","2017","2017/01/31","PMC5741082","NIHMS926791","10.1111/imr.12483"
"28422787","How HIV-1 entry mechanism and broadly neutralizing antibodies guide structure-based vaccine design","Pancera M, Changela A, Kwong PD.","Curr Opin HIV AIDS. 2017 May;12(3):229-240. doi: 10.1097/COH.0000000000000360.","Pancera M","Curr Opin HIV AIDS","2017","2017/04/20","PMC5557343","NIHMS865953","10.1097/COH.0000000000000360"
"34788599","Vaccination in a humanized mouse model elicits highly protective PfCSP-targeting anti-malarial antibodies","Kratochvil S, Shen CH, Lin YC, Xu K, Nair U, Da Silva Pereira L, Tripathi P, Arnold J, Chuang GY, Melzi E, Schön A, Zhang B, Dillon M, Bonilla B, Flynn BJ, Kirsch KH, Kisalu NK, Kiyuka PK, Liu T, Ou L, Pancera M, Rawi R, Reveiz M, Seignon K, Wang LT, Waring MT, Warner J, Yang Y, Francica JR, Idris AH, Seder RA, Kwong PD, Batista FD.","Immunity. 2021 Dec 14;54(12):2859-2876.e7. doi: 10.1016/j.immuni.2021.10.017. Epub 2021 Nov 16.","Kratochvil S","Immunity","2021","2021/11/17","PMC9087378","NIHMS1787883","10.1016/j.immuni.2021.10.017"
"27478931","Iterative structure-based improvement of a fusion-glycoprotein vaccine against RSV","Joyce MG, Zhang B, Ou L, Chen M, Chuang GY, Druz A, Kong WP, Lai YT, Rundlet EJ, Tsybovsky Y, Yang Y, Georgiev IS, Guttman M, Lees CR, Pancera M, Sastry M, Soto C, Stewart-Jones GBE, Thomas PV, Van Galen JG, Baxa U, Lee KK, Mascola JR, Graham BS, Kwong PD.","Nat Struct Mol Biol. 2016 Sep;23(9):811-820. doi: 10.1038/nsmb.3267. Epub 2016 Aug 1.","Joyce MG","Nat Struct Mol Biol","2016","2016/08/02","PMC5016229","NIHMS798563","10.1038/nsmb.3267"
"29554083","A human monoclonal antibody prevents malaria infection by targeting a new site of vulnerability on the parasite","Kisalu NK, Idris AH, Weidle C, Flores-Garcia Y, Flynn BJ, Sack BK, Murphy S, Schön A, Freire E, Francica JR, Miller AB, Gregory J, March S, Liao HX, Haynes BF, Wiehe K, Trama AM, Saunders KO, Gladden MA, Monroe A, Bonsignori M, Kanekiyo M, Wheatley AK, McDermott AB, Farney SK, Chuang GY, Zhang B, Kc N, Chakravarty S, Kwong PD, Sinnis P, Bhatia SN, Kappe SHI, Sim BKL, Hoffman SL, Zavala F, Pancera M, Seder RA.","Nat Med. 2018 May;24(4):408-416. doi: 10.1038/nm.4512. Epub 2018 Mar 19.","Kisalu NK","Nat Med","2018","2018/03/20","PMC5893371","NIHMS941150","10.1038/nm.4512"
"36781872","Cross-protective antibodies against common endemic respiratory viruses","Cabán M, Rodarte JV, Bibby M, Gray MD, Taylor JJ, Pancera M, Boonyaratanakornkit J.","Nat Commun. 2023 Feb 13;14(1):798. doi: 10.1038/s41467-023-36459-3.","Cabán M","Nat Commun","2023","2023/02/13","PMC9923667","","10.1038/s41467-023-36459-3"
"31345931","Anti-idiotypic antibodies elicit anti-HIV-1-specific B cell responses","Dosenovic P, Pettersson AK, Wall A, Thientosapol ES, Feng J, Weidle C, Bhullar K, Kara EE, Hartweger H, Pai JA, Gray MD, Parks KR, Taylor JJ, Pancera M, Stamatatos L, Nussenzweig MC, McGuire AT.","J Exp Med. 2019 Oct 7;216(10):2316-2330. doi: 10.1084/jem.20190446. Epub 2019 Jul 25.","Dosenovic P","J Exp Med","2019","2019/07/27","PMC6780999","","10.1084/jem.20190446"
"33876699","Protective antibodies against human parainfluenza virus type 3 infection","Boonyaratanakornkit J, Singh S, Weidle C, Rodarte J, Bakthavatsalam R, Perkins J, Stewart-Jones GBE, Kwong PD, McGuire AT, Pancera M, Taylor JJ.","MAbs. 2021 Jan-Dec;13(1):1912884. doi: 10.1080/19420862.2021.1912884.","Boonyaratanakornkit J","MAbs","2021","2021/04/20","PMC8078717","","10.1080/19420862.2021.1912884"
