PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34795254","Immune cell topography predicts response to PD-1 blockade in cutaneous T cell lymphoma","Phillips D, Matusiak M, Gutierrez BR, Bhate SS, Barlow GL, Jiang S, Demeter J, Smythe KS, Pierce RH, Fling SP, Ramchurren N, Cheever MA, Goltsev Y, West RB, Khodadoust MS, Kim YH, Schürch CM, Nolan GP.","Nat Commun. 2021 Nov 18;12(1):6726. doi: 10.1038/s41467-021-26974-6.","Phillips D","Nat Commun","2021","2021/11/19","PMC8602403","","10.1038/s41467-021-26974-6"
"35294258","Metabolic adaptation of ovarian tumors in patients treated with an IDO1 inhibitor constrains antitumor immune responses","Odunsi K, Qian F, Lugade AA, Yu H, Geller MA, Fling SP, Kaiser JC, Lacroix AM, D'Amico L, Ramchurren N, Morishima C, Disis ML, Dennis L, Danaher P, Warren S, Nguyen VA, Ravi S, Tsuji T, Rosario S, Zha W, Hutson A, Liu S, Lele S, Zsiros E, McGray AJR, Chiello J, Koya R, Chodon T, Morrison CD, Putluri V, Putluri N, Mager DE, Gunawan R, Cheever MA, Battaglia S, Matsuzaki J.","Sci Transl Med. 2022 Mar 16;14(636):eabg8402. doi: 10.1126/scitranslmed.abg8402. Epub 2022 Mar 16.","Odunsi K","Sci Transl Med","2022","2022/03/16","PMC9311231","NIHMS1820177","10.1126/scitranslmed.abg8402"
"31532724","Pembrolizumab in Relapsed and Refractory Mycosis Fungoides and Sézary Syndrome: A Multicenter Phase II Study","Khodadoust MS, Rook AH, Porcu P, Foss F, Moskowitz AJ, Shustov A, Shanbhag S, Sokol L, Fling SP, Ramchurren N, Pierce R, Davis A, Shine R, Li S, Fong S, Kim J, Yang Y, Blumenschein WM, Yearley JH, Das B, Patidar R, Datta V, Cantu E, McCutcheon JN, Karlovich C, Williams PM, Subrahmanyam PB, Maecker HT, Horwitz SM, Sharon E, Kohrt HE, Cheever MA, Kim YH.","J Clin Oncol. 2020 Jan 1;38(1):20-28. doi: 10.1200/JCO.19.01056. Epub 2019 Sep 18.","Khodadoust MS","J Clin Oncol","2020","2019/09/19","PMC6943974","","10.1200/JCO.19.01056"
"33560388","Pembrolizumab in mycosis fungoides with PD-L1 structural variants","Beygi S, Fernandez-Pol S, Duran G, Wang EB, Stehr H, Zehnder JL, Ramchurren N, Fling SP, Cheever MA, Weng WK, Kim YH, Khodadoust MS.","Blood Adv. 2021 Feb 9;5(3):771-774. doi: 10.1182/bloodadvances.2020002371.","Beygi S","Blood Adv","2021","2021/02/09","PMC7876893","","10.1182/bloodadvances.2020002371"
"36046812","Single-cell RNA-sequencing reveals predictive features of response to pembrolizumab in Sézary syndrome","Su T, Duran GE, Kwang AC, Ramchurren N, Fling SP, Kim YH, Khodadoust MS.","Oncoimmunology. 2022 Aug 27;11(1):2115197. doi: 10.1080/2162402X.2022.2115197. eCollection 2022.","Su T","Oncoimmunology","2022","2022/09/01","PMC9423847","","10.1080/2162402X.2022.2115197"
"37205196","A multiplexed assay for quantifying immunomodulatory proteins supports correlative studies in immunotherapy clinical trials","Whiteaker JR, Zhao L, Schoenherr RM, Huang D, Lundeen RA, Voytovich U, Kennedy JJ, Ivey RG, Lin C, Murillo OD, Lorentzen TD, Colantonio S, Caceres TW, Roberts RR, Knotts JG, Reading JJ, Perry CD, Richardson CW, Garcia-Buntley SS, Bocik W, Hewitt SM, Chowdhury S, Vandermeer J, Smith SD, Gopal AK, Ramchurren N, Fling SP, Wang P, Paulovich AG.","Front Oncol. 2023 May 2;13:1168710. doi: 10.3389/fonc.2023.1168710. eCollection 2023.","Whiteaker JR","Front Oncol","2023","2023/05/19","PMC10185886","","10.3389/fonc.2023.1168710"
"35121932","Flt3 ligand augments immune responses to anti-DEC-205-NY-ESO-1 vaccine through expansion of dendritic cell subsets","Bhardwaj N, Friedlander PA, Pavlick AC, Ernstoff MS, Gastman BR, Hanks BA, Curti BD, Albertini MR, Luke JJ, Blazquez AB, Balan S, Bedognetti D, Beechem JM, Crocker AS, D'Amico L, Danaher P, Davis TA, Hawthorne T, Hess BW, Keler T, Lundgren L, Morishima C, Ramchurren N, Rinchai D, Salazar AM, Salim BA, Sharon E, Vitale LA, Wang E, Warren S, Yellin MJ, Disis ML, Cheever MA, Fling SP.","Nat Cancer. 2020 Dec;1(12):1204-1217. doi: 10.1038/s43018-020-00143-y. Epub 2020 Nov 16.","Bhardwaj N","Nat Cancer","2020","2022/02/05","","","10.1038/s43018-020-00143-y"
"34950900","New interpretable machine-learning method for single-cell data reveals correlates of clinical response to cancer immunotherapy","Greene E, Finak G, D'Amico LA, Bhardwaj N, Church CD, Morishima C, Ramchurren N, Taube JM, Nghiem PT, Cheever MA, Fling SP, Gottardo R.","Patterns (N Y). 2021 Oct 27;2(12):100372. doi: 10.1016/j.patter.2021.100372. eCollection 2021 Dec 10.","Greene E","Patterns (N Y)","2021","2021/12/24","PMC8672150","","10.1016/j.patter.2021.100372"
"30482247","Merkel cell polyomavirus-specific immune responses in patients with Merkel cell carcinoma receiving anti-PD-1 therapy","Miller NJ, Church CD, Fling SP, Kulikauskas R, Ramchurren N, Shinohara MM, Kluger HM, Bhatia S, Lundgren L, Cheever MA, Topalian SL, Nghiem P.","J Immunother Cancer. 2018 Nov 27;6(1):131. doi: 10.1186/s40425-018-0450-7.","Miller NJ","J Immunother Cancer","2018","2018/11/29","PMC6258401","","10.1186/s40425-018-0450-7"
"33879601","Three-year survival, correlates and salvage therapies in patients receiving first-line pembrolizumab for advanced Merkel cell carcinoma","Nghiem P, Bhatia S, Lipson EJ, Sharfman WH, Kudchadkar RR, Brohl AS, Friedlander PA, Daud A, Kluger HM, Reddy SA, Boulmay BC, Riker A, Burgess MA, Hanks BA, Olencki T, Kendra K, Church C, Akaike T, Ramchurren N, Shinohara MM, Salim B, Taube JM, Jensen E, Kalabis M, Fling SP, Homet Moreno B, Sharon E, Cheever MA, Topalian SL.","J Immunother Cancer. 2021 Apr;9(4):e002478. doi: 10.1136/jitc-2021-002478.","Nghiem P","J Immunother Cancer","2021","2021/04/21","PMC8061836","","10.1136/jitc-2021-002478"
