PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33730454","Two Randomized Trials of Neutralizing Antibodies to Prevent HIV-1 Acquisition","Corey L, Gilbert PB, Juraska M, Montefiori DC, Morris L, Karuna ST, Edupuganti S, Mgodi NM, deCamp AC, Rudnicki E, Huang Y, Gonzales P, Cabello R, Orrell C, Lama JR, Laher F, Lazarus EM, Sanchez J, Frank I, Hinojosa J, Sobieszczyk ME, Marshall KE, Mukwekwerere PG, Makhema J, Baden LR, Mullins JI, Williamson C, Hural J, McElrath MJ, Bentley C, Takuva S, Gomez Lorenzo MM, Burns DN, Espy N, Randhawa AK, Kochar N, Piwowar-Manning E, Donnell DJ, Sista N, Andrew P, Kublin JG, Gray G, Ledgerwood JE, Mascola JR, Cohen MS; HVTN 704/HPTN 085 and HVTN 703/HPTN 081 Study Teams.","N Engl J Med. 2021 Mar 18;384(11):1003-1014. doi: 10.1056/NEJMoa2031738.","Corey L","N Engl J Med","2021","2021/03/17","PMC8189692","NIHMS1701559","10.1056/NEJMoa2031738"
"35353885","High Asymptomatic Carriage With the Omicron Variant in South Africa","Garrett N, Tapley A, Andriesen J, Seocharan I, Fisher LH, Bunts L, Espy N, Wallis CL, Randhawa AK, Miner MD, Ketter N, Yacovone M, Goga A, Huang Y, Hural J, Kotze P, Bekker LG, Gray GE, Corey L; Ubuntu Study Team.","Clin Infect Dis. 2022 Aug 24;75(1):e289-e292. doi: 10.1093/cid/ciac237.","Garrett N","Clin Infect Dis","2022","2022/03/30","PMC9383623","","10.1093/cid/ciac237"
"36658109","Immune correlates analysis of the PREVENT-19 COVID-19 vaccine efficacy clinical trial","Fong Y, Huang Y, Benkeser D, Carpp LN, Áñez G, Woo W, McGarry A, Dunkle LM, Cho I, Houchens CR, Martins K, Jayashankar L, Castellino F, Petropoulos CJ, Leith A, Haugaard D, Webb B, Lu Y, Yu C, Borate B, van der Laan LWP, Hejazi NS, Randhawa AK, Andrasik MP, Kublin JG, Hutter J, Keshtkar-Jahromi M, Beresnev TH, Corey L, Neuzil KM, Follmann D, Ake JA, Gay CL, Kotloff KL, Koup RA, Donis RO, Gilbert PB; Immune Assays Team; Coronavirus Vaccine Prevention Network (CoVPN)/2019nCoV-301 Principal Investigators and Study Team; United States Government (USG)/CoVPN Biostatistics Team.","Nat Commun. 2023 Jan 19;14(1):331. doi: 10.1038/s41467-022-35768-3.","Fong Y","Nat Commun","2023","2023/01/19","PMC9851580","","10.1038/s41467-022-35768-3"
"35043118","High Rate of Asymptomatic Carriage Associated with Variant Strain Omicron","Garrett N, Tapley A, Andriesen J, Seocharan I, Fisher LH, Bunts L, Espy N, Wallis CL, Randhawa AK, Ketter N, Yacovone M, Goga A, Bekker LG, Gray GE, Corey L.","medRxiv. 2022 Jan 14:2021.12.20.21268130. doi: 10.1101/2021.12.20.21268130. Preprint.","Garrett N","medRxiv","2022","2022/01/19","PMC8764727","","10.1101/2021.12.20.21268130"
"36136590","Lower SARS-CoV-2-specific humoral immunity in people living with HIV-1 recovered from nonhospitalized COVID-19","Schuster DJ, Karuna S, Brackett C, Wesley M, Li SS, Eisel N, Tenney D, Hilliard S, Yates NL, Heptinstall JR, Williams LD, Shen X, Rolfe R, Cabello R, Zhang L, Sawant S, Hu J, Randhawa AK, Hyrien O, Hural JA, Corey L, Frank I, Tomaras GD, Seaton KE; HVTN 405/HPTN 1901 Study Team.","JCI Insight. 2022 Nov 8;7(21):e158402. doi: 10.1172/jci.insight.158402.","Schuster DJ","JCI Insight","2022","2022/09/22","PMC9675463","","10.1172/jci.insight.158402"
"34288726","Evaluation of Cell-Based and Surrogate SARS-CoV-2 Neutralization Assays","Sholukh AM, Fiore-Gartland A, Ford ES, Miner MD, Hou YJ, Tse LV, Kaiser H, Zhu H, Lu J, Madarampalli B, Park A, Lempp FA, St Germain R, Bossard EL, Kee JJ, Diem K, Stuart AB, Rupert PB, Brock C, Buerger M, Doll MK, Randhawa AK, Stamatatos L, Strong RK, McLaughlin C, Huang ML, Jerome KR, Baric RS, Montefiori D, Corey L.","J Clin Microbiol. 2021 Sep 20;59(10):e0052721. doi: 10.1128/JCM.00527-21. Epub 2021 Jul 21.","Sholukh AM","J Clin Microbiol","2021","2021/07/21","PMC8451402","","10.1128/JCM.00527-21"
"36949083","Publisher Correction: Immune correlates analysis of the PREVENT-19 COVID-19 vaccine efficacy clinical trial","Fong Y, Huang Y, Benkeser D, Carpp LN, Áñez G, Woo W, McGarry A, Dunkle LM, Cho I, Houchens CR, Martins K, Jayashankar L, Castellino F, Petropoulos CJ, Leith A, Haugaard D, Webb B, Lu Y, Yu C, Borate B, van der Laan LWP, Hejazi NS, Randhawa AK, Andrasik MP, Kublin JG, Hutter J, Keshtkar-Jahromi M, Beresnev TH, Corey L, Neuzil KM, Follmann D, Ake JA, Gay CL, Kotloff KL, Koup RA, Donis RO, Gilbert PB; Immune Assays Team; Coronavirus Vaccine Prevention Network (CoVPN)/2019nCoV-301 Principal Investigators and Study Team; United States Government (USG)/CoVPN Biostatistics Team.","Nat Commun. 2023 Mar 22;14(1):1581. doi: 10.1038/s41467-023-37367-2.","Fong Y","Nat Commun","2023","2023/03/23","PMC10031713","","10.1038/s41467-023-37367-2"
"33859204","Meta-analysis of HIV-1 vaccine elicited mucosal antibodies in humans","Seaton KE, Deal A, Han X, Li SS, Clayton A, Heptinstall J, Duerr A, Allen MA, Shen X, Sawant S, Yates NL, Spearman P, Churchyard G, Goepfert PA, Maenza J, Gray G, Pantaleo G, Polakowski L, Robinson HL, Grant S, Randhawa AK, Huang Y, Morgan C, Grunenberg N, Karuna S, Gilbert PB, McElrath MJ, Huang Y, Tomaras GD; NIAID HIV Vaccine Trials Network (HVTN) 076, 088, 086, 096, 097, 205 Study Teams.","NPJ Vaccines. 2021 Apr 15;6(1):56. doi: 10.1038/s41541-021-00305-8.","Seaton KE","NPJ Vaccines","2021","2021/04/16","PMC8050318","","10.1038/s41541-021-00305-8"
"36899062","Immune correlates analysis of a phase 3 trial of the AZD1222 (ChAdOx1 nCoV-19) vaccine","Benkeser D, Fong Y, Janes HE, Kelly EJ, Hirsch I, Sproule S, Stanley AM, Maaske J, Villafana T, Houchens CR, Martins K, Jayashankar L, Castellino F, Ayala V, Petropoulos CJ, Leith A, Haugaard D, Webb B, Lu Y, Yu C, Borate B, van der Laan LWP, Hejazi NS, Carpp LN, Randhawa AK, Andrasik MP, Kublin JG, Isaacs MB, Makhene M, Tong T, Robb ML, Corey L, Neuzil KM, Follmann D, Hoffman C, Falsey AR, Sobieszczyk M, Koup RA, Donis RO, Gilbert PB; AstraZeneca AZD1222 Clinical Study Group; Immune Assays Team; United States Government (USG)/CoVPN Biostatistics Team.","NPJ Vaccines. 2023 Mar 11;8(1):36. doi: 10.1038/s41541-023-00630-0.","Benkeser D","NPJ Vaccines","2023","2023/03/10","PMC10005913","","10.1038/s41541-023-00630-0"
"36357712","Immune correlates analysis of the ENSEMBLE single Ad26.COV2.S dose vaccine efficacy clinical trial","Fong Y, McDermott AB, Benkeser D, Roels S, Stieh DJ, Vandebosch A, Le Gars M, Van Roey GA, Houchens CR, Martins K, Jayashankar L, Castellino F, Amoa-Awua O, Basappa M, Flach B, Lin BC, Moore C, Naisan M, Naqvi M, Narpala S, O'Connell S, Mueller A, Serebryannyy L, Castro M, Wang J, Petropoulos CJ, Luedtke A, Hyrien O, Lu Y, Yu C, Borate B, van der Laan LWP, Hejazi NS, Kenny A, Carone M, Wolfe DN, Sadoff J, Gray GE, Grinsztejn B, Goepfert PA, Little SJ, Paiva de Sousa L, Maboa R, Randhawa AK, Andrasik MP, Hendriks J, Truyers C, Struyf F, Schuitemaker H, Douoguih M, Kublin JG, Corey L, Neuzil KM, Carpp LN, Follmann D, Gilbert PB, Koup RA, Donis RO; Immune Assays Team; the Coronavirus Vaccine Prevention Network (CoVPN)/ENSEMBLE Team; and the United States Government (USG)/CoVPN Biostatistics Team.","Nat Microbiol. 2022 Dec;7(12):1996-2010. doi: 10.1038/s41564-022-01262-1. Epub 2022 Nov 10.","Fong Y","Nat Microbiol","2022","2022/11/10","PMC10166187","NIHMS1867012","10.1038/s41564-022-01262-1"
