PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
35106463,HIV reservoir quantification using cross-subtype multiplex ddPCR,"Cassidy NAJ, Fish CS, Levy CN, Roychoudhury P, Reeves DB, Hughes SM, Schiffer JT, Benki-Nugent S, John-Stewart G, Wamalwa D, Jerome KR, Overbaugh J, Hladik F, Lehman DA.",iScience. 2021 Dec 11;25(1):103615. doi: 10.1016/j.isci.2021.103615. eCollection 2022 Jan 21.,Cassidy NAJ,iScience,2021,2/2/2022,PMC8786636,,10.1016/j.isci.2021.103615
37443365,Impact of misclassified defective proviruses on HIV reservoir measurements,"Reeves DB, Gaebler C, Oliveira TY, Peluso MJ, Schiffer JT, Cohn LB, Deeks SG, Nussenzweig MC.",Nat Commun. 2023 Jul 13;14(1):4186. doi: 10.1038/s41467-023-39837-z.,Reeves DB,Nat Commun,2023,7/14/2023,PMC10345136,,10.1038/s41467-023-39837-z
35995954,Neutralization titer biomarker for antibody-mediated prevention of HIV-1 acquisition,"Gilbert PB, Huang Y, deCamp AC, Karuna S, Zhang Y, Magaret CA, Giorgi EE, Korber B, Edlefsen PT, Rossenkhan R, Juraska M, Rudnicki E, Kochar N, Huang Y, Carpp LN, Barouch DH, Mkhize NN, Hermanus T, Kgagudi P, Bekker V, Kaldine H, Mapengo RE, Eaton A, Domin E, West C, Feng W, Tang H, Seaton KE, Heptinstall J, Brackett C, Chiong K, Tomaras GD, Andrew P, Mayer BT, Reeves DB, Sobieszczyk ME, Garrett N, Sanchez J, Gay C, Makhema J, Williamson C, Mullins JI, Hural J, Cohen MS, Corey L, Montefiori DC, Morris L.",Nat Med. 2022 Sep;28(9):1924-1932. doi: 10.1038/s41591-022-01953-6. Epub 2022 Aug 22.,Gilbert PB,Nat Med,2022,8/22/2022,PMC9499869,,10.1038/s41591-022-01953-6
35145025,Evolution during primary HIV infection does not require adaptive immune selection,"Swan DA, Rolland M, Herbeck JT, Schiffer JT, Reeves DB.",Proc Natl Acad Sci U S A. 2022 Feb 15;119(7):e2109172119. doi: 10.1073/pnas.2109172119.,Swan DA,Proc Natl Acad Sci U S A,2022,2/11/2022,PMC8851487,,10.1073/pnas.2109172119
35385469,Optimizing clinical dosing of combination broadly neutralizing antibodies for HIV prevention,"Mayer BT, deCamp AC, Huang Y, Schiffer JT, Gottardo R, Gilbert PB, Reeves DB.",PLoS Comput Biol. 2022 Apr 6;18(4):e1010003. doi: 10.1371/journal.pcbi.1010003. eCollection 2022 Apr.,Mayer BT,PLoS Comput Biol,2022,4/6/2022,PMC9084525,,10.1371/journal.pcbi.1010003
35870446,Acute HIV-1 infection viremia associate with rebound upon treatment interruption,"Mdluli T, Li Y, Pinyakorn S, Reeves DB, Cardozo-Ojeda EF, Yates A, Intasan J, Tipsuk S, Phanuphak N, Sacdalan C, Colby DJ, Kroon E, Crowell TA, Thomas R, Robb ML, Ananworanich J, de Souza M, Phanuphak P, Stieh DJ, Tomaka FL, Trautmann L, Ake JA, Hsu DC, Francisco LV, Vasan S, Rolland M.",Med. 2022 Sep 9;3(9):622-635.e3. doi: 10.1016/j.medj.2022.06.009. Epub 2022 Jul 22.,Mdluli T,Med,2022,7/23/2022,PMC9464709,NIHMS1826469,10.1016/j.medj.2022.06.009
32710762,Reliability of Self-Sampling for Accurate Assessment of Respiratory Virus Viral and Immunologic Kinetics,"Waghmare A, Krantz EM, Baral S, Vasquez E, Loeffelholz T, Chung EL, Pandey U, Kuypers J, Duke ER, Jerome KR, Greninger AL, Reeves DB, Hladik F, Cardozo-Ojeda EF, Boeckh M, Schiffer JT.",J Infect Dis. 2022 Aug 24;226(2):278-286. doi: 10.1093/infdis/jiaa451.,Waghmare A,J Infect Dis,2022,7/26/2020,PMC7454707,,10.1093/infdis/jiaa451
33620317,Viral load and contact heterogeneity predict SARS-CoV-2 transmission and super-spreading events,"Goyal A, Reeves DB, Cardozo-Ojeda EF, Schiffer JT, Mayer BT.",Elife. 2021 Feb 23;10:e63537. doi: 10.7554/eLife.63537.,Goyal A,Elife,2021,2/23/2021,PMC7929560,,10.7554/eLife.63537
36081147,Distinguishing Nanoparticle Aggregation from Viscosity Changes in MPS/MSB Detection of Biomarkers,"Jyoti D, Gordon-Wylie SW, Reeves DB, Paulsen KD, Weaver JB.",Sensors (Basel). 2022 Sep 4;22(17):6690. doi: 10.3390/s22176690.,Jyoti D,Sensors (Basel),2022,9/9/2022,PMC9459920,,10.3390/s22176690
33948574,A highly multiplexed droplet digital PCR assay to measure the intact HIV-1 proviral reservoir,"Levy CN, Hughes SM, Roychoudhury P, Reeves DB, Amstuz C, Zhu H, Huang ML, Wei Y, Bull ME, Cassidy NAJ, McClure J, Frenkel LM, Stone M, Bakkour S, Wonderlich ER, Busch MP, Deeks SG, Schiffer JT, Coombs RW, Lehman DA, Jerome KR, Hladik F.",Cell Rep Med. 2021 Apr 12;2(4):100243. doi: 10.1016/j.xcrm.2021.100243. eCollection 2021 Apr 20.,Levy CN,Cell Rep Med,2021,5/5/2021,PMC8080125,,10.1016/j.xcrm.2021.100243
34696352,Mathematical Modeling of Vaccines That Prevent SARS-CoV-2 Transmission,"Swan DA, Goyal A, Bracis C, Moore M, Krantz E, Brown E, Cardozo-Ojeda F, Reeves DB, Gao F, Gilbert PB, Corey L, Cohen MS, Janes H, Dimitrov D, Schiffer JT.",Viruses. 2021 Sep 24;13(10):1921. doi: 10.3390/v13101921.,Swan DA,Viruses,2021,10/26/2021,PMC8539635,,10.3390/v13101921
23319830,Simulations of magnetic nanoparticle Brownian motion,"Reeves DB, Weaver JB.",J Appl Phys. 2012 Dec 15;112(12):124311. doi: 10.1063/1.4770322. Epub 2012 Dec 20.,Reeves DB,J Appl Phys,2012,1/16/2013,PMC3537703,,10.1063/1.4770322
29491180,Model-based estimation of superinfection prevalence from limited datasets,"Reeves DB, Magaret AS, Greninger AL, Johnston C, Schiffer JT.",J R Soc Interface. 2018 Feb;15(139):20170968. doi: 10.1098/rsif.2017.0968.,Reeves DB,J R Soc Interface,2018,3/2/2018,PMC5832741,,10.1098/rsif.2017.0968
33899042,Rapid vaccination and partial lockdown minimize 4(th) waves from emerging highly contagious SARS-CoV-2 variants,"Reeves DB, Bracis C, Swan DA, Burns E, Moore M, Dimitrov D, Schiffer JT.",Med. 2021 May 14;2(5):573-574. doi: 10.1016/j.medj.2021.04.012. Epub 2021 Apr 20.,Reeves DB,Med,2021,4/26/2021,PMC8057771,,10.1016/j.medj.2021.04.012
35382576,Multi-scale modelling reveals that early super-spreader events are a likely contributor to novel variant predominance,"Goyal A, Reeves DB, Schiffer JT.",J R Soc Interface. 2022 Apr;19(189):20210811. doi: 10.1098/rsif.2021.0811. Epub 2022 Apr 6.,Goyal A,J R Soc Interface,2022,4/6/2022,PMC8984334,,10.1098/rsif.2021.0811
34186015,Timing HIV infection with a simple and accurate population viral dynamics model,"Reeves DB, Rolland M, Dearlove BL, Li Y, Robb ML, Schiffer JT, Gilbert P, Cardozo-Ojeda EF, Mayer BT.",J R Soc Interface. 2021 Jun;18(179):20210314. doi: 10.1098/rsif.2021.0314. Epub 2021 Jun 30.,Reeves DB,J R Soc Interface,2021,6/29/2021,PMC8241492,,10.1098/rsif.2021.0314
33432929,Thresholds for post-rebound SHIV control after CCR5 gene-edited autologous hematopoietic cell transplantation,"Cardozo-Ojeda EF, Duke ER, Peterson CW, Reeves DB, Mayer BT, Kiem HP, Schiffer JT.",Elife. 2021 Jan 12;10:e57646. doi: 10.7554/eLife.57646.,Cardozo-Ojeda EF,Elife,2021,1/12/2021,PMC7803377,,10.7554/eLife.57646
28638104,Anti-proliferative therapy for HIV cure: a compound interest approach,"Reeves DB, Duke ER, Hughes SM, Prlic M, Hladik F, Schiffer JT.",Sci Rep. 2017 Jun 21;7(1):4011. doi: 10.1038/s41598-017-04160-3.,Reeves DB,Sci Rep,2017,6/23/2017,PMC5479830,,10.1038/s41598-017-04160-3
30446650,A majority of HIV persistence during antiretroviral therapy is due to infected cell proliferation,"Reeves DB, Duke ER, Wagner TA, Palmer SE, Spivak AM, Schiffer JT.",Nat Commun. 2018 Nov 16;9(1):4811. doi: 10.1038/s41467-018-06843-5.,Reeves DB,Nat Commun,2018,11/18/2018,PMC6240116,,10.1038/s41467-018-06843-5
32511581,Reliability of self-sampling for accurate assessment of respiratory virus viral and immunologic kinetics,"Waghmare A, Krantz EM, Baral S, Vasquez E, Loeffelholz T, Chung EL, Pandey U, Kuypers J, Duke ER, Jerome KR, Greninger AL, Reeves DB, Hladik F, Cardozo-Ojeda EF, Boeckh M, Schiffer JT.",medRxiv. 2020 Apr 6:2020.04.03.20051706. doi: 10.1101/2020.04.03.20051706. Preprint.,Waghmare A,medRxiv,2020,6/9/2020,PMC7276008,,10.1101/2020.04.03.20051706
33465157,"Relationship between CD4 T cell turnover, cellular differentiation and HIV persistence during ART","Bacchus-Souffan C, Fitch M, Symons J, Abdel-Mohsen M, Reeves DB, Hoh R, Stone M, Hiatt J, Kim P, Chopra A, Ahn H, York VA, Cameron DL, Hecht FM, Martin JN, Yukl SA, Mallal S, Cameron PU, Deeks SG, Schiffer JT, Lewin SR, Hellerstein MK, McCune JM, Hunt PW.",PLoS Pathog. 2021 Jan 19;17(1):e1009214. doi: 10.1371/journal.ppat.1009214. eCollection 2021 Jan.,Bacchus-Souffan C,PLoS Pathog,2021,1/19/2021,PMC7846027,,10.1371/journal.ppat.1009214
36582473,Substantial uneven proliferation of CD4(+) T cells during recovery from acute HIV infection is sufficient to explain the observed expanded clones in the HIV reservoir,"Tettamanti Boshier FA, Reeves DB, Duke ER, Swan DA, Prlic M, Cardozo-Ojeda EF, Schiffer JT.",J Virus Erad. 2022 Nov 30;8(4):100091. doi: 10.1016/j.jve.2022.100091. eCollection 2022 Dec.,Tettamanti Boshier FA,J Virus Erad,2022,12/30/2022,PMC9792356,,10.1016/j.jve.2022.100091
32868447,A SARS-CoV-2 vaccine candidate would likely match all currently circulating variants,"Dearlove B, Lewitus E, Bai H, Li Y, Reeves DB, Joyce MG, Scott PT, Amare MF, Vasan S, Michael NL, Modjarrad K, Rolland M.",Proc Natl Acad Sci U S A. 2020 Sep 22;117(38):23652-23662. doi: 10.1073/pnas.2008281117. Epub 2020 Aug 31.,Dearlove B,Proc Natl Acad Sci U S A,2020,9/2/2020,PMC7519301,,10.1073/pnas.2008281117
35603374,"Improving vaccination coverage and offering vaccine to all school-age children allowed uninterrupted in-person schooling in King County, WA: Modeling analysis","Bracis C, Moore M, Swan DA, Matrajt L, Anderson L, Reeves DB, Burns E, Schiffer JT, Dimitrov D.",Math Biosci Eng. 2022 Apr 1;19(6):5699-5716. doi: 10.3934/mbe.2022266.,Bracis C,Math Biosci Eng,2022,5/23/2022,PMC9553324,NIHMS1837942,10.3934/mbe.2022266
32191639,Longitudinal study reveals HIV-1-infected CD4+ T cell dynamics during long-term antiretroviral therapy,"Antar AA, Jenike KM, Jang S, Rigau DN, Reeves DB, Hoh R, Krone MR, Keruly JC, Moore RD, Schiffer JT, Nonyane BA, Hecht FM, Deeks SG, Siliciano JD, Ho YC, Siliciano RF.",J Clin Invest. 2020 Jul 1;130(7):3543-3559. doi: 10.1172/JCI135953.,Antar AA,J Clin Invest,2020,3/20/2020,PMC7324206,,10.1172/JCI135953
