PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34910859","Efficacy and Safety of NVX-CoV2373 in Adults in the United States and Mexico","Dunkle LM, Kotloff KL, Gay CL, Áñez G, Adelglass JM, Barrat Hernández AQ, Harper WL, Duncanson DM, McArthur MA, Florescu DF, McClelland RS, Garcia-Fragoso V, Riesenberg RA, Musante DB, Fried DL, Safirstein BE, McKenzie M, Jeanfreau RJ, Kingsley JK, Henderson JA, Lane DC, Ruíz-Palacios GM, Corey L, Neuzil KM, Coombs RW, Greninger AL, Hutter J, Ake JA, Smith K, Woo W, Cho I, Glenn GM, Dubovsky F; 2019nCoV-301 Study Group.","N Engl J Med. 2022 Feb 10;386(6):531-543. doi: 10.1056/NEJMoa2116185. Epub 2021 Dec 15.","Dunkle LM","N Engl J Med","2022","2021/12/15","PMC8693692","","10.1056/NEJMoa2116185"
"33882225","Safety and Efficacy of Single-Dose Ad26.COV2.S Vaccine against Covid-19","Sadoff J, Gray G, Vandebosch A, Cárdenas V, Shukarev G, Grinsztejn B, Goepfert PA, Truyers C, Fennema H, Spiessens B, Offergeld K, Scheper G, Taylor KL, Robb ML, Treanor J, Barouch DH, Stoddard J, Ryser MF, Marovich MA, Neuzil KM, Corey L, Cauwenberghs N, Tanner T, Hardt K, Ruiz-Guiñazú J, Le Gars M, Schuitemaker H, Van Hoof J, Struyf F, Douoguih M; ENSEMBLE Study Group.","N Engl J Med. 2021 Jun 10;384(23):2187-2201. doi: 10.1056/NEJMoa2101544. Epub 2021 Apr 21.","Sadoff J","N Engl J Med","2021","2021/04/21","PMC8220996","","10.1056/NEJMoa2101544"
"35139271","Final Analysis of Efficacy and Safety of Single-Dose Ad26.COV2.S","Sadoff J, Gray G, Vandebosch A, Cárdenas V, Shukarev G, Grinsztejn B, Goepfert PA, Truyers C, Van Dromme I, Spiessens B, Vingerhoets J, Custers J, Scheper G, Robb ML, Treanor J, Ryser MF, Barouch DH, Swann E, Marovich MA, Neuzil KM, Corey L, Stoddard J, Hardt K, Ruiz-Guiñazú J, Le Gars M, Schuitemaker H, Van Hoof J, Struyf F, Douoguih M; ENSEMBLE Study Group.","N Engl J Med. 2022 Mar 3;386(9):847-860. doi: 10.1056/NEJMoa2117608. Epub 2022 Feb 9.","Sadoff J","N Engl J Med","2022","2022/02/09","PMC8849184","","10.1056/NEJMoa2117608"
"36326680","Successful Treatment of Prolonged, Severe Coronavirus Disease 2019 Lower Respiratory Tract Disease in a B cell Acute Lymphoblastic Leukemia Patient With an Extended Course of Remdesivir and Nirmatrelvir/Ritonavir","Ford ES, Simmons W, Karmarkar EN, Yoke LH, Braimah AB, Orozco JJ, Ghiuzeli CM, Barnhill S, Sack CL, Benditt JO, Roychoudhury P, Greninger AL, Shapiro AE, Hammond JL, Rusnak JM, Dolsten M, Boeckh M, Liu C, Cheng GS, Corey L.","Clin Infect Dis. 2023 Mar 4;76(5):926-929. doi: 10.1093/cid/ciac868.","Ford ES","Clin Infect Dis","2023","2022/11/03","PMC10226728","","10.1093/cid/ciac868"
"35502920","Identification of Omicron-Delta Coinfections Using PCR-Based Genotyping","Roychoudhury P, Luo S, Hayashibara K, Hajian P, Mills MG, Lozach J, Cassens T, Wendm ST, Arnould I, Becker D, Wesselman T, Davis-Turak J, Creager R, Lai E, Jerome KR, Basler T, Dei Rossi A, Lee W, Greninger AL.","Microbiol Spectr. 2022 Jun 29;10(3):e0060522. doi: 10.1128/spectrum.00605-22. Epub 2022 May 3.","Roychoudhury P","Microbiol Spectr","2022","2022/05/03","PMC9241779","","10.1128/spectrum.00605-22"
"36005759","Chromosome-Specific Human Herpesvirus 6 Integration and Hematologic Malignancies","Heldman MR, Wight DJ, Aiewsakun P, Aswad A, Fang M, Roychoudhury P, Stevens-Ayers T, Jerome KR, Zerr DM, Greninger AL, Kaufer BB, Boeckh M, Hill JA.","J Virol. 2022 Sep 14;96(17):e0093722. doi: 10.1128/jvi.00937-22. Epub 2022 Aug 25.","Heldman MR","J Virol","2022","2022/08/25","PMC9472604","","10.1128/jvi.00937-22"
"35106463","HIV reservoir quantification using cross-subtype multiplex ddPCR","Cassidy NAJ, Fish CS, Levy CN, Roychoudhury P, Reeves DB, Hughes SM, Schiffer JT, Benki-Nugent S, John-Stewart G, Wamalwa D, Jerome KR, Overbaugh J, Hladik F, Lehman DA.","iScience. 2021 Dec 11;25(1):103615. doi: 10.1016/j.isci.2021.103615. eCollection 2022 Jan 21.","Cassidy NAJ","iScience","2021","2022/02/02","PMC8786636","","10.1016/j.isci.2021.103615"
"29522311","CRISPR/Cas9 and Genome Editing for Viral Disease-Is Resistance Futile?","De Silva Feelixge HS, Stone D, Roychoudhury P, Aubert M, Jerome KR.","ACS Infect Dis. 2018 Jun 8;4(6):871-880. doi: 10.1021/acsinfecdis.7b00273. Epub 2018 Mar 21.","De Silva Feelixge HS","ACS Infect Dis","2018","2018/03/10","PMC5993632","NIHMS962811","10.1021/acsinfecdis.7b00273"
"35632815","Molecular Analysis of SARS-CoV-2 Lineages in Armenia","Avetyan D, Hakobyan S, Nikoghosyan M, Ghukasyan L, Khachatryan G, Sirunyan T, Muradyan N, Zakharyan R, Chavushyan A, Hayrapetyan V, Hovhannisyan A, Mohamed Bakhash SA, Jerome KR, Roychoudhury P, Greninger AL, Niazyan L, Davidyants M, Melik-Andreasyan G, Sargsyan S, Nersisyan L, Arakelyan A.","Viruses. 2022 May 17;14(5):1074. doi: 10.3390/v14051074.","Avetyan D","Viruses","2022","2022/05/28","PMC9142918","","10.3390/v14051074"
"32511596","Cryptic transmission of SARS-CoV-2 in Washington State","Bedford T, Greninger AL, Roychoudhury P, Starita LM, Famulare M, Huang ML, Nalla A, Pepper G, Reinhardt A, Xie H, Shrestha L, Nguyen TN, Adler A, Brandstetter E, Cho S, Giroux D, Han PD, Fay K, Frazar CD, Ilcisin M, Lacombe K, Lee J, Kiavand A, Richardson M, Sibley TR, Truong M, Wolf CR, Nickerson DA, Rieder MJ, Englund JA; Seattle Flu Study Investigators; Hadfield J, Hodcroft EB, Huddleston J, Moncla LH, Müller NF, Neher RA, Deng X, Gu W, Federman S, Chiu C, Duchin J, Gautom R, Melly G, Hiatt B, Dykema P, Lindquist S, Queen K, Tao Y, Uehara A, Tong S, MacCannell D, Armstrong GL, Baird GS, Chu HY, Shendure J, Jerome KR.","medRxiv. 2020 Apr 6:2020.04.02.20051417. doi: 10.1101/2020.04.02.20051417. Preprint.","Bedford T","medRxiv","2020","2020/06/09","PMC7276023","","10.1101/2020.04.02.20051417"
